n_train_donors,seed,eval_donor,metric,scgpt_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes,fit_sec
32,0,D353,pearson_delta,0.2399,cell-mean,0.2374,0.0025,,37362,583,600,50,422.6
32,0,D353,e_distance,6.5358,donor-shift,6.4852,-0.0506,,37362,583,600,50,422.6
32,0,D353,aucell_delta_score,-0.0197,donor-shift,-0.0386,0.0188,,37362,583,600,50,422.6
32,0,D411,pearson_delta,0.1802,cell-mean,0.1841,-0.0039,,37362,600,600,50,429.0
32,0,D411,e_distance,5.0744,donor-shift,4.9107,-0.1636,,37362,600,600,50,429.0
32,0,D411,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,37362,600,600,50,429.0
32,0,D431,pearson_delta,0.2561,cell-mean,0.2513,0.0047,,37362,600,600,50,430.6
32,0,D431,e_distance,5.6493,cell-mean,5.6639,0.0147,,37362,600,600,50,430.6
32,0,D431,aucell_delta_score,-0.0182,cell-mean,-0.053,0.0348,,37362,600,600,50,430.6
32,0,D484,pearson_delta,0.2124,cell-mean,0.2006,0.0118,,37362,600,600,50,404.4
32,0,D484,e_distance,5.5353,cell-mean,5.5462,0.0109,,37362,600,600,50,404.4
32,0,D484,aucell_delta_score,-0.0232,donor-shift,-0.0232,0.0,,37362,600,600,50,404.4
64,0,D353,pearson_delta,0.2483,cell-mean,0.2467,0.0017,,73368,583,600,50,405.7
64,0,D353,e_distance,6.4852,donor-shift,6.4723,-0.0129,,73368,583,600,50,405.7
64,0,D353,aucell_delta_score,-0.0197,cell-mean,-0.0197,0.0,,73368,583,600,50,405.7
64,0,D411,pearson_delta,0.1487,cell-mean,0.1511,-0.0023,,73368,600,600,50,609.3
64,0,D411,e_distance,5.0174,donor-shift,4.8344,-0.1831,,73368,600,600,50,609.3
64,0,D411,aucell_delta_score,-0.0223,cell-mean,-0.0223,0.0,,73368,600,600,50,609.3
64,0,D431,pearson_delta,0.2495,cell-mean,0.2463,0.0033,,73368,600,600,50,529.2
64,0,D431,e_distance,5.473,cell-mean,5.4743,0.0013,,73368,600,600,50,529.2
64,0,D431,aucell_delta_score,-0.0182,cell-mean,-0.0182,0.0,,73368,600,600,50,529.2
64,0,D484,pearson_delta,0.2027,cell-mean,0.2087,-0.006,,73368,600,600,50,468.7
64,0,D484,e_distance,5.4491,cell-mean,5.4238,-0.0252,,73368,600,600,50,468.7
64,0,D484,aucell_delta_score,-0.0232,cell-mean,-0.0232,0.0,,73368,600,600,50,468.7
96,0,D353,pearson_delta,0.2684,cell-mean,0.2691,-0.0007,,110147,583,600,74,496.0
96,0,D353,e_distance,6.5376,donor-shift,6.4852,-0.0524,,110147,583,600,74,496.0
96,0,D353,aucell_delta_score,-0.0197,donor-shift,-0.0333,0.0136,,110147,583,600,74,496.0
96,0,D411,pearson_delta,0.1699,cell-mean,0.1822,-0.0123,,110147,600,600,74,444.3
96,0,D411,e_distance,4.9943,donor-shift,4.8529,-0.1414,,110147,600,600,74,444.3
96,0,D411,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,110147,600,600,74,444.3
96,0,D431,pearson_delta,0.2563,cell-mean,0.2502,0.0061,,110147,600,600,74,480.3
96,0,D431,e_distance,5.5153,cell-mean,5.5356,0.0203,,110147,600,600,74,480.3
96,0,D431,aucell_delta_score,-0.0255,donor-shift,-0.065,0.0395,,110147,600,600,74,480.3
96,0,D484,pearson_delta,0.2397,cell-mean,0.2507,-0.0111,,110147,600,600,74,459.3
96,0,D484,e_distance,5.4832,cell-mean,5.4851,0.0019,,110147,600,600,74,459.3
96,0,D484,aucell_delta_score,-0.0232,donor-shift,-0.0232,0.0,,110147,600,600,74,459.3
