n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
32,1,D364,pearson_delta,0.2572,cell-mean,0.2547,0.0025,0.03038,36865,484,600,50
32,1,D364,e_distance,0.526,donor-shift,5.282,4.756,0.03038,36865,484,600,50
32,1,D364,aucell_delta_score,-0.0219,donor-shift,-0.0157,-0.0062,0.03038,36865,484,600,50
32,1,D397,pearson_delta,0.4727,cell-mean,0.2714,0.2013,0.03038,36865,600,600,50
32,1,D397,e_distance,0.3999,cell-mean,5.0974,4.6975,0.03038,36865,600,600,50
32,1,D397,aucell_delta_score,-0.0161,donor-shift,-0.0351,0.019,0.03038,36865,600,600,50
32,1,D411,pearson_delta,0.3125,cell-mean,0.1891,0.1233,0.03038,36865,600,600,50
32,1,D411,e_distance,0.5664,donor-shift,4.8598,4.2935,0.03038,36865,600,600,50
32,1,D411,aucell_delta_score,-0.012,donor-shift,-0.0276,0.0156,0.03038,36865,600,600,50
32,1,D424,pearson_delta,0.3584,donor-shift,0.2051,0.1533,0.03038,36865,300,600,50
32,1,D424,e_distance,0.6042,donor-shift,5.1847,4.5805,0.03038,36865,300,600,50
32,1,D424,aucell_delta_score,-0.0159,donor-shift,-0.0196,0.0037,0.03038,36865,300,600,50
32,1,D429,pearson_delta,0.4027,cell-mean,0.1354,0.2672,0.03038,36865,600,600,50
32,1,D429,e_distance,0.5675,donor-shift,5.5182,4.9507,0.03038,36865,600,600,50
32,1,D429,aucell_delta_score,-0.0177,donor-shift,-0.0415,0.0237,0.03038,36865,600,600,50
32,1,D431,pearson_delta,0.3879,cell-mean,0.2482,0.1398,0.03038,36865,600,600,50
32,1,D431,e_distance,0.544,cell-mean,5.5517,5.0078,0.03038,36865,600,600,50
32,1,D431,aucell_delta_score,-0.02,donor-shift,-0.0562,0.0362,0.03038,36865,600,600,50
32,1,D454,pearson_delta,0.3894,cell-mean,0.5497,-0.1603,0.03038,36865,300,300,50
32,1,D454,e_distance,0.3908,donor-shift,5.6869,5.2961,0.03038,36865,300,300,50
32,1,D454,aucell_delta_score,-0.0097,donor-shift,-0.0223,0.0126,0.03038,36865,300,300,50
32,1,D483,pearson_delta,0.4302,cell-mean,0.2517,0.1785,0.03038,36865,600,600,50
32,1,D483,e_distance,0.3439,cell-mean,5.1041,4.7602,0.03038,36865,600,600,50
32,1,D483,aucell_delta_score,-0.0192,donor-shift,-0.099,0.0799,0.03038,36865,600,600,50
32,1,D484,pearson_delta,0.4709,cell-mean,0.21,0.2609,0.03038,36865,600,600,50
32,1,D484,e_distance,0.4895,cell-mean,5.4242,4.9347,0.03038,36865,600,600,50
32,1,D484,aucell_delta_score,-0.018,donor-shift,-0.0232,0.0053,0.03038,36865,600,600,50
64,1,D353,pearson_delta,0.4901,cell-mean,0.2584,0.2317,0.03094,73321,583,600,50
64,1,D353,e_distance,0.5626,donor-shift,6.3919,5.8293,0.03094,73321,583,600,50
64,1,D353,aucell_delta_score,-0.0087,cell-mean,-0.0197,0.011,0.03094,73321,583,600,50
64,1,D364,pearson_delta,0.2208,cell-mean,0.2361,-0.0153,0.03094,73321,484,600,50
64,1,D364,e_distance,0.6045,donor-shift,5.2533,4.6488,0.03094,73321,484,600,50
64,1,D364,aucell_delta_score,-0.014,cell-mean,-0.0157,0.0017,0.03094,73321,484,600,50
64,1,D397,pearson_delta,0.4472,cell-mean,0.274,0.1732,0.03094,73321,600,600,50
64,1,D397,e_distance,0.4182,cell-mean,5.0626,4.6444,0.03094,73321,600,600,50
64,1,D397,aucell_delta_score,-0.0114,cell-mean,-0.0244,0.013,0.03094,73321,600,600,50
64,1,D411,pearson_delta,0.3065,cell-mean,0.1882,0.1184,0.03094,73321,600,600,50
64,1,D411,e_distance,0.6059,donor-shift,4.7709,4.165,0.03094,73321,600,600,50
64,1,D411,aucell_delta_score,-0.0114,cell-mean,-0.0223,0.0109,0.03094,73321,600,600,50
64,1,D424,pearson_delta,0.3429,donor-shift,0.2306,0.1123,0.03094,73321,300,600,50
64,1,D424,e_distance,0.7166,donor-shift,5.2236,4.507,0.03094,73321,300,600,50
64,1,D424,aucell_delta_score,-0.0124,cell-mean,-0.0196,0.0072,0.03094,73321,300,600,50
64,1,D429,pearson_delta,0.3421,cell-mean,0.1559,0.1862,0.03094,73321,600,600,50
64,1,D429,e_distance,0.6992,donor-shift,5.4546,4.7554,0.03094,73321,600,600,50
64,1,D429,aucell_delta_score,-0.0102,cell-mean,-0.0175,0.0073,0.03094,73321,600,600,50
64,1,D431,pearson_delta,0.345,cell-mean,0.2524,0.0926,0.03094,73321,600,600,50
64,1,D431,e_distance,0.6795,cell-mean,5.5311,4.8516,0.03094,73321,600,600,50
64,1,D431,aucell_delta_score,-0.0126,cell-mean,-0.0182,0.0056,0.03094,73321,600,600,50
64,1,D454,pearson_delta,0.3335,cell-mean,0.548,-0.2145,0.03094,73321,300,300,50
64,1,D454,e_distance,0.4422,donor-shift,5.7334,5.2912,0.03094,73321,300,300,50
64,1,D454,aucell_delta_score,-0.0047,cell-mean,-0.0223,0.0176,0.03094,73321,300,300,50
64,1,D483,pearson_delta,0.4648,cell-mean,0.2677,0.1971,0.03094,73321,600,600,50
64,1,D483,e_distance,0.374,cell-mean,5.0862,4.7122,0.03094,73321,600,600,50
64,1,D483,aucell_delta_score,-0.0103,cell-mean,-0.0208,0.0106,0.03094,73321,600,600,50
64,1,D484,pearson_delta,0.4921,cell-mean,0.229,0.2631,0.03094,73321,600,600,50
64,1,D484,e_distance,0.4739,cell-mean,5.386,4.9121,0.03094,73321,600,600,50
64,1,D484,aucell_delta_score,-0.011,donor-shift,-0.0193,0.0083,0.03094,73321,600,600,50
96,1,D353,pearson_delta,0.4376,cell-mean,0.2691,0.1685,0.03095,110147,583,600,74
96,1,D353,e_distance,0.6647,donor-shift,6.4551,5.7905,0.03095,110147,583,600,74
96,1,D353,aucell_delta_score,-0.0174,donor-shift,-0.0333,0.0159,0.03095,110147,583,600,74
96,1,D364,pearson_delta,0.264,cell-mean,0.2365,0.0274,0.03095,110147,484,600,74
96,1,D364,e_distance,0.6409,donor-shift,5.3014,4.6605,0.03095,110147,484,600,74
96,1,D364,aucell_delta_score,-0.0225,donor-shift,-0.0157,-0.0068,0.03095,110147,484,600,74
96,1,D397,pearson_delta,0.388,cell-mean,0.2951,0.0929,0.03095,110147,600,600,74
96,1,D397,e_distance,0.4577,cell-mean,5.1438,4.6861,0.03095,110147,600,600,74
96,1,D397,aucell_delta_score,-0.0203,donor-shift,-0.0244,0.0041,0.03095,110147,600,600,74
96,1,D411,pearson_delta,0.3031,cell-mean,0.1822,0.1208,0.03095,110147,600,600,74
96,1,D411,e_distance,0.5484,donor-shift,4.8124,4.2639,0.03095,110147,600,600,74
96,1,D411,aucell_delta_score,-0.0138,donor-shift,-0.0223,0.0085,0.03095,110147,600,600,74
96,1,D424,pearson_delta,0.2412,donor-shift,0.269,-0.0279,0.03095,110147,300,600,74
96,1,D424,e_distance,0.7989,donor-shift,5.2728,4.4739,0.03095,110147,300,600,74
96,1,D424,aucell_delta_score,-0.0137,donor-shift,-0.0196,0.006,0.03095,110147,300,600,74
96,1,D429,pearson_delta,0.3352,cell-mean,0.141,0.1942,0.03095,110147,600,600,74
96,1,D429,e_distance,0.6205,donor-shift,5.5106,4.8901,0.03095,110147,600,600,74
96,1,D429,aucell_delta_score,-0.0187,donor-shift,-0.0355,0.0167,0.03095,110147,600,600,74
96,1,D431,pearson_delta,0.3913,cell-mean,0.2502,0.1411,0.03095,110147,600,600,74
96,1,D431,e_distance,0.5653,cell-mean,5.4991,4.9338,0.03095,110147,600,600,74
96,1,D431,aucell_delta_score,-0.0198,donor-shift,-0.065,0.0451,0.03095,110147,600,600,74
96,1,D454,pearson_delta,0.4082,cell-mean,0.5605,-0.1523,0.03095,110147,300,300,74
96,1,D454,e_distance,0.322,donor-shift,5.7057,5.3837,0.03095,110147,300,300,74
96,1,D454,aucell_delta_score,-0.0163,donor-shift,-0.0223,0.006,0.03095,110147,300,300,74
96,1,D483,pearson_delta,0.4462,cell-mean,0.2728,0.1733,0.03095,110147,600,600,74
96,1,D483,e_distance,0.3457,cell-mean,5.1181,4.7724,0.03095,110147,600,600,74
96,1,D483,aucell_delta_score,-0.0182,cell-mean,-0.0887,0.0705,0.03095,110147,600,600,74
96,1,D484,pearson_delta,0.4321,cell-mean,0.2507,0.1814,0.03095,110147,600,600,74
96,1,D484,e_distance,0.5081,cell-mean,5.4487,4.9406,0.03095,110147,600,600,74
96,1,D484,aucell_delta_score,-0.0183,donor-shift,-0.0232,0.0049,0.03095,110147,600,600,74
