marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac,sem,ci_lo,ci_hi,straddles_zero,effect_sd_units,z_vs_zero
CD58,CD58 (LFA-3),25,62,-0.1341567039489746,-0.1471209973096847,0.1262971311807632,0.0129642933607101,0.9032258064516128,0.0160397516997166,-0.1785583329620944,-0.1156836616572749,False,1.1648799615180274,-9.172273989271524
CD59,CD59,25,62,-0.0170421600341796,-0.0107400184497237,0.1115012168884277,0.0063021415844559,0.4838709677419355,0.0141606687055061,-0.038494419109519,0.0170143822100716,True,0.0963219841848951,-0.7584400619123057
CD61,CD61,25,62,-0.1972899436950683,-0.2511150538921356,0.2313570231199264,0.0538251101970672,0.8387096774193549,0.0293823713186166,-0.3087034434570069,-0.1935266643272643,False,1.0854006094380262,-8.546452945172236
HLA_A,HLA-A (class I),25,62,-0.0478444099426269,-0.0541564524173736,0.2392942756414413,0.0063120424747467,0.6451612903225806,0.0303904033968816,-0.1137205485509053,0.0054076437161581,True,0.2263173754249001,-1.782024796121351
HLA_E,HLA-E (class I),25,62,0.2067910432815551,0.1516581773757934,0.2244158834218979,0.0551328659057617,0.7419354838709677,0.0285008456954409,0.0957975462837956,0.2075188084677911,False,0.6757907464628015,5.321181658832418
CD9,CD9,25,62,-0.0918545722961425,-0.0987069532275199,0.0967494696378707,0.0068523809313774,0.8709677419354839,0.0122871949312106,-0.1227894127637159,-0.0746244936913239,False,1.0202324994335987,-8.033318733862906
CD279,PD-1 (CD279),25,62,-0.4300311803817749,-0.393881618976593,0.2201419174671173,0.0361495614051818,0.9838709677419356,0.0279580514763893,-0.448678392948233,-0.339084845004953,False,1.789216808450064,-14.088307238050088
CD117,CD117,50,124,-0.2805254459381103,-0.3014231324195862,0.2357938587665558,0.0208976864814758,0.9032258064516128,0.0211749136099129,-0.3429252004707626,-0.2599210643684097,False,1.2783332610795672,-14.2349167497182
CD119,IFNGR1 (CD119),50,124,-0.0929393768310546,-0.0786328837275505,0.1495223641395568,0.0143064931035041,0.7016129032258065,0.0134275046855212,-0.104950309313415,-0.052315458141686,False,0.5258937964233795,-5.856105476718957
CD140a,CD140a,50,124,-0.0699936151504516,-0.0654181987047195,0.2026320099830627,0.0045754164457321,0.6290322580645161,0.0181968916766502,-0.1010834510215306,-0.0297529463879083,False,0.3228423717959842,-3.5950205049944017
CD140b,CD140b,50,124,-0.2625113725662231,-0.2235273867845535,0.2172742486000061,0.0389839857816696,0.8870967741935484,0.0195118035212223,-0.2617698189595711,-0.1852849546095359,False,1.028779932388855,-11.45600848949869
CD172a,CD172a,50,124,-0.2807846069335937,-0.287013828754425,0.1910019218921661,0.0062292218208312,0.935483870967742,0.0171524789345684,-0.3206320697117611,-0.2533955877970888,False,1.5026750825913904,-16.733081547530002
CD184,CD184,50,124,-0.2627780437469482,-0.2654391229152679,0.194603219628334,0.0026610791683197,0.8870967741935484,0.0174758850183648,-0.2996912281492261,-0.2311870176813096,False,1.3640017026553874,-15.188880141768276
CD202b,CD202b,50,124,-0.2292400598526001,-0.2354975193738937,0.2173002213239669,0.0062574595212936,0.8870967741935484,0.019514135940688,-0.2737445230070609,-0.1972505157407264,False,1.0837426576883094,-12.068047495911328
CD274,PD-L1 (CD274),50,124,-0.0178303718566894,-0.0226419065147638,0.2587077021598816,0.0048115346580743,0.4596774193548387,0.0232326374915392,-0.0681770392640556,0.022893226234528,True,0.0875192594798398,-0.9745732279862516
CD29,CD29 (ITGB1),50,124,-0.0111379623413085,-0.0090038236230611,0.0634209364652633,0.0021341387182474,0.5967741935483871,0.0056953682243322,-0.0201665402214461,0.0021588929753239,True,0.1419692632257589,-1.580902808811231
CD309,CD309,50,124,0.1668120622634887,0.1639915406703949,0.2463256120681762,0.0028205215930938,0.782258064516129,0.0221206929762174,0.1206357791239405,0.2073473022168493,False,0.6657510735221741,7.413490203345181
CD44,CD44,50,124,0.0293397903442382,0.0277380477637052,0.0315658599138259,0.001601742580533,0.8548387096774194,0.0028346979017787,0.0221821419691675,0.0332939535582428,False,0.8787356922773357,9.785186543617035
CD47,CD47,50,124,-0.0164599418640136,0.0001692964142421,0.0685352832078933,0.0166292376816272,0.5483870967741935,0.0061546501200221,-0.0118935961584463,0.0122321889869305,True,0.0024702081368593,0.0275070736663567
CD49f,CD49f,50,124,0.0194063186645507,0.0001874931331258,0.1777155697345733,0.0192188248038291,0.5241935483870968,0.0159593292885192,-0.031092217489787,0.0314672037560386,True,0.0010550180460036,0.0117481837573636
CD58,CD58 (LFA-3),50,124,-0.1473336219787597,-0.1276531815528869,0.1379263401031494,0.0196804404258728,0.8145161290322581,0.0123861509858369,-0.1519295913922025,-0.1033767717135712,False,0.9255170655396234,-10.306121869405066
CD59,CD59,50,124,-0.0160746574401855,-0.0142428837716579,0.1068128645420074,0.0018317736685276,0.5241935483870968,0.0095920783982061,-0.0330430119690265,0.0045572444257107,True,0.1333442730211252,-1.4848589826289955
CD61,CD61,50,124,-0.2103670835494995,-0.206645131111145,0.2826291024684906,0.0037219524383544,0.8225806451612904,0.0253808426552047,-0.2563906686126243,-0.1568995936096656,False,0.7311530529103357,-8.141775823537081
HLA_A,HLA-A (class I),50,124,-0.0524029731750488,-0.0419817045331001,0.1873720586299896,0.0104212686419487,0.6532258064516129,0.0168265075908089,-0.0749610533966754,-0.0090023556695247,False,0.2240553092070301,-2.494974331811527
HLA_E,HLA-E (class I),50,124,0.1876813173294067,0.1926265507936477,0.2145358175039291,0.004945233464241,0.8225806451612904,0.0192658851491771,0.1548661097709754,0.2303869918163199,False,0.897875949269496,9.998323425169753
CD9,CD9,50,124,-0.0929961204528808,-0.0960900634527206,0.1151000261306762,0.0030939429998397,0.8548387096774194,0.0103362874782448,-0.1163488146439329,-0.0758313122615082,False,0.8348396319530539,-9.296380702932687
CD279,PD-1 (CD279),50,124,-0.4365401268005371,-0.4112377464771271,0.2165659219026565,0.02530238032341,0.9919354838709676,0.0194481939060167,-0.4493555060972713,-0.3731199868569828,False,1.8989033125071864,-21.145292383674786
