axis,dataset,timepoint,split,donor,model,family,pearson_delta,e_distance,aucell::T_cell_activation_n_genes,aucell::T_cell_activation_mae,aucell::IL2_STAT5_n_genes,aucell::IL2_STAT5_mae,aucell::type_I_IFN_n_genes,aucell::type_I_IFN_mae,aucell::type_II_IFN_n_genes,aucell::type_II_IFN_mae,aucell_delta_mae,aucell_delta_score,n_test,n_strata,n_response_genes,leak_free,source_file
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D351,D351,ctrl-pred,simple,-0.0279,6.0028,4,0.0124,3,0.0215,3,0.027,5,0.0181,0.0198,-0.0198,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D351,D351,donor-shift,simple,-0.0342,6.0228,4,0.0124,3,0.0215,3,0.027,5,0.0181,0.0198,-0.0198,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D351,D351,linear-PCA,simple,0.0291,6.0218,4,0.0124,3,0.0215,3,0.027,5,0.0181,0.0198,-0.0198,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D351,D351,scGen,latent,0.115642335797812,6.0492,4,0.0124,3,0.0215,3,0.027,5,0.0181,0.0198,-0.0198,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D352,D352,cell-mean,simple,0.2925,6.2767,4,0.0203,3,0.0247,3,0.0931,5,0.0201,0.0395,-0.0395,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D352,D352,ctrl-pred,simple,-0.1109,6.3116,4,0.0203,3,0.0247,3,0.0931,5,0.0201,0.0395,-0.0395,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D352,D352,donor-shift,simple,0.0215,6.3134,4,0.0203,3,0.0247,3,0.0931,5,0.0201,0.0395,-0.0395,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D352,D352,linear-PCA,simple,0.0245,6.313,4,0.0203,3,0.0247,3,0.0931,5,0.0201,0.0395,-0.0395,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D352,D352,scGen,latent,0.1731713121233399,6.3122,4,0.0203,3,0.0247,3,0.0931,5,0.0201,0.0395,-0.0395,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D353,D353,cell-mean,simple,0.2891,6.5331,4,0.0137,3,0.0162,3,0.2519,5,0.0202,0.0755,-0.0755,583,2,84,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D353,D353,ctrl-pred,simple,-0.0498,6.4803,4,0.0137,3,0.0162,3,0.0288,5,0.1166,0.0438,-0.0438,583,2,84,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D353,D353,donor-shift,simple,0.0038,6.4823,4,0.0137,3,0.0162,3,0.0288,5,0.085,0.0359,-0.0359,583,2,84,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D353,D353,linear-PCA,simple,0.0561,6.4827,4,0.0137,3,0.0162,3,0.0288,5,0.1061,0.0412,-0.0412,583,2,84,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D353,D353,scGen,latent,0.2033574736662074,6.5378,4,0.0137,3,0.0162,3,0.0288,5,0.0202,0.0197,-0.0197,583,2,84,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D354,D354,cell-mean,simple,0.2695,5.6687,4,0.0237,3,0.0186,3,0.2285,5,0.016,0.0717,-0.0717,600,2,79,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D354,D354,ctrl-pred,simple,-0.0417,5.637,4,0.0237,3,0.0186,3,0.0171,5,0.016,0.0188,-0.0188,600,2,79,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D354,D354,donor-shift,simple,-0.0838,5.6581,4,0.0237,3,0.0186,3,0.0171,5,0.016,0.0188,-0.0188,600,2,79,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D354,D354,linear-PCA,simple,-0.0712,5.6574,4,0.0237,3,0.0186,3,0.0171,5,0.016,0.0188,-0.0188,600,2,79,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D354,D354,scGen,latent,0.0652856427649923,5.9152,4,0.0237,3,0.0186,3,0.0171,5,0.016,0.0188,-0.0188,600,2,79,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D355,D355,cell-mean,simple,0.491,6.0154,4,0.0246,3,0.0199,3,0.2428,5,0.0216,0.0772,-0.0772,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D355,D355,ctrl-pred,simple,-0.0372,6.604,4,0.0149,3,0.0199,3,0.0056,5,0.0521,0.0231,-0.0231,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D355,D355,donor-shift,simple,0.0327,6.5784,4,0.0149,3,0.0199,3,0.0056,5,0.0416,0.0205,-0.0205,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D355,D355,linear-PCA,simple,0.0612,6.58,4,0.0149,3,0.0199,3,0.0323,5,0.0521,0.0298,-0.0298,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D355,D355,scGen,latent,0.0598219496980261,6.9155,4,0.0149,3,0.0199,3,0.0204,5,0.0216,0.0192,-0.0192,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D356,D356,cell-mean,simple,0.2225,5.5912,4,0.0148,3,0.0216,3,0.161,5,0.0119,0.0523,-0.0523,541,2,73,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D356,D356,ctrl-pred,simple,0.031,5.4714,4,0.0247,3,0.0216,3,0.0319,5,0.0119,0.0225,-0.0225,541,2,73,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D356,D356,donor-shift,simple,0.0345,5.4619,4,0.0148,3,0.0216,3,0.0319,5,0.0119,0.02,-0.02,541,2,73,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D356,D356,linear-PCA,simple,0.0483,5.4611,4,0.0148,3,0.0216,3,0.0319,5,0.0119,0.02,-0.02,541,2,73,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D356,D356,scGen,latent,0.0921011341874021,5.5823,4,0.0148,3,0.0216,3,0.0319,5,0.0119,0.02,-0.02,541,2,73,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D357,D357,cell-mean,simple,0.2985,5.6492,4,0.0199,3,0.0137,3,0.2197,5,0.0183,0.0679,-0.0679,460,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D357,D357,ctrl-pred,simple,-0.0245,5.3506,4,0.0199,3,0.0137,3,0.0259,5,0.0183,0.0194,-0.0194,460,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D357,D357,donor-shift,simple,-0.0494,5.3525,4,0.0199,3,0.0137,3,0.0259,5,0.0183,0.0194,-0.0194,460,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D357,D357,linear-PCA,simple,-0.0733,5.3521,4,0.0199,3,0.0137,3,0.0259,5,0.0183,0.0194,-0.0194,460,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D357,D357,scGen,latent,0.1606351765846689,5.3658,4,0.0199,3,0.0137,3,0.0259,5,0.0183,0.0194,-0.0194,460,2,76,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D358,D358,cell-mean,simple,0.3657,5.5661,4,0.0051,3,0.0247,3,0.1988,5,0.0149,0.0609,-0.0609,538,2,74,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D358,D358,ctrl-pred,simple,0.0084,5.3881,4,0.0166,3,0.0455,3,0.0293,5,0.0149,0.0266,-0.0266,538,2,74,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D358,D358,donor-shift,simple,0.0098,5.3772,4,0.0166,3,0.0279,3,0.0293,5,0.0149,0.0222,-0.0222,538,2,74,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D358,D358,linear-PCA,simple,-0.0008,5.3777,4,0.0166,3,0.063,3,0.0293,5,0.0149,0.031,-0.031,538,2,74,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D358,D358,scGen,latent,0.1735344234850881,5.3856,4,0.0166,3,0.0247,3,0.0293,5,0.0149,0.0214,-0.0214,538,2,74,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D359,D359,cell-mean,simple,0.3758,6.2063,4,0.0178,3,0.0187,3,0.2234,5,0.0221,0.0705,-0.0705,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D359,D359,ctrl-pred,simple,0.1923,6.1436,4,0.0178,3,0.0187,3,0.0223,5,0.0221,0.0202,-0.0202,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D359,D359,donor-shift,simple,0.0414,6.1265,4,0.0178,3,0.0187,3,0.0223,5,0.0221,0.0202,-0.0202,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D359,D359,linear-PCA,simple,0.0316,6.1262,4,0.0178,3,0.0187,3,0.0223,5,0.0221,0.0202,-0.0202,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D359,D359,scGen,latent,0.1365995823440355,6.1747,4,0.0178,3,0.0187,3,0.0223,5,0.0221,0.0202,-0.0202,600,2,81,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D363,D363,cell-mean,simple,0.2361,5.0986,4,0.021,3,0.019,3,0.2463,5,0.0201,0.0766,-0.0766,572,2,81,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D363,D363,ctrl-pred,simple,-0.0266,5.0354,4,0.021,3,0.019,3,0.0169,5,0.0201,0.0192,-0.0192,572,2,81,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D363,D363,donor-shift,simple,-0.0031,5.0372,4,0.021,3,0.019,3,0.0169,5,0.0201,0.0192,-0.0192,572,2,81,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D363,D363,linear-PCA,simple,-0.0477,5.0369,4,0.021,3,0.019,3,0.0169,5,0.0201,0.0192,-0.0192,572,2,81,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D363,D363,scGen,latent,0.0998167519881801,5.0626,4,0.021,3,0.019,3,0.0169,5,0.0201,0.0192,-0.0192,572,2,81,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D364,D364,cell-mean,simple,0.2336,5.347,4,0.0165,3,0.0159,3,0.2641,5,0.0136,0.0775,-0.0775,484,2,71,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D364,D364,ctrl-pred,simple,0.0345,5.3142,4,0.0165,3,0.0159,3,0.0166,5,0.0136,0.0157,-0.0157,484,2,71,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D364,D364,donor-shift,simple,0.0739,5.2853,4,0.0165,3,0.0159,3,0.0166,5,0.0136,0.0157,-0.0157,484,2,71,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D364,D364,linear-PCA,simple,0.06,5.2845,4,0.0165,3,0.0159,3,0.0166,5,0.0136,0.0157,-0.0157,484,2,71,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D364,D364,scGen,latent,0.060107695349575,5.3592,4,0.0165,3,0.0159,3,0.0166,5,0.0136,0.0157,-0.0157,484,2,71,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D365,D365,cell-mean,simple,0.2975,5.5341,4,0.0103,3,0.0123,3,0.2286,5,0.0131,0.0661,-0.0661,549,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D365,D365,ctrl-pred,simple,0.0056,5.5499,4,0.0103,3,0.0228,3,0.017,5,0.05,0.025,-0.025,549,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D365,D365,donor-shift,simple,-0.0542,5.5508,4,0.0161,3,0.0123,3,0.017,5,0.0711,0.0291,-0.0291,549,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D365,D365,linear-PCA,simple,-0.0519,5.5492,4,0.0161,3,0.0123,3,0.017,5,0.0711,0.0291,-0.0291,549,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D365,D365,scGen,latent,0.1629501466536044,5.5607,4,0.0161,3,0.0123,3,0.017,5,0.0131,0.0146,-0.0146,549,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D366,D366,cell-mean,simple,0.1424,6.0664,4,0.0663,3,0.0124,3,0.2416,5,0.0236,0.086,-0.086,534,2,72,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D366,D366,ctrl-pred,simple,-0.055,6.0773,4,0.0126,3,0.0124,3,0.0215,5,0.0236,0.0175,-0.0175,534,2,72,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D366,D366,donor-shift,simple,0.1066,6.0359,4,0.0126,3,0.0124,3,0.0215,5,0.0236,0.0175,-0.0175,534,2,72,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D366,D366,linear-PCA,simple,0.1443,6.0336,4,0.0126,3,0.0124,3,0.0215,5,0.0236,0.0175,-0.0175,534,2,72,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D366,D366,scGen,latent,0.0763380531989011,6.0162,4,0.0126,3,0.0124,3,0.0215,5,0.0236,0.0175,-0.0175,534,2,72,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D367,D367,cell-mean,simple,0.3213,5.2315,4,0.0183,3,0.0211,3,0.2673,5,0.0208,0.0819,-0.0819,508,2,79,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D367,D367,ctrl-pred,simple,-0.0315,5.0697,4,0.0183,3,0.0211,3,0.0134,5,0.0208,0.0184,-0.0184,508,2,79,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D367,D367,donor-shift,simple,-0.0429,5.0778,4,0.0183,3,0.0211,3,0.0134,5,0.0208,0.0184,-0.0184,508,2,79,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D367,D367,linear-PCA,simple,-0.0927,5.0767,4,0.0183,3,0.0211,3,0.0134,5,0.0208,0.0184,-0.0184,508,2,79,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D367,D367,scGen,latent,0.1208288203489323,5.1109,4,0.0183,3,0.1543,3,0.0134,5,0.0208,0.0517,-0.0517,508,2,79,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D368,D368,cell-mean,simple,0.2184,5.5068,4,0.0197,3,0.0115,3,0.1012,5,0.0179,0.0376,-0.0376,534,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D368,D368,ctrl-pred,simple,0.0673,5.4689,4,0.0197,3,0.0115,3,0.1012,5,0.0179,0.0376,-0.0376,534,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D368,D368,donor-shift,simple,0.0239,5.4691,4,0.0197,3,0.0115,3,0.1012,5,0.0179,0.0376,-0.0376,534,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D368,D368,linear-PCA,simple,0.0195,5.4698,4,0.0197,3,0.0115,3,0.1012,5,0.0179,0.0376,-0.0376,534,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D368,D368,scGen,latent,0.1044471439482548,5.542,4,0.0197,3,0.0115,3,0.1012,5,0.0179,0.0376,-0.0376,534,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D369,D369,cell-mean,simple,0.2662,6.4851,4,0.0121,3,0.0191,3,0.1375,5,0.0161,0.0462,-0.0462,533,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D369,D369,ctrl-pred,simple,-0.0741,6.3914,4,0.0142,3,0.0191,3,0.2778,5,0.0161,0.0818,-0.0818,533,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D369,D369,donor-shift,simple,0.0168,6.3856,4,0.0142,3,0.0191,3,0.2778,5,0.0161,0.0818,-0.0818,533,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D369,D369,linear-PCA,simple,0.0216,6.3849,4,0.0142,3,0.0191,3,0.2954,5,0.0161,0.0862,-0.0862,533,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D369,D369,scGen,latent,0.0931773746312357,6.4124,4,0.0142,3,0.0191,3,0.2954,5,0.0056,0.0836,-0.0836,533,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D370,D370,cell-mean,simple,0.2213,5.6003,4,0.0088,3,0.0215,3,0.1209,5,0.0266,0.0445,-0.0445,600,2,77,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D370,D370,ctrl-pred,simple,-0.0072,5.5891,4,0.0175,3,0.0215,3,0.037,5,0.0266,0.0257,-0.0257,600,2,77,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D370,D370,donor-shift,simple,-0.0226,5.5992,4,0.0746,3,0.0215,3,0.037,5,0.0266,0.0399,-0.0399,600,2,77,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D370,D370,linear-PCA,simple,-0.0165,5.5984,4,0.0175,3,0.0215,3,0.037,5,0.0161,0.023,-0.023,600,2,77,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D370,D370,scGen,latent,0.0607056293611404,5.6818,4,0.0175,3,0.0215,3,0.037,5,0.0266,0.0257,-0.0257,600,2,77,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D371,D371,cell-mean,simple,0.1672,6.6769,4,0.0179,3,0.0253,3,0.1846,5,0.0146,0.0606,-0.0606,419,2,75,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D371,D371,ctrl-pred,simple,0.0174,6.6221,4,0.0179,3,0.0253,3,0.0434,5,0.1118,0.0496,-0.0496,419,2,75,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D371,D371,donor-shift,simple,0.0284,6.6294,4,0.0179,3,0.0253,3,0.0434,5,0.1328,0.0549,-0.0549,419,2,75,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D371,D371,linear-PCA,simple,0.0389,6.6285,4,0.0179,3,0.0253,3,0.0434,5,0.1118,0.0496,-0.0496,419,2,75,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D371,D371,scGen,latent,0.0916811259019756,6.7782,4,0.0179,3,0.0799,3,0.0434,5,0.0146,0.039,-0.039,419,2,75,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D372,D372,cell-mean,simple,0.1752,5.7694,4,0.0158,3,0.0111,3,0.2321,5,0.0132,0.068,-0.068,496,2,77,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D372,D372,ctrl-pred,simple,-0.0148,5.7716,4,0.0158,3,0.0111,3,0.0311,5,0.0132,0.0178,-0.0178,496,2,77,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D372,D372,donor-shift,simple,0.0186,5.7668,4,0.0158,3,0.0111,3,0.0311,5,0.0132,0.0178,-0.0178,496,2,77,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D372,D372,linear-PCA,simple,0.0581,5.7649,4,0.0158,3,0.0111,3,0.0311,5,0.0132,0.0178,-0.0178,496,2,77,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D372,D372,scGen,latent,0.0843887035959173,5.9174,4,0.0158,3,0.0111,3,0.1619,5,0.0132,0.0505,-0.0505,496,2,77,True,results/C2/soskic_donor_shard1of4.csv
