baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::type_i_ifn,cluster,dataset,modality
ctrl-pred,simple,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.0040335492813028,-0.0180590976015082,0.0292582514579407,0.0040335492813028,26.09258149478487,24.987368944367223,27.274542256917176,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.711854912340641,0.6814970282837749,0.7412348251789809,0.711854912340641,19.82279060566729,18.576539879418164,20.97099432537073,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.8214832991361618,0.7704714015126228,0.8575799614191055,0.8214832991361618,12.015966040564038,11.20426981066866,12.83930436438737,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.8222806081175804,0.7711633129045368,0.8583293568342923,0.8222806081175804,12.015969000631385,11.204272669877136,12.839307201849415,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.0133177924435585,-0.0039589327905559,0.0334099519532173,0.0133177924435585,17.568305917888132,16.466747720641177,18.72685881791955,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.5344624295830727,0.4494883678853512,0.6265149731189013,0.5344624295830727,15.297619254758414,13.867324962292482,16.49271053567437,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.6030845455825329,0.5293822064064443,0.6820024634711443,0.6030845455825329,14.033028244198974,12.998994979226008,14.981387113188758,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.6024060249328613,0.5287816148251295,0.6814612444490193,0.6024060249328613,14.033025854909706,12.998992877438726,14.981384970110312,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_Mono_CD14,C1_LOCT,run_headline,True,0,True,True,6052,635,8,-0.019322328036651,-0.021585292374948,-0.0173211343993898,-0.019322328036651,34.48253265643909,33.30262433711092,35.68068578559013,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_Mono_CD14,C1_LOCT,run_headline,True,0,True,True,6052,635,8,0.4558531008660793,0.4324189524166286,0.4803394224494696,0.4558531008660793,35.98181017195074,34.59665245478966,37.05936721533482,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_Mono_CD14,C1_LOCT,run_headline,True,0,True,True,6052,635,8,0.8190202116966248,0.812835730612278,0.824810010008514,0.8190202116966248,18.790426985347736,17.747540386868,19.7988074131089,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_Mono_CD14,C1_LOCT,run_headline,True,0,True,True,6052,635,8,0.8190374076366425,0.8129179941490292,0.8248468523845076,0.8190374076366425,18.790428158780596,17.747541754848303,19.798808418444985,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_Mono_FCGR3A,C1_LOCT,run_headline,True,0,True,True,6291,515,8,0.0054149944335222,-0.0144712554523721,0.0289210737682878,0.0054149944335222,27.79312847876849,26.936680915068784,28.74039766670272,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_Mono_FCGR3A,C1_LOCT,run_headline,True,0,True,True,6291,515,8,0.5287328287959099,0.510588685888797,0.547013381589204,0.5287328287959099,24.805488635350784,23.913973443226404,25.792338323622065,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_Mono_FCGR3A,C1_LOCT,run_headline,True,0,True,True,6291,515,8,0.8807111009955406,0.8710268136113882,0.8912896733731032,0.8807111009955406,11.607443254914749,10.857682410071948,12.4199567888148,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_Mono_FCGR3A,C1_LOCT,run_headline,True,0,True,True,6291,515,8,0.8812669292092323,0.8716990185901523,0.891819116845727,0.8812669292092323,11.607445322933357,10.8576843097885,12.419958977185384,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_loct_NK,C1_LOCT,run_headline,True,0,True,True,6237,549,8,-0.0004017789906356,-0.0133179894131899,0.0141270072679617,-0.0004017789906356,16.95790291453359,16.145459236876015,17.75376583358209,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_loct_NK,C1_LOCT,run_headline,True,0,True,True,6237,549,8,0.5815767049789429,0.5620388500392437,0.6024407729506492,0.5815767049789429,19.14201708119727,18.661269762964302,19.63917066000524,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_loct_NK,C1_LOCT,run_headline,True,0,True,True,6237,549,8,0.7831702008843422,0.7510517159476876,0.8083634573966264,0.7831702008843422,9.742431091578956,9.440562102751944,10.115819117311649,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_loct_NK,C1_LOCT,run_headline,True,0,True,True,6237,549,8,0.7828952372074127,0.750634734518826,0.8081757264211773,0.7828952372074127,9.742431063149482,9.440562277821758,10.115819321766104,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_101,C1_LOCT,run_headline,True,0,True,True,6295,523,8,0.00843779623392038,-0.010963731435913358,0.024692755279829726,0.00843779623392038,27.9795415011736,22.51790425086261,34.162630326904214,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_101,C1_LOCT,run_headline,True,0,True,True,6295,523,8,0.6732544451951981,0.6217283068224788,0.7214705772697926,0.6732544451951981,20.150431164509527,17.311039319825856,23.64382550116672,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_101,C1_LOCT,run_headline,True,0,True,True,6295,523,8,0.666316032409668,0.605225357785821,0.7253030166029929,0.666316032409668,20.09212203520034,17.404093911453742,23.45513087771443,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_101,C1_LOCT,run_headline,True,0,True,True,6295,523,8,0.6659144312143326,0.6045599762350321,0.7250918429344891,0.6659144312143326,20.092120914181848,17.40408935482597,23.455133617198754,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1015,C1_LOCT,run_headline,True,0,True,True,6254,530,8,-0.017618864236283116,-0.04235779921873472,0.011005187171394933,-0.017618864236283116,27.96544403148033,22.47305315875494,34.18829629529495,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1015,C1_LOCT,run_headline,True,0,True,True,6254,530,8,0.7089361250400543,0.6592980425804854,0.7558826107531785,0.7089361250400543,19.11025343116787,15.950593614088975,22.576084900312395,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1015,C1_LOCT,run_headline,True,0,True,True,6254,530,8,0.7071663588285446,0.6518754797056318,0.7574876174330711,0.7071663588285446,19.125853293200535,16.19442154596985,22.322632451178276,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1015,C1_LOCT,run_headline,True,0,True,True,6254,530,8,0.706970252096653,0.6515974249690771,0.7572206854820251,0.706970252096653,19.125853286703222,16.194422080529968,22.322632377369008,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1016,C1_LOCT,run_headline,True,0,True,True,6302,505,8,-0.0378071692539379,-0.051032695919275284,-0.0243305111071095,-0.0378071692539379,26.128709589078667,21.092736230937422,31.555637367487464,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1016,C1_LOCT,run_headline,True,0,True,True,6302,505,8,0.6250491999089718,0.547663327679038,0.704429916292429,0.6250491999089718,19.785450580938633,18.17243126107653,21.518842099642164,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1016,C1_LOCT,run_headline,True,0,True,True,6302,505,8,0.6286021880805492,0.5537623840384186,0.6946653529070317,0.6286021880805492,19.735171224642897,17.86205866051351,21.79341321364076,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1016,C1_LOCT,run_headline,True,0,True,True,6302,505,8,0.628358282148838,0.5531491352245212,0.6946561869233846,0.628358282148838,19.735168805072608,17.862052737781006,21.793414576775458,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1039,C1_LOCT,run_headline,True,0,True,True,6742,315,8,0.004367632907815278,-0.01526447142532561,0.025071084094815888,0.004367632907815278,28.523373729550592,23.276640041190575,34.286855309216236,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1039,C1_LOCT,run_headline,True,0,True,True,6742,315,8,0.6485127992928028,0.5961771314963699,0.691515308432281,0.6485127992928028,20.677611374054166,17.801839001504202,23.983112417471038,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1039,C1_LOCT,run_headline,True,0,True,True,6742,315,8,0.623202919960022,0.5567576140165329,0.6898217028006911,0.623202919960022,21.046062712435585,18.78227980163547,23.66314680877764,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1039,C1_LOCT,run_headline,True,0,True,True,6742,315,8,0.6231609284877777,0.5565589144825935,0.6898114610463381,0.6231609284877777,21.046063052096216,18.782283132832074,23.663144777394137,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_107,C1_LOCT,run_headline,True,0,True,True,6674,330,8,0.004224001080729067,-0.017452603089623153,0.026244018893339636,0.004224001080729067,29.331120517073145,24.05903122728659,35.28777686127888,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_107,C1_LOCT,run_headline,True,0,True,True,6674,330,8,0.6332962960004807,0.5463437959551811,0.704449594207108,0.6332962960004807,21.22487845363404,18.7871473547958,24.420695834125294,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_107,C1_LOCT,run_headline,True,0,True,True,6674,330,8,0.6180873177945614,0.5143661757931114,0.7112230904400348,0.6180873177945614,21.471959583614908,19.592409144789542,23.96513414381561,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_107,C1_LOCT,run_headline,True,0,True,True,6674,330,8,0.6180177330970764,0.514154699165374,0.711258955579251,0.6180177330970764,21.47195924686782,19.592407562004556,23.965134332408667,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1244,C1_LOCT,run_headline,True,0,True,True,6386,433,8,0.014184749335981905,-0.013578184181824327,0.04041496152058244,0.014184749335981905,29.279655271092995,22.905140317489224,36.417222529064645,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1244,C1_LOCT,run_headline,True,0,True,True,6386,433,8,0.6583342663943768,0.585586460866034,0.7285752961412072,0.6583342663943768,21.178799804265296,18.403894883082984,24.317814488240515,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1244,C1_LOCT,run_headline,True,0,True,True,6386,433,8,0.6599810048937798,0.5877848105505109,0.7259163850918412,0.6599810048937798,21.030288246900092,17.930059748542146,24.624775416248436,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1244,C1_LOCT,run_headline,True,0,True,True,6386,433,8,0.6599909514188766,0.587470181658864,0.7262040197849273,0.6599909514188766,21.03028789857425,17.930058834123447,24.62477640513893,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1256,C1_LOCT,run_headline,True,0,True,True,6276,529,8,-0.029022505274042487,-0.04487103527935687,-0.012897422933019707,-0.029022505274042487,27.427310158709094,22.62026914001057,33.182621339473364,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1256,C1_LOCT,run_headline,True,0,True,True,6276,529,8,0.6491790525615215,0.5780558712780476,0.7168674621731043,0.6491790525615215,20.101951013491536,17.979205693331885,22.786123487697306,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1256,C1_LOCT,run_headline,True,0,True,True,6276,529,8,0.6523088067770004,0.5860437080264091,0.7136127857491373,0.6523088067770004,20.02058642265557,17.719582028440563,23.002533812456363,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1256,C1_LOCT,run_headline,True,0,True,True,6276,529,8,0.6523660011589527,0.5860524495132268,0.7136977164074778,0.6523660011589527,20.02058598518502,17.71958034777221,23.002535025561194,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_lodo_1488,C1_LOCT,run_headline,True,0,True,True,6269,526,8,0.04281143838306889,0.01572605840920005,0.06697514094412327,0.04281143838306889,28.50809242323139,23.014940862999904,34.435003061741114,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_lodo_1488,C1_LOCT,run_headline,True,0,True,True,6269,526,8,0.6827076300978661,0.6240912601351738,0.7362761491909623,0.6827076300978661,20.207639982832895,17.678869133726728,23.309459914766745,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_lodo_1488,C1_LOCT,run_headline,True,0,True,True,6269,526,8,0.6794200241565704,0.6200600147247315,0.7346076423302292,0.6794200241565704,20.174163772506326,17.50205111444747,23.330012866208712,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_lodo_1488,C1_LOCT,run_headline,True,0,True,True,6269,526,8,0.6791699752211571,0.6197239397093653,0.734401549398899,0.6791699752211571,20.174163978501376,17.502052898401963,23.33001187560103,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f101,C1_LOCT,run_headline,True,0,True,True,6339,523,8,-0.016060354188084602,-0.026775902647932524,-0.005649061319127216,-0.016060354188084602,27.66054561133033,22.01468078375366,33.95290281612633,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f101,C1_LOCT,run_headline,True,0,True,True,6339,523,8,0.673910990357399,0.6117938760668039,0.7365379646420479,0.673910990357399,19.987122534870853,17.47356394161811,23.046822691717303,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f101,C1_LOCT,run_headline,True,0,True,True,6339,523,8,0.6694268733263016,0.6127167258411647,0.7235217763110995,0.6694268733263016,19.983690392143572,17.12601359210811,23.3880191157038,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f101,C1_LOCT,run_headline,True,0,True,True,6339,523,8,0.6693549156188965,0.6124366968870163,0.7236754097044468,0.6693549156188965,19.9836909363181,17.12601557044461,23.388017706569816,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1015,C1_LOCT,run_headline,True,0,True,True,6332,530,8,-0.013586105458671227,-0.027219529853027776,0.0002332132549781621,-0.013586105458671227,27.678208298901474,22.52628773092707,33.214352954182424,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1015,C1_LOCT,run_headline,True,0,True,True,6332,530,8,0.6934188157320023,0.6409729612991214,0.7442959578707814,0.6934188157320023,19.431010145022874,17.084777746746354,21.9139747814185,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1015,C1_LOCT,run_headline,True,0,True,True,6332,530,8,0.6857721582055092,0.631861704401672,0.7393226325511932,0.6857721582055092,19.47830549057452,17.124988239289195,21.891249491497174,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1015,C1_LOCT,run_headline,True,0,True,True,6332,530,8,0.6856715753674507,0.6314850321039558,0.7393138483166695,0.6856715753674507,19.478305896125413,17.124989483607795,21.891247914798342,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1016,C1_LOCT,run_headline,True,0,True,True,6357,505,8,0.004513703985139728,-0.019954330957261842,0.029273768357234043,0.004513703985139728,27.836815545872497,21.950613928805964,34.53234911815889,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1016,C1_LOCT,run_headline,True,0,True,True,6357,505,8,0.6902070567011833,0.6402063859626651,0.7403180653229355,0.6902070567011833,19.76977914427612,16.80911087598281,23.160221843149674,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1016,C1_LOCT,run_headline,True,0,True,True,6357,505,8,0.6822982057929039,0.6287158628925682,0.7361291164532303,0.6822982057929039,19.79554012175683,16.90760628931551,23.26332437664733,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1016,C1_LOCT,run_headline,True,0,True,True,6357,505,8,0.6819057315587997,0.6278964010998607,0.7359111752361058,0.6819057315587997,19.795540080446877,16.907608741138937,23.263322600283427,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1039,C1_LOCT,run_headline,True,0,True,True,6547,315,8,-0.0008029668824747205,-0.03482210679794661,0.029628667575889226,-0.0008029668824747205,27.891425258198026,23.074732945383047,33.33613172971643,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1039,C1_LOCT,run_headline,True,0,True,True,6547,315,8,0.6722619384527206,0.6204245772212744,0.7239673167467117,0.6722619384527206,19.919012776947145,17.413319723420898,22.926717747625357,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1039,C1_LOCT,run_headline,True,0,True,True,6547,315,8,0.662303127348423,0.5966861721128226,0.7276167115196585,0.662303127348423,20.029911052425923,17.881697821727478,22.69445721303703,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1039,C1_LOCT,run_headline,True,0,True,True,6547,315,8,0.6622025370597839,0.5964404869824648,0.7275741931051015,0.6622025370597839,20.0299108827756,17.881696159083383,22.694458984825687,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f107,C1_LOCT,run_headline,True,0,True,True,6532,330,8,-0.014563115473720245,-0.03176727371464949,0.0041059227387449755,-0.014563115473720245,27.71757301654487,22.160209071551986,33.95794512374608,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f107,C1_LOCT,run_headline,True,0,True,True,6532,330,8,0.6619734764099121,0.5910255610942841,0.7243885368108749,0.6619734764099121,20.257062167247085,17.682124438480805,23.680962883117104,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f107,C1_LOCT,run_headline,True,0,True,True,6532,330,8,0.6499746665358543,0.5684302045032382,0.7224508747458458,0.6499746665358543,20.382311726054887,18.06497815888755,23.596478693301467,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f107,C1_LOCT,run_headline,True,0,True,True,6532,330,8,0.6496926136314869,0.5678175903856755,0.7224105671048164,0.6496926136314869,20.3823123114556,18.06497912747617,23.596477491511628,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1244,C1_LOCT,run_headline,True,0,True,True,6429,433,8,-0.012097597384126857,-0.0373288253613282,0.011941279673919752,-0.012097597384126857,28.264495167569503,23.009951370111473,33.99594812849943,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1244,C1_LOCT,run_headline,True,0,True,True,6429,433,8,0.6864447668194771,0.628180268406868,0.7443649273365736,0.6864447668194771,19.826477667056835,17.64050482836583,22.371839967578495,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1244,C1_LOCT,run_headline,True,0,True,True,6429,433,8,0.6807050406932831,0.6283384324982763,0.7316727126017213,0.6807050406932831,19.82146667472175,17.395072576635982,22.66502748052652,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1244,C1_LOCT,run_headline,True,0,True,True,6429,433,8,0.6806975603103638,0.6282114241272211,0.7318053264170885,0.6806975603103638,19.82146636815896,17.395072906826766,22.665025695734194,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1256,C1_LOCT,run_headline,True,0,True,True,6333,529,8,0.004368998081190512,-0.016940582723327678,0.02632037350849714,0.004368998081190512,27.697878686896434,22.551278666962737,33.397176854688354,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1256,C1_LOCT,run_headline,True,0,True,True,6333,529,8,0.6741686165332794,0.6089609889313579,0.7343170419335365,0.6741686165332794,20.037183091527183,17.89926927700512,22.645893548392962,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1256,C1_LOCT,run_headline,True,0,True,True,6333,529,8,0.6682901754975319,0.6010143568739295,0.7292916137725114,0.6682901754975319,20.036600232382074,17.858662728282095,22.675403332749667,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1256,C1_LOCT,run_headline,True,0,True,True,6333,529,8,0.6681281104683876,0.6007088504731655,0.7291827920824289,0.6681281104683876,20.03660014996011,17.858663955333935,22.67540435824941,0.0,0.0,C1,kang_GSE96583,
ctrl-pred,simple,C1_randsplit_f1488,C1_LOCT,run_headline,True,0,True,True,6336,526,8,0.02344377286499366,0.007770092602004299,0.038881107376073476,0.02344377286499366,27.33541754760993,21.855494783806932,33.568008764839625,0.0,0.0,C1,kang_GSE96583,
cell-mean,simple,C1_randsplit_f1488,C1_LOCT,run_headline,True,0,True,True,6336,526,8,0.6709695160388947,0.5939148813486099,0.7401653407141565,0.6709695160388947,19.59287227800624,17.11585142470124,22.689087360836574,0.0,0.0,C1,kang_GSE96583,
donor-shift,simple,C1_randsplit_f1488,C1_LOCT,run_headline,True,0,True,True,6336,526,8,0.6661291867494583,0.5951209975406527,0.7306706653907895,0.6661291867494583,19.58754563851538,17.016542751563655,22.779262489374478,0.0,0.0,C1,kang_GSE96583,
linear-PCA,simple,C1_randsplit_f1488,C1_LOCT,run_headline,True,0,True,True,6336,526,8,0.6659439206123352,0.5946744147688151,0.7306738747283816,0.6659439206123352,19.58754565806771,17.01654321422406,22.77926228196651,0.0,0.0,C1,kang_GSE96583,
scGen,latent,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,0.8080371990799904,0.7989499196410179,0.817706081084907,0.8080371990799904,8.705651560594436,8.387080267859647,8.997616385047776,0.0,0.0,C1,kang_GSE96583,
CPA,latent,C1_loct_B,C1_LOCT,run_headline,True,0,True,True,6191,573,8,0.7911520674824715,0.7792815724387765,0.8017777567729354,0.7911520674824715,11.36305251277387,11.101248491722592,11.641485470873622,0.0,0.0,C1,kang_GSE96583,
scGen,latent,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,0.7983376756310463,0.7734369875863195,0.8224747702479362,0.7983376756310463,8.629567957609453,8.309400850805252,8.953464558930161,0.0,0.0,C1,kang_GSE96583,
CPA,latent,C1_loct_CD4T,C1_LOCT,run_headline,True,0,True,True,6040,638,8,0.755993977189064,0.7224264819175005,0.7892726559191942,0.755993977189064,13.198438657448792,12.361770807355906,13.962110876081251,0.0,0.0,C1,kang_GSE96583,
scGen,latent,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.7450239211320877,0.6953513721004129,0.78653120752424,0.7450239211320877,8.684874971004879,8.383544025419102,9.028270035367582,0.0,0.0,C1,kang_GSE96583,
CPA,latent,C1_loct_CD8T,C1_LOCT,run_headline,True,0,True,True,6399,439,8,0.7455816864967346,0.6889389835298062,0.7918550552800298,0.7455816864967346,12.072309900880224,11.277143087197963,12.930813530846532,0.0,0.0,C1,kang_GSE96583,
scGen,latent,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.7495337277650833,0.7183492830023169,0.7752083539962769,0.7495337277650833,14.729913239886372,13.899009225498483,15.668254141111332,0.0,0.0,C1,kang_GSE96583,
CPA,latent,C1_loct_DC,C1_LOCT,run_headline,True,0,True,True,6882,229,8,0.7527188062667847,0.7162732524797321,0.7803094172850251,0.7527188062667847,14.570409561916051,13.737409986925185,15.437581963309412,0.0,0.0,C1,kang_GSE96583,
scGen,latent,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.5431860387325287,0.4613723631948233,0.6256663693115114,0.5431860387325287,12.545287807927174,11.78027914290544,13.384076029492215,0.0,0.0,C1,kang_GSE96583,
CPA,latent,C1_loct_Mk,C1_LOCT,run_headline,True,0,True,True,7106,113,8,0.5538482256233692,0.4735722914338112,0.636145894601941,0.5538482256233692,13.781815566634972,12.7795539717451,14.641066224043126,0.0,0.0,C1,kang_GSE96583,
