cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::type_i_ifn,ran
C1,kang_GSE96583,,C1_randsplit_f101,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.016060354188084602,-0.016060354188084602,27.66054561133033,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f101,donor-shift,simple,run_headline,True,C1_LOCT,0.6694268733263016,0.6694268733263016,19.983690392143572,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f101,linear-PCA,simple,run_headline,True,C1_LOCT,0.6693549156188965,0.6693549156188965,19.9836909363181,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f101,scGen,latent,run_headline,True,C1_LOCT,0.6706278249621391,0.6706278249621391,20.129219589617776,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,CPA,latent,run_headline,True,C1_LOCT,0.6603648141026497,0.6603648141026497,20.01883191436142,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,cell-mean,simple,run_headline,True,C1_LOCT,0.6934188157320023,0.6934188157320023,19.431010145022874,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.013586105458671227,-0.013586105458671227,27.678208298901474,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,donor-shift,simple,run_headline,True,C1_LOCT,0.6857721582055092,0.6857721582055092,19.47830549057452,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,linear-PCA,simple,run_headline,True,C1_LOCT,0.6856715753674507,0.6856715753674507,19.478305896125413,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1015,scGen,latent,run_headline,True,C1_LOCT,0.6772355884313583,0.6772355884313583,19.98907130100694,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,CPA,latent,run_headline,True,C1_LOCT,0.6673351004719734,0.6673351004719734,20.079388362702296,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,cell-mean,simple,run_headline,True,C1_LOCT,0.6902070567011833,0.6902070567011833,19.76977914427612,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,ctrl-pred,simple,run_headline,True,C1_LOCT,0.004513703985139728,0.004513703985139728,27.836815545872497,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,donor-shift,simple,run_headline,True,C1_LOCT,0.6822982057929039,0.6822982057929039,19.79554012175683,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,linear-PCA,simple,run_headline,True,C1_LOCT,0.6819057315587997,0.6819057315587997,19.795540080446877,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1016,scGen,latent,run_headline,True,C1_LOCT,0.6899859756231308,0.6899859756231308,19.905077952034468,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,CPA,latent,run_headline,True,C1_LOCT,0.655431941151619,0.655431941151619,20.126605467873716,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,cell-mean,simple,run_headline,True,C1_LOCT,0.6722619384527206,0.6722619384527206,19.919012776947145,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.0008029668824747205,-0.0008029668824747205,27.891425258198026,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,donor-shift,simple,run_headline,True,C1_LOCT,0.662303127348423,0.662303127348423,20.029911052425923,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,linear-PCA,simple,run_headline,True,C1_LOCT,0.6622025370597839,0.6622025370597839,20.0299108827756,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1039,scGen,latent,run_headline,True,C1_LOCT,0.6490096561610699,0.6490096561610699,20.438732896930784,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,CPA,latent,run_headline,True,C1_LOCT,0.6541953831911087,0.6541953831911087,20.256597259952372,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,cell-mean,simple,run_headline,True,C1_LOCT,0.6619734764099121,0.6619734764099121,20.257062167247085,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.014563115473720245,-0.014563115473720245,27.71757301654487,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,donor-shift,simple,run_headline,True,C1_LOCT,0.6499746665358543,0.6499746665358543,20.382311726054887,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,linear-PCA,simple,run_headline,True,C1_LOCT,0.6496926136314869,0.6496926136314869,20.3823123114556,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f107,scGen,latent,run_headline,True,C1_LOCT,0.6549385562539101,0.6549385562539101,20.3339146523614,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,CPA,latent,run_headline,True,C1_LOCT,0.6777332723140717,0.6777332723140717,19.869089753256347,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,cell-mean,simple,run_headline,True,C1_LOCT,0.6864447668194771,0.6864447668194771,19.826477667056835,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.012097597384126857,-0.012097597384126857,28.264495167569503,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,donor-shift,simple,run_headline,True,C1_LOCT,0.6807050406932831,0.6807050406932831,19.82146667472175,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,linear-PCA,simple,run_headline,True,C1_LOCT,0.6806975603103638,0.6806975603103638,19.82146636815896,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1244,scGen,latent,run_headline,True,C1_LOCT,0.6819717139005661,0.6819717139005661,20.15145979245312,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,CPA,latent,run_headline,True,C1_LOCT,0.6602723747491837,0.6602723747491837,20.1443352165069,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,cell-mean,simple,run_headline,True,C1_LOCT,0.6741686165332794,0.6741686165332794,20.037183091527183,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,ctrl-pred,simple,run_headline,True,C1_LOCT,0.004368998081190512,0.004368998081190512,27.697878686896434,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,donor-shift,simple,run_headline,True,C1_LOCT,0.6682901754975319,0.6682901754975319,20.036600232382074,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,linear-PCA,simple,run_headline,True,C1_LOCT,0.6681281104683876,0.6681281104683876,20.03660014996011,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1256,scGen,latent,run_headline,True,C1_LOCT,0.6687371656298637,0.6687371656298637,20.021336198511257,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,CPA,latent,run_headline,True,C1_LOCT,0.6534112691879272,0.6534112691879272,19.837685319579947,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,cell-mean,simple,run_headline,True,C1_LOCT,0.6709695160388947,0.6709695160388947,19.59287227800624,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,ctrl-pred,simple,run_headline,True,C1_LOCT,0.02344377286499366,0.02344377286499366,27.33541754760993,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,donor-shift,simple,run_headline,True,C1_LOCT,0.6661291867494583,0.6661291867494583,19.58754563851538,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,linear-PCA,simple,run_headline,True,C1_LOCT,0.6659439206123352,0.6659439206123352,19.58754565806771,0.0,0.0,True
C1,kang_GSE96583,,C1_randsplit_f1488,scGen,latent,run_headline,True,C1_LOCT,0.666243240237236,0.666243240237236,19.744142029123303,0.0,0.0,True
