wave,model,task,sec,hours,source,note
1 admission sweep,SCREEN,T2 (chunk 1),14998.0,4.166,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 2),7234.0,2.009,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 2),13500.0,3.75,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 3),14085.0,3.913,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 3),13631.0,3.786,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 4),14380.0,3.994,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 4),13624.0,3.784,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 5),26393.0,7.331,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 5),13939.0,3.872,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 6),7071.0,1.964,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 6),13612.0,3.781,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 7),7155.0,1.988,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 7),13639.0,3.789,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T5c,2730.0,0.758,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T5u,1122.0,0.312,raw/admission/sweep.log,rc=0
1 admission sweep,STATE,T1,1640.0,0.456,raw/admission/sweep.log,rc=0
1 admission sweep,STATE,T4p,248.0,0.069,raw/admission/sweep.log,rc=0
1 admission sweep,STATE,T4p,254.0,0.071,raw/admission/sweep.log,rc=0
1 admission sweep,chemCPA,T5c,9961.0,2.767,raw/admission/sweep.log,rc=0
1 admission sweep,linear-shift-KOemb,T4p,3.0,0.001,raw/admission/sweep.log,rc=0
1 admission sweep,scFoundation,T4p,293.0,0.081,raw/admission/sweep.log,rc=0
1 admission sweep,scFoundation,T4p,302.0,0.084,raw/admission/sweep.log,rc=0
1 admission sweep,scFoundation,T5u,484.0,0.134,raw/admission/sweep.log,rc=0
1 admission sweep,scGPT,T4p,57.0,0.016,raw/admission/sweep.log,rc=0
1 admission sweep,scGPT,T4p,60.0,0.017,raw/admission/sweep.log,rc=0
1 admission sweep,scGPT,T5u,1199.0,0.333,raw/admission/sweep.log,rc=0
1 admission sweep,scGen,T4p,92.0,0.026,raw/admission/sweep.log,rc=0
1 admission sweep,scGen,T4p,100.0,0.028,raw/admission/sweep.log,rc=0
1 admission sweep,scPRAM,T1,284.0,0.079,raw/admission/sweep.log,rc=0
1 admission sweep,scPRAM,T4p,102.0,0.028,raw/admission/sweep.log,rc=0
1 admission sweep,scPRAM,T4p,85.0,0.024,raw/admission/sweep.log,rc=0
1 admission sweep,scPRAM,T5c,926.0,0.257,raw/admission/sweep.log,rc=0
1 admission sweep,scPRAM,T5u,286.0,0.079,raw/admission/sweep.log,rc=0
10 conditioned head,scFoundation,T5 conditioned head,14.0,0.004,outputs/fcond/scFoundation/runner_T5c_B_seed1.log,head-selection seconds recorded in the log; encoder passes not separately timed
10 conditioned head,scFoundation,T5 conditioned head,61.0,0.017,outputs/fcond/scFoundation/runner_T5c_cond.log,head-selection seconds recorded in the log; encoder passes not separately timed
10 conditioned head,scFoundation,T5 conditioned head,15.0,0.004,outputs/fcond/scFoundation/runner_T5u.log,head-selection seconds recorded in the log; encoder passes not separately timed
10 conditioned head,scFoundation,T5 conditioned head,0.0,0.0,outputs/fcond/scFoundation/runner_smoke.log,head-selection seconds recorded in the log; encoder passes not separately timed
10 conditioned head,scFoundation,T5 conditioned head,0.0,0.0,outputs/fcond/scFoundation/runner_smoke_t5u.log,head-selection seconds recorded in the log; encoder passes not separately timed
2 foundation,CellOT,R1-1 Cano-Gamez LODO,6077.0,1.688,raw/foundation/cano_gamez_lodo.log,"8 units, per-unit seconds summed"
2 foundation,CellOT,R1-1 Kang LODO,11963.0,3.323,raw/foundation/kang_lodo.log,"16 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1808.0,0.502,raw/foundation/c2_scf_0.log,"10 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1910.0,0.531,raw/foundation/c2_scf_1.log,"11 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1645.0,0.457,raw/foundation/c2_scf_2.log,"9 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1846.0,0.513,raw/foundation/c2_scf_3.log,"10 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1646.0,0.457,raw/foundation/c2_scf_4.log,"9 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1840.0,0.511,raw/foundation/c2_scf_5.log,"10 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1656.0,0.46,raw/foundation/c2_scf_6.log,"9 units, per-unit seconds summed"
2 foundation,scFoundation,T2,1814.0,0.504,raw/foundation/c2_scf_7.log,"10 units, per-unit seconds summed"
2 foundation,scFoundation,T4,535.0,0.149,raw/foundation/c4_scf.log,"2 units, per-unit seconds summed"
2 foundation,scGPT,T2,7129.0,1.98,raw/foundation/c2_scgpt_0.log,"14 units, per-unit seconds summed"
2 foundation,scGPT,T2,6727.0,1.869,raw/foundation/c2_scgpt_1.log,"14 units, per-unit seconds summed"
2 foundation,scGPT,T2,6409.0,1.78,raw/foundation/c2_scgpt_2.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T2,6335.0,1.76,raw/foundation/c2_scgpt_3.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T2,6650.0,1.847,raw/foundation/c2_scgpt_4.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T2,6344.0,1.762,raw/foundation/c2_scgpt_5.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T2,6437.0,1.788,raw/foundation/c2_scgpt_6.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T2,6337.0,1.76,raw/foundation/c2_scgpt_7.log,"13 units, per-unit seconds summed"
2 foundation,scGPT,T4,1983.0,0.551,raw/foundation/c4_scgpt.log,"2 units, per-unit seconds summed"
2 foundation,scGPT,T5c,3734.0,1.037,raw/foundation/c5_scgpt.log,"4 units, per-unit seconds summed"
3 obligation wave 1,Biolord,T5c,4907.0,1.363,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,Biolord,T5u,1125.0,0.312,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,CellFlow,T5c,6504.0,1.807,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,CellFlow,T5u,1416.0,0.393,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,CellOT,T5c,4244.0,1.179,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,PRnet,T5c,994.0,0.276,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,PRnet,T5u,468.0,0.13,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,SCREEN,T1,4246.0,1.179,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,STATE,T1,1901.0,0.528,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,chemCPA,T5c,11907.0,3.308,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,scFoundation,T5u,244.0,0.068,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,scGPT,T5u,234.0,0.065,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,scPRAM,T1,357.0,0.099,scratchpad/full/PROGRESS.log,rc=0
3 obligation wave 1,scPRAM,T5c,1200.0,0.333,scratchpad/full/PROGRESS.log,rc=0
4 obligation wave 2,Biolord,T2,25361.0,7.045,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,Biolord,T3,2798.0,0.777,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,Biolord,T4,96.0,0.027,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,CellFlow,T1,7939.0,2.205,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,CellFlow,T2,8128.0,2.258,scratchpad/w2/PROGRESS.log,rc=143
4 obligation wave 2,CellFlow,T3,7191.0,1.998,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,CellFlow,T4,2568.0,0.713,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,CellFlow,T4p,2152.0,0.598,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,PerturbNet,T3,12098.0,3.361,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,PerturbNet,T4,1073.0,0.298,scratchpad/w2/PROGRESS.log,rc=0
4 obligation wave 2,SCREEN,T2,13706.0,3.807,scratchpad/w2/PROGRESS.log,rc=143
5 obligation wave 3,CellFlow,T2 (chunk 0/6),16150.0,4.486,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,CellFlow,T2 (chunk 1/6),16370.0,4.547,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,CellFlow,T2 (chunk 2/6),16085.0,4.468,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,CellFlow,T2 (chunk 3/6),18461.0,5.128,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,CellFlow,T2 (chunk 4/6),17570.0,4.881,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,CellFlow,T2 (chunk 5/6),14520.0,4.033,scratchpad/w3/PROGRESS.log,rc=0
5 obligation wave 3,SCREEN,T2 (chunk 0/4),22434.0,6.232,scratchpad/w3/PROGRESS.log,rc=143
5 obligation wave 3,SCREEN,T2 (chunk 1/4),22253.0,6.181,scratchpad/w3/PROGRESS.log,rc=143
5 obligation wave 3,SCREEN,T2 (chunk 2/4),19725.0,5.479,scratchpad/w3/PROGRESS.log,rc=143
5 obligation wave 3,SCREEN,T2 (chunk 3/4),8086.0,2.246,scratchpad/w3/PROGRESS.log,rc=143
6 obligation wave 4,Biolord,T3,1351.0,0.375,scratchpad/w4/PROGRESS.log,rc=0
6 obligation wave 4,CellFlow,T3,5473.0,1.52,scratchpad/w4/PROGRESS.log,rc=0
6 obligation wave 4,PerturbNet,T3,7370.0,2.047,scratchpad/w4/PROGRESS.log,rc=0
7 obligation wave 5,scFoundation,T5u,42.0,0.012,scratchpad/w5/PROGRESS.log,rc=0
7 obligation wave 5,scGPT,T5u,992.0,0.276,scratchpad/w5/PROGRESS.log,rc=0
8 obligation wave 6,PerturbNet,T5c,8722.0,2.423,scratchpad/w6/PROGRESS.log,rc=0
8 obligation wave 6,PerturbNet,T5u,2799.0,0.777,scratchpad/w6/PROGRESS.log,rc=0
9 scGPT donor curve,scGPT,T2 learning curve k=16,447.1,0.124,scgpt_donor_curve_shard0_timing.json,"eval donor D353, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,451.0,0.125,scgpt_donor_curve_shard0_timing.json,"eval donor D411, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,426.9,0.119,scgpt_donor_curve_shard0_timing.json,"eval donor D431, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,440.3,0.122,scgpt_donor_curve_shard0_timing.json,"eval donor D484, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,412.0,0.114,scgpt_donor_curve_shard1_timing.json,"eval donor D364, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,406.1,0.113,scgpt_donor_curve_shard1_timing.json,"eval donor D424, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,411.2,0.114,scgpt_donor_curve_shard1_timing.json,"eval donor D454, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,430.4,0.12,scgpt_donor_curve_shard2_timing.json,"eval donor D397, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,414.2,0.115,scgpt_donor_curve_shard2_timing.json,"eval donor D429, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=16,417.9,0.116,scgpt_donor_curve_shard2_timing.json,"eval donor D483, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,422.6,0.117,scgpt_donor_curve_shard0_timing.json,"eval donor D353, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,429.0,0.119,scgpt_donor_curve_shard0_timing.json,"eval donor D411, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,430.6,0.12,scgpt_donor_curve_shard0_timing.json,"eval donor D431, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,404.4,0.112,scgpt_donor_curve_shard0_timing.json,"eval donor D484, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,408.4,0.113,scgpt_donor_curve_shard1_timing.json,"eval donor D364, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,455.6,0.127,scgpt_donor_curve_shard1_timing.json,"eval donor D424, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,445.1,0.124,scgpt_donor_curve_shard1_timing.json,"eval donor D454, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,403.8,0.112,scgpt_donor_curve_shard2_timing.json,"eval donor D397, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,427.9,0.119,scgpt_donor_curve_shard2_timing.json,"eval donor D429, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=32,425.0,0.118,scgpt_donor_curve_shard2_timing.json,"eval donor D483, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,405.7,0.113,scgpt_donor_curve_shard0_timing.json,"eval donor D353, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,609.3,0.169,scgpt_donor_curve_shard0_timing.json,"eval donor D411, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,529.2,0.147,scgpt_donor_curve_shard0_timing.json,"eval donor D431, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,468.7,0.13,scgpt_donor_curve_shard0_timing.json,"eval donor D484, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,402.8,0.112,scgpt_donor_curve_shard1_timing.json,"eval donor D364, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,396.4,0.11,scgpt_donor_curve_shard1_timing.json,"eval donor D424, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,411.7,0.114,scgpt_donor_curve_shard1_timing.json,"eval donor D454, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,420.3,0.117,scgpt_donor_curve_shard2_timing.json,"eval donor D397, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,418.7,0.116,scgpt_donor_curve_shard2_timing.json,"eval donor D429, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=64,408.9,0.114,scgpt_donor_curve_shard2_timing.json,"eval donor D483, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,255.9,0.071,scgpt_donor_curve_k8_phase1_gpu1_timing.json,"eval donor D364, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,264.7,0.074,scgpt_donor_curve_k8_phase1_gpu1_timing.json,"eval donor D411, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,267.4,0.074,scgpt_donor_curve_k8_phase1_gpu1_timing.json,"eval donor D429, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,263.7,0.073,scgpt_donor_curve_k8_phase1_gpu1_timing.json,"eval donor D454, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,286.3,0.08,scgpt_donor_curve_k8_phase1_gpu1_timing.json,"eval donor D484, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,270.9,0.075,scgpt_donor_curve_shard0_timing.json,"eval donor D353, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,261.3,0.073,scgpt_donor_curve_shard0_timing.json,"eval donor D431, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,261.8,0.073,scgpt_donor_curve_shard1_timing.json,"eval donor D424, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,263.3,0.073,scgpt_donor_curve_shard2_timing.json,"eval donor D397, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=8,247.2,0.069,scgpt_donor_curve_shard2_timing.json,"eval donor D483, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,425.3,0.118,scgpt_donor_curve_k96_costanchor_timing.json,"eval donor D483, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,496.0,0.138,scgpt_donor_curve_shard0_timing.json,"eval donor D353, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,444.3,0.123,scgpt_donor_curve_shard0_timing.json,"eval donor D411, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,480.3,0.133,scgpt_donor_curve_shard0_timing.json,"eval donor D431, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,459.3,0.128,scgpt_donor_curve_shard0_timing.json,"eval donor D484, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,430.0,0.119,scgpt_donor_curve_shard1_timing.json,"eval donor D364, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,587.3,0.163,scgpt_donor_curve_shard1_timing.json,"eval donor D424, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,531.7,0.148,scgpt_donor_curve_shard1_timing.json,"eval donor D454, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,439.9,0.122,scgpt_donor_curve_shard2_timing.json,"eval donor D397, seed 0"
9 scGPT donor curve,scGPT,T2 learning curve k=96,562.2,0.156,scgpt_donor_curve_shard2_timing.json,"eval donor D429, seed 0"
4 native coverage (2026-09-14),AttentionPert,T4,2118.0,0.588,runs/attnpert_T4.status,job attnpert_T4; rc=0
4 native coverage (2026-09-14),CellFlow,T3,6769.0,1.880,runs/cellflow_T3.status,job cellflow_T3; rc=0
4 native coverage (2026-09-14),CellFlow,T4,2026.0,0.563,runs/cellflow_T4.status,job cellflow_T4; rc=0
4 native coverage (2026-09-14),CellOT,T5c,26101.0,7.250,runs/cellot_T5c_b0.status,job cellot_T5c_b0; rc=0
4 native coverage (2026-09-14),CellOT,T5c,30980.0,8.606,runs/cellot_T5c_b2.status,job cellot_T5c_b2; rc=0
4 native coverage (2026-09-14),CellOT,T5c,29959.0,8.322,runs/cellot_T5c_b3.status,job cellot_T5c_b3; rc=0
4 native coverage (2026-09-14),CellOT,T5c,25224.0,7.007,runs/cellot_T5c_u1.status,job cellot_T5c_u1; rc=0
4 native coverage (2026-09-14),chemCPA,T5u,7861.0,2.184,runs/chemcpa_T5u_shim.status,job chemcpa_T5u_shim; rc=0
4 native coverage (2026-09-14),CINEMA-OT,T1,108.0,0.030,runs/cinemaot_T1.status,job cinemaot_T1; rc=0
4 native coverage (2026-09-14),CINEMA-OT,T2,2918.0,0.811,runs/cinemaot_T2.status,job cinemaot_T2; rc=0
4 native coverage (2026-09-14),CPA,T1,698.0,0.194,runs/cpa_T1.status,job cpa_T1; rc=0
4 native coverage (2026-09-14),CPA,T2,20548.0,5.708,runs/cpa_T2.status,job cpa_T2; rc=0
4 native coverage (2026-09-14),CPA,T5c,3710.0,1.031,runs/cpa_T5c.status,job cpa_T5c; rc=0
4 native coverage (2026-09-14),GEARS,T4,1037.0,0.288,runs/gears_T4.status,job gears_T4; rc=0
4 native coverage (2026-09-14),linear-shift-KOemb,T4,49.0,0.014,runs/v2_koemb_C4.status,job v2_koemb_C4; rc=0
4 native coverage (2026-09-14),linear-shift-KOemb,T3,3567.0,0.991,runs/koemb_T3_v3.status,job koemb_T3_v3; rc=0
4 native coverage (2026-09-14),PertAdapt,T3,40262.0,11.184,runs/pa2_T3_u0.status,job pa2_T3_u0; rc=0
4 native coverage (2026-09-14),PertAdapt,T3,40426.0,11.229,runs/pa2_T3_u1.status,job pa2_T3_u1; rc=0
4 native coverage (2026-09-14),PertAdapt,T3,41247.0,11.457,runs/pa2_T3_u2.status,job pa2_T3_u2; rc=0
4 native coverage (2026-09-14),PertAdapt,T3,23960.0,6.656,runs/pa_T3_u3.status,job pa_T3_u3; rc=0
4 native coverage (2026-09-14),PertAdapt,T3,24028.0,6.674,runs/pa_T3_u4.status,job pa_T3_u4; rc=0
4 native coverage (2026-09-14),PertAdapt,T4,25682.0,7.134,runs/pa_T4_u0.status,job pa_T4_u0; rc=0
4 native coverage (2026-09-14),PertAdapt,T4,25828.0,7.174,runs/pa_T4_u1.status,job pa_T4_u1; rc=0
4 native coverage (2026-09-14),PerturbNet,T1,2552.0,0.709,runs/perturbnet_T1.status,job perturbnet_T1; rc=0
4 native coverage (2026-09-14),PerturbNet,T3,9093.0,2.526,runs/perturbnet_T3.status,job perturbnet_T3; rc=0
4 native coverage (2026-09-14),PerturbNet,T4,1049.0,0.291,runs/perturbnet_T4.status,job perturbnet_T4; rc=0
4 native coverage (2026-09-14),PerturbNet,T5u,2907.0,0.807,runs/perturbnet_T5u.status,job perturbnet_T5u; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,23412.0,6.503,runs/pn16_s0.status,job pn16_s0; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,23280.0,6.467,runs/pn16_s1.status,job pn16_s1; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,20240.0,5.622,runs/pn16_s10.status,job pn16_s10; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,20292.0,5.637,runs/pn16_s11.status,job pn16_s11; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,20363.0,5.656,runs/pn16_s12.status,job pn16_s12; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,20537.0,5.705,runs/pn16_s13.status,job pn16_s13; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,19916.0,5.532,runs/pn16_s14.status,job pn16_s14; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,19945.0,5.540,runs/pn16_s15.status,job pn16_s15; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,23979.0,6.661,runs/pn16_s2.status,job pn16_s2; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,24091.0,6.692,runs/pn16_s3.status,job pn16_s3; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,53301.0,14.806,runs/pn16_s4.status,job pn16_s4; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,24789.0,6.886,runs/pn16_s5.status,job pn16_s5; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,24607.0,6.835,runs/pn16_s6.status,job pn16_s6; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,23976.0,6.660,runs/pn16_s7.status,job pn16_s7; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,23977.0,6.660,runs/pn16_s8.status,job pn16_s8; rc=0
4 native coverage (2026-09-14),PerturbNet,T2,24101.0,6.695,runs/pn16_s9.status,job pn16_s9; rc=0
4 native coverage (2026-09-14),scGen,T5c,1080.0,0.300,runs/v2_scgen_C5.status,job v2_scgen_C5; rc=0
4 native coverage (2026-09-14),scGPT,T4,2492.0,0.692,runs/scgpt_T4.status,job scgpt_T4; rc=0
4 native coverage (2026-09-14),scPRAM,T1,284.4,0.079,runs/v2_scpram_T1.status,job v2_scpram_T1; rc=0
4 native coverage (2026-09-14),scPRAM,T5c,1155.0,0.321,runs/v2_scpram_T5c.status,job v2_scpram_T5c; rc=0
4 native coverage (2026-09-14),STATE,T3,6114.0,1.698,runs/v2_state_C3.status,job v2_state_C3; rc=0
4 native coverage (2026-09-14),STATE,T4,508.0,0.141,runs/v2_state_C4.status,job v2_state_C4; rc=0
4 native coverage (2026-09-14),STATE,T5c,2069.0,0.575,runs/state_T5c_split.status,job state_T5c_split; rc=0
4 native coverage (2026-09-14),STATE,T1,2164.0,0.601,runs/state_T1_split.status,job state_T1_split; rc=0
4 native coverage (2026-09-14),STATE,T2,4262.0,1.184,runs/state_T2c_0.status,job state_T2c_0; rc=0
4 native coverage (2026-09-14),STATE,T2,5370.0,1.492,runs/state_T2c_1.status,job state_T2c_1; rc=0
4 native coverage (2026-09-14),STATE,T2,5724.0,1.590,runs/state_T2c_2.status,job state_T2c_2; rc=0
4 native coverage (2026-09-14),STATE,T2,6077.0,1.688,runs/state_T2c_3.status,job state_T2c_3; rc=0
4 native coverage (2026-09-14),STATE,T2,6575.0,1.826,runs/state_T2c_4.status,job state_T2c_4; rc=0
4 native coverage (2026-09-14),STATE,T2,6218.0,1.727,runs/state_T2c_5.status,job state_T2c_5; rc=0
4 native coverage (2026-09-14),STATE,T2,6360.0,1.767,runs/state_T2c_6.status,job state_T2c_6; rc=0
4 native coverage (2026-09-14),STATE,T2,6132.0,1.703,runs/state_T2c_7.status,job state_T2c_7; rc=0
4 native coverage (2026-09-14),chemCPA,T5c,9109.0,2.530,runs/v2_chemcpa_T5c.status,job v2_chemcpa_T5c; rc=0
4 native coverage (2026-09-14),PerturbNet,T5c,10343.0,2.873,runs/v2_perturbnet_T5c.status,job v2_perturbnet_T5c; rc=0
4 native coverage (2026-09-14),linear-shift-KOemb,T4,326.4,0.091,runs/koemb_T3.status,job koemb_T3; rc=0
4 native coverage (2026-09-14),linear-shift-KOemb,T3,3359.0,0.933,runs/koemb_T3_v2.status,job koemb_T3_v2; rc=0
4 native coverage (2026-09-14),scGen,T5c,1453.3,0.404,runs/scgen_T5c.status,job scgen_T5c; rc=0
4 native coverage (2026-09-14),scPRAM,T1,379.9,0.106,runs/scpram_T1.status,job scpram_T1; rc=0
4 native coverage (2026-09-14),scPRAM,T5c,1360.0,0.378,runs/scpram_T5c.status,job scpram_T5c; rc=0
4 native coverage (2026-09-14),STATE,T3,1998.3,0.555,runs/state_C3.status,job state_C3; rc=0
4 native coverage (2026-09-14),STATE,T4,493.6,0.137,runs/state_C4.status,job state_C4; rc=0
