baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::type_I_IFN,aucell::inflammatory_NFkB,aucell::effector_lymphocyte,cluster,dataset,modality
STATE,hybrid,C5_global_compound_holdout,C5_unseen_cpd,run_adapted,False,0,True,True,51181,12333,112,-0.0031887858874272623,-0.032896900610662014,0.027195693534447066,-0.0031887858874272623,19.985654852010928,19.122446427606977,20.900830895413527,-0.10378076018463539,-0.31134228055390617,0.0,0.0,C5,op3_GSE279945,
CINEMA-OT,ot,C5_global_compound_holdout,C5_unseen_cpd,run_adapted,False,0,True,True,51181,12333,112,0.17181999296423914,0.13388848526810762,0.2103515883724217,0.17181999296423914,19.598538962451673,18.581563074649598,20.696042407030166,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
CPA,latent,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.10657506291766929,0.09104426094039912,0.12317155004250493,0.10657506291766929,13.297404705792486,12.976702664291768,13.79500511654038,0.24364831315896585,0.7309449394768975,0.0,0.0,C5,op3_GSE279945,
scGen,latent,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.1257371012714249,0.10248790602593977,0.15326685045475505,0.1257371012714249,9.268766244912499,8.72656884742756,9.97430052125365,0.33719243409503874,0.8050052849167514,0.20657201736836484,0.0,C5,op3_GSE279945,
STATE,hybrid,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.10728319332536958,0.09085797722235071,0.12499153325383729,0.10728319332536958,13.642889814403992,13.466738600008984,13.867682370021521,0.198981752072795,0.6966703443309875,0.0,-0.09972508811260256,C5,op3_GSE279945,
CINEMA-OT,ot,C5_loct_B,C1_LOCT,run_headline,True,0,True,True,47074,16080,141,0.2729726870286655,0.24819836476058138,0.29578312881165414,0.2729726870286655,7.0855618898394805,6.739096968764158,7.502279642330719,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
CPA,latent,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.03859536662265392,0.015523675621391578,0.0625682997668004,0.03859536662265392,33.01196921389109,32.72710311464841,33.29805166014899,0.26479480319850734,0.794384409595522,0.0,0.0,C5,op3_GSE279945,
scGen,latent,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.16042425940395333,0.13862721109858417,0.1819687941498289,0.16042425940395333,7.908229520541984,7.739548188036344,8.12129970321076,0.43331480825454666,0.8150826917285755,0.4848617330350646,0.0,C5,op3_GSE279945,
STATE,hybrid,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.037720465301026705,0.013702252057056679,0.0625501991680747,0.037720465301026705,32.40806334967153,32.10230617851692,32.718521045835644,0.27253940780024216,0.758159182734978,0.0,0.05945904066574843,C5,op3_GSE279945,
CINEMA-OT,ot,C5_loct_Mono,C1_LOCT,run_headline,True,0,True,True,48011,15143,140,0.18987907103562196,0.1735440295342622,0.2042527712841651,0.18987907103562196,5.6415444387113505,5.29419495933506,6.026394370508511,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
CPA,latent,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.024698825792288936,0.006964757749840749,0.04365582474726599,0.024698825792288936,21.97727247881038,21.622072902380665,22.416282163337563,0.26406649107163477,0.7921994732149042,0.0,0.0,C5,op3_GSE279945,
scGen,latent,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.21988340530293524,0.20289217768945395,0.2382237051335388,0.21988340530293524,7.245555496457509,6.912640307356282,7.667081305169393,0.1720157053446237,0.6386076002841893,0.0,-0.12256048425031814,C5,op3_GSE279945,
STATE,hybrid,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.026153686033654297,0.006352786993953005,0.0478601017145354,0.026153686033654297,21.543126942029087,21.340857721891272,21.738821432807732,0.24083379118587842,0.7225013735576352,0.0,0.0,C5,op3_GSE279945,
CINEMA-OT,ot,C5_loct_NK,C1_LOCT,run_headline,True,0,True,True,49059,14095,141,0.2515329206510982,0.22978740760694089,0.2715855304186863,0.2515329206510982,6.757126843237693,6.4632186260572375,7.103894744699558,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
CPA,latent,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.044584713736946356,0.02824647749631361,0.0615346015495232,0.044584713736946356,15.514622571069234,15.179030672919467,15.942129805424253,0.24056342630582597,0.8511903550130212,0.0,-0.12950007609554326,C5,op3_GSE279945,
scGen,latent,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.20200902478462282,0.18063594446685133,0.2258646847239938,0.20200902478462282,8.129303295264465,7.7607500247801475,8.605197032305918,0.45220884137285705,0.8601856988941602,0.0,0.496440825224411,C5,op3_GSE279945,
STATE,hybrid,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.05069551751176919,0.032378860354849354,0.07003856579808114,0.05069551751176919,15.26909609911053,14.942554869008355,15.686985613518726,0.27857159167817336,0.8357147750345201,0.0,0.0,C5,op3_GSE279945,
CINEMA-OT,ot,C5_loct_T_cells,C1_LOCT,run_headline,True,0,True,True,46398,16756,141,0.2988785591425625,0.2789968376411191,0.3163568460415547,0.2988785591425625,6.7788363548252555,6.382935334057289,7.267934914410752,0.0,0.0,0.0,0.0,C5,op3_GSE279945,
