baseline,compound,pearson_delta,tanimoto_dist,action,headline_eligible
ctrl-pred,Vorinostat,0.008301867637783289,0.74,run_floor,False
ctrl-pred,YK 4-279,-0.0011958333388975007,0.75,run_floor,False
cell-mean,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.3137211687862873,0.7532467532467533,run_floor,False
cell-mean,ABT-199 (GDC-0199),0.11861998215317726,0.6258992805755396,run_floor,False
cell-mean,AT 7867,0.2411850541830063,0.7833333333333333,run_floor,False
cell-mean,AZD3514,0.18579870276153088,0.7473684210526316,run_floor,False
cell-mean,BMS-536924,0.2715612603351474,0.7422680412371134,run_floor,False
cell-mean,Cabozantinib,0.14242073893547058,0.381578947368421,run_floor,False
cell-mean,Clomipramine,0.21230113692581654,0.7192982456140351,run_floor,False
cell-mean,Clotrimazole,0.1762213483452797,0.8032786885245902,run_floor,False
cell-mean,GSK-1070916,0.18526000622659922,0.7281553398058253,run_floor,False
cell-mean,HYDROXYUREA,0.1837969897314906,0.875,run_floor,False
cell-mean,IN1451,0.17606068472377956,0.5471698113207547,run_floor,False
cell-mean,LY2090314,0.10372568853199482,0.7582417582417582,run_floor,False
cell-mean,Lapatinib,0.14471491426229477,0.6972477064220184,run_floor,False
cell-mean,Masitinib,0.21167909912765026,0.2533333333333333,run_floor,False
cell-mean,Mometasone Furoate,0.30389863438904285,0.7,run_floor,False
cell-mean,Navitoclax,0.11030739173293114,0.475,run_floor,False
cell-mean,PRT-062607,0.28013635613024235,0.7204301075268817,run_floor,False
cell-mean,Perhexiline,0.267271021642955,0.8253968253968254,run_floor,False
cell-mean,Pitavastatin Calcium,0.038365465588867664,0.6329113924050633,run_floor,False
cell-mean,Proscillaridin A;Proscillaridin-A,0.10786435101181269,0.7849462365591398,run_floor,False
cell-mean,Ricolinostat,0.10761231184005737,0.736842105263158,run_floor,False
cell-mean,SCH-58261,0.1526614036411047,0.8045977011494253,run_floor,False
cell-mean,Selumetinib,0.23622922494541854,0.6296296296296297,run_floor,False
cell-mean,TL_HRAS26,0.18548754416406155,0.8,run_floor,False
cell-mean,Tivozanib,0.18941917642951012,0.6595744680851063,run_floor,False
cell-mean,Topotecan,0.16483861207962036,0.8072289156626506,run_floor,False
cell-mean,Vorinostat,-0.13518227264285088,0.74,run_floor,False
cell-mean,YK 4-279,0.14505220018327236,0.75,run_floor,False
donor-shift,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.3137211687862873,0.7532467532467533,run_floor,False
donor-shift,ABT-199 (GDC-0199),0.11861998215317726,0.6258992805755396,run_floor,False
donor-shift,AT 7867,0.2411850541830063,0.7833333333333333,run_floor,False
donor-shift,AZD3514,0.18579870276153088,0.7473684210526316,run_floor,False
donor-shift,BMS-536924,0.2715612603351474,0.7422680412371134,run_floor,False
donor-shift,Cabozantinib,0.14242073893547058,0.381578947368421,run_floor,False
donor-shift,Clomipramine,0.21230113692581654,0.7192982456140351,run_floor,False
donor-shift,Clotrimazole,0.1762213483452797,0.8032786885245902,run_floor,False
donor-shift,GSK-1070916,0.18526000622659922,0.7281553398058253,run_floor,False
donor-shift,HYDROXYUREA,0.1837969897314906,0.875,run_floor,False
donor-shift,IN1451,0.17606068472377956,0.5471698113207547,run_floor,False
donor-shift,LY2090314,0.10372568853199482,0.7582417582417582,run_floor,False
donor-shift,Lapatinib,0.14471491426229477,0.6972477064220184,run_floor,False
donor-shift,Masitinib,0.21167909912765026,0.2533333333333333,run_floor,False
donor-shift,Mometasone Furoate,0.30389863438904285,0.7,run_floor,False
donor-shift,Navitoclax,0.11030739173293114,0.475,run_floor,False
donor-shift,PRT-062607,0.28013635613024235,0.7204301075268817,run_floor,False
donor-shift,Perhexiline,0.267271021642955,0.8253968253968254,run_floor,False
donor-shift,Pitavastatin Calcium,0.038365465588867664,0.6329113924050633,run_floor,False
donor-shift,Proscillaridin A;Proscillaridin-A,0.10786435101181269,0.7849462365591398,run_floor,False
donor-shift,Ricolinostat,0.10761231184005737,0.736842105263158,run_floor,False
donor-shift,SCH-58261,0.1526614036411047,0.8045977011494253,run_floor,False
donor-shift,Selumetinib,0.23622922494541854,0.6296296296296297,run_floor,False
donor-shift,TL_HRAS26,0.18548754416406155,0.8,run_floor,False
donor-shift,Tivozanib,0.18941917642951012,0.6595744680851063,run_floor,False
donor-shift,Topotecan,0.16483861207962036,0.8072289156626506,run_floor,False
donor-shift,Vorinostat,-0.13518227264285088,0.74,run_floor,False
donor-shift,YK 4-279,0.14505220018327236,0.75,run_floor,False
linear-PCA,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.31634863279759884,0.7532467532467533,run_floor,False
linear-PCA,ABT-199 (GDC-0199),0.08508860133588314,0.6258992805755396,run_floor,False
linear-PCA,AT 7867,0.22801528871059418,0.7833333333333333,run_floor,False
linear-PCA,AZD3514,0.15750105679035187,0.7473684210526316,run_floor,False
linear-PCA,BMS-536924,0.2668809692841023,0.7422680412371134,run_floor,False
linear-PCA,Cabozantinib,0.11397704295814037,0.381578947368421,run_floor,False
linear-PCA,Clomipramine,0.19662940502166748,0.7192982456140351,run_floor,False
linear-PCA,Clotrimazole,0.15334907919168472,0.8032786885245902,run_floor,False
linear-PCA,GSK-1070916,0.16416873782873154,0.7281553398058253,run_floor,False
linear-PCA,HYDROXYUREA,0.16348442435264587,0.875,run_floor,False
linear-PCA,IN1451,0.13451591785997152,0.5471698113207547,run_floor,False
linear-PCA,LY2090314,0.08486183360219002,0.7582417582417582,run_floor,False
linear-PCA,Lapatinib,0.11658753640949726,0.6972477064220184,run_floor,False
linear-PCA,Masitinib,0.19438396207988262,0.2533333333333333,run_floor,False
linear-PCA,Mometasone Furoate,0.3039781991392374,0.7,run_floor,False
linear-PCA,Navitoclax,0.076801179908216,0.475,run_floor,False
linear-PCA,PRT-062607,0.2767662210389972,0.7204301075268817,run_floor,False
linear-PCA,Perhexiline,0.2592256357893348,0.8253968253968254,run_floor,False
linear-PCA,Pitavastatin Calcium,-0.0035148179158568382,0.6329113924050633,run_floor,False
linear-PCA,Proscillaridin A;Proscillaridin-A,0.07244028756394982,0.7849462365591398,run_floor,False
linear-PCA,Ricolinostat,0.08395804278552532,0.736842105263158,run_floor,False
linear-PCA,SCH-58261,0.13029819168150425,0.8045977011494253,run_floor,False
linear-PCA,Selumetinib,0.21770906262099743,0.6296296296296297,run_floor,False
linear-PCA,TL_HRAS26,0.1650002021342516,0.8,run_floor,False
linear-PCA,Tivozanib,0.1700114868581295,0.6595744680851063,run_floor,False
linear-PCA,Topotecan,0.13213638961315155,0.8072289156626506,run_floor,False
linear-PCA,Vorinostat,-0.1823681779205799,0.74,run_floor,False
linear-PCA,YK 4-279,0.11638307385146618,0.75,run_floor,False
FP-ridge,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.33277275785803795,0.7532467532467533,run_headline,True
FP-ridge,ABT-199 (GDC-0199),0.07386491587385535,0.6258992805755396,run_headline,True
FP-ridge,AT 7867,0.19998257351107895,0.7833333333333333,run_headline,True
FP-ridge,AZD3514,0.16107159201055765,0.7473684210526316,run_headline,True
FP-ridge,BMS-536924,0.16169562796130776,0.7422680412371134,run_headline,True
FP-ridge,Cabozantinib,0.11891914531588554,0.381578947368421,run_headline,True
FP-ridge,Clomipramine,0.12773446831852198,0.7192982456140351,run_headline,True
FP-ridge,Clotrimazole,0.15344758611172438,0.8032786885245902,run_headline,True
FP-ridge,GSK-1070916,0.16594652459025383,0.7281553398058253,run_headline,True
FP-ridge,HYDROXYUREA,0.14235191605985165,0.875,run_headline,True
FP-ridge,IN1451,0.12124886829406023,0.5471698113207547,run_headline,True
FP-ridge,LY2090314,0.030901221558451653,0.7582417582417582,run_headline,True
FP-ridge,Lapatinib,0.1247188001871109,0.6972477064220184,run_headline,True
FP-ridge,Masitinib,0.1737774582579732,0.2533333333333333,run_headline,True
FP-ridge,Mometasone Furoate,0.35851852782070637,0.7,run_headline,True
FP-ridge,Navitoclax,0.11844653449952602,0.475,run_headline,True
FP-ridge,PRT-062607,0.31842300668358803,0.7204301075268817,run_headline,True
FP-ridge,Perhexiline,0.2331277560442686,0.8253968253968254,run_headline,True
FP-ridge,Pitavastatin Calcium,0.17923135682940483,0.6329113924050633,run_headline,True
FP-ridge,Proscillaridin A;Proscillaridin-A,0.06487530888989568,0.7849462365591398,run_headline,True
FP-ridge,Ricolinostat,0.0961435092613101,0.736842105263158,run_headline,True
FP-ridge,SCH-58261,0.13234278844902292,0.8045977011494253,run_headline,True
FP-ridge,Selumetinib,0.22144940495491028,0.6296296296296297,run_headline,True
FP-ridge,TL_HRAS26,0.14989129558671266,0.8,run_headline,True
FP-ridge,Tivozanib,0.17614693939685822,0.6595744680851063,run_headline,True
FP-ridge,Topotecan,0.14241832261905074,0.8072289156626506,run_headline,True
FP-ridge,Vorinostat,0.11500404216349125,0.74,run_headline,True
FP-ridge,YK 4-279,0.20315861399285495,0.75,run_headline,True
CPA,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.22658504731953144,0.7532467532467533,run_headline,True
CPA,ABT-199 (GDC-0199),-0.010562121402472258,0.6258992805755396,run_headline,True
CPA,AT 7867,0.1208424735814333,0.7833333333333333,run_headline,True
CPA,AZD3514,0.14633024483919144,0.7473684210526316,run_headline,True
CPA,BMS-536924,0.10676754452288151,0.7422680412371134,run_headline,True
CPA,Cabozantinib,0.08493492740672082,0.381578947368421,run_headline,True
CPA,Clomipramine,0.09211323317140341,0.7192982456140351,run_headline,True
CPA,Clotrimazole,0.10231557115912437,0.8032786885245902,run_headline,True
CPA,GSK-1070916,0.11268810834735632,0.7281553398058253,run_headline,True
CPA,HYDROXYUREA,0.1151691684499383,0.875,run_headline,True
CPA,IN1451,0.13058441877365112,0.5471698113207547,run_headline,True
CPA,LY2090314,-0.016869181767106056,0.7582417582417582,run_headline,True
CPA,Lapatinib,0.05539372283965349,0.6972477064220184,run_headline,True
CPA,Masitinib,0.10413365624845028,0.2533333333333333,run_headline,True
CPA,Mometasone Furoate,0.26492132991552353,0.7,run_headline,True
CPA,Navitoclax,0.08491047844290733,0.475,run_headline,True
CPA,PRT-062607,0.2594691654667258,0.7204301075268817,run_headline,True
CPA,Perhexiline,0.1555315920850262,0.8253968253968254,run_headline,True
CPA,Pitavastatin Calcium,0.18522094725631177,0.6329113924050633,run_headline,True
CPA,Proscillaridin A;Proscillaridin-A,0.08236486604437232,0.7849462365591398,run_headline,True
CPA,Ricolinostat,0.03953331150114536,0.736842105263158,run_headline,True
CPA,SCH-58261,0.1029201578348875,0.8045977011494253,run_headline,True
CPA,Selumetinib,0.18537162523716688,0.6296296296296297,run_headline,True
CPA,TL_HRAS26,0.09973018802702427,0.8,run_headline,True
CPA,Tivozanib,0.11709929932840168,0.6595744680851063,run_headline,True
CPA,Topotecan,0.0994244460016489,0.8072289156626506,run_headline,True
CPA,Vorinostat,-0.047730010468512774,0.74,run_headline,True
CPA,YK 4-279,0.15347578015644103,0.75,run_headline,True
scGen,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.1707003745250404,0.7532467532467533,run_adapted,False
scGen,ABT-199 (GDC-0199),0.013425499200820923,0.6258992805755396,run_adapted,False
scGen,AT 7867,0.08108929358422756,0.7833333333333333,run_adapted,False
scGen,AZD3514,0.09612125577405095,0.7473684210526316,run_adapted,False
scGen,BMS-536924,0.08373595587909222,0.7422680412371134,run_adapted,False
scGen,Cabozantinib,0.0005336423055268824,0.381578947368421,run_adapted,False
scGen,Clomipramine,0.0509108267724514,0.7192982456140351,run_adapted,False
scGen,Clotrimazole,0.07797101465985179,0.8032786885245902,run_adapted,False
scGen,GSK-1070916,0.08896712423302233,0.7281553398058253,run_adapted,False
scGen,HYDROXYUREA,0.04408545698970556,0.875,run_adapted,False
scGen,IN1451,0.021376467891968787,0.5471698113207547,run_adapted,False
scGen,LY2090314,0.037268850835971534,0.7582417582417582,run_adapted,False
scGen,Lapatinib,0.07078663539141417,0.6972477064220184,run_adapted,False
scGen,Masitinib,0.07364202488679439,0.2533333333333333,run_adapted,False
scGen,Mometasone Furoate,0.1796993725001812,0.7,run_adapted,False
scGen,Navitoclax,0.10605717077851295,0.475,run_adapted,False
scGen,PRT-062607,0.19775647204369307,0.7204301075268817,run_adapted,False
scGen,Perhexiline,0.12571234861388803,0.8253968253968254,run_adapted,False
scGen,Pitavastatin Calcium,0.06506433803588152,0.6329113924050633,run_adapted,False
scGen,Proscillaridin A;Proscillaridin-A,-0.022738274186849594,0.7849462365591398,run_adapted,False
scGen,Ricolinostat,0.06644499069079757,0.736842105263158,run_adapted,False
scGen,SCH-58261,0.05212630549794994,0.8045977011494253,run_adapted,False
scGen,Selumetinib,0.11905121107702143,0.6296296296296297,run_adapted,False
scGen,TL_HRAS26,0.07279975427081808,0.8,run_adapted,False
scGen,Tivozanib,0.07409863139037043,0.6595744680851063,run_adapted,False
scGen,Topotecan,0.07410826743580401,0.8072289156626506,run_adapted,False
scGen,Vorinostat,0.10561807034537196,0.74,run_adapted,False
scGen,YK 4-279,0.07807101251091808,0.75,run_adapted,False
STATE,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,-0.03772887542436365,0.7532467532467533,run_adapted,False
STATE,ABT-199 (GDC-0199),0.05403989553451538,0.6258992805755396,run_adapted,False
STATE,AT 7867,-0.04681875742971897,0.7833333333333333,run_adapted,False
STATE,AZD3514,-0.017383668571710587,0.7473684210526316,run_adapted,False
STATE,BMS-536924,0.04409470967948437,0.7422680412371134,run_adapted,False
STATE,Cabozantinib,0.021001788671128452,0.381578947368421,run_adapted,False
STATE,Clomipramine,-0.02343361545354128,0.7192982456140351,run_adapted,False
STATE,Clotrimazole,0.03261411003768444,0.8032786885245902,run_adapted,False
STATE,GSK-1070916,-0.033007387071847916,0.7281553398058253,run_adapted,False
STATE,HYDROXYUREA,0.029066383838653564,0.875,run_adapted,False
STATE,IN1451,0.0004934314638376236,0.5471698113207547,run_adapted,False
STATE,LY2090314,-0.017326892353594303,0.7582417582417582,run_adapted,False
STATE,Lapatinib,0.056844912469387054,0.6972477064220184,run_adapted,False
STATE,Masitinib,-0.001029130071401596,0.2533333333333333,run_adapted,False
STATE,Mometasone Furoate,-0.006154234521090984,0.7,run_adapted,False
STATE,Navitoclax,-0.028476649895310402,0.475,run_adapted,False
STATE,PRT-062607,-0.012382431887090206,0.7204301075268817,run_adapted,False
STATE,Perhexiline,-0.05981075577437878,0.8253968253968254,run_adapted,False
STATE,Pitavastatin Calcium,-0.017128147184848785,0.6329113924050633,run_adapted,False
STATE,Proscillaridin A;Proscillaridin-A,0.04523101495578885,0.7849462365591398,run_adapted,False
STATE,Ricolinostat,-0.011293593794107437,0.736842105263158,run_adapted,False
STATE,SCH-58261,-0.011906259693205357,0.8045977011494253,run_adapted,False
STATE,Selumetinib,0.006686199456453323,0.6296296296296297,run_adapted,False
STATE,TL_HRAS26,0.041641926392912865,0.8,run_adapted,False
STATE,Tivozanib,0.0014033532934263349,0.6595744680851063,run_adapted,False
STATE,Topotecan,0.014909255551174283,0.8072289156626506,run_adapted,False
STATE,Vorinostat,-0.03528953483328223,0.74,run_adapted,False
STATE,YK 4-279,-0.0781430522329174,0.75,run_adapted,False
CINEMA-OT,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.3168422235175967,0.7532467532467533,run_adapted,False
CINEMA-OT,ABT-199 (GDC-0199),0.11388686113059521,0.6258992805755396,run_adapted,False
CINEMA-OT,AT 7867,0.2395696770399809,0.7833333333333333,run_adapted,False
CINEMA-OT,AZD3514,0.18429049104452133,0.7473684210526316,run_adapted,False
CINEMA-OT,BMS-536924,0.2749131789896637,0.7422680412371134,run_adapted,False
CINEMA-OT,Cabozantinib,0.14043521881103516,0.381578947368421,run_adapted,False
CINEMA-OT,Clomipramine,0.2133332844823599,0.7192982456140351,run_adapted,False
CINEMA-OT,Clotrimazole,0.17435182258486748,0.8032786885245902,run_adapted,False
CINEMA-OT,GSK-1070916,0.18506702594459057,0.7281553398058253,run_adapted,False
CINEMA-OT,HYDROXYUREA,0.18217099457979202,0.875,run_adapted,False
CINEMA-OT,IN1451,0.18085522297769785,0.5471698113207547,run_adapted,False
CINEMA-OT,LY2090314,0.09765318408608437,0.7582417582417582,run_adapted,False
CINEMA-OT,Lapatinib,0.14275864511728287,0.6972477064220184,run_adapted,False
CINEMA-OT,Masitinib,0.21223995089530945,0.2533333333333333,run_adapted,False
CINEMA-OT,Mometasone Furoate,0.3027530247345567,0.7,run_adapted,False
CINEMA-OT,Navitoclax,0.10662453807890415,0.475,run_adapted,False
CINEMA-OT,PRT-062607,0.28124814620241523,0.7204301075268817,run_adapted,False
CINEMA-OT,Perhexiline,0.26941784657537937,0.8253968253968254,run_adapted,False
CINEMA-OT,Pitavastatin Calcium,0.032569547125604004,0.6329113924050633,run_adapted,False
CINEMA-OT,Proscillaridin A;Proscillaridin-A,0.10652031877543777,0.7849462365591398,run_adapted,False
CINEMA-OT,Ricolinostat,0.11048037558794022,0.736842105263158,run_adapted,False
CINEMA-OT,SCH-58261,0.14900469593703747,0.8045977011494253,run_adapted,False
CINEMA-OT,Selumetinib,0.2329651229083538,0.6296296296296297,run_adapted,False
CINEMA-OT,TL_HRAS26,0.1832866482436657,0.8,run_adapted,False
CINEMA-OT,Tivozanib,0.18929880484938622,0.6595744680851063,run_adapted,False
CINEMA-OT,Topotecan,0.16227571293711662,0.8072289156626506,run_adapted,False
CINEMA-OT,Vorinostat,-0.11529037449508905,0.74,run_adapted,False
CINEMA-OT,YK 4-279,0.14143761433660984,0.75,run_adapted,False
