task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,2,True,-0.0016750174288278,-0.108756063661551,0.1054060288038953,0.0425225124386487,0.0362673683715069,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,scFoundation,native,5,5,2,chen;schmidt,2,True,0.422243904913526,0.0690980418229288,0.7753897680041234,0.1293865891486268,0.1223971182431178,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,scGPT,native,5,5,2,chen;schmidt,2,True,-0.0449019629699661,-0.3709682331272553,0.281164307187323,0.0629827083418069,0.051311155973875,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.1483480240245121,0.0392713707250035,0.2574246773240208,0.09628660112433,0.0724746136937612,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,Biolord,native,5,5,2,chen;schmidt,2,True,0.2947325060753404,-0.1065796553494977,0.6960446675001786,0.0887762758531827,0.0576591143874054,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,CellFlow,native,5,5,2,chen;schmidt,2,True,-0.098471345657122,-0.29153268457162,0.0945899932573759,0.1303413978954066,0.0993978322682347,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,GEARS,native,5,5,2,chen;schmidt,2,True,0.3639706800531068,0.346805589212365,0.3811357708938485,0.0953709539134861,0.0634443235092482,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.1999203131371149,0.0975901904439653,0.3022504358302646,0.1955151865585305,0.1736763161352492,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,PerturbNet,native,5,5,2,chen;schmidt,2,True,0.3886906700255384,0.2563781156880867,0.5210032243629902,0.0993120167835911,0.0624310956640428,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,STATE,native,5,5,2,chen;schmidt,2,True,0.2790238243358433,-0.1306355614660005,0.6886832101376871,0.0877115109673447,0.0568400225101114,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.093605520568834,0.0630823069332558,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0948368605149259,0.0644901145177333,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,2,True,0.1711056543321115,0.0891816214649144,0.2530296871993086,0.0934802789876689,0.0628913359509574,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,scFoundation,native,5,5,2,chen;schmidt,2,True,0.1874037489557841,0.1265139703880859,0.2482935275234823,0.1402019531028887,0.134244703728791,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,scGPT,native,5,5,2,chen;schmidt,2,True,0.2703919847364171,0.0360383418337765,0.5047456276390577,0.1052543621207635,0.07860307684546,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.2384243149664585,-0.0400614765361379,0.5169101064690551,0.0512987409808024,0.0426420406536962,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,Biolord,native,5,5,2,chen;schmidt,2,True,0.2733675238855161,-0.0796037108300329,0.6263387586010652,0.066997451662255,0.0526214009471158,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,CellFlow,native,5,5,2,chen;schmidt,2,True,-0.0515351196554329,-0.4241024462630631,0.3210322069521973,0.0544587207480601,0.0451644774324324,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,GEARS,native,5,5,2,chen;schmidt,2,True,0.105695164664335,-0.1900621931413195,0.4014525224699897,0.0584222380593383,0.0447170695095327,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.4771663359526382,0.0968773828850277,0.8574552890202487,0.2669995872763569,0.258040603035913,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,PerturbNet,native,5,5,2,chen;schmidt,2,True,0.3134152404962173,0.2482205116630253,0.3786099693294094,0.0750102861025479,0.0601974317690643,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,STATE,native,5,5,2,chen;schmidt,2,True,-0.1999830581910252,-0.3095056249194505,-0.0904604914625999,0.0700771975748305,0.0554777825739057,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.0643365500718772,0.0498031057520873,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0617713597002989,0.0479254384929186,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,2,True,-0.0316385918393685,-0.314261556270617,0.25098437259188,0.0644014242015199,0.0500452539725869,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,scFoundation,native,5,5,2,chen;schmidt,2,True,0.3791167602071677,0.1984321632653783,0.5598013571489572,0.3702103365141089,0.3665888754862838,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,scGPT,native,5,5,2,chen;schmidt,2,True,0.255587920230623,0.2449054323741764,0.2662704080870696,0.0694286971949068,0.0494163068105028,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.4546293866292401,0.3055567777643752,0.603701995494105,0.0589162782418498,0.0473149328605917,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,Biolord,native,5,5,2,chen;schmidt,2,True,0.1487215908137253,-0.1146285939726751,0.4120717756001257,0.0859892541312267,0.0714256969581126,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,CellFlow,native,5,5,2,chen;schmidt,2,True,0.0392188011009417,-0.0417912254856157,0.1202288276874992,0.0551158737561245,0.0458735052604602,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,GEARS,native,5,5,2,chen;schmidt,2,True,0.2414291851161934,0.1211948406284494,0.3616635296039374,0.057926110061639,0.0488990921793239,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.1672557194216253,0.0382153766683134,0.2962960621749372,0.1227853332570346,0.1127944596397577,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,PerturbNet,native,5,5,2,chen;schmidt,2,True,0.3988739001265745,0.1264066054181001,0.671341194835049,0.0525266957646154,0.0367671587065887,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,STATE,native,5,5,2,chen;schmidt,2,True,-0.0467550073833001,-0.1817639068703385,0.0882538921037381,0.0875087340839568,0.0741395193383728,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.0659085751878138,0.0550409464224699,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0669136859408357,0.0560211059169242,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,2,True,0.2016632127907397,0.0653019937892125,0.3380244317922669,0.0665284559443593,0.0558044059970785,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,scFoundation,native,5,5,2,chen;schmidt,2,True,0.314726059928864,0.1598422092689806,0.4696099105887474,0.2553853612337625,0.2513647372908299,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,scGPT,native,5,5,2,chen;schmidt,2,True,-0.1184083009657333,-0.3700629024391598,0.1332463005076931,0.101346227958241,0.0852900407370672,"{""estimable"": 2}",common observed-defined units; identical for every candidate
