task,unit,scope,gene_mask,program,n_listed,n_measured_original,n_scored_members,scored_members,listed_members,removed_by_mask,n_strata,full_n_strata,ranking_universe_size
T3,chen,full_census_strata,benchmark_mask,Treg_exhaustion,11,6,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,30,30,1912
T3,chen,full_census_strata,all_measured_original_members,TCR_activation,14,9,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,30,30,2000
T3,chen,full_census_strata,all_measured_original_members,IL2_STAT5,11,9,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,30,30,2000
T3,chen,full_census_strata,all_measured_original_members,proliferation,11,8,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,30,30,2000
T3,chen,full_census_strata,all_measured_original_members,effector_cytokine,11,4,4,CCL5;GZMB;NKG7;TNF,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,30,30,2000
T3,chen,full_census_strata,all_measured_original_members,Treg_exhaustion,11,6,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,30,30,2000
T3,mccutcheon_CRISPRa,shared_supported_strata,benchmark_mask,TCR_activation,14,3,2,IL2RA;NFKBIA,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,NR4A1,2,2,1944
T3,mccutcheon_CRISPRa,shared_supported_strata,benchmark_mask,IL2_STAT5,11,6,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1944
T3,mccutcheon_CRISPRa,shared_supported_strata,benchmark_mask,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1944
T3,mccutcheon_CRISPRa,shared_supported_strata,benchmark_mask,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1944
T3,mccutcheon_CRISPRa,shared_supported_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1944
T3,mccutcheon_CRISPRa,shared_supported_strata,all_measured_original_members,TCR_activation,14,3,3,IL2RA;NFKBIA;NR4A1,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,mccutcheon_CRISPRa,shared_supported_strata,all_measured_original_members,IL2_STAT5,11,6,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,mccutcheon_CRISPRa,shared_supported_strata,all_measured_original_members,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,mccutcheon_CRISPRa,shared_supported_strata,all_measured_original_members,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,mccutcheon_CRISPRa,shared_supported_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T3,mccutcheon_CRISPRa,full_census_strata,benchmark_mask,TCR_activation,14,3,2,IL2RA;NFKBIA,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,NR4A1,2,2,1944
T3,mccutcheon_CRISPRa,full_census_strata,benchmark_mask,IL2_STAT5,11,6,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1944
T3,mccutcheon_CRISPRa,full_census_strata,benchmark_mask,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1944
T3,mccutcheon_CRISPRa,full_census_strata,benchmark_mask,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1944
T3,mccutcheon_CRISPRa,full_census_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1944
T3,mccutcheon_CRISPRa,full_census_strata,all_measured_original_members,TCR_activation,14,3,3,IL2RA;NFKBIA;NR4A1,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,mccutcheon_CRISPRa,full_census_strata,all_measured_original_members,IL2_STAT5,11,6,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,mccutcheon_CRISPRa,full_census_strata,all_measured_original_members,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,mccutcheon_CRISPRa,full_census_strata,all_measured_original_members,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,mccutcheon_CRISPRa,full_census_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T3,mccutcheon_CRISPRi,shared_supported_strata,benchmark_mask,TCR_activation,14,3,2,IL2RA;NFKBIA,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,NR4A1,2,2,1940
T3,mccutcheon_CRISPRi,shared_supported_strata,benchmark_mask,IL2_STAT5,11,5,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1940
T3,mccutcheon_CRISPRi,shared_supported_strata,benchmark_mask,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1940
T3,mccutcheon_CRISPRi,shared_supported_strata,benchmark_mask,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1940
T3,mccutcheon_CRISPRi,shared_supported_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1940
T3,mccutcheon_CRISPRi,shared_supported_strata,all_measured_original_members,TCR_activation,14,3,3,IL2RA;NFKBIA;NR4A1,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,mccutcheon_CRISPRi,shared_supported_strata,all_measured_original_members,IL2_STAT5,11,5,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,mccutcheon_CRISPRi,shared_supported_strata,all_measured_original_members,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,mccutcheon_CRISPRi,shared_supported_strata,all_measured_original_members,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,mccutcheon_CRISPRi,shared_supported_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T3,mccutcheon_CRISPRi,full_census_strata,benchmark_mask,TCR_activation,14,3,2,IL2RA;NFKBIA,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,NR4A1,2,2,1940
T3,mccutcheon_CRISPRi,full_census_strata,benchmark_mask,IL2_STAT5,11,5,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1940
T3,mccutcheon_CRISPRi,full_census_strata,benchmark_mask,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1940
T3,mccutcheon_CRISPRi,full_census_strata,benchmark_mask,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1940
T3,mccutcheon_CRISPRi,full_census_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1940
T3,mccutcheon_CRISPRi,full_census_strata,all_measured_original_members,TCR_activation,14,3,3,IL2RA;NFKBIA;NR4A1,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,mccutcheon_CRISPRi,full_census_strata,all_measured_original_members,IL2_STAT5,11,5,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,mccutcheon_CRISPRi,full_census_strata,all_measured_original_members,proliferation,11,11,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,mccutcheon_CRISPRi,full_census_strata,all_measured_original_members,effector_cytokine,11,6,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,mccutcheon_CRISPRi,full_census_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T3,schmidt,shared_supported_strata,benchmark_mask,TCR_activation,14,6,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,7,7,1944
T3,schmidt,shared_supported_strata,benchmark_mask,IL2_STAT5,11,8,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,7,7,1944
T3,schmidt,shared_supported_strata,benchmark_mask,proliferation,11,8,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,7,7,1944
T3,schmidt,shared_supported_strata,benchmark_mask,effector_cytokine,11,8,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,7,7,1944
T3,schmidt,shared_supported_strata,benchmark_mask,Treg_exhaustion,11,3,3,HAVCR2;IL2RA;LAG3,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,7,7,1944
T3,schmidt,shared_supported_strata,all_measured_original_members,TCR_activation,14,6,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,7,7,2000
T3,schmidt,shared_supported_strata,all_measured_original_members,IL2_STAT5,11,8,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,7,7,2000
T3,schmidt,shared_supported_strata,all_measured_original_members,proliferation,11,8,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,7,7,2000
T3,schmidt,shared_supported_strata,all_measured_original_members,effector_cytokine,11,8,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,7,7,2000
T3,schmidt,shared_supported_strata,all_measured_original_members,Treg_exhaustion,11,3,3,HAVCR2;IL2RA;LAG3,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,7,7,2000
T3,schmidt,full_census_strata,benchmark_mask,TCR_activation,14,6,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,7,7,1944
T3,schmidt,full_census_strata,benchmark_mask,IL2_STAT5,11,8,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,7,7,1944
T3,schmidt,full_census_strata,benchmark_mask,proliferation,11,8,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,7,7,1944
T3,schmidt,full_census_strata,benchmark_mask,effector_cytokine,11,8,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,7,7,1944
T3,schmidt,full_census_strata,benchmark_mask,Treg_exhaustion,11,3,3,HAVCR2;IL2RA;LAG3,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,7,7,1944
T3,schmidt,full_census_strata,all_measured_original_members,TCR_activation,14,6,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,7,7,2000
T3,schmidt,full_census_strata,all_measured_original_members,IL2_STAT5,11,8,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,7,7,2000
T3,schmidt,full_census_strata,all_measured_original_members,proliferation,11,8,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,7,7,2000
T3,schmidt,full_census_strata,all_measured_original_members,effector_cytokine,11,8,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,7,7,2000
T3,schmidt,full_census_strata,all_measured_original_members,Treg_exhaustion,11,3,3,HAVCR2;IL2RA;LAG3,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,7,7,2000
T3,shifrut,shared_supported_strata,benchmark_mask,TCR_activation,14,4,4,IL2RA;NFKBIA;REL;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,1967
T3,shifrut,shared_supported_strata,benchmark_mask,IL2_STAT5,11,4,4,IL2RA;IL2RG;MYC;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1967
T3,shifrut,shared_supported_strata,benchmark_mask,proliferation,11,8,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1967
T3,shifrut,shared_supported_strata,benchmark_mask,effector_cytokine,11,7,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1967
T3,shifrut,shared_supported_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1967
T3,shifrut,shared_supported_strata,all_measured_original_members,TCR_activation,14,4,4,IL2RA;NFKBIA;REL;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,shifrut,shared_supported_strata,all_measured_original_members,IL2_STAT5,11,4,4,IL2RA;IL2RG;MYC;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,shifrut,shared_supported_strata,all_measured_original_members,proliferation,11,8,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,shifrut,shared_supported_strata,all_measured_original_members,effector_cytokine,11,7,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,shifrut,shared_supported_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T3,shifrut,full_census_strata,benchmark_mask,TCR_activation,14,4,4,IL2RA;NFKBIA;REL;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,1967
T3,shifrut,full_census_strata,benchmark_mask,IL2_STAT5,11,4,4,IL2RA;IL2RG;MYC;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,1967
T3,shifrut,full_census_strata,benchmark_mask,proliferation,11,8,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,1967
