task,model,unit,status,snapshot_path,sha256,canonical_model,n_strata,n_genes,n_excluded_genes,max_observed_difference,max_control_difference,target_and_control_used,n_explicit_declined,declined_strata,aligned
T1,scPRAM,DC,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_DC.npz,fe18c3b06169e3d6ea8e3a0cc8e894e09ff32dab0bf55a81b53d5105ccd235c9,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,Mk,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mk.npz,96f2cab5fcb62b9b71a7d1329abf8283c13e35dcced2a0d7d9632ee3f60b9aac,cell-mean,8,2000,0,4.76837158203125e-07,1.1920928955078125e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,Mk,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,6db878f7752e93eca89f126be78f3363ec315852debad683b7d31eb9d1cd9ab5,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,Mk,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mk.npz,80b2adb85becbf05fbc947e913bbb33ff87dbb00d06059e1910955df51e1d03d,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,Mk,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mk.npz,597317e0d82c3e89d45f29bb9e725ae0ed2d2cb18e0be22d392240abd9396c41,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,Mk,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mk.npz,fce1ce6a6eeb7cdfd80c47b47df2984b5458ed9c2d2f0efa1d60cd6ab0d5342d,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,Mk,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mk.npz,b2b8e12a3833ff8a882edb8aaf2726b387155c45ed0272b8eadc4e5ab8a11798,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,Mk,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mk.npz,d274f380e3a94b0fc5c64ff10b489382344b5f0ee21c6bf93e5708e0d284346c,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,Mk,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mk.npz,cb053596dd646764cae75de78382f597f0b781f2c88b99cc96c0cf23105a9683,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,Mk,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mk.npz,6555753d6ad3e8fb99e1a8eca7a1a22e0ad1942197a6dab6297fbfc2246cb6d3,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,Mk,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mk.npz,8fb174a034f526d3530c7c18a48e7ee2726842f64a46d6ae9ee749cac6f4ec66,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,Mk,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mk.npz,0820aac0cbab51ce9ad1563bb7e898c2f632673f1b81fb4310d0926753e39f50,cell-mean,8,2000,0,9.5367431640625e-07,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,Mono_CD14,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_CD14.npz,a873daadc90852d98d2cf6073477afb1281f491c88b1e7b0b127c3d18fa5cc81,cell-mean,8,2000,0,9.5367431640625e-07,2.384185791015625e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,Mono_CD14,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,14b03b6d3bd34f07fc256e9dcd0649deb8277c8396a17decab4918e6e843e097,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,Mono_CD14,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_CD14.npz,e19a6c00d8f1c1a4d690fb621ba27d7d83e8d298edda54bd4d6b5907a03ff53e,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,Mono_CD14,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_CD14.npz,34c51485760616f367862509f557522833b51d2c1a25c5e30dd6c3a37ac98414,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,Mono_CD14,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_CD14.npz,1fa1da889e60e515eac1e97d2d8a18dee5b29472ada8689c7cac255e148770c9,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,Mono_CD14,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mono_CD14.npz,80683a7bf0c8848d76ee8c1d277593a85d91bdca9f2e901b6fc1d84fbdf38df6,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,Mono_CD14,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mono_CD14.npz,748d9ee7168e3874fd0825adcec15b2e3c3a1a075ceb009f6be5c305c78aa61f,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,Mono_CD14,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_CD14.npz,39278fa774fe86fbd0becf5f44e0e6f64435bae4bb8ffc9bd8c9911bf3e0336a,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,Mono_CD14,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_CD14.npz,08793463bedc9c7128b63c308d9bbce224d021032a0a921f2f270ad8be681b86,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,Mono_CD14,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_CD14.npz,cc1f229aefc2f104a2ce41b1c01fda4fdb6e85a7b5516bd32f37bf34e0e2c4de,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,Mono_CD14,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_CD14.npz,4cd8a7d861f3c947a5f1f55217ecfda77ff1b9084da8e46c8e0b0073d1678a91,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,Mono_FCGR3A,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_FCGR3A.npz,1132d36fbf48652cd999a685e44d59eea12961ec5c0bae80296b9f4972476b7e,cell-mean,8,2000,0,9.5367431640625e-07,2.384185791015625e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,Mono_FCGR3A,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,35543436ba37c5b8fd052f3c3dfe4f586a51f5501d90a6cccff24c229ed6ffcb,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,Mono_FCGR3A,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_FCGR3A.npz,f0f5b6aa13965789092dc26386da955faf5ac32cb6d0916ac4728a9d15864b6f,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,Mono_FCGR3A,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_FCGR3A.npz,c84072cf17be16236ab085e56da9f746635c6b303b033dae2aef66829f9150a4,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,Mono_FCGR3A,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_FCGR3A.npz,19216d836b7e7f45e24efa5de2854080db524ca995fd15ccff7ea946ba7cf117,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,Mono_FCGR3A,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mono_FCGR3A.npz,514ff63c4023a927da42946a879c21ed4976aa72b20aaf5fb300e9eb5a3a9a97,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,Mono_FCGR3A,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mono_FCGR3A.npz,571d92c040d80d2a462796b2a4ec0b5e3d3ab9c134a02786951e4805173273ed,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,Mono_FCGR3A,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_FCGR3A.npz,e50190808063e768e406b78b2ee26e53a49f4bb7e33ca74882c255025ee41710,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,Mono_FCGR3A,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_FCGR3A.npz,dd4eaee5c27bbca02f932699048b299f88791f0ac73c55908f56ea8ba8870e7b,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,Mono_FCGR3A,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_FCGR3A.npz,80f4d7e0f780b6e3dbb19edccdb37639783a24b753680619686b4f18f532ddb6,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,Mono_FCGR3A,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_FCGR3A.npz,6191280c00516507eb948c25a07f450069999c65097db57a68230d2bec695c7b,cell-mean,8,2000,0,1.9073486328125e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,CellOT,NK,native,inputs/bundles/predictions/C1/C1_LOCT__CellOT__C1_loct_NK.npz,d1f39fbb95d031926c999f18279cda7e783e5139c29e339e76040058ebdf625c,cell-mean,8,2000,0,7.152557373046875e-07,2.384185791015625e-07,canonical_cell_mean_bundle,0,,True
T1,cell-mean,NK,floor,inputs/bundles/predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,a03a5b7da3c4c86970409903f477558aaea87f4ad9033001b2497fd33d63f491,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,linear-PCA,NK,floor,inputs/bundles/predictions/C1/C1_LOCT__linear-PCA__C1_loct_NK.npz,d4ddd5f163f502dae1f70a350782517b708ae8705ebdac1eee795892d39d5ccd,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scFoundation,NK,adapted,inputs/bundles/predictions/C1/C1_LOCT__scFoundation__C1_loct_NK.npz,52bfa0106ba34a7a441acf7eacaef70b2ef6d671145575aaec4a40bede7d66ea,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGPT,NK,adapted,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_NK.npz,fbce138b058dc2fb1c3c11ac5f82a3b38e3ba78022660a72b962d4424983d65e,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,scGen,NK,native,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_NK.npz,54b28bd66363d1b1ff2bc93a77fe8912191c7a20360ace473eb79631d04b7949,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CellFlow,NK,native,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_NK.npz,7966ad1863ef07c7678216952922ca9b2d1fbf6d147dd49fc5cc1b180a2f9033,cell-mean,8,2000,0,0.0,0.0,canonical_cell_mean_bundle,0,,True
T1,CPA,NK,native,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_NK.npz,a5fb523430bb66cd442f756d833862ecd35fe10efba346e9d162baf60975bf0d,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,PerturbNet,NK,native,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_NK.npz,ed1a347ab7d402a31170b7f45e6c51a62083b4b1b04fb19efbaed1fe94672e64,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,STATE,NK,native,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_NK.npz,b56c69d9b333532d40d75badd6a6f26573f639aec5e49ac2804d755ecf6b1484,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T1,scPRAM,NK,native,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_NK.npz,6c4837a37583526b6a3181237e30fe3db0e8b69db7fd44c19f34b82605a6adcb,cell-mean,8,2000,0,1.430511474609375e-06,0.0,canonical_cell_mean_bundle,0,,True
T3,AttentionPert,chen,native,inputs/bundles/predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,bc65e78f8231feeb7fdf692f1e8d9fc87ff8f42304557e10f3e5ede0f63dc7cd,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
T3,GEARS,chen,native,inputs/bundles/predictions/C3/C3_LO_gene__GEARS__C3_true_lo_gene_10__chen.npz,b6f493d5d384c87652d3dd8a4c0cd953065a03e8ba1616e82a149c90575f24c9,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
T3,cell-mean,chen,floor,inputs/bundles/predictions/C3/C3_LO_gene__cell-mean__C3_true_lo_gene_10__chen.npz,22cbca9a493646abe7273efc2a202159ec963b76143a88ddf53a7ede0a83f2aa,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
T3,linear-PCA,chen,floor,inputs/bundles/predictions/C3/C3_LO_gene__linear-PCA__C3_true_lo_gene_10__chen.npz,04eb5e74d3da959d3ec1ff53d199a42d847e1490aa32adfd07fe0ef8fa169ca0,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
T3,scGPT,chen,native,inputs/bundles/predictions/C3/C3_LO_gene__scGPT__C3_true_lo_gene_10__chen.npz,1ff9d9b7f916cb0bd2ef580cf68b2c79452ed2217a595ea8a2d0d4d88cb08fe6,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
T3,Biolord,chen,native,inputs/bundles/predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,05f21ffd40e0396e6babe3f7e656c1f008d6c05f0cbc681d8a70e5f3e4bcf00f,cell-mean,30,2000,88,0.0,0.0,canonical_cell_mean_bundle,0,,True
