task,model,unit,status,response_norm_ratio,calibration_slope,mean_response_norm_ratio,mean_defined_calibration_slope,n_strata,n_norm_defined,n_slope_defined,n_explicit_declined
T5c,linear-PCA,NK,floor,0.37122286666492293,0.80839780522597149,0.35793076413327468,0.76950422135684615,141,141,141,0
T5c,linear-PCA,T_cells,floor,0.38116907209223527,0.94456021481413277,0.35584212306650453,1.0179114414061439,141,141,141,0
T5c,scFoundation,B,adapted,0.39588714778581607,0.78673647771105693,0.37814487761997334,0.78241002529169668,141,141,141,0
T5c,scFoundation,Mono,adapted,0.55171736018097572,0.44053325711678271,0.59745182151216181,0.53225357774646653,140,140,140,0
T5c,scFoundation,NK,adapted,0.52127021188699052,0.71867156120189479,0.54434785721531498,0.73049446571462662,141,141,141,0
T5c,scFoundation,T_cells,adapted,0.39117318762183767,0.88173283211648179,0.46071147939591228,0.92122394204524027,141,141,141,0
T5c,scGPT,B,adapted,0.69783820368022642,0.52560140901402774,0.6979258750768943,0.5550682959236044,141,141,141,0
T5c,scGPT,Mono,adapted,0.99708183846505671,0.26095080749053678,0.99812798470365793,0.31513566689259154,140,140,140,0
T5c,scGPT,NK,adapted,0.8247514935555057,0.40716074713449807,0.82387825758335831,0.44361332409081888,141,141,141,0
T5c,scGPT,T_cells,adapted,0.67896325278633651,0.53328901638128523,0.70589336072136455,0.57194115313408944,141,141,141,0
T5c,scGen,B,native,2.318014313830469,0.038343934855879502,2.1979460245595526,0.075830537241403748,141,141,141,0
T5c,scGen,Mono,native,1.8636396118671463,0.076400280811444204,1.7202228874804597,0.14806250120198619,140,140,140,0
T5c,scGen,NK,native,1.3814471981985728,0.17569618849757981,1.333204224414388,0.19995108595360508,141,141,141,0
T5c,scGen,T_cells,native,1.6545130831543122,0.10329589840779219,1.6017388118546654,0.13272810667660159,141,141,140,1
T5c,scPRAM,B,native,2.6219900033553833,0.064320543187734794,2.4653269701800928,0.091011752931287576,141,141,141,0
T5c,scPRAM,Mono,native,2.5635562079077858,0.047535310817542038,2.8345106896575163,0.078576852315664206,140,140,140,0
T5c,scPRAM,NK,native,1.7712852842239595,0.12753774070941895,1.7395020779143724,0.14969875051744713,141,141,141,0
T5c,scPRAM,T_cells,native,2.0231529114957474,0.093115066384277412,1.9506473907523894,0.1084380904563222,141,141,141,0
