task,scope,gene_mask,method,program,unit,observed_eligible,n_strata,n_measured,observed_sd,observed_profile_max_range,reason
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,shifrut,False,2,8,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,chen,True,30,9,0.0154393370831533,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0091754893461863,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRi,False,2,5,0.0068053811788558,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,schmidt,True,7,8,0.0385167905005034,1.270416021347046,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,shifrut,False,2,4,0.0089998822659254,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,chen,True,30,9,0.0240786021150301,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,mccutcheon_CRISPRa,False,2,2,0.0109271556138992,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,mccutcheon_CRISPRi,False,2,2,0.0074573159217834,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,schmidt,True,7,6,0.057861076999752,1.270416021347046,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,TCR_activation,shifrut,False,2,4,0.008225052151829,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,chen,True,30,6,0.02751894140543,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRa,False,2,5,0.0070647910237312,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRi,False,2,5,0.0106179744005203,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,schmidt,True,7,3,0.1491433590850066,1.270416021347046,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,shifrut,False,2,5,0.002222342044115,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,chen,True,30,4,0.0299756486915916,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRa,False,2,6,0.0091119433442751,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRi,False,2,6,0.0632096026092767,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,schmidt,True,7,8,0.0776862136340095,1.270416021347046,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,effector_cytokine,shifrut,False,2,7,0.0057929381728172,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,chen,True,30,8,0.0171520939095729,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,mccutcheon_CRISPRa,False,2,11,0.0022326057607477,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,mccutcheon_CRISPRi,False,2,11,0.0169671015305952,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,schmidt,True,7,8,0.0745620633346688,1.270416021347046,eligible
T3,full_census_strata,benchmark_mask,mean_expression_delta,proliferation,shifrut,False,2,8,0.0008749049156904,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,chen,True,30,9,0.0024594718287822,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,mccutcheon_CRISPRi,False,2,5,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,schmidt,False,7,8,0.0,1.270416021347046,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,shifrut,False,2,4,0.0,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,chen,True,30,9,0.0046238389711662,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,mccutcheon_CRISPRa,False,2,2,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,mccutcheon_CRISPRi,False,2,2,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,schmidt,False,7,6,0.0,1.270416021347046,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,TCR_activation,shifrut,False,2,4,0.0,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,chen,True,30,6,0.0141142025084154,0.4181470274925231,eligible
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,mccutcheon_CRISPRa,False,2,5,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,mccutcheon_CRISPRi,False,2,5,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,schmidt,False,7,3,0.0,1.270416021347046,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,Treg_exhaustion,shifrut,False,2,5,0.0,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,chen,False,30,4,0.0,0.4181470274925231,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,mccutcheon_CRISPRa,False,2,6,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,mccutcheon_CRISPRi,False,2,6,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,schmidt,False,7,8,0.0,1.270416021347046,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,effector_cytokine,shifrut,False,2,7,0.0,0.1327472329139709,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,chen,False,30,8,0.0,0.4181470274925231,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,mccutcheon_CRISPRa,False,2,11,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,mccutcheon_CRISPRi,False,2,11,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,schmidt,False,7,8,0.0,1.270416021347046,constant_observed_score
T3,full_census_strata,benchmark_mask,rank_top5_mean_profile,proliferation,shifrut,False,2,8,0.0,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,chen,True,27,9,0.0157062633836547,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0091754893461863,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRi,False,2,5,0.0068053811788558,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,schmidt,True,7,8,0.0385167905005034,3.9983524642884727,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,shifrut,False,2,4,0.0089998822659254,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,chen,True,27,9,0.0246627893634797,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,mccutcheon_CRISPRa,False,2,3,0.0096030298930903,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,mccutcheon_CRISPRi,False,2,3,0.0056630175095051,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,schmidt,True,7,6,0.057861076999752,3.9983524642884727,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,TCR_activation,shifrut,False,2,4,0.008225052151829,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,chen,True,27,6,0.0286030208876946,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRa,False,2,5,0.0070647910237312,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRi,False,2,5,0.0106179744005203,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,schmidt,True,7,3,0.1491433590850066,3.9983524642884727,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,shifrut,False,2,5,0.002222342044115,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,chen,True,27,4,0.030168883641191,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRa,False,2,6,0.0091119433442751,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRi,False,2,6,0.0632096026092767,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,schmidt,True,7,8,0.0776862136340095,3.9983524642884727,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,shifrut,False,2,7,0.0057929381728172,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,chen,True,27,8,0.0160850757577312,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,mccutcheon_CRISPRa,False,2,11,0.0022326057607477,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,mccutcheon_CRISPRi,False,2,11,0.0169671015305952,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,schmidt,True,7,8,0.0745620633346688,3.9983524642884727,eligible
T3,shared_supported_strata,all_measured_original_members,mean_expression_delta,proliferation,shifrut,False,2,8,0.0008749049156904,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,chen,True,27,9,0.0022290703808972,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,mccutcheon_CRISPRi,False,2,5,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,schmidt,False,7,8,0.0,3.9983524642884727,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,shifrut,False,2,4,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,chen,True,27,9,0.0042829997798379,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,mccutcheon_CRISPRa,False,2,3,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,mccutcheon_CRISPRi,False,2,3,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,schmidt,False,7,6,0.0,3.9983524642884727,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,shifrut,False,2,4,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,chen,True,27,6,0.0147707678537846,0.4181470274925231,eligible
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,mccutcheon_CRISPRa,False,2,5,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,mccutcheon_CRISPRi,False,2,5,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,schmidt,False,7,3,0.0,3.9983524642884727,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,shifrut,False,2,5,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,chen,False,27,4,0.0,0.4181470274925231,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,mccutcheon_CRISPRa,False,2,6,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,mccutcheon_CRISPRi,False,2,6,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,schmidt,False,7,8,0.0,3.9983524642884727,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,shifrut,False,2,7,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,chen,False,27,8,0.0,0.4181470274925231,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,mccutcheon_CRISPRa,False,2,11,0.0,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,mccutcheon_CRISPRi,False,2,11,0.0,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,schmidt,False,7,8,0.0,3.9983524642884727,constant_observed_score
T3,shared_supported_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,shifrut,False,2,8,0.0,0.1517987251281738,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,chen,True,27,9,0.0157062633836547,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0091754893461863,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,mccutcheon_CRISPRi,False,2,5,0.0068053811788558,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,schmidt,True,7,8,0.0385167905005034,1.270416021347046,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,IL2_STAT5,shifrut,False,2,4,0.0089998822659254,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,chen,True,27,9,0.0246627893634797,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,mccutcheon_CRISPRa,False,2,2,0.0109271556138992,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,mccutcheon_CRISPRi,False,2,2,0.0074573159217834,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,schmidt,True,7,6,0.057861076999752,1.270416021347046,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,TCR_activation,shifrut,False,2,4,0.008225052151829,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,chen,True,27,6,0.0286030208876946,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRa,False,2,5,0.0070647910237312,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,mccutcheon_CRISPRi,False,2,5,0.0106179744005203,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,schmidt,True,7,3,0.1491433590850066,1.270416021347046,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,Treg_exhaustion,shifrut,False,2,5,0.002222342044115,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,chen,True,27,4,0.030168883641191,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRa,False,2,6,0.0091119433442751,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,mccutcheon_CRISPRi,False,2,6,0.0632096026092767,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,schmidt,True,7,8,0.0776862136340095,1.270416021347046,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_cytokine,shifrut,False,2,7,0.0057929381728172,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,chen,True,27,8,0.0160850757577312,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,mccutcheon_CRISPRa,False,2,11,0.0022326057607477,0.5448898673057556,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,mccutcheon_CRISPRi,False,2,11,0.0169671015305952,0.3272188901901245,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,schmidt,True,7,8,0.0745620633346688,1.270416021347046,eligible
T3,shared_supported_strata,benchmark_mask,mean_expression_delta,proliferation,shifrut,False,2,8,0.0008749049156904,0.1327472329139709,fewer_than_three_strata_policy
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,chen,True,27,9,0.0023219483134346,0.4181470274925231,eligible
T3,shared_supported_strata,benchmark_mask,rank_top5_mean_profile,IL2_STAT5,mccutcheon_CRISPRa,False,2,6,0.0,0.5448898673057556,fewer_than_three_strata_policy
