task,model,unit,n_strata,pearson_delta,census_value,absolute_difference,snapshot_path,scope
T1,scGPT,DC,8,0.6928488165414998,0.6928488165414999,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_DC.npz,full_census_strata
T1,scGPT,Mk,8,0.5370471171033584,0.5370471171033582,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mk.npz,full_census_strata
T1,scGPT,Mono_CD14,8,0.39862289529404404,0.398622895294044,5.551115123125783e-17,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_CD14.npz,full_census_strata
T1,scGPT,Mono_FCGR3A,8,0.5395507589249569,0.5395507589249567,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,scGPT,NK,8,0.5802803682894362,0.5802803682894373,1.1102230246251565e-15,inputs/bundles/predictions/C1/C1_LOCT__scGPT__C1_loct_NK.npz,full_census_strata
T1,scGen,B,8,0.7673727669291084,0.7673727669291079,4.440892098500626e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_B.npz,full_census_strata
T1,scGen,CD4T,8,0.7768391810858626,0.7768391810858634,7.771561172376096e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_CD4T.npz,full_census_strata
T1,scGen,CD8T,8,0.7718121457088356,0.7718121457088358,2.220446049250313e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_CD8T.npz,full_census_strata
T1,scGen,DC,8,0.7315439158973904,0.7315439158973903,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_DC.npz,full_census_strata
T1,scGen,Mk,8,0.5441511095883286,0.5441511095883287,1.1102230246251565e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mk.npz,full_census_strata
T1,scGen,Mono_CD14,8,0.8352235909361589,0.8352235909361597,7.771561172376096e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mono_CD14.npz,full_census_strata
T1,scGen,Mono_FCGR3A,8,0.8242887523176281,0.8242887523176287,5.551115123125783e-16,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,scGen,NK,8,0.7460928878608168,0.7460928878608168,0.0,inputs/bundles/predictions/C1/C1_LOCT__scGen__C1_loct_NK.npz,full_census_strata
T1,CellFlow,B,8,0.8261516048789148,0.8261516048789135,1.3322676295501878e-15,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_B.npz,full_census_strata
T1,CellFlow,CD4T,8,0.8164834431195062,0.8164834431195068,6.661338147750939e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_CD4T.npz,full_census_strata
T1,CellFlow,CD8T,8,0.7922935305430427,0.7922935305430429,1.1102230246251565e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_CD8T.npz,full_census_strata
T1,CellFlow,DC,8,0.8268722137294141,0.8268722137294132,8.881784197001252e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_DC.npz,full_census_strata
T1,CellFlow,Mk,8,0.5564121775083385,0.5564121775083384,1.1102230246251565e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mk.npz,full_census_strata
T1,CellFlow,Mono_CD14,8,0.925192845311041,0.9251928453110408,1.1102230246251565e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mono_CD14.npz,full_census_strata
T1,CellFlow,Mono_FCGR3A,8,0.8780820817883863,0.8780820817883865,2.220446049250313e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,CellFlow,NK,8,0.7663032844366309,0.7663032844366302,6.661338147750939e-16,inputs/bundles/predictions/C1_LOCT__CellFlow__C1_loct_NK.npz,full_census_strata
T1,CPA,B,8,0.362148553716997,0.362148553716997,0.0,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_B.npz,full_census_strata
T1,CPA,CD4T,8,0.3410425938980197,0.3410425938980195,2.220446049250313e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_CD4T.npz,full_census_strata
T1,CPA,CD8T,8,0.5348744614000646,0.5348744614000643,2.220446049250313e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_CD8T.npz,full_census_strata
T1,CPA,DC,8,0.5043522727715923,0.5043522727715918,5.551115123125783e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_DC.npz,full_census_strata
T1,CPA,Mk,8,0.2718319477246285,0.2718319477246286,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mk.npz,full_census_strata
T1,CPA,Mono_CD14,8,0.4088526910027209,0.4088526910027206,3.3306690738754696e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_CD14.npz,full_census_strata
T1,CPA,Mono_FCGR3A,8,0.259922869833976,0.2599228698339759,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,CPA,NK,8,0.4082685593473425,0.4082685593473422,3.3306690738754696e-16,inputs/bundles/predictions/v2_native/C1_LOCT__CPA__C1_loct_NK.npz,full_census_strata
T1,PerturbNet,B,8,0.7891262844852263,0.7891262844852266,3.3306690738754696e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_B.npz,full_census_strata
T1,PerturbNet,CD4T,8,0.7883771740814265,0.788377174081426,4.440892098500626e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD4T.npz,full_census_strata
T1,PerturbNet,CD8T,8,0.77525905717965,0.7752590571796489,1.1102230246251565e-15,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD8T.npz,full_census_strata
T1,PerturbNet,DC,8,0.8215188963607605,0.8215188963607607,2.220446049250313e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_DC.npz,full_census_strata
T1,PerturbNet,Mk,8,0.5529094495696818,0.5529094495696809,8.881784197001252e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mk.npz,full_census_strata
T1,PerturbNet,Mono_CD14,8,0.9398164991944883,0.9398164991944892,8.881784197001252e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_CD14.npz,full_census_strata
T1,PerturbNet,Mono_FCGR3A,8,0.8804518758089879,0.8804518758089874,4.440892098500626e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,PerturbNet,NK,8,0.7472204752250224,0.7472204752250222,2.220446049250313e-16,inputs/bundles/predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_NK.npz,full_census_strata
T1,STATE,B,8,0.5891758745674158,0.5891758745674159,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_B.npz,full_census_strata
T1,STATE,CD4T,8,0.6252543556772153,0.6252543556772152,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_CD4T.npz,full_census_strata
T1,STATE,CD8T,8,0.679031328997784,0.6790313289977841,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_CD8T.npz,full_census_strata
T1,STATE,DC,8,0.7030789798374495,0.7030789798374497,2.220446049250313e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_DC.npz,full_census_strata
T1,STATE,Mk,8,0.4114139168465476,0.4114139168465476,0.0,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mk.npz,full_census_strata
T1,STATE,Mono_CD14,8,0.7562883860890757,0.7562883860890764,7.771561172376096e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_CD14.npz,full_census_strata
T1,STATE,Mono_FCGR3A,8,0.7905421705781144,0.7905421705781139,4.440892098500626e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,STATE,NK,8,0.5777383711417705,0.5777383711417701,4.440892098500626e-16,inputs/bundles/predictions/v2_native/C1_LOCT__STATE__C1_loct_NK.npz,full_census_strata
T1,scPRAM,B,8,0.7979910172292012,0.7979910172292023,1.1102230246251565e-15,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_B.npz,full_census_strata
T1,scPRAM,CD4T,8,0.727695448587899,0.7276954485878995,4.440892098500626e-16,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD4T.npz,full_census_strata
T1,scPRAM,CD8T,8,0.6861394178591277,0.6861394178591267,9.992007221626409e-16,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD8T.npz,full_census_strata
T1,scPRAM,DC,8,0.8140936687262894,0.8140936687262889,5.551115123125783e-16,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_DC.npz,full_census_strata
T1,scPRAM,Mk,8,0.5366048107342323,0.5366048107342326,3.3306690738754696e-16,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mk.npz,full_census_strata
T1,scPRAM,Mono_CD14,8,0.9022282132909596,0.9022282132909604,7.771561172376096e-16,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_CD14.npz,full_census_strata
T1,scPRAM,Mono_FCGR3A,8,0.8604969218217711,0.8604969218217726,1.5543122344752192e-15,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_FCGR3A.npz,full_census_strata
T1,scPRAM,NK,8,0.6804828874571747,0.6804828874571747,0.0,inputs/bundles/predictions/v2_native/C1_LOCT__scPRAM__C1_loct_NK.npz,full_census_strata
T5c,FP-ridge,B,141,0.415576802802324,0.415576802802324,0.0,inputs/bundles/predictions/C5/C1_LOCT__FP-ridge__C5_loct_B.npz,full_census_strata
T5c,FP-ridge,Mono,140,0.30570868567599013,0.3057086856759901,5.551115123125783e-17,inputs/bundles/predictions/C5/C1_LOCT__FP-ridge__C5_loct_Mono.npz,full_census_strata
T5c,FP-ridge,NK,141,0.3898076443662576,0.3898076443662576,0.0,inputs/bundles/predictions/C5/C1_LOCT__FP-ridge__C5_loct_NK.npz,full_census_strata
T5c,FP-ridge,T_cells,141,0.43870389680312205,0.4387038968031221,5.551115123125783e-17,inputs/bundles/predictions/C5/C1_LOCT__FP-ridge__C5_loct_T_cells.npz,full_census_strata
T5c,cell-mean,B,141,0.07413363637644964,0.0741336363764497,5.551115123125783e-17,inputs/bundles/predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,full_census_strata
T5c,cell-mean,Mono,140,0.018724629695881113,0.0187246296958811,1.3877787807814457e-17,inputs/bundles/predictions/C5/C1_LOCT__cell-mean__C5_loct_Mono.npz,full_census_strata
T5c,cell-mean,NK,141,-0.004159008082909946,-0.0041590080829099,4.597017211338539e-17,inputs/bundles/predictions/C5/C1_LOCT__cell-mean__C5_loct_NK.npz,full_census_strata
T5c,cell-mean,T_cells,141,0.011216014583171443,0.0112160145831714,4.336808689942018e-17,inputs/bundles/predictions/C5/C1_LOCT__cell-mean__C5_loct_T_cells.npz,full_census_strata
T5c,linear-PCA,B,141,0.29973036255288676,0.2997303625528866,1.6653345369377348e-16,inputs/bundles/predictions/C5/C1_LOCT__linear-PCA__C5_loct_B.npz,full_census_strata
T5c,linear-PCA,Mono,140,0.1846448545824999,0.1846448545825,8.326672684688674e-17,inputs/bundles/predictions/C5/C1_LOCT__linear-PCA__C5_loct_Mono.npz,full_census_strata
T5c,linear-PCA,NK,141,0.25937691124191875,0.2593769112419187,5.551115123125783e-17,inputs/bundles/predictions/C5/C1_LOCT__linear-PCA__C5_loct_NK.npz,full_census_strata
T5c,linear-PCA,T_cells,141,0.3339668867283795,0.3339668867283791,3.885780586188048e-16,inputs/bundles/predictions/C5/C1_LOCT__linear-PCA__C5_loct_T_cells.npz,full_census_strata
T5c,CellFlow,B,141,0.10031796437416916,0.1003179643741691,6.938893903907228e-17,inputs/bundles/predictions/C5_LOCT__CellFlow__C5_loct_B.npz,full_census_strata
T5c,CellFlow,Mono,140,0.06858944630536243,0.0685894463053624,2.7755575615628914e-17,inputs/bundles/predictions/C5_LOCT__CellFlow__C5_loct_Mono.npz,full_census_strata
T5c,CellFlow,NK,141,0.09279681756303654,0.0927968175630365,4.163336342344337e-17,inputs/bundles/predictions/C5_LOCT__CellFlow__C5_loct_NK.npz,full_census_strata
T5c,CellFlow,T_cells,141,0.15357761670570183,0.1535776167057018,2.7755575615628914e-17,inputs/bundles/predictions/C5_LOCT__CellFlow__C5_loct_T_cells.npz,full_census_strata
T5c,PRnet,B,141,0.13320019362773755,0.1332001936277375,5.551115123125783e-17,inputs/bundles/predictions/C5_LOCT__PRnet__C5_loct_B.npz,full_census_strata
T5c,PRnet,Mono,140,0.041206616280014784,0.0412066162800147,8.326672684688674e-17,inputs/bundles/predictions/C5_LOCT__PRnet__C5_loct_Mono.npz,full_census_strata
T5c,PRnet,NK,141,0.0780812054824531,0.0780812054824531,0.0,inputs/bundles/predictions/C5_LOCT__PRnet__C5_loct_NK.npz,full_census_strata
T5c,PRnet,T_cells,141,0.12523565701864006,0.1252356570186401,2.7755575615628914e-17,inputs/bundles/predictions/C5_LOCT__PRnet__C5_loct_T_cells.npz,full_census_strata
T5c,scFoundation,B,141,0.2843273623711,0.2843273623710999,1.1102230246251565e-16,inputs/bundles/predictions/C5_LOCT__scFoundation__C5_loct_B__op3_fcond.npz,full_census_strata
T5c,scFoundation,Mono,140,0.2793453597765234,0.2793453597765234,0.0,inputs/bundles/predictions/C5_LOCT__scFoundation__C5_loct_Mono__op3_fcond.npz,full_census_strata
T5c,scFoundation,NK,141,0.37541572334527673,0.3754157233452769,1.6653345369377348e-16,inputs/bundles/predictions/C5_LOCT__scFoundation__C5_loct_NK__op3_fcond.npz,full_census_strata
T5c,scFoundation,T_cells,141,0.37723175341393855,0.3772317534139384,1.6653345369377348e-16,inputs/bundles/predictions/C5_LOCT__scFoundation__C5_loct_T_cells__op3_fcond.npz,full_census_strata
T5c,scGPT,B,141,0.37832336150046114,0.3783233615004612,5.551115123125783e-17,inputs/bundles/predictions/C5_LOCT__scGPT__C5_loct_B__op3_fcond.npz,full_census_strata
T5c,scGPT,Mono,140,0.27795762792024326,0.2779576279202432,5.551115123125783e-17,inputs/bundles/predictions/C5_LOCT__scGPT__C5_loct_Mono__op3_fcond.npz,full_census_strata
T5c,scGPT,NK,141,0.3491054203359287,0.3491054203359287,0.0,inputs/bundles/predictions/C5_LOCT__scGPT__C5_loct_NK__op3_fcond.npz,full_census_strata
T5c,scGPT,T_cells,141,0.3815612953192547,0.3815612953192547,0.0,inputs/bundles/predictions/C5_LOCT__scGPT__C5_loct_T_cells__op3_fcond.npz,full_census_strata
T5c,CPA,B,141,0.11074350534869805,0.110743505348698,5.551115123125783e-17,inputs/bundles/predictions/v2_native/C5_LOCT__CPA__C5_loct_B.npz,full_census_strata
T5c,CPA,Mono,140,-0.016325189831306087,-0.016325189831306,8.673617379884035e-17,inputs/bundles/predictions/v2_native/C5_LOCT__CPA__C5_loct_Mono.npz,full_census_strata
T5c,CPA,NK,141,0.1040326124579465,0.1040326124579465,0.0,inputs/bundles/predictions/v2_native/C5_LOCT__CPA__C5_loct_NK.npz,full_census_strata
T5c,CPA,T_cells,141,0.043984803749236946,0.0439848037492369,4.85722573273506e-17,inputs/bundles/predictions/v2_native/C5_LOCT__CPA__C5_loct_T_cells.npz,full_census_strata
T5c,CellOT,B,141,0.14801831656239897,0.1480183165623989,8.326672684688674e-17,inputs/bundles/predictions/v2_native/C5_LOCT__CellOT__C5_loct_B.npz,full_census_strata
T5c,CellOT,Mono,140,0.14504380340085185,0.1450438034008518,5.551115123125783e-17,inputs/bundles/predictions/v2_native/C5_LOCT__CellOT__C5_loct_Mono.npz,full_census_strata
T5c,CellOT,NK,141,0.2557348337195982,0.2557348337195982,0.0,inputs/bundles/predictions/v2_native/C5_LOCT__CellOT__C5_loct_NK.npz,full_census_strata
T5c,CellOT,T_cells,141,0.2257208651143134,0.2257208651143133,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C5_LOCT__CellOT__C5_loct_T_cells.npz,full_census_strata
T5c,PerturbNet,B,141,0.12242729614119008,0.1224272961411901,2.7755575615628914e-17,inputs/bundles/predictions/v2_native/C5_LOCT__PerturbNet__C5_loct_B.npz,full_census_strata
T5c,PerturbNet,Mono,140,0.10427375769797391,0.1042737576979739,1.3877787807814457e-17,inputs/bundles/predictions/v2_native/C5_LOCT__PerturbNet__C5_loct_Mono.npz,full_census_strata
T5c,PerturbNet,NK,141,0.2223806424523757,0.2223806424523756,1.1102230246251565e-16,inputs/bundles/predictions/v2_native/C5_LOCT__PerturbNet__C5_loct_NK.npz,full_census_strata
T5c,PerturbNet,T_cells,141,0.14731179359232072,0.1473117935923207,2.7755575615628914e-17,inputs/bundles/predictions/v2_native/C5_LOCT__PerturbNet__C5_loct_T_cells.npz,full_census_strata
T5c,STATE,B,141,0.08305742869204562,0.0830574286920456,1.3877787807814457e-17,inputs/bundles/predictions/v2_native/C5_LOCT__STATE__C5_loct_B.npz,full_census_strata
T5c,STATE,Mono,140,-0.004817038381299142,-0.0048170383812991,4.163336342344337e-17,inputs/bundles/predictions/v2_native/C5_LOCT__STATE__C5_loct_Mono.npz,full_census_strata
T5c,STATE,NK,141,0.034649229532572476,0.0346492295325724,7.632783294297951e-17,inputs/bundles/predictions/v2_native/C5_LOCT__STATE__C5_loct_NK.npz,full_census_strata
T5c,STATE,T_cells,141,0.053787365786134286,0.0537873657861342,8.326672684688674e-17,inputs/bundles/predictions/v2_native/C5_LOCT__STATE__C5_loct_T_cells.npz,full_census_strata
T5c,scGen,B,141,0.1274710289516907,0.1274710289516907,0.0,inputs/bundles/predictions/v2_native/C5_LOCT__scGen__C5_loct_B.npz,full_census_strata
T5c,scGen,Mono,140,0.15880112345868566,0.1588011234586856,5.551115123125783e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scGen__C5_loct_Mono.npz,full_census_strata
T5c,scGen,NK,141,0.2414667742763602,0.2414667742763602,0.0,inputs/bundles/predictions/v2_native/C5_LOCT__scGen__C5_loct_NK.npz,full_census_strata
T5c,scGen,T_cells,141,0.19390335866362632,0.1939033586636263,2.7755575615628914e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scGen__C5_loct_T_cells.npz,full_census_strata
T5c,scPRAM,B,141,0.18596862016397753,0.1859686201639775,2.7755575615628914e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scPRAM__C5_loct_B.npz,full_census_strata
T5c,scPRAM,Mono,140,0.11888604098037721,0.1188860409803772,1.3877787807814457e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scPRAM__C5_loct_Mono.npz,full_census_strata
T5c,scPRAM,NK,141,0.21704925170616124,0.2170492517061612,2.7755575615628914e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scPRAM__C5_loct_NK.npz,full_census_strata
T5c,scPRAM,T_cells,141,0.20286322974441764,0.2028632297444176,5.551115123125783e-17,inputs/bundles/predictions/v2_native/C5_LOCT__scPRAM__C5_loct_T_cells.npz,full_census_strata
