task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.042372016217649501,0.036399403971339027,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.044830094731530767,0.039782172776561563,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,scGPT,native,5,5,2,chen;schmidt,2,True,-0.024943051501597452,-0.37096823312725535,0.32108213012406045,0.062726676830419867,0.051165517886716215,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.17067502803811926,0.039271370725003543,0.302078685351235,0.09565954794757027,0.071805441379547114,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,Biolord,native,5,5,2,chen;schmidt,2,True,0.29515747566972134,-0.10572971616073604,0.69604466750017868,0.088272049059883131,0.057266352597683194,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,GEARS,native,5,5,2,chen;schmidt,2,True,0.3663609879734373,0.35158620505302596,0.38113577089384859,0.095073815778428911,0.063250210561922621,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.20808904119391608,0.097590190443965302,0.31858789194386683,0.19522529463280647,0.17363657267793775,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.09315919346463139,0.062727289150158572,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.094361236555306038,0.064082331943606574,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,Treg_exhaustion,scGPT,native,5,5,2,chen;schmidt,2,True,0.26871683704794419,0.036038341833776508,0.50139533226211186,0.10468525790252892,0.078114708110926648,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.22896666944426333,-0.058976767580528444,0.51691010646905511,0.050957777950882285,0.042635424262178798,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,Biolord,native,5,5,2,chen;schmidt,2,True,0.29802588202519709,-0.030286994550671097,0.62633875860106525,0.066723903781017183,0.052480925810301587,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,GEARS,native,5,5,2,chen;schmidt,2,True,0.11975814232561485,-0.16193623781876004,0.40145252246998975,0.057768627017383806,0.044435887812592445,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.49938204039788414,0.14130879177551955,0.8574552890202487,0.26551187603874693,0.25657540778407739,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.064224278758825942,0.049906573910266164,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.061664243386649206,0.04803145018273166,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,effector_cytokine,scGPT,native,5,5,2,chen;schmidt,2,True,0.21292571042566105,0.15958101276425243,0.26627040808706964,0.069850038555424002,0.050088941860234451,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.40959871024760336,0.21549542500110164,0.60370199549410508,0.058244044702014233,0.046455796470954304,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,Biolord,native,5,5,2,chen;schmidt,2,True,0.12590993773207415,-0.1602519001359774,0.4120717756001257,0.0855925337640875,0.071130378695116153,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,GEARS,native,5,5,2,chen;schmidt,2,True,0.27938597950516109,0.19710842940638468,0.36166352960393744,0.057395657503839091,0.048424974296774184,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,PertAdapt,native,5,5,2,chen;schmidt,2,True,0.11975181369383561,-0.05679243478726604,0.29629606217493726,0.12172501051434026,0.11164380129249322,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.066262272795970301,0.055233432937945637,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.067381591763088028,0.056191643008163997,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,proliferation,scGPT,native,5,5,2,chen;schmidt,2,True,-0.13700548138610746,-0.37006290243915985,0.096051939666944947,0.10155748967909356,0.085478710347697856,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,AttentionPert,native,5,5,1,chen,1,True,-0.13533291930893412,-0.13533291930893412,-0.13533291930893412,0.0051719407569514597,0.0044444444444444462,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,Biolord,native,5,5,1,chen,1,True,0.058693116204234369,0.058693116204234369,0.058693116204234369,0.0024343224778007365,0.0017777777777777768,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,CellFlow,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,GEARS,native,5,5,1,chen,1,True,0.28656798755207064,0.28656798755207064,0.28656798755207064,0.0034426518632954808,0.0027407407407407398,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,PertAdapt,native,5,5,1,chen,1,True,-0.27275459940658481,-0.27275459940658481,-0.27275459940658481,0.012391089324599577,0.01122222222222222,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,PerturbNet,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,STATE,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,cell-mean,floor,5,5,1,chen,0,False,,,,0.0024173583514193646,0.0017777777777777768,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,linear-PCA,floor,5,5,1,chen,0,False,,,,0.0024173583514193646,0.0017777777777777768,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,linear-shift-KOemb,diagnostic,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,scFoundation,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,IL2_STAT5,scGPT,native,5,5,1,chen,0,False,,,,0.0024173583514193646,0.0017777777777777768,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,AttentionPert,native,5,5,1,chen,1,True,-0.10651116907575384,-0.10651116907575384,-0.10651116907575384,0.0085080450913074136,0.0072962962962962973,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,Biolord,native,5,5,1,chen,1,True,0.13659040664458688,0.13659040664458688,0.13659040664458688,0.00498970132789166,0.0042592592592592604,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,CellFlow,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,GEARS,native,5,5,1,chen,1,True,0.37358026698340813,0.37358026698340813,0.37358026698340813,0.0049566017829323237,0.0038148148148148147,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,PertAdapt,native,5,5,1,chen,1,True,-0.11187178586876857,-0.11187178586876857,-0.11187178586876857,0.0099463581853994829,0.0086666666666666645,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,PerturbNet,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,STATE,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,cell-mean,floor,5,5,1,chen,0,False,,,,0.0044813284332604966,0.003407407407407408,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,linear-PCA,floor,5,5,1,chen,0,False,,,,0.0060109639196054354,0.0048888888888888879,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,linear-shift-KOemb,diagnostic,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,scFoundation,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,TCR_activation,scGPT,native,5,5,1,chen,1,True,0.088662145354049191,0.088662145354049191,0.088662145354049191,0.0044536940786836779,0.0036296296296296289,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,AttentionPert,native,5,5,1,chen,1,True,-0.062243443026498056,-0.062243443026498056,-0.062243443026498056,0.034042457151164773,0.031000000000000014,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,Biolord,native,5,5,1,chen,1,True,-0.080096393620097794,-0.080096393620097794,-0.080096393620097794,0.015643600040343087,0.011944444444444445,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,CellFlow,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,GEARS,native,5,5,1,chen,1,True,0.1048905023749455,0.1048905023749455,0.1048905023749455,0.017517187327075422,0.014111111111111111,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,PertAdapt,native,5,5,1,chen,1,True,0.035859131354263739,0.035859131354263739,0.035859131354263739,0.051697123639450115,0.048555555555555553,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,PerturbNet,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,STATE,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,cell-mean,floor,5,5,1,chen,0,False,,,,0.014213973302248637,0.011333333333333336,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,linear-PCA,floor,5,5,1,chen,0,False,,,,0.015575384187640203,0.012111111111111112,"{""constant_predicted_score"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,linear-shift-KOemb,diagnostic,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,scFoundation,native,5,5,1,chen,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,Treg_exhaustion,scGPT,native,5,5,1,chen,1,True,0.39199150583186743,0.39199150583186743,0.39199150583186743,0.016115899671511433,0.012166666666666666,"{""estimable"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,AttentionPert,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,Biolord,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,CellFlow,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,GEARS,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,PertAdapt,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,PerturbNet,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,STATE,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,cell-mean,floor,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,linear-PCA,floor,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,linear-shift-KOemb,diagnostic,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,scFoundation,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_cytokine,scGPT,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,AttentionPert,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,Biolord,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,CellFlow,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,GEARS,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,PertAdapt,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,PerturbNet,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,STATE,native,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,cell-mean,floor,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,linear-PCA,floor,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,rank_top5_mean_profile,proliferation,linear-shift-KOemb,diagnostic,5,5,0,,0,False,,,,,,{},common observed-defined units; identical for every candidate
