task,model,unit,stratum,pearson_delta
T1,cell-mean,B,donor_id=1015,0.6958319246598921
T1,cell-mean,B,donor_id=101,0.6918760680935021
T1,cell-mean,B,donor_id=1039,0.6540365266275288
T1,cell-mean,B,donor_id=1244,0.6613198722183424
T1,cell-mean,B,donor_id=1016,0.6376977142666169
T1,cell-mean,B,donor_id=107,0.6224928510888529
T1,cell-mean,CD4T,donor_id=1256,0.5473220383962492
T1,cell-mean,CD4T,donor_id=101,0.637201527786205
T1,cell-mean,CD4T,donor_id=1039,0.68104762489731
T1,cell-mean,CD4T,donor_id=1016,0.636433439037623
T1,cell-mean,CD4T,donor_id=1015,0.7173125381716527
T1,cell-mean,CD4T,donor_id=1244,0.5226016526009077
T1,cell-mean,CD4T,donor_id=107,0.6538740621442923
T1,cell-mean,CD4T,donor_id=1488,0.5664744718856339
T1,cell-mean,CD8T,donor_id=101,0.6498762052272449
T1,cell-mean,CD8T,donor_id=1015,0.6528796253592304
T1,cell-mean,CD8T,donor_id=1256,0.6336347760299187
T1,cell-mean,CD8T,donor_id=1244,0.5904462877751899
T1,cell-mean,CD8T,donor_id=1039,0.6171900396418388
T1,cell-mean,CD8T,donor_id=1016,0.6115598162401579
T1,cell-mean,CD8T,donor_id=1488,0.6851893896456702
T1,cell-mean,CD8T,donor_id=107,0.5084499653603284
T1,cell-mean,DC,donor_id=1488,0.7227761100646396
T1,cell-mean,DC,donor_id=101,0.7629929423441617
T1,cell-mean,DC,donor_id=1039,0.646671590821741
T1,cell-mean,DC,donor_id=1256,0.7731693541171224
T1,cell-mean,DC,donor_id=107,0.6797544257670727
T1,cell-mean,DC,donor_id=1015,0.7337960663462958
T1,cell-mean,DC,donor_id=1244,0.6580276547634323
T1,cell-mean,DC,donor_id=1016,0.7176509106471456
T1,cell-mean,Mk,donor_id=1016,0.48470529528592204
T1,cell-mean,Mk,donor_id=1488,0.5962168916330777
T1,cell-mean,Mk,donor_id=1015,0.7827143555372746
T1,cell-mean,Mk,donor_id=107,0.32886815656343554
T1,cell-mean,Mk,donor_id=1039,0.44636189938131265
T1,cell-mean,Mk,donor_id=1256,0.5713261964165007
T1,cell-mean,Mk,donor_id=1244,0.49470780142070053
T1,cell-mean,Mk,donor_id=101,0.5707990096895129
T1,cell-mean,Mono_CD14,donor_id=101,0.39225586382952105
T1,cell-mean,Mono_CD14,donor_id=1244,0.4619255330786353
T1,cell-mean,Mono_CD14,donor_id=1488,0.46037381061690225
T1,cell-mean,Mono_CD14,donor_id=1015,0.47455027676199846
T1,cell-mean,Mono_CD14,donor_id=1256,0.4485673091086072
T1,cell-mean,Mono_CD14,donor_id=107,0.4278845729576186
T1,cell-mean,Mono_CD14,donor_id=1016,0.5305590354279662
T1,cell-mean,Mono_CD14,donor_id=1039,0.4507087220463586
T1,cell-mean,Mono_FCGR3A,donor_id=1488,0.5442914252191798
T1,cell-mean,Mono_FCGR3A,donor_id=101,0.49184136746163387
T1,cell-mean,Mono_FCGR3A,donor_id=107,0.5185552324032023
T1,cell-mean,Mono_FCGR3A,donor_id=1256,0.5541442864316685
T1,cell-mean,Mono_FCGR3A,donor_id=1016,0.5442579538455323
T1,cell-mean,Mono_FCGR3A,donor_id=1015,0.5680286240955603
T1,cell-mean,Mono_FCGR3A,donor_id=1039,0.4881731597319775
T1,cell-mean,Mono_FCGR3A,donor_id=1244,0.5205705848774663
T1,cell-mean,NK,donor_id=101,0.5875282536755053
T1,cell-mean,NK,donor_id=1488,0.5807792545766991
T1,cell-mean,NK,donor_id=107,0.5452676395070595
T1,cell-mean,NK,donor_id=1244,0.5935384355927209
T1,cell-mean,NK,donor_id=1256,0.5651727708835109
T1,cell-mean,NK,donor_id=1015,0.6135903199020912
T1,cell-mean,NK,donor_id=1016,0.6316688115528615
T1,cell-mean,NK,donor_id=1039,0.5350682763784677
T1,linear-PCA,B,donor_id=1256,0.8427199648555909
T1,linear-PCA,B,donor_id=1488,0.8380500039046477
T1,linear-PCA,B,donor_id=1015,0.8563690555448789
T1,linear-PCA,B,donor_id=101,0.8396232825293315
T1,linear-PCA,B,donor_id=1039,0.803825552363893
T1,linear-PCA,B,donor_id=1244,0.8180512937233417
T1,linear-PCA,B,donor_id=1016,0.8342212364370908
T1,linear-PCA,B,donor_id=107,0.8005734265371774
T1,linear-PCA,CD4T,donor_id=1256,0.7740139242306037
T1,linear-PCA,CD4T,donor_id=101,0.786345494260589
T1,linear-PCA,CD4T,donor_id=1039,0.8028421950093854
T1,linear-PCA,CD4T,donor_id=1016,0.7795952038681352
T1,linear-PCA,CD4T,donor_id=1015,0.8189948333577178
T1,linear-PCA,CD4T,donor_id=1244,0.736493323740024
T1,linear-PCA,CD4T,donor_id=107,0.7922124000831624
T1,linear-PCA,CD4T,donor_id=1488,0.7856676847187066
T1,linear-PCA,CD8T,donor_id=101,0.7214845074323367
T1,linear-PCA,CD8T,donor_id=1015,0.7714293409255188
T1,linear-PCA,CD8T,donor_id=1256,0.7925717492828157
T1,linear-PCA,CD8T,donor_id=1244,0.652451720122477
T1,linear-PCA,CD8T,donor_id=1039,0.713472585934249
T1,linear-PCA,CD8T,donor_id=1016,0.7844220638509124
T1,linear-PCA,CD8T,donor_id=1488,0.7988962849763639
T1,linear-PCA,CD8T,donor_id=107,0.5339606202253451
T1,linear-PCA,DC,donor_id=1488,0.8782032023668362
T1,linear-PCA,DC,donor_id=101,0.8555510395092599
T1,linear-PCA,DC,donor_id=1039,0.6626345599442579
T1,linear-PCA,DC,donor_id=1256,0.8068690640499042
T1,linear-PCA,DC,donor_id=107,0.8476918138773133
T1,linear-PCA,DC,donor_id=1015,0.8636762878778623
T1,linear-PCA,DC,donor_id=1244,0.8563799564439424
T1,linear-PCA,DC,donor_id=1016,0.8072391388312051
T1,linear-PCA,Mk,donor_id=1016,0.5650592013104466
T1,linear-PCA,Mk,donor_id=1488,0.6578700457974649
T1,linear-PCA,Mk,donor_id=1015,0.8202143836003566
T1,linear-PCA,Mk,donor_id=107,0.4131310750222064
T1,linear-PCA,Mk,donor_id=1039,0.5387957648674273
T1,linear-PCA,Mk,donor_id=1256,0.592649359910901
T1,linear-PCA,Mk,donor_id=1244,0.5974650095597274
T1,linear-PCA,Mk,donor_id=101,0.6340632517140729
T1,linear-PCA,Mono_CD14,donor_id=101,0.8174168115244356
T1,linear-PCA,Mono_CD14,donor_id=1244,0.8061533578832074
T1,linear-PCA,Mono_CD14,donor_id=1488,0.8150315065273436
T1,linear-PCA,Mono_CD14,donor_id=1015,0.828555433959675
T1,linear-PCA,Mono_CD14,donor_id=1256,0.8063634728387925
T1,linear-PCA,Mono_CD14,donor_id=107,0.8283620553872122
T1,linear-PCA,Mono_CD14,donor_id=1016,0.8286453972117847
T1,linear-PCA,Mono_CD14,donor_id=1039,0.8217712979820689
T1,linear-PCA,Mono_FCGR3A,donor_id=1488,0.9068967051743306
T1,linear-PCA,Mono_FCGR3A,donor_id=101,0.8952360180927074
T1,linear-PCA,Mono_FCGR3A,donor_id=107,0.8763717654300427
T1,linear-PCA,Mono_FCGR3A,donor_id=1256,0.8859763748571423
T1,linear-PCA,Mono_FCGR3A,donor_id=1016,0.874984915628754
T1,linear-PCA,Mono_FCGR3A,donor_id=1015,0.8846620622782478
T1,linear-PCA,Mono_FCGR3A,donor_id=1039,0.8620688535511597
T1,linear-PCA,Mono_FCGR3A,donor_id=1244,0.8639382873825558
T1,linear-PCA,NK,donor_id=101,0.7914438490725232
T1,linear-PCA,NK,donor_id=1488,0.8182246686689365
T1,linear-PCA,NK,donor_id=107,0.7682730080817894
T1,linear-PCA,NK,donor_id=1244,0.8044066751106351
T1,linear-PCA,NK,donor_id=1256,0.8137893355736199
T1,linear-PCA,NK,donor_id=1015,0.8218577108989447
T1,linear-PCA,NK,donor_id=1016,0.7610211058136024
T1,linear-PCA,NK,donor_id=1039,0.6841456059861847
T1,scFoundation,B,donor_id=1256,0.7580426239123228
T1,scFoundation,B,donor_id=1488,0.7589878052746935
T1,scFoundation,B,donor_id=1015,0.7617416648024693
T1,scFoundation,B,donor_id=101,0.7426650071763884
T1,scFoundation,B,donor_id=1039,0.740436302147722
T1,scFoundation,B,donor_id=1244,0.7484353305046322
T1,scFoundation,B,donor_id=1016,0.7521334350526122
T1,scFoundation,B,donor_id=107,0.724860664786004
T1,scFoundation,CD4T,donor_id=1256,0.7121717895972746
T1,scFoundation,CD4T,donor_id=101,0.7323337055204427
T1,scFoundation,CD4T,donor_id=1039,0.7583563104368668
T1,scFoundation,CD4T,donor_id=1016,0.7231318925288273
T1,scFoundation,CD4T,donor_id=1015,0.7486448023504076
T1,scFoundation,CD4T,donor_id=1244,0.7025781786276541
T1,scFoundation,CD4T,donor_id=107,0.7320833952561878
T1,scFoundation,CD4T,donor_id=1488,0.721778533355704
T1,scFoundation,CD8T,donor_id=101,0.6876792364506068
T1,scFoundation,CD8T,donor_id=1015,0.7456022315633184
T1,scFoundation,CD8T,donor_id=1256,0.7477316518584792
T1,scFoundation,CD8T,donor_id=1244,0.609881860051828
T1,scFoundation,CD8T,donor_id=1039,0.6857457538641084
T1,scFoundation,CD8T,donor_id=1016,0.7601943562434151
T1,scFoundation,CD8T,donor_id=1488,0.739601015246945
T1,scFoundation,CD8T,donor_id=107,0.48198723215120315
T1,scFoundation,DC,donor_id=1488,0.7577060799513111
T1,scFoundation,DC,donor_id=101,0.7261642480513779
T1,scFoundation,DC,donor_id=1039,0.5684237634439805
T1,scFoundation,DC,donor_id=1256,0.6826732817286533
T1,scFoundation,DC,donor_id=107,0.7088284282219539
T1,scFoundation,DC,donor_id=1015,0.7644116801563461
T1,scFoundation,DC,donor_id=1244,0.7337805546355749
T1,scFoundation,DC,donor_id=1016,0.6973665364660084
T1,scFoundation,Mk,donor_id=1016,0.4555916736396611
T1,scFoundation,Mk,donor_id=1488,0.6153008382422387
T1,scFoundation,Mk,donor_id=1015,0.7146124002747596
T1,scFoundation,Mk,donor_id=107,0.29547205911301117
T1,scFoundation,Mk,donor_id=1039,0.4335222778958757
T1,scFoundation,Mk,donor_id=1256,0.5849576707984615
T1,scFoundation,Mk,donor_id=1244,0.4986061449190784
T1,scFoundation,Mk,donor_id=101,0.5504767019010824
T1,scFoundation,Mono_CD14,donor_id=101,0.6827359479920341
T1,scFoundation,Mono_CD14,donor_id=1244,0.6697385954842681
T1,scFoundation,Mono_CD14,donor_id=1488,0.6843274996254626
T1,scFoundation,Mono_CD14,donor_id=1015,0.6945462004458556
T1,scFoundation,Mono_CD14,donor_id=1256,0.6787160765349296
T1,scFoundation,Mono_CD14,donor_id=107,0.6881248156580683
T1,scFoundation,Mono_CD14,donor_id=1016,0.726900839518923
T1,scFoundation,Mono_CD14,donor_id=1039,0.6906643038881997
T1,scFoundation,Mono_FCGR3A,donor_id=1488,0.7013129743287012
T1,scFoundation,Mono_FCGR3A,donor_id=101,0.7005151341307484
T1,scFoundation,Mono_FCGR3A,donor_id=107,0.6981858247477196
T1,scFoundation,Mono_FCGR3A,donor_id=1256,0.6856528327008379
T1,scFoundation,Mono_FCGR3A,donor_id=1016,0.7211153643971203
T1,scFoundation,Mono_FCGR3A,donor_id=1015,0.6990135852268076
T1,scFoundation,Mono_FCGR3A,donor_id=1039,0.6746142391419043
T1,scFoundation,Mono_FCGR3A,donor_id=1244,0.6704069598530379
T1,scFoundation,NK,donor_id=101,0.6640963003173304
T1,scFoundation,NK,donor_id=1488,0.6522061165057538
T1,scFoundation,NK,donor_id=107,0.632114549410046
T1,scFoundation,NK,donor_id=1244,0.6846627279932475
T1,scFoundation,NK,donor_id=1256,0.6361417935544127
T1,scFoundation,NK,donor_id=1015,0.678662306319628
T1,scFoundation,NK,donor_id=1016,0.6799410287699655
T1,scFoundation,NK,donor_id=1039,0.5903345645065403
T1,scGPT,B,donor_id=1256,0.6795277634015229
T1,scGPT,B,donor_id=1488,0.6842234271417547
T1,scGPT,B,donor_id=1015,0.696781521909251
T1,scGPT,B,donor_id=101,0.6924988739805734
T1,scGPT,B,donor_id=1039,0.6582179683960498
T1,scGPT,B,donor_id=1244,0.6642576742469822
T1,scGPT,B,donor_id=1016,0.6431836442358092
T1,scGPT,B,donor_id=107,0.6291502954386654
T1,scGPT,CD4T,donor_id=1256,0.579163065946684
T1,scGPT,CD4T,donor_id=101,0.6691037130246418
T1,scGPT,CD4T,donor_id=1039,0.6924215213370273
T1,scGPT,CD4T,donor_id=1016,0.6364949550292941
T1,scGPT,CD4T,donor_id=1015,0.7258275334500098
T1,scGPT,CD4T,donor_id=1244,0.5604740215235049
T1,scGPT,CD4T,donor_id=107,0.6734113464489403
T1,scGPT,CD4T,donor_id=1488,0.6053457048234313
T1,scGPT,CD8T,donor_id=101,0.6584115863447036
T1,scGPT,CD8T,donor_id=1015,0.6616268708611734
T1,scGPT,CD8T,donor_id=1256,0.6307210172720141
T1,scGPT,CD8T,donor_id=1244,0.6017410587452054
T1,scGPT,CD8T,donor_id=1039,0.6244805703273747
T1,scGPT,CD8T,donor_id=1016,0.6179281437932875
T1,scGPT,CD8T,donor_id=1488,0.6862333272966354
T1,scGPT,CD8T,donor_id=107,0.5124823373262906
T1,scGPT,DC,donor_id=1488,0.7030794762973724
T1,scGPT,DC,donor_id=101,0.7436284701509396
T1,scGPT,DC,donor_id=1039,0.6330345979335978
T1,scGPT,DC,donor_id=1256,0.757379712607729
T1,scGPT,DC,donor_id=107,0.6569576888072552
T1,scGPT,DC,donor_id=1015,0.7127785963674114
T1,scGPT,DC,donor_id=1244,0.638546666552335
T1,scGPT,DC,donor_id=1016,0.6973853236153578
T1,scGPT,Mk,donor_id=1016,0.5136890437465216
T1,scGPT,Mk,donor_id=1488,0.5679345391737067
T1,scGPT,Mk,donor_id=1015,0.761810124335704
T1,scGPT,Mk,donor_id=107,0.35698816344808854
T1,scGPT,Mk,donor_id=1039,0.4748217360859788
T1,scGPT,Mk,donor_id=1256,0.5376977170786975
T1,scGPT,Mk,donor_id=1244,0.5212523342168557
T1,scGPT,Mk,donor_id=101,0.5621832787413146
T1,scGPT,Mono_CD14,donor_id=101,0.33563198115724674
T1,scGPT,Mono_CD14,donor_id=1244,0.40673389956130546
T1,scGPT,Mono_CD14,donor_id=1488,0.3999592076891993
T1,scGPT,Mono_CD14,donor_id=1015,0.41773739059598514
T1,scGPT,Mono_CD14,donor_id=1256,0.39127479104721036
T1,scGPT,Mono_CD14,donor_id=107,0.3644260935509088
T1,scGPT,Mono_CD14,donor_id=1016,0.4786607925298317
T1,scGPT,Mono_CD14,donor_id=1039,0.3945590062206647
T1,scGPT,Mono_FCGR3A,donor_id=1488,0.5592550166179321
T1,scGPT,Mono_FCGR3A,donor_id=101,0.5048773225718718
T1,scGPT,Mono_FCGR3A,donor_id=107,0.5299437249951028
T1,scGPT,Mono_FCGR3A,donor_id=1256,0.5643415505472547
T1,scGPT,Mono_FCGR3A,donor_id=1016,0.5435752163400174
T1,scGPT,Mono_FCGR3A,donor_id=1015,0.5776912346943525
T1,scGPT,Mono_FCGR3A,donor_id=1039,0.5050557250454925
T1,scGPT,Mono_FCGR3A,donor_id=1244,0.5316662805876318
T1,scGPT,NK,donor_id=101,0.5886029405081352
T1,scGPT,NK,donor_id=1488,0.5812174686583427
T1,scGPT,NK,donor_id=107,0.5404917790665583
T1,scGPT,NK,donor_id=1244,0.5916286456646761
T1,scGPT,NK,donor_id=1256,0.5646113851446956
T1,scGPT,NK,donor_id=1015,0.6114745844447498
T1,scGPT,NK,donor_id=1016,0.630322682918014
T1,scGPT,NK,donor_id=1039,0.5338934599103187
T1,scGen,B,donor_id=1256,0.7586364551774236
T1,scGen,B,donor_id=1488,0.7937362505301077
T1,scGen,B,donor_id=1015,0.7657506921821682
T1,scGen,B,donor_id=101,0.7737540721320849
T1,scGen,B,donor_id=1039,0.7657627822208355
T1,scGen,B,donor_id=1244,0.7858584575929972
T1,scGen,B,donor_id=1016,0.7448870478297249
T1,scGen,B,donor_id=107,0.7505963777675249
T1,scGen,CD4T,donor_id=1256,0.7205608711239646
T1,scGen,CD4T,donor_id=101,0.8081868494530258
T1,scGen,CD4T,donor_id=1039,0.8128702846052663
T1,scGen,CD4T,donor_id=1016,0.7748006969319365
T1,scGen,CD4T,donor_id=1015,0.8394039830881006
T1,scGen,CD4T,donor_id=1244,0.6953263576248158
T1,scGen,CD4T,donor_id=107,0.8178034757141254
T1,scGen,CD4T,donor_id=1488,0.7457609301456657
T1,scGen,CD8T,donor_id=101,0.8019944265916846
T1,scGen,CD8T,donor_id=1015,0.819181753920532
T1,scGen,CD8T,donor_id=1256,0.7876082372704433
T1,scGen,CD8T,donor_id=1244,0.7345794319502341
T1,scGen,CD8T,donor_id=1039,0.770106633668167
T1,scGen,CD8T,donor_id=1016,0.8069678464814954
T1,scGen,CD8T,donor_id=1488,0.8499482270553435
T1,scGen,CD8T,donor_id=107,0.6041106087327859
T1,scGen,DC,donor_id=1488,0.7654635672555643
T1,scGen,DC,donor_id=101,0.7789770229800339
T1,scGen,DC,donor_id=1039,0.6198152856628064
T1,scGen,DC,donor_id=1256,0.7302761501743286
T1,scGen,DC,donor_id=107,0.7365461585636844
T1,scGen,DC,donor_id=1015,0.7792877332695604
T1,scGen,DC,donor_id=1244,0.6987368673370338
T1,scGen,DC,donor_id=1016,0.7432485419361117
T1,scGen,Mk,donor_id=1016,0.5016488174408165
T1,scGen,Mk,donor_id=1488,0.602951728982732
T1,scGen,Mk,donor_id=1015,0.7583382254622806
T1,scGen,Mk,donor_id=107,0.33591281455817207
T1,scGen,Mk,donor_id=1039,0.45813020628893397
T1,scGen,Mk,donor_id=1256,0.6079186234656215
T1,scGen,Mk,donor_id=1244,0.5225893498312272
T1,scGen,Mk,donor_id=101,0.5657191106768447
T1,scGen,Mono_CD14,donor_id=101,0.8102970010803322
T1,scGen,Mono_CD14,donor_id=1244,0.8278722960627638
T1,scGen,Mono_CD14,donor_id=1488,0.8421729978664512
T1,scGen,Mono_CD14,donor_id=1015,0.8487636203606198
T1,scGen,Mono_CD14,donor_id=1256,0.8312151876257483
T1,scGen,Mono_CD14,donor_id=107,0.839281274436623
T1,scGen,Mono_CD14,donor_id=1016,0.8509683221263858
T1,scGen,Mono_CD14,donor_id=1039,0.8312180279303473
T1,scGen,Mono_FCGR3A,donor_id=1488,0.8240861854813332
T1,scGen,Mono_FCGR3A,donor_id=101,0.7974057571536197
T1,scGen,Mono_FCGR3A,donor_id=107,0.826286199146017
T1,scGen,Mono_FCGR3A,donor_id=1256,0.8355833594139913
T1,scGen,Mono_FCGR3A,donor_id=1016,0.7824630405555975
T1,scGen,Mono_FCGR3A,donor_id=1015,0.8479405803815623
T1,scGen,Mono_FCGR3A,donor_id=1039,0.8324679510500865
T1,scGen,Mono_FCGR3A,donor_id=1244,0.8480769453588168
T1,scGen,NK,donor_id=101,0.7658048658164244
T1,scGen,NK,donor_id=1488,0.7656688556294008
T1,scGen,NK,donor_id=107,0.6871578104760035
T1,scGen,NK,donor_id=1244,0.7294946256252054
T1,scGen,NK,donor_id=1256,0.7855238974678946
T1,scGen,NK,donor_id=1015,0.7543442496201103
T1,scGen,NK,donor_id=1016,0.8256212322090992
T1,scGen,NK,donor_id=1039,0.6551275660423966
T1,CellFlow,B,donor_id=1256,0.8258222628273378
T1,CellFlow,B,donor_id=1488,0.8428700742894291
T1,CellFlow,B,donor_id=1015,0.8327197811888081
T1,CellFlow,B,donor_id=101,0.8369714419027784
T1,CellFlow,B,donor_id=1039,0.8045129598637096
T1,CellFlow,B,donor_id=1244,0.8350453237301534
T1,CellFlow,B,donor_id=1016,0.8175868058860488
T1,CellFlow,B,donor_id=107,0.8136841893430526
T1,CellFlow,CD4T,donor_id=1256,0.7848412819243906
T1,CellFlow,CD4T,donor_id=101,0.8228879895031387
T1,CellFlow,CD4T,donor_id=1039,0.8398022022136293
T1,CellFlow,CD4T,donor_id=1016,0.8175380028923399
T1,CellFlow,CD4T,donor_id=1015,0.8578377904691813
T1,CellFlow,CD4T,donor_id=1244,0.7579079628697036
T1,CellFlow,CD4T,donor_id=107,0.8437790081407669
T1,CellFlow,CD4T,donor_id=1488,0.8072733069428988
T1,CellFlow,CD8T,donor_id=101,0.8175537992348781
T1,CellFlow,CD8T,donor_id=1015,0.8411703549402112
T1,CellFlow,CD8T,donor_id=1256,0.8318676186149058
T1,CellFlow,CD8T,donor_id=1244,0.73737672083933
T1,CellFlow,CD8T,donor_id=1039,0.7868068681164931
T1,CellFlow,CD8T,donor_id=1016,0.8350451800735446
T1,CellFlow,CD8T,donor_id=1488,0.870228976856383
T1,CellFlow,CD8T,donor_id=107,0.6182987256685955
T1,CellFlow,DC,donor_id=1488,0.8758382506149109
T1,CellFlow,DC,donor_id=101,0.8572245368436646
T1,CellFlow,DC,donor_id=1039,0.6520110005350659
T1,CellFlow,DC,donor_id=1256,0.8053341275694038
T1,CellFlow,DC,donor_id=107,0.8503353902615729
T1,CellFlow,DC,donor_id=1015,0.8854387123471924
T1,CellFlow,DC,donor_id=1244,0.8750454810242586
T1,CellFlow,DC,donor_id=1016,0.8137502106392437
T1,CellFlow,Mk,donor_id=1016,0.5068018632742546
T1,CellFlow,Mk,donor_id=1488,0.6220890533340304
T1,CellFlow,Mk,donor_id=1015,0.7773624392568346
T1,CellFlow,Mk,donor_id=107,0.3419843955188956
T1,CellFlow,Mk,donor_id=1039,0.47460567274108517
T1,CellFlow,Mk,donor_id=1256,0.6097347333544665
T1,CellFlow,Mk,donor_id=1244,0.5345150028413581
T1,CellFlow,Mk,donor_id=101,0.5842042597457829
T1,CellFlow,Mono_CD14,donor_id=101,0.8995304055324973
T1,CellFlow,Mono_CD14,donor_id=1244,0.9211037595577747
T1,CellFlow,Mono_CD14,donor_id=1488,0.9292425369502296
T1,CellFlow,Mono_CD14,donor_id=1015,0.9342979627737406
T1,CellFlow,Mono_CD14,donor_id=1256,0.9181692377461944
T1,CellFlow,Mono_CD14,donor_id=107,0.9271910855321299
T1,CellFlow,Mono_CD14,donor_id=1016,0.9415696450001408
T1,CellFlow,Mono_CD14,donor_id=1039,0.9304381293956201
T1,CellFlow,Mono_FCGR3A,donor_id=1488,0.8844283868725917
T1,CellFlow,Mono_FCGR3A,donor_id=101,0.8636283261285744
T1,CellFlow,Mono_FCGR3A,donor_id=107,0.8758214577668295
T1,CellFlow,Mono_FCGR3A,donor_id=1256,0.8901897777284352
T1,CellFlow,Mono_FCGR3A,donor_id=1016,0.813766987299294
T1,CellFlow,Mono_FCGR3A,donor_id=1015,0.9004563687744368
T1,CellFlow,Mono_FCGR3A,donor_id=1039,0.9001109035954442
T1,CellFlow,Mono_FCGR3A,donor_id=1244,0.8962544461414844
T1,CellFlow,NK,donor_id=101,0.7869255449154465
T1,CellFlow,NK,donor_id=1488,0.7819516061389078
T1,CellFlow,NK,donor_id=107,0.7176189805034415
T1,CellFlow,NK,donor_id=1244,0.7584121593827663
T1,CellFlow,NK,donor_id=1256,0.7912551176224524
T1,CellFlow,NK,donor_id=1015,0.7689544611815106
T1,CellFlow,NK,donor_id=1016,0.8409025557809675
T1,CellFlow,NK,donor_id=1039,0.6844058499675537
T1,CPA,B,donor_id=1256,0.3598889130907969
T1,CPA,B,donor_id=1488,0.3872143793113915
T1,CPA,B,donor_id=1015,0.35244638305885845
T1,CPA,B,donor_id=101,0.37160017350619656
T1,CPA,B,donor_id=1039,0.3876313457491023
T1,CPA,B,donor_id=1244,0.3877318910545332
T1,CPA,B,donor_id=1016,0.30189580673750516
T1,CPA,B,donor_id=107,0.3487795372275919
T1,CPA,CD4T,donor_id=1256,0.2606051572952576
T1,CPA,CD4T,donor_id=101,0.3580904783086704
T1,CPA,CD4T,donor_id=1039,0.4040226412773743
T1,CPA,CD4T,donor_id=1016,0.37077160399329134
T1,CPA,CD4T,donor_id=1015,0.4376523096715909
