task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.3400187541999025,0.0094927020368594,0.6746454143933422,0.0799408067235042,0.054650516850165,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scGen,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0767720004169041,-0.0921314360691602,0.3603404485460223,0.3188516771993018,0.3017766890358758,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2276713949875083,0.0159531244637866,0.503560146503428,0.3866241200812057,0.3165346166950142,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0517424691765009,-0.0155918328440053,0.1364569578000201,0.1580825499799779,0.1301717015474596,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.3183199773862861,-0.1633609956139049,0.5266605763096877,0.1683379224630792,0.1422354173595708,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CellOT,native,4,4,4,B;Mono;NK;T_cells,4,True,0.5171373204761258,0.1432201231316567,0.7201270825639928,0.1645085327818433,0.1381132743718465,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.5318111499902106,0.1437945392151088,0.6753672405219991,0.0985787437906244,0.0647574469556866,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4127091144018662,0.104334229039172,0.5427459916102898,0.3028402853029416,0.2822103702124816,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.3354926253737451,-0.0482373178327136,0.6702898465262933,0.1244864722355938,0.0920739043523963,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0829474410004708,-0.0520042757238203,0.356357929849704,0.2540326420409632,0.2248981648085101,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.3620915365222582,0.3517972363200561,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.1036442188476801,0.0652696375191912,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.4131053107076462,-0.0791996720380406,0.6201229744280891,0.093003911640502,0.0616993041131291,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.55056289355539,0.3121421012776216,0.6958914867097175,0.095893786310893,0.0672420787001589,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scGen,native,4,4,4,B;Mono;NK;T_cells,4,True,0.615640973752521,0.3870456101601573,0.7736752698579376,0.1281192818758081,0.1032096626494487,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.344281989319139,0.1256855112050518,0.5974772828937674,0.2101652952619553,0.1708523755806489,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.15296643182305,0.0627101171667267,0.2291600358482324,0.2925964487768822,0.2371386233104311,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.7841594394406926,0.6591382360065406,0.8738307818003919,0.2537743009140216,0.2184220772517889,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,4,True,0.850597372215157,0.6940034199842632,0.9190996291362568,0.1914248010863039,0.1491571410402883,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.8804541714714915,0.7680403041733426,0.9329094735448644,0.1393285775283275,0.1085663530121471,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.8025546066341884,0.6961373585902915,0.8685087382073851,0.2705640480159419,0.2353674596818257,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.8128202702143486,0.5399714642847206,0.9326236015361284,0.1561217349233929,0.1194270314926011,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2166570165279853,0.0990432238822923,0.3744447986233397,0.3063483986412731,0.2499397521739508,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.2817383767489969,0.2312877303218993,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.2542322784375742,0.2001097889585289,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.6758633947845428,0.1614240301719748,0.9246715870111591,0.1860955963950921,0.1471243233904257,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.9060681791532624,0.810883926026042,0.9414677443974389,0.1356649738447032,0.1077634297209798,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,4,True,0.881554723006942,0.7648492301704367,0.9282318290502312,0.1510595727310727,0.122702058222465,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.7273972753360279,0.5924014883865587,0.8041729820907708,0.2405266912238976,0.1986067567582918,"{""estimable"": 4}",common observed-defined units; identical for every candidate
