task,program,model,status,x,y,highlighted,n_comparison_units
T5c,effector_lymphocyte,scFoundation,adapted,0.2535439770169783,6.1,False,4
T5c,effector_lymphocyte,scGPT,adapted,0.3400187541999025,6.1,False,4
T5c,effector_lymphocyte,scGen,native,0.0767720004169041,6.1,False,4
T5c,effector_lymphocyte,scPRAM,native,0.2276713949875083,6.1,False,4
T5c,inflammatory_NFkB,CPA,native,0.0517424691765009,7.1,False,4
T5c,inflammatory_NFkB,CellFlow,native,0.3183199773862861,7.1,False,4
T5c,inflammatory_NFkB,CellOT,native,0.5171373204761258,7.1,False,4
T5c,inflammatory_NFkB,FP-ridge,diagnostic,0.5318111499902106,7.1,False,4
T5c,inflammatory_NFkB,PRnet,native,0.4127091144018662,7.1,False,4
T5c,inflammatory_NFkB,PerturbNet,native,0.3354926253737451,7.1,False,4
T5c,inflammatory_NFkB,STATE,native,0.0829474410004708,7.1,False,4
T5c,inflammatory_NFkB,scFoundation,adapted,0.4131053107076462,7.1,False,4
T5c,inflammatory_NFkB,scGPT,adapted,0.55056289355539,7.1,False,4
T5c,inflammatory_NFkB,scGen,native,0.615640973752521,7.1,True,4
T5c,inflammatory_NFkB,scPRAM,native,0.344281989319139,7.1,False,4
T5c,type_I_IFN,CPA,native,0.15296643182305,8.1,False,4
T5c,type_I_IFN,CellFlow,native,0.7841594394406926,8.1,False,4
T5c,type_I_IFN,CellOT,native,0.850597372215157,8.1,False,4
T5c,type_I_IFN,FP-ridge,diagnostic,0.8804541714714915,8.1,False,4
T5c,type_I_IFN,PRnet,native,0.8025546066341884,8.1,False,4
T5c,type_I_IFN,PerturbNet,native,0.8128202702143486,8.1,False,4
T5c,type_I_IFN,STATE,native,0.2166570165279853,8.1,False,4
T5c,type_I_IFN,scFoundation,adapted,0.6758633947845428,8.1,False,4
T5c,type_I_IFN,scGPT,adapted,0.9060681791532624,8.1,True,4
T5c,type_I_IFN,scGen,native,0.881554723006942,8.1,False,4
T5c,type_I_IFN,scPRAM,native,0.7273972753360279,8.1,False,4
