task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope,n_units,pearson_delta,binding_floor,binding_floor_score,margin,n_units_positive,response_norm_ratio,macro_mean_response_norm_ratio,calibration_slope,macro_mean_calibration_slope,n_explicit_declined,full_n_strata,n_strata,aggregation,plottable
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.90424512755994402,0.81102889487618157,0.94116466019067202,0.136754312806732,0.10827718102749882,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.34673692626897196,linear-PCA,0.2694297537764212,0.077307172492550716,4,0.76129484861786634,0.80645636952131883,0.46638107807426665,0.47143961001027956,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate,4,0.18041057015005277,linear-PCA,0.2694297537764212,-0.089019183626368459,0,1.7590763332813397,1.713277989448694,,,1,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,full_census_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.72812162431564509,0.59139254460819168,0.8077200700839885,0.24004350043752282,0.19825234641657766,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.18119178328682092,linear-PCA,0.2694297537764212,-0.088237970489600304,0,2.2933544802873538,2.2474967831128341,0.078717804239325673,0.10693135996275063,0,563,563,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.15296643182305003,0.062710117166726739,0.22916003584823241,0.29259644877688223,0.23713862331043117,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.060501763991460587,linear-PCA,0.27060902292549494,-0.21010725893403434,0,2.3451025428374761,2.490488429161307,0.034730150856359214,0.039522412738218701,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.78415943944069255,0.65913823600654076,0.87383078180039198,0.25377430091402164,0.21842207725178897,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.1036011777570898,linear-PCA,0.27060902292549494,-0.16700784516840511,0,2.4583613835697893,2.3010924296116606,0.034805236313427065,0.0625197379286314,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,4,True,0.85059737221515708,0.69400341998426329,0.91909962913625698,0.19142480108630394,0.14915714104028832,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.19488414708075832,linear-PCA,0.27060902292549494,-0.075724875844736597,0,2.018856688296768,1.9926110963634838,0.079958027345709448,0.12259170113203241,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.88045417147149152,0.76804030417334268,0.93290947354486442,0.1393285775283275,0.10856635301214711,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.38937364803774321,linear-PCA,0.27060902292549494,0.11876462511224826,4,0.5958928863503774,0.66771646886716718,0.66923460624170772,0.63991565379280102,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.80255460663418843,0.69613735859029158,0.86850873820738517,0.27056404801594192,0.23536745968182576,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.094655921096594653,linear-PCA,0.27060902292549494,-0.17595310182890028,0,3.0153405339271422,3.462591372683673,0.040263005144482639,0.058453448021575434,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.81282027021434855,0.53997146428472065,0.93262360153612844,0.15612173492339293,0.11942703149260116,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.14975990647527238,linear-PCA,0.27060902292549494,-0.12084911645022256,0,2.0725964848492859,1.9010050751119816,0.057564816365101294,0.11088296934119048,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2166570165279853,0.099043223882292336,0.37444479862333979,0.30634839864127317,0.24993975217395087,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.041901594962725511,linear-PCA,0.27060902292549494,-0.22870742796276938,0,2.6418500024967742,3.4548934393484121,0.01863234566101183,0.027796337102323251,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.28173837674899693,0.23128773032189937,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate,4,0.024869183514873536,linear-PCA,0.27060902292549494,-0.24573983941062139,0,2.5947089368448228,3.048379094752895,0.00084109558604505887,0.014552809881872748,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.25423227843757423,0.20010978895852896,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate,4,0.27060902292549494,linear-PCA,0.27060902292549494,0,0,0.37655770909871855,0.38230452283188632,0.84211123947273248,0.7998986975170217,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,False
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.67586339478454283,0.16142403017197482,0.92467158701115937,0.1860955963950921,0.14712432339042572,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.33040899150294756,linear-PCA,0.27060902292549494,0.059799968577452678,3,0.45956941694148945,0.49307237862769127,0.75424833796235069,0.74259335438085283,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.90606817915326232,0.81088392602604209,0.94146774439743874,0.13566497384470322,0.10776342972097985,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.34803320802837401,linear-PCA,0.27060902292549494,0.077424185102879087,4,0.76234652358942434,0.80660829699968462,0.46543605087384943,0.46801961418742,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,4,True,0.88155472300694204,0.76484923017043671,0.92823182905023127,0.15105957273107279,0.12270205822246504,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.18156872162511659,linear-PCA,0.27060902292549494,-0.089040301300378336,0,1.7567062193332412,1.7167622952226194,0.091142819187855023,0.13978110394599147,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
T5c,shared_supported_strata,benchmark_mask,mean_expression_delta,type_I_IFN,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.72739727533602794,0.59240148838655871,0.80417298209077082,0.24052669122389764,0.19860675675829181,"{""estimable"": 4}",common observed-defined units; identical for every candidate,4,0.18196231537478219,linear-PCA,0.27060902292549494,-0.088646707550712744,0,2.2987666206439821,2.2519885566384152,0.078348280874304094,0.10733983277412222,0,563,558,response: equal-stratum/equal-unit mean; norm/slope: median within unit then median across units,True
