baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,cluster,dataset,modality
CPA,latent,C3_true_lo_gene_50,C3_LO_gene,run_adapted,False,0,True,True,13547,11547,10,-0.2072814259678125,-0.4223898577596991,0.0566097521781921,-0.2080764971673488,11.347484165943046,10.792409218396765,11.818210806057,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,-0.0308489214628934,-0.1638818297628313,0.0632181149721145,-0.0312029202468693,7.570905076495249,7.420633058340265,7.799966961825786,0.0687276182363276,0.0,0.0,0.0,0.3436380911816383,0.0,C3,shifrut,KO
PertAdapt,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,-0.00341241574788,-0.0173708701058058,0.008934386563269,-0.0035810375353321,7.425928961956475,7.367796497747849,7.493245825140892,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
CINEMA-OT,ot,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,13547,11547,10,0.3520656958222389,0.2068397014588117,0.457091662287712,0.3529095903038978,7.453470995489478,7.387094489733564,7.525268382096423,0.0,0.0,0.0,0.0,0.0,0.0,C3,shifrut,KO
ctrl-pred,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.0019506579763921,-0.0101578477200486,0.0135519156465306,0.0024441593393151,10.07727358483945,9.502178859353638,10.895731246521768,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
cell-mean,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.4557917852486883,0.2815644592046737,0.6080964830304894,0.4166618633483137,10.07978767078556,9.48376151620992,11.019463474585327,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
donor-shift,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.4557917852486883,0.2815644592046737,0.6080964830304894,0.4166618633483137,10.07978767078556,9.48376151620992,11.019463474585327,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
linear-PCA,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.2711602736796651,0.0673507366861615,0.4365496254393027,0.2465047889522143,10.07978633955327,9.483759717848065,11.019464046947183,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
ctrl-pred,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.0131309213660036,0.0045976095745572,0.022430995653849,0.0122351880159436,10.200718560830596,9.779550391664335,10.752401043759232,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
cell-mean,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.4852153876175483,0.34775316253201,0.6175631536739983,0.4535622030703558,9.991812384268467,9.734876795559169,10.321232046823011,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
donor-shift,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.4852153876175483,0.34775316253201,0.6175631536739983,0.4535622030703558,9.991812384268467,9.734876795559169,10.321232046823011,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
linear-PCA,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.3429275498621993,0.1624470941101511,0.5171491306482089,0.3197789978649881,9.991809752897062,9.73487453005691,10.3212274720389,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
ctrl-pred,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.0138639383245996,0.0087734519833854,0.0186394587595512,0.0126735686179826,9.941285616041364,9.688352512143668,10.215504997416176,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
cell-mean,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.5486551825888455,0.4729742860111097,0.6131685791278465,0.5179246124914951,9.752959867421678,9.6163569277185,9.916276622998756,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
donor-shift,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.5486551825888455,0.4729742860111097,0.6131685791278465,0.5179246124914951,9.752959867421678,9.6163569277185,9.916276622998756,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
linear-PCA,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.3924138823317157,0.297937535504914,0.4792041970520383,0.3703408224715127,9.752959671502168,9.616356663173905,9.91627708344069,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
GEARS,graph,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.3185476650084768,0.1909453090546387,0.4432443252631596,0.2919905185699463,9.982764122824182,9.40398553989293,10.847374682571257,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
AttentionPert,graph,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.3304295774017061,0.2398640939167567,0.4090209545301538,0.3016740360430309,10.055795180315169,9.473772982287668,10.879679546404656,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGPT,foundation,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.2808351395651698,0.1074075243568846,0.4564671199236597,0.3381790928542614,10.300769971308794,9.578533614402142,11.498038181168813,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scFoundation,foundation,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.1542718378560883,0.104183272591659,0.1964371004807097,0.1457947476633957,10.132530099671104,9.577372523580484,10.897863965756196,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGen,latent,C3_true_lo_gene_10,C3_LO_gene,run_adapted,False,0,True,True,19418,1851,7,0.1843713277152606,0.1124829767005784,0.2590171407376017,0.1703720039555004,10.386938449903564,9.835213147198616,11.087976033967696,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CPA,latent,C3_true_lo_gene_10,C3_LO_gene,run_adapted,False,0,True,True,19418,1851,7,0.2541929366333144,0.1900714210367629,0.3122422460998807,0.2351134877119745,10.100654445592344,9.514414816900098,10.982166699839285,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.0141342751947896,-0.0462651220815522,0.0735009987439427,0.0080715083916272,10.08743451344968,9.557539249510404,10.858850565992377,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
PertAdapt,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,-0.0001489092329783,-0.0146841929227645,0.0127879269836869,0.0005819639523646,10.07727368438042,9.502178968162166,10.89573140013417,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CINEMA-OT,ot,C3_true_lo_gene_10,C3_LO_gene,run_floor,False,0,True,True,19418,1851,7,0.4531043991446495,0.2807226415191378,0.6025562486478258,0.4146815091371536,10.075136551809866,9.479394690965878,11.016544850493434,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
GEARS,graph,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.2535961358225904,0.1740745468126584,0.3429478887759615,0.236501842788938,9.966574948127835,9.7623511115576,10.187006885307635,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
AttentionPert,graph,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.2968895514754371,0.2120897057226911,0.3884296490086449,0.272783253652354,10.08770418323278,9.883008361823666,10.308722307768106,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGPT,foundation,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.3913938523942811,0.2700832837384143,0.514782705947679,0.4480057766971488,9.994525905133052,9.757670331287668,10.258466283595808,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scFoundation,foundation,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.078954692904113,0.0388580340342337,0.1201483266570398,0.0745145054534077,10.351691620921905,9.912383287055034,10.947194471105847,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGen,latent,C3_true_lo_gene_25,C3_LO_gene,run_adapted,False,0,True,True,16153,5116,18,0.109223529153193,0.0617017036478501,0.1594449925585649,0.1036544583168708,10.976829850137673,10.386754048100032,11.724626482722764,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CPA,latent,C3_true_lo_gene_25,C3_LO_gene,run_adapted,False,0,True,True,16153,5116,18,0.237179561285302,0.197724365808406,0.2706039650986592,0.2228004463637868,10.391599003261724,9.96501198617695,10.946794264098347,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,-0.0134496217231369,-0.0742213197097751,0.043172095433369,-0.0132814795813626,10.223258243366011,9.784064802669024,10.80002112812133,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
PertAdapt,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.012080446089385,0.0037088019825912,0.0212875664196973,0.0113364529905892,10.200718964428027,9.77955060714132,10.752401731595429,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CINEMA-OT,ot,C3_true_lo_gene_25,C3_LO_gene,run_floor,False,0,True,True,16153,5116,18,0.4789104693465763,0.3345418182098203,0.6158728497102856,0.4478812424672974,9.985992866540323,9.731546804717713,10.306454661331614,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
GEARS,graph,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.1527327361529589,0.1068610509422594,0.1978700436467382,0.1450783641517369,10.142152990259689,9.86441648635691,10.415584511182091,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
AttentionPert,graph,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.2803812068369653,0.2389555623651378,0.3242894921762247,0.2631762868000401,10.152545142547291,9.944764184237323,10.37472269090812,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGPT,foundation,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.3285445668217208,0.2876547245205276,0.3659690293535176,0.3859876775079303,10.0318937968859,9.878817567611952,10.202013434324034,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scFoundation,foundation,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.1749856625166204,0.1528639354639583,0.1955496302055609,0.1650012946791119,9.98509839913925,9.731992939472429,10.261633359927792,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
scGen,latent,C3_true_lo_gene_50,C3_LO_gene,run_adapted,False,0,True,True,10469,10800,36,0.1738820153756629,0.1302106638438999,0.2199433493052816,0.1663079154904052,10.230659999054035,9.917198138178914,10.546983419335048,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CPA,latent,C3_true_lo_gene_50,C3_LO_gene,run_adapted,False,0,True,True,10469,10800,36,0.345733849124776,0.3194124401547015,0.3702855109547575,0.3274989181922542,9.889114054023503,9.677226383910938,10.114182892483456,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,-0.0017225496574408,-0.0491609675369949,0.0462617954562625,-0.0022802481479528,9.94480229058987,9.69742822329215,10.205515213183192,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
PertAdapt,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.0125866479566967,0.0075450172362858,0.0173142107006747,0.0115029262730483,9.941286585069228,9.688353331027878,10.2155061970581,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
CINEMA-OT,ot,C3_true_lo_gene_50,C3_LO_gene,run_floor,False,0,True,True,10469,10800,36,0.5438286326178867,0.4661755866122095,0.609884407164322,0.5133050877872544,9.756055202210614,9.624740335047978,9.914308760775397,0.0,0.0,0.0,0.0,0.0,0.0,C3,schmidt,CRISPRa
ctrl-pred,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,-0.0161302210763096,-0.0163640957325696,-0.0158963464200496,-0.0161697724834084,7.627667220756034,7.578415088276024,7.676919353236045,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
cell-mean,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,0.4568211734294891,0.366886556148529,0.5467557907104492,0.4566167593002319,7.60506002824974,7.561461091581751,7.648658964917729,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
donor-shift,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,0.4568211734294891,0.366886556148529,0.5467557907104492,0.4566167593002319,7.60506002824974,7.561461091581751,7.648658964917729,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
linear-PCA,simple,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,0.0858271438628435,0.0551619715988636,0.1164923161268234,0.0857665743678808,7.605060591801008,7.561462029638442,7.648659153963575,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
ctrl-pred,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.0179605673765763,-0.0029429315666978,0.0389883191091939,0.0184972731706996,8.115783925440136,7.5375238384826995,9.052135928723706,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
cell-mean,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.296772542099158,0.1043201417972646,0.4676782141129176,0.2957599932948748,8.116887166794799,7.508165205387276,9.093268290112494,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
donor-shift,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.296772542099158,0.1043201417972646,0.4676782141129176,0.2957599932948748,8.116887166794799,7.508165205387276,9.093268290112494,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
linear-PCA,simple,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.0258921332036455,-0.174386146167914,0.2091881483793258,0.0257304028297464,8.1168873551535,7.50816558216917,9.093268206987794,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
ctrl-pred,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.0082490661103899,-0.0064244872463556,0.0241484324913471,0.0088261645675326,7.859371411732053,7.562209223055335,8.327683428484185,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
cell-mean,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.3997994623690222,0.2963494203742206,0.4885413148129979,0.3968125279837598,7.83312060685797,7.530950080612518,8.309243854127361,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
donor-shift,simple,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.3997994623690222,0.2963494203742206,0.4885413148129979,0.3968125279837598,7.83312060685797,7.530950080612518,8.309243854127361,0.0,0.0,0.0,0.0,0.0,0.0,C3,mccutcheon_CRISPRi,CRISPRi
