task_key,unit,independent_control_r,shared_control_r
T2,D435,0.5291057832977974,0.6534817569614496
T2,D436,0.6018377885794001,0.7076587274600709
T2,D439,0.6260487362171239,0.7214722390900699
T2,D440,0.6281792673164506,0.7330926071711775
T2,D441,0.59376013859561,0.7048611414249548
T2,D442,0.6437117751161877,0.746782333497275
T2,D443,0.6595772915960245,0.7612804047692812
T2,D445,0.6730125907523494,0.7757426979813553
T2,D446,0.6343874274240762,0.7563040511623389
T2,D447,0.8551540832566933,0.9068872048602392
T2,D448,0.6821296772358229,0.7793098427680125
T2,D449,0.6245214335249603,0.7500341411420717
T2,D450,0.5810880534150417,0.7020502174537095
T2,D451,0.590333893852778,0.7118531793646895
T2,D452,0.581500124041689,0.7056621679878493
T2,D453,0.5743683815361154,0.7041926548489639
T2,D454,0.4052828543813408,0.6428351265962631
T2,D455,0.6645098595756931,0.7535351146310985
T2,D456,0.5625974314148878,0.6849213792139253
T2,D457,0.5713464463876559,0.6969688805943288
T2,D458,0.507413105141135,0.6624800762181808
T2,D459,0.6901672866504498,0.7890291348216163
T2,D460,0.5500662362576627,0.6858574417560092
T2,D461,0.5973399998094342,0.7032303765111798
T2,D462,0.5887616640847231,0.6906115873947989
T2,D463,0.6247614573916032,0.7279617530538478
T2,D464,0.5419028338619518,0.6543856327785453
T2,D465,0.5666995166260785,0.674933073582347
T2,D466,0.5506427932592297,0.6715312541721099
T2,D481,0.5970546542996761,0.7179799165066678
T2,D482,0.5476543734048644,0.6823724364866031
T2,D483,0.5627178589914499,0.697638680174105
T2,D484,0.6842066191004595,0.7876654690660487
T2,D485,0.6473139969677653,0.751798083579643
T3,chen,0.28087367157612664,0.40907732164931593
T3,mccutcheon_CRISPRa,0.34872657431640214,0.5978392391563797
T3,mccutcheon_CRISPRi,0.19032121067408428,0.4824794079607597
T3,schmidt,0.37928051549466285,0.6019946654781425
T3,shifrut,0.02804653055401395,0.12516336462085653
T4,C4_modality_lo_ko_25,0.020103783800938704,0.32611496011756397
T4,C4_modality_lo_ko_50,0.03735145578199197,0.33782373827960344
T5c,B,0.3727715591288547,0.4839324537668158
T5c,Mono,0.573477875582138,0.6528758390439201
T5c,NK,0.2878250931413628,0.3942512341883532
T5c,T_cells,0.3162336243386554,0.4355248199417858
T5u,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.8589080682478883,0.8673739415702915
T5u,perturbation=ABT-199 (GDC-0199),0.8134951774347547,0.8227778088892549
T5u,perturbation=AT 7867,0.860284334477745,0.870495188816456
T5u,perturbation=AZD3514,0.8473641609501572,0.8579440879319519
T5u,perturbation=BMS-536924,0.869690271067536,0.8784682084127242
T5u,perturbation=Cabozantinib,0.8499436059830414,0.8605854210223046
T5u,perturbation=Clomipramine,0.8635619010279786,0.8734848001632407
T5u,perturbation=Clotrimazole,0.8486550678949616,0.8590110595314795
T5u,perturbation=GSK-1070916,0.8583054262143703,0.8684811729484685
T5u,perturbation=HYDROXYUREA,0.8471163648045827,0.8568283241215034
T5u,perturbation=IN1451,0.8361238159771495,0.8420015346768455
T5u,perturbation=LY2090314,0.8823835004935474,0.8916633874162477
T5u,perturbation=Lapatinib,0.8614643009214817,0.8716453831217224
T5u,perturbation=Masitinib,0.86241476224017,0.8724196899621188
T5u,perturbation=Mometasone Furoate,0.861916454956626,0.8706522513383211
T5u,perturbation=Navitoclax,0.8247491412330026,0.833998192328029
T5u,perturbation=PRT-062607,0.8620633843130028,0.8712272464809075
T5u,perturbation=Perhexiline,0.851576991900174,0.8604136242081989
T5u,perturbation=Pitavastatin Calcium,0.8750375936493884,0.8844396558455682
T5u,perturbation=Proscillaridin A;Proscillaridin-A,0.9163819024579231,0.9230836371740883
T5u,perturbation=Ricolinostat,0.8436477826037134,0.8543099049371254
T5u,perturbation=SCH-58261,0.853145920273525,0.8631713263994887
T5u,perturbation=Selumetinib,0.8461910352476929,0.8558942120870106
T5u,perturbation=TL_HRAS26,0.8604954731583205,0.8705753797350606
T5u,perturbation=Tivozanib,0.8630010959734026,0.8727739812451769
T5u,perturbation=Topotecan,0.851531394600394,0.8621116507270774
T5u,perturbation=Vorinostat,0.8547150220485085,0.8647175289550856
T5u,perturbation=YK 4-279,0.8481060390699127,0.8585021555803213
