model,family,split,donor,pearson_delta,e_distance,aucell_program_corr,n_test,n_strata,n_response_genes,leak_free,cluster,dataset,modality,registry_task,seed,ran,headline_eligible
donor-shift,simple,C2_soskic_LODO_D355,D355,0.0327,6.5784,-0.0205,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D355,D355,0.0612,6.58,-0.0298,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D355,D355,0.0583,6.9155,-0.0192,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D356,D356,0.2225,5.5912,-0.0523,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D356,D356,0.031,5.4714,-0.0225,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D356,D356,0.0345,5.4619,-0.02,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D356,D356,0.0483,5.4611,-0.02,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D356,D356,0.1126,5.5823,-0.02,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D357,D357,0.2985,5.6492,-0.0679,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D357,D357,-0.0245,5.3506,-0.0194,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D357,D357,-0.0494,5.3525,-0.0194,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D357,D357,-0.0733,5.3521,-0.0194,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D357,D357,0.1268,5.3658,-0.0194,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D358,D358,0.3657,5.5661,-0.0609,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D358,D358,0.0084,5.3881,-0.0266,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D358,D358,0.0098,5.3772,-0.0222,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D358,D358,-0.0008,5.3777,-0.031,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D358,D358,0.1832,5.3856,-0.0214,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D359,D359,0.3758,6.2063,-0.0705,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D359,D359,0.1923,6.1436,-0.0202,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D359,D359,0.0414,6.1265,-0.0202,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D359,D359,0.0316,6.1262,-0.0202,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D359,D359,0.1108,6.1747,-0.0202,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D363,D363,0.2361,5.0986,-0.0766,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D363,D363,-0.0266,5.0354,-0.0192,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D363,D363,-0.0031,5.0372,-0.0192,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D363,D363,-0.0477,5.0369,-0.0192,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D363,D363,0.0682,5.0626,-0.0192,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D364,D364,0.2336,5.347,-0.0775,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D364,D364,0.0345,5.3142,-0.0157,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D364,D364,0.0739,5.2853,-0.0157,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D364,D364,0.06,5.2845,-0.0157,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D364,D364,0.0156,5.3592,-0.0157,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D365,D365,0.2975,5.5341,-0.0661,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D365,D365,0.0056,5.5499,-0.025,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D365,D365,-0.0542,5.5508,-0.0291,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D365,D365,-0.0519,5.5492,-0.0291,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D365,D365,0.1412,5.5607,-0.0146,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D366,D366,0.1424,6.0664,-0.086,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D366,D366,-0.055,6.0773,-0.0175,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D366,D366,0.1066,6.0359,-0.0175,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D366,D366,0.1443,6.0336,-0.0175,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D366,D366,0.1024,6.0162,-0.0175,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D367,D367,0.3213,5.2315,-0.0819,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D367,D367,-0.0315,5.0697,-0.0184,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D367,D367,-0.0429,5.0778,-0.0184,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D367,D367,-0.0927,5.0767,-0.0184,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D367,D367,0.1206,5.1109,-0.0517,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D368,D368,0.2184,5.5068,-0.0376,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D368,D368,0.0673,5.4689,-0.0376,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D368,D368,0.0239,5.4691,-0.0376,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D368,D368,0.0195,5.4698,-0.0376,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D368,D368,0.0766,5.542,-0.0376,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D369,D369,0.2662,6.4851,-0.0462,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D369,D369,-0.0741,6.3914,-0.0818,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D369,D369,0.0168,6.3856,-0.0818,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D369,D369,0.0216,6.3849,-0.0862,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D369,D369,0.1123,6.4124,-0.0836,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D370,D370,0.2213,5.6003,-0.0445,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D370,D370,-0.0072,5.5891,-0.0257,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D370,D370,-0.0226,5.5992,-0.0399,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D370,D370,-0.0165,5.5984,-0.023,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D370,D370,0.1089,5.6818,-0.0257,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D371,D371,0.1672,6.6769,-0.0606,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D371,D371,0.0174,6.6221,-0.0496,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D371,D371,0.0284,6.6294,-0.0549,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D371,D371,0.0389,6.6285,-0.0496,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D371,D371,0.0948,6.7782,-0.039,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D372,D372,0.1752,5.7694,-0.068,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D372,D372,-0.0148,5.7716,-0.0178,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D372,D372,0.0186,5.7668,-0.0178,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D372,D372,0.0581,5.7649,-0.0178,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D372,D372,0.0444,5.9174,-0.0505,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D373,D373,0.1802,6.0715,-0.0506,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D373,D373,-0.0233,5.8278,-0.0222,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D373,D373,-0.0271,5.8526,-0.0222,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D373,D373,-0.0609,5.8525,-0.0222,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D373,D373,0.0923,6.0827,-0.0222,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D374,D374,0.1489,6.0553,-0.0654,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D374,D374,-0.049,5.9854,-0.0179,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D374,D374,0.0127,5.9862,-0.021,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D374,D374,0.0146,5.9875,-0.021,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D374,D374,0.0749,6.1885,-0.1328,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D378,D378,0.2886,6.1578,-0.0726,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D378,D378,0.0043,6.2536,-0.0205,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D378,D378,0.0355,6.2483,-0.0205,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D378,D378,0.0455,6.2482,-0.0205,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D378,D378,0.1635,6.2565,-0.0205,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D379,D379,0.0987,5.9265,-0.0623,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D379,D379,-0.0003,5.7885,-0.0231,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D379,D379,0.012,5.7738,-0.0231,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D379,D379,0.0605,5.7728,-0.0231,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D379,D379,0.0816,5.7834,-0.0404,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D380,D380,0.1055,6.2147,-0.0386,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D380,D380,-0.0231,6.2637,-0.0429,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D380,D380,0.0436,6.2467,-0.0429,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D380,D380,0.0631,6.2491,-0.0429,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D380,D380,0.0889,6.2088,-0.0429,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D381,D381,0.2179,5.6979,-0.0774,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D381,D381,0.0362,5.6489,-0.0351,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D381,D381,-0.0221,5.6511,-0.0395,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D381,D381,0.0209,5.6498,-0.0395,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D381,D381,0.1147,5.6607,-0.0209,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D382,D382,0.2127,5.7324,-0.0878,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D382,D382,-0.0253,5.7061,-0.0347,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D382,D382,0.0159,5.7071,-0.0242,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D382,D382,-0.0173,5.7058,-0.0321,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D382,D382,0.132,5.6972,-0.0494,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D383,D383,0.286,5.623,-0.0324,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D383,D383,0.056,5.5208,-0.0407,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D383,D383,-0.0272,5.4954,-0.0407,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D383,D383,0.0311,5.4993,-0.0407,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D383,D383,0.1484,5.5089,-0.0968,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D387,D387,0.3917,5.3036,-0.0643,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D387,D387,-0.0016,5.5675,-0.0275,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D387,D387,0.1585,5.5211,-0.0275,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D387,D387,0.2141,5.5224,-0.0233,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D387,D387,0.2916,5.2885,-0.0643,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
