marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac,sem,ci_lo,ci_hi,straddles_zero,effect_sd_units,z_vs_zero
CD202b,CD202b,50,124,-0.2292400598526001,-0.2354975193738937,0.2173002213239669,0.0062574595212936,0.8870967741935484,0.019514135940688054,-0.2737445230070609,-0.19725051574072647,False,1.0837426576883094,-12.068047495911328
CD274,PD-L1 (CD274),50,124,-0.0178303718566894,-0.0226419065147638,0.2587077021598816,0.0048115346580743,0.4596774193548387,0.02323263749153923,-0.06817703926405567,0.022893226234528077,True,0.08751925947983985,-0.9745732279862517
CD29,CD29 (ITGB1),50,124,-0.0111379623413085,-0.0090038236230611,0.0634209364652633,0.0021341387182474,0.5967741935483871,0.005695368224332259,-0.020166540221446167,0.0021588929753239665,True,0.14196926322575895,-1.580902808811231
CD309,CD309,50,124,0.1668120622634887,0.1639915406703949,0.2463256120681762,0.0028205215930938,0.782258064516129,0.022120692976217486,0.1206357791239405,0.2073473022168493,False,0.6657510735221741,7.413490203345181
CD44,CD44,50,124,0.0293397903442382,0.0277380477637052,0.0315658599138259,0.001601742580533,0.8548387096774194,0.0028346979017787838,0.022182141969167526,0.03329395355824288,False,0.8787356922773357,9.785186543617035
CD47,CD47,50,124,-0.0164599418640136,0.0001692964142421,0.0685352832078933,0.0166292376816272,0.5483870967741935,0.006154650120022116,-0.011893596158446368,0.012232188986930568,True,0.002470208136859379,0.02750707366635679
CD49f,CD49f,50,124,0.0194063186645507,0.0001874931331258,0.1777155697345733,0.0192188248038291,0.5241935483870968,0.01595932928851921,-0.031092217489787098,0.031467203756038696,True,0.0010550180460036785,0.01174818375736369
CD58,CD58 (LFA-3),50,124,-0.1473336219787597,-0.1276531815528869,0.1379263401031494,0.0196804404258728,0.8145161290322581,0.01238615098583691,-0.15192959139220252,-0.10337677171357128,False,0.9255170655396234,-10.306121869405066
CD59,CD59,50,124,-0.0160746574401855,-0.0142428837716579,0.1068128645420074,0.0018317736685276,0.5241935483870968,0.009592078398206118,-0.033043011969026544,0.004557244425710741,True,0.13334427302112523,-1.4848589826289955
CD61,CD61,50,124,-0.2103670835494995,-0.206645131111145,0.2826291024684906,0.0037219524383544,0.8225806451612904,0.025380842655204783,-0.25639066861262433,-0.15689959360966566,False,0.7311530529103357,-8.141775823537081
HLA_A,HLA-A (class I),50,124,-0.0524029731750488,-0.0419817045331001,0.1873720586299896,0.0104212686419487,0.6532258064516129,0.01682650759080893,-0.07496105339667544,-0.009002355669524766,False,0.22405530920703015,-2.494974331811527
HLA_E,HLA-E (class I),50,124,0.1876813173294067,0.1926265507936477,0.2145358175039291,0.004945233464241,0.8225806451612904,0.019265885149177125,0.15486610977097545,0.23038699181631997,False,0.897875949269496,9.998323425169753
CD9,CD9,50,124,-0.0929961204528808,-0.0960900634527206,0.1151000261306762,0.0030939429998397,0.8548387096774194,0.010336287478244891,-0.11634881464393293,-0.07583131226150827,False,0.8348396319530539,-9.296380702932689
CD279,PD-1 (CD279),50,124,-0.4365401268005371,-0.4112377464771271,0.2165659219026565,0.02530238032341,0.9919354838709676,0.019448193906016785,-0.4493555060972713,-0.37311998685698283,False,1.8989033125071866,-21.145292383674786
