n_train_donors,eval_donor,cellot_score,primary_baseline,baseline_score,n_train_cells,n_test,n_ctrl,n_response_genes,source_file,scgpt_score,source_file_scgpt,cellot_margin,scgpt_margin
64,D454,0.32,cell-mean,0.5508,73368,300,300,50,results/newdata/cellot_donor_learning_curve.csv,0.5447,results/newdata/scgpt_donor_curve_shard1.csv,-0.23079999999999995,-0.006099999999999994
64,D483,0.513,cell-mean,0.2873,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2805,results/newdata/scgpt_donor_curve_shard2.csv,0.2257,-0.006799999999999973
64,D484,0.5074,cell-mean,0.2087,73368,600,600,50,results/newdata/cellot_donor_learning_curve.csv,0.2027,results/newdata/scgpt_donor_curve_shard0.csv,0.29869999999999997,-0.006000000000000005
96,D353,0.3946,cell-mean,0.2691,110147,583,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2684,results/newdata/scgpt_donor_curve_shard0.csv,0.1255,-0.0006999999999999784
96,D364,0.3306,cell-mean,0.2365,110147,484,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2265,results/newdata/scgpt_donor_curve_shard1.csv,0.09410000000000002,-0.009999999999999981
96,D397,0.3904,cell-mean,0.2951,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2766,results/newdata/scgpt_donor_curve_shard2.csv,0.09530000000000005,-0.01849999999999996
96,D411,0.2542,cell-mean,0.1822,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.1699,results/newdata/scgpt_donor_curve_shard0.csv,0.07199999999999998,-0.012300000000000005
96,D424,0.1615,donor-shift,0.269,110147,300,600,74,results/newdata/cellot_donor_learning_curve.csv,-0.0163,results/newdata/scgpt_donor_curve_shard1.csv,-0.10750000000000001,-0.2853
96,D429,0.3295,cell-mean,0.141,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.146,results/newdata/scgpt_donor_curve_shard2.csv,0.18850000000000003,0.0050000000000000044
96,D431,0.363,cell-mean,0.2502,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2563,results/newdata/scgpt_donor_curve_shard0.csv,0.11280000000000001,0.006099999999999994
96,D454,0.4778,cell-mean,0.5605,110147,300,300,74,results/newdata/cellot_donor_learning_curve.csv,0.5451,results/newdata/scgpt_donor_curve_shard1.csv,-0.0827,-0.01539999999999997
96,D483,0.4128,cell-mean,0.2728,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2725,results/newdata/scgpt_donor_curve_shard2.csv,0.14,-0.00029999999999996696
96,D484,0.428,cell-mean,0.2507,110147,600,600,74,results/newdata/cellot_donor_learning_curve.csv,0.2397,results/newdata/scgpt_donor_curve_shard0.csv,0.1773,-0.010999999999999982
