task_key,task_id,cluster,task,split,unit_kind,unit,model,execution_model,status,pearson_delta,bundle_path,compound,tanimoto_distance
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=LY2090314,Biolord,Biolord,native,0.0222281541945974,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,LY2090314,0.7582417582417582
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Lapatinib,Biolord,Biolord,native,0.1242103197143035,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Lapatinib,0.6972477064220184
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Masitinib,Biolord,Biolord,native,0.1332325915611507,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Masitinib,0.2533333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Mometasone Furoate,Biolord,Biolord,native,0.3294983676714001,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Mometasone Furoate,0.7
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Navitoclax,Biolord,Biolord,native,0.1482823812171134,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Navitoclax,0.475
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=PRT-062607,Biolord,Biolord,native,0.32541368501957,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,PRT-062607,0.7204301075268817
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Perhexiline,Biolord,Biolord,native,0.1613536036074889,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Perhexiline,0.8253968253968254
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Pitavastatin Calcium,Biolord,Biolord,native,-0.0894642347751829,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Pitavastatin Calcium,0.6329113924050633
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Proscillaridin A;Proscillaridin-A,Biolord,Biolord,native,-0.0447867983966165,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Proscillaridin A;Proscillaridin-A,0.7849462365591398
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Ricolinostat,Biolord,Biolord,native,0.0741857306409836,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Ricolinostat,0.736842105263158
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=SCH-58261,Biolord,Biolord,native,0.1015548889936103,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,SCH-58261,0.8045977011494253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Selumetinib,Biolord,Biolord,native,0.2185781310549989,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Selumetinib,0.6296296296296297
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=TL_HRAS26,Biolord,Biolord,native,0.1114227410759547,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,TL_HRAS26,0.8
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Tivozanib,Biolord,Biolord,native,0.1326143375859054,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Tivozanib,0.6595744680851063
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Topotecan,Biolord,Biolord,native,0.1370405693107498,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Topotecan,0.8072289156626506
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Vorinostat,Biolord,Biolord,native,0.2734045220775922,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Vorinostat,0.74
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=YK 4-279,Biolord,Biolord,native,0.0044425097792267,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,YK 4-279,0.75
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,CPA,chemCPA,native,0.089958428270573,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.7532467532467533
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=ABT-199 (GDC-0199),CPA,chemCPA,native,0.1115849571020526,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,ABT-199 (GDC-0199),0.6258992805755396
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AT 7867,CPA,chemCPA,native,0.1107714066195456,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,AT 7867,0.7833333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AZD3514,CPA,chemCPA,native,0.1217785490575892,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,AZD3514,0.7473684210526316
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=BMS-536924,CPA,chemCPA,native,0.0898993686716297,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,BMS-536924,0.7422680412371134
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Cabozantinib,CPA,chemCPA,native,0.131541678836179,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Cabozantinib,0.381578947368421
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clomipramine,CPA,chemCPA,native,0.1026421692593192,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Clomipramine,0.7192982456140351
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clotrimazole,CPA,chemCPA,native,0.1148169397792971,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Clotrimazole,0.8032786885245902
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=GSK-1070916,CPA,chemCPA,native,0.1033051127377302,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,GSK-1070916,0.7281553398058253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=HYDROXYUREA,CPA,chemCPA,native,0.1111852170453397,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,HYDROXYUREA,0.875
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=IN1451,CPA,chemCPA,native,0.0917268213740954,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,IN1451,0.5471698113207547
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=LY2090314,CPA,chemCPA,native,0.1168810601437323,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,LY2090314,0.7582417582417582
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Lapatinib,CPA,chemCPA,native,0.1175982667642672,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Lapatinib,0.6972477064220184
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Masitinib,CPA,chemCPA,native,0.1072627416677508,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Masitinib,0.2533333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Mometasone Furoate,CPA,chemCPA,native,0.0828055548594752,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Mometasone Furoate,0.7
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Navitoclax,CPA,chemCPA,native,0.1128448431924557,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Navitoclax,0.475
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=PRT-062607,CPA,chemCPA,native,0.0997759618871287,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,PRT-062607,0.7204301075268817
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Perhexiline,CPA,chemCPA,native,0.0872025167634978,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Perhexiline,0.8253968253968254
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Pitavastatin Calcium,CPA,chemCPA,native,0.1545010311084632,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Pitavastatin Calcium,0.6329113924050633
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Proscillaridin A;Proscillaridin-A,CPA,chemCPA,native,0.1601454485822718,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Proscillaridin A;Proscillaridin-A,0.7849462365591398
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Ricolinostat,CPA,chemCPA,native,0.0425167749757148,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Ricolinostat,0.736842105263158
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=SCH-58261,CPA,chemCPA,native,0.1114122658998481,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,SCH-58261,0.8045977011494253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Selumetinib,CPA,chemCPA,native,0.1242087673638437,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Selumetinib,0.6296296296296297
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=TL_HRAS26,CPA,chemCPA,native,0.1087790006677511,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,TL_HRAS26,0.8
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Tivozanib,CPA,chemCPA,native,0.1106729593821551,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Tivozanib,0.6595744680851063
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Topotecan,CPA,chemCPA,native,0.1343025388735891,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Topotecan,0.8072289156626506
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Vorinostat,CPA,chemCPA,native,-0.1818852741703081,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,Vorinostat,0.74
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=YK 4-279,CPA,chemCPA,native,0.1322296286858072,predictions/v2_native/C5__chemCPA__C5_global_compound_holdout.npz,YK 4-279,0.75
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,CellFlow,CellFlow,native,0.322547776974679,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.7532467532467533
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=ABT-199 (GDC-0199),CellFlow,CellFlow,native,0.1163333825210797,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,ABT-199 (GDC-0199),0.6258992805755396
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AT 7867,CellFlow,CellFlow,native,0.215927741249972,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,AT 7867,0.7833333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AZD3514,CellFlow,CellFlow,native,0.1859842845867123,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,AZD3514,0.7473684210526316
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=BMS-536924,CellFlow,CellFlow,native,0.2378701103231142,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,BMS-536924,0.7422680412371134
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Cabozantinib,CellFlow,CellFlow,native,0.0941915852423393,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Cabozantinib,0.381578947368421
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clomipramine,CellFlow,CellFlow,native,0.1725902914697733,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Clomipramine,0.7192982456140351
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clotrimazole,CellFlow,CellFlow,native,0.1560925768887038,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Clotrimazole,0.8032786885245902
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=GSK-1070916,CellFlow,CellFlow,native,0.1600413339726634,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,GSK-1070916,0.7281553398058253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=HYDROXYUREA,CellFlow,CellFlow,native,0.1502967042138545,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,HYDROXYUREA,0.875
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=IN1451,CellFlow,CellFlow,native,0.2028378438561688,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,IN1451,0.5471698113207547
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=LY2090314,CellFlow,CellFlow,native,0.0446103594228986,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,LY2090314,0.7582417582417582
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Lapatinib,CellFlow,CellFlow,native,0.110021407439794,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Lapatinib,0.6972477064220184
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Masitinib,CellFlow,CellFlow,native,0.2091263479041175,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Masitinib,0.2533333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Mometasone Furoate,CellFlow,CellFlow,native,0.348991472753856,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Mometasone Furoate,0.7
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Navitoclax,CellFlow,CellFlow,native,0.1430256877266661,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Navitoclax,0.475
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=PRT-062607,CellFlow,CellFlow,native,0.3113710122370642,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,PRT-062607,0.7204301075268817
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Perhexiline,CellFlow,CellFlow,native,0.2534153321614594,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Perhexiline,0.8253968253968254
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Pitavastatin Calcium,CellFlow,CellFlow,native,0.0731134460535646,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Pitavastatin Calcium,0.6329113924050633
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Proscillaridin A;Proscillaridin-A,CellFlow,CellFlow,native,0.0993374808802191,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Proscillaridin A;Proscillaridin-A,0.7849462365591398
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Ricolinostat,CellFlow,CellFlow,native,0.0978586143961805,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Ricolinostat,0.736842105263158
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=SCH-58261,CellFlow,CellFlow,native,0.1270423447787974,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,SCH-58261,0.8045977011494253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Selumetinib,CellFlow,CellFlow,native,0.2173103273012284,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Selumetinib,0.6296296296296297
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=TL_HRAS26,CellFlow,CellFlow,native,0.1524058612379324,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,TL_HRAS26,0.8
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Tivozanib,CellFlow,CellFlow,native,0.1678982853538906,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Tivozanib,0.6595744680851063
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Topotecan,CellFlow,CellFlow,native,0.1405109290333143,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Topotecan,0.8072289156626506
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Vorinostat,CellFlow,CellFlow,native,-0.0118710901509057,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,Vorinostat,0.74
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=YK 4-279,CellFlow,CellFlow,native,0.1521352569388382,predictions/C5_unseen_cpd__CellFlow__C5_global_compound_holdout.npz,YK 4-279,0.75
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,FP-ridge,FP-ridge,diagnostic,0.3327727545578297,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.7532467532467533
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=ABT-199 (GDC-0199),FP-ridge,FP-ridge,diagnostic,0.0738649256362422,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,ABT-199 (GDC-0199),0.6258992805755396
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AT 7867,FP-ridge,FP-ridge,diagnostic,0.1999825766910779,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,AT 7867,0.7833333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AZD3514,FP-ridge,FP-ridge,diagnostic,0.1610715832489004,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,AZD3514,0.7473684210526316
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=BMS-536924,FP-ridge,FP-ridge,diagnostic,0.1616956347942146,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,BMS-536924,0.7422680412371134
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Cabozantinib,FP-ridge,FP-ridge,diagnostic,0.1189191479861611,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Cabozantinib,0.381578947368421
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clomipramine,FP-ridge,FP-ridge,diagnostic,0.1277344694884961,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Clomipramine,0.7192982456140351
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clotrimazole,FP-ridge,FP-ridge,diagnostic,0.153447569071211,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Clotrimazole,0.8032786885245902
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=GSK-1070916,FP-ridge,FP-ridge,diagnostic,0.1659464966885805,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,GSK-1070916,0.7281553398058253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=HYDROXYUREA,FP-ridge,FP-ridge,diagnostic,0.1423519057952847,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,HYDROXYUREA,0.875
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=IN1451,FP-ridge,FP-ridge,diagnostic,0.1212488504642577,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,IN1451,0.5471698113207547
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=LY2090314,FP-ridge,FP-ridge,diagnostic,0.0309012178918422,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,LY2090314,0.7582417582417582
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Lapatinib,FP-ridge,FP-ridge,diagnostic,0.1247187805014533,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Lapatinib,0.6972477064220184
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Masitinib,FP-ridge,FP-ridge,diagnostic,0.1737774766500042,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Masitinib,0.2533333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Mometasone Furoate,FP-ridge,FP-ridge,diagnostic,0.3585185277883637,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Mometasone Furoate,0.7
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Navitoclax,FP-ridge,FP-ridge,diagnostic,0.1184465424706382,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Navitoclax,0.475
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=PRT-062607,FP-ridge,FP-ridge,diagnostic,0.3184229818017839,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,PRT-062607,0.7204301075268817
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Perhexiline,FP-ridge,FP-ridge,diagnostic,0.2331277440401263,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Perhexiline,0.8253968253968254
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Pitavastatin Calcium,FP-ridge,FP-ridge,diagnostic,0.1792313663922263,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Pitavastatin Calcium,0.6329113924050633
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Proscillaridin A;Proscillaridin-A,FP-ridge,FP-ridge,diagnostic,0.0648753138209383,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Proscillaridin A;Proscillaridin-A,0.7849462365591398
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Ricolinostat,FP-ridge,FP-ridge,diagnostic,0.0961435079954009,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Ricolinostat,0.736842105263158
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=SCH-58261,FP-ridge,FP-ridge,diagnostic,0.1323427818486778,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,SCH-58261,0.8045977011494253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Selumetinib,FP-ridge,FP-ridge,diagnostic,0.2214493753970837,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Selumetinib,0.6296296296296297
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=TL_HRAS26,FP-ridge,FP-ridge,diagnostic,0.1498912866142605,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,TL_HRAS26,0.8
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Tivozanib,FP-ridge,FP-ridge,diagnostic,0.1761469370214404,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Tivozanib,0.6595744680851063
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Topotecan,FP-ridge,FP-ridge,diagnostic,0.1424183286095629,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Topotecan,0.8072289156626506
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Vorinostat,FP-ridge,FP-ridge,diagnostic,0.1150040413662416,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,Vorinostat,0.74
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=YK 4-279,FP-ridge,FP-ridge,diagnostic,0.2031586090567041,predictions/C5/C5_unseen_cpd__FP-ridge__C5_global_compound_holdout.npz,YK 4-279,0.75
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,PRnet,PRnet,native,0.1969775334673438,predictions/C5_unseen_cpd__PRnet__C5_global_compound_holdout.npz,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.7532467532467533
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=ABT-199 (GDC-0199),PRnet,PRnet,native,0.144134282544924,predictions/C5_unseen_cpd__PRnet__C5_global_compound_holdout.npz,ABT-199 (GDC-0199),0.6258992805755396
