cluster,task,split,unit,n_unit,family,model,pearson_delta,floor_cell_mean,floor_linear_PCA,binding_floor,floor_score,margin,floor_mean,delta_vs_floor_mean,delta_vs_cell_mean,delta_vs_linear_PCA,beats_both_floor_members,beats_floor_mean,status,execution_model
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Graph,AttentionPert,0.5079,0.6612,0.2833,cell-mean,0.6612,-0.1533,0.4723,0.0357,-0.1533,0.2246,False,True,native,AttentionPert
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Latent,Biolord,0.6128,0.6612,0.2833,cell-mean,0.6612,-0.0485,0.4723,0.1405,-0.0485,0.3294,False,True,native,Biolord
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Flow,CellFlow,0.4924,0.6612,0.2833,cell-mean,0.6612,-0.1689,0.4723,0.0201,-0.1689,0.209,False,True,native,CellFlow
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Graph,GEARS,0.4417,0.6612,0.2833,cell-mean,0.6612,-0.2195,0.4723,-0.0306,-0.2195,0.1584,False,False,native,GEARS
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Flow,PerturbNet,0.5981,0.6612,0.2833,cell-mean,0.6612,-0.0631,0.4723,0.1258,-0.0631,0.3148,False,True,native,PerturbNet
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Deterministic shift,linear-shift-KOemb,0.6177,0.6612,0.2833,cell-mean,0.6612,-0.0436,0.4723,0.1454,-0.0436,0.3343,False,True,diagnostic,linear-shift-KOemb
C4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Foundation,scGPT,0.5568,0.6612,0.2833,cell-mean,0.6612,-0.1044,0.4723,0.0845,-0.1044,0.2735,False,True,native,scGPT
C5,small-mol/OP3,unseen-compound,compound,28,Latent,Biolord,0.1267,0.1722,0.1498,cell-mean,0.1722,-0.0455,0.161,-0.0343,-0.0455,-0.0231,False,False,native,Biolord
C5,small-mol/OP3,unseen-compound,compound,28,OT,CINEMA-OT,0.1718,0.1722,0.1498,cell-mean,0.1722,-0.0004,0.161,0.0108,-0.0004,0.022,False,True,diagnostic,CINEMA-OT
C5,small-mol/OP3,unseen-compound,compound,28,Latent,CPA,0.1116,0.1722,0.1498,cell-mean,0.1722,-0.0606,0.161,-0.0494,-0.0606,-0.0382,False,False,native,chemCPA
C5,small-mol/OP3,unseen-compound,compound,28,Flow,CellFlow,0.1661,0.1722,0.1498,cell-mean,0.1722,-0.0061,0.161,0.0051,-0.0061,0.0163,False,True,native,CellFlow
C5,small-mol/OP3,unseen-compound,compound,28,Chemistry,FP-ridge,0.1642,0.1722,0.1498,cell-mean,0.1722,-0.008,0.161,0.0032,-0.008,0.0144,False,True,diagnostic,FP-ridge
C5,small-mol/OP3,unseen-compound,compound,28,Chemistry,PRnet,0.1343,0.1722,0.1498,cell-mean,0.1722,-0.0379,0.161,-0.0267,-0.0379,-0.0155,False,False,native,PRnet
C5,small-mol/OP3,unseen-compound,compound,28,Flow,PerturbNet,0.1615,0.1722,0.1498,cell-mean,0.1722,-0.0107,0.161,0.0005,-0.0107,0.0117,False,True,native,PerturbNet
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Latent,Biolord,0.0787,0.025,0.2694,linear-PCA,0.2694,-0.1907,0.1472,-0.0685,0.0537,-0.1907,False,False,native,Biolord
C5,small-mol/OP3,cell-context (LOCT),lineage,4,OT,CINEMA-OT,0.2533,0.025,0.2694,linear-PCA,0.2694,-0.0161,0.1472,0.1061,0.2283,-0.0161,False,True,diagnostic,CINEMA-OT
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Flow,CellFlow,0.1038,0.025,0.2694,linear-PCA,0.2694,-0.1656,0.1472,-0.0434,0.0788,-0.1656,False,False,native,CellFlow
C5,small-mol/OP3,cell-context (LOCT),lineage,4,OT,CellOT,0.1015,0.025,0.2694,linear-PCA,0.2694,-0.1679,0.1472,-0.0457,0.0765,-0.1679,False,False,native,CellOT
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Chemistry,FP-ridge,0.3874,0.025,0.2694,linear-PCA,0.2694,0.118,0.1472,0.2402,0.3625,0.118,True,True,diagnostic,FP-ridge
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Chemistry,PRnet,0.0944,0.025,0.2694,linear-PCA,0.2694,-0.175,0.1472,-0.0528,0.0695,-0.175,False,False,native,PRnet
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Foundation,scFoundation,0.0552,0.025,0.2694,linear-PCA,0.2694,-0.2143,0.1472,-0.0921,0.0302,-0.2143,False,False,adapted,scFoundation
C5,small-mol/OP3,cell-context (LOCT),lineage,4,Foundation,scGPT,0.0247,0.025,0.2694,linear-PCA,0.2694,-0.2447,0.1472,-0.1225,-0.0003,-0.2447,False,False,adapted,scGPT
C5,small-mol/OP3,cell-context (LOCT),lineage,4,OT,scPRAM,-0.0087,0.025,0.2694,linear-PCA,0.2694,-0.2781,0.1472,-0.1559,-0.0337,-0.2781,False,False,native,scPRAM
