donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,seed_scores,seeds,n_test,n_ctrl,n_strata,n_response_genes,best_mmd,leak_free
D388,e_distance,0.4512,cell-mean,5.0281,4.5769,"[0.5114, 0.4737, 0.3685]","0,1,2",600,600,2,74,0.03104,True
D388,aucell_delta_score,-0.0171,cell-mean,-0.032,0.0149,"[-0.015, -0.016, -0.0202]","0,1,2",600,600,2,74,0.03104,True
D389,e_distance,0.3955,donor-shift,5.4977,5.1022,"[0.3672, 0.2828, 0.5364]","0,1,2",552,600,2,70,0.03093,True
D389,aucell_delta_score,-0.0137,donor-shift,-0.0216,0.0079,"[-0.0115, -0.0128, -0.0168]","0,1,2",552,600,2,70,0.03093,True
D390,e_distance,0.4323,cell-mean,5.4733,5.041,"[0.3732, 0.5432, 0.3806]","0,1,2",553,600,2,74,0.03093,True
D390,aucell_delta_score,-0.0226,cell-mean,-0.0323,0.0097,"[-0.0235, -0.022, -0.0222]","0,1,2",553,600,2,74,0.03093,True
D391,e_distance,0.4547,donor-shift,5.3851,4.9304,"[0.5034, 0.4483, 0.4124]","0,1,2",596,600,2,75,0.03073,True
D391,aucell_delta_score,-0.0123,donor-shift,-0.0277,0.0154,"[-0.0103, -0.015, -0.0116]","0,1,2",596,600,2,75,0.03073,True
D392,e_distance,0.4561,cell-mean,5.3829,4.9268,"[0.4516, 0.5523, 0.3644]","0,1,2",600,600,2,74,0.03086,True
D392,aucell_delta_score,-0.0161,donor-shift,-0.0347,0.0186,"[-0.0172, -0.0127, -0.0185]","0,1,2",600,600,2,74,0.03086,True
D393,e_distance,0.3046,cell-mean,4.965,4.6604,"[0.2684, 0.3101, 0.3354]","0,1,2",600,600,2,76,0.0307,True
D393,aucell_delta_score,-0.0213,donor-shift,-0.0169,-0.0044,"[-0.0203, -0.0259, -0.0176]","0,1,2",600,600,2,76,0.0307,True
D394,e_distance,0.4633,cell-mean,4.4753,4.012,"[0.4607, 0.4539, 0.4753]","0,1,2",600,600,2,79,0.03105,True
D394,aucell_delta_score,-0.017,donor-shift,-0.0539,0.0369,"[-0.0169, -0.0162, -0.0179]","0,1,2",600,600,2,79,0.03105,True
D395,e_distance,0.4008,donor-shift,4.9029,4.5021,"[0.4672, 0.4148, 0.3204]","0,1,2",600,600,2,77,0.03086,True
D395,aucell_delta_score,-0.0161,donor-shift,-0.0287,0.0126,"[-0.0159, -0.0207, -0.0116]","0,1,2",600,600,2,77,0.03086,True
D396,e_distance,0.5756,donor-shift,5.3276,4.752,"[0.5207, 0.6335, 0.5725]","0,1,2",600,600,2,75,0.0309,True
D396,aucell_delta_score,-0.0246,donor-shift,-0.0713,0.0467,"[-0.0238, -0.0226, -0.0273]","0,1,2",600,600,2,75,0.0309,True
D397,e_distance,0.4531,cell-mean,5.1079,4.6548,"[0.4728, 0.4341, 0.4523]","0,1,2",600,600,2,77,0.0308,True
D397,aucell_delta_score,-0.0156,donor-shift,-0.0255,0.0099,"[-0.0166, -0.0115, -0.0187]","0,1,2",600,600,2,77,0.0308,True
D398,e_distance,0.448,cell-mean,5.4954,5.0474,"[0.3893, 0.4878, 0.467]","0,1,2",600,600,2,74,0.0308,True
D398,aucell_delta_score,-0.0189,donor-shift,-0.0201,0.0012,"[-0.0167, -0.0191, -0.021]","0,1,2",600,600,2,74,0.0308,True
D405,e_distance,0.321,donor-shift,4.6733,4.3523,"[0.2569, 0.3525, 0.3536]","0,1,2",600,600,2,71,0.03078,True
D405,aucell_delta_score,-0.0145,donor-shift,-0.0192,0.0047,"[-0.0104, -0.0118, -0.0212]","0,1,2",600,600,2,71,0.03078,True
D406,e_distance,0.3442,cell-mean,4.9314,4.5872,"[0.2959, 0.3925, 0.3442]","0,1,2",600,600,2,75,0.03066,True
D406,aucell_delta_score,-0.0135,donor-shift,-0.0225,0.009,"[-0.0134, -0.0135, -0.0137]","0,1,2",600,600,2,75,0.03066,True
D407,e_distance,0.4482,donor-shift,5.2546,4.8064,"[0.3994, 0.5244, 0.4208]","0,1,2",600,600,2,77,0.03087,True
D407,aucell_delta_score,-0.0157,donor-shift,-0.025,0.0093,"[-0.015, -0.0199, -0.0121]","0,1,2",600,600,2,77,0.03087,True
D408,e_distance,0.4878,donor-shift,5.0049,4.5171,"[0.4052, 0.5444, 0.5137]","0,1,2",600,600,2,72,0.03095,True
D408,aucell_delta_score,-0.0108,donor-shift,-0.0195,0.0087,"[-0.0104, -0.0077, -0.0143]","0,1,2",600,600,2,72,0.03095,True
D409,e_distance,0.2874,cell-mean,5.019,4.7316,"[0.2998, 0.28, 0.2823]","0,1,2",567,600,2,78,0.03045,True
D409,aucell_delta_score,-0.0205,donor-shift,-0.0285,0.008,"[-0.0212, -0.0227, -0.0177]","0,1,2",567,600,2,78,0.03045,True
D410,e_distance,0.3077,donor-shift,4.7165,4.4088,"[0.271, 0.2788, 0.3734]","0,1,2",600,600,2,74,0.03069,True
D410,aucell_delta_score,-0.0112,donor-shift,-0.0209,0.0097,"[-0.0098, -0.0141, -0.0096]","0,1,2",600,600,2,74,0.03069,True
D411,e_distance,0.5962,donor-shift,4.8175,4.2213,"[0.5999, 0.6817, 0.5071]","0,1,2",600,600,2,70,0.0308,True
D411,aucell_delta_score,-0.0094,donor-shift,-0.0223,0.0129,"[-0.0118, -0.0064, -0.0101]","0,1,2",600,600,2,70,0.0308,True
D412,e_distance,0.6198,donor-shift,4.9237,4.3039,"[0.6177, 0.6509, 0.5909]","0,1,2",600,600,2,74,0.03078,True
D412,aucell_delta_score,-0.0152,donor-shift,-0.0189,0.0037,"[-0.0161, -0.0151, -0.0143]","0,1,2",600,600,2,74,0.03078,True
D413,e_distance,0.5214,donor-shift,4.972,4.4506,"[0.3736, 0.6783, 0.5123]","0,1,2",600,600,2,70,0.03074,True
D413,aucell_delta_score,-0.013,donor-shift,-0.0189,0.0059,"[-0.0144, -0.0135, -0.0112]","0,1,2",600,600,2,70,0.03074,True
D414,e_distance,0.5127,donor-shift,5.0466,4.5339,"[0.4092, 0.5774, 0.5514]","0,1,2",600,600,2,75,0.03069,True
D414,aucell_delta_score,-0.0122,donor-shift,-0.0232,0.011,"[-0.0115, -0.0116, -0.0135]","0,1,2",600,600,2,75,0.03069,True
D415,e_distance,0.6339,cell-mean,5.5383,4.9044,"[0.5886, 0.7378, 0.5752]","0,1,2",600,600,2,71,0.03082,True
D415,aucell_delta_score,-0.0139,donor-shift,-0.0199,0.006,"[-0.0145, -0.0127, -0.0146]","0,1,2",600,600,2,71,0.03082,True
D416,e_distance,0.9622,donor-shift,6.3333,5.3711,"[0.9615, 1.0674, 0.8577]","0,1,2",353,600,2,78,0.03117,True
D416,aucell_delta_score,-0.0196,donor-shift,-0.02,0.0004,"[-0.0153, -0.0246, -0.019]","0,1,2",353,600,2,78,0.03117,True
D417,e_distance,0.81,donor-shift,5.9408,5.1308,"[0.7959, 0.8532, 0.781]","0,1,2",370,600,2,76,0.03077,True
D417,aucell_delta_score,-0.0169,cell-mean,-0.057,0.0401,"[-0.0156, -0.0172, -0.0179]","0,1,2",370,600,2,76,0.03077,True
D418,e_distance,1.0721,donor-shift,6.3957,5.3236,"[1.0801, 1.0832, 1.0529]","0,1,2",518,600,2,68,0.03075,True
