task_key,task_id,cluster,task,split,unit_kind,unit,model,execution_model,status,pearson_delta,bundle_path
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,PerturbNet,PerturbNet,native,0.788377174081426,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,PerturbNet,PerturbNet,native,0.7752590571796489,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,PerturbNet,PerturbNet,native,0.8215188963607607,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,PerturbNet,PerturbNet,native,0.5529094495696809,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,PerturbNet,PerturbNet,native,0.9398164991944893,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,PerturbNet,PerturbNet,native,0.8804518758089874,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,PerturbNet,PerturbNet,native,0.7472204752250222,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,STATE,STATE,native,0.5891758745674159,predictions/v2_native/C1_LOCT__STATE__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,STATE,STATE,native,0.6252543556772152,predictions/v2_native/C1_LOCT__STATE__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,STATE,STATE,native,0.6790313289977841,predictions/v2_native/C1_LOCT__STATE__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,STATE,STATE,native,0.7030789798374497,predictions/v2_native/C1_LOCT__STATE__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,STATE,STATE,native,0.4114139168465476,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,STATE,STATE,native,0.7562883860890764,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,STATE,STATE,native,0.7905421705781139,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,STATE,STATE,native,0.5777383711417701,predictions/v2_native/C1_LOCT__STATE__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,cell-mean,cell-mean,floor,0.6650275677326014,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,cell-mean,cell-mean,floor,0.6202834193649843,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,cell-mean,cell-mean,floor,0.6186532631599475,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,cell-mean,cell-mean,floor,0.7118548818589516,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,cell-mean,cell-mean,floor,0.5344624507409674,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,cell-mean,cell-mean,floor,0.45585314047845155,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,cell-mean,cell-mean,floor,0.5287328292582771,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,cell-mean,cell-mean,floor,0.5815767202586147,predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,linear-PCA,linear-PCA,floor,0.8291792269869938,predictions/C1/C1_LOCT__linear-PCA__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,linear-PCA,linear-PCA,floor,0.7845206324085413,predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,linear-PCA,linear-PCA,floor,0.7210861090937519,predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,linear-PCA,linear-PCA,floor,0.8222806328625727,predictions/C1/C1_LOCT__linear-PCA__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,linear-PCA,linear-PCA,floor,0.6024060114728254,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,linear-PCA,linear-PCA,floor,0.8190374166643148,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,linear-PCA,linear-PCA,floor,0.8812668727993672,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,linear-PCA,linear-PCA,floor,0.7828952449007798,predictions/C1/C1_LOCT__linear-PCA__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,scFoundation,scFoundation,adapted,0.7484128542071047,predictions/C1/C1_LOCT__scFoundation__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,scFoundation,scFoundation,adapted,0.7288848259591714,predictions/C1/C1_LOCT__scFoundation__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,scFoundation,scFoundation,adapted,0.6823029171787389,predictions/C1/C1_LOCT__scFoundation__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,scFoundation,scFoundation,adapted,0.7049193215819002,predictions/C1/C1_LOCT__scFoundation__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,scFoundation,scFoundation,adapted,0.5185674708480232,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,scFoundation,scFoundation,adapted,0.6894692848934674,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,scFoundation,scFoundation,adapted,0.6938521143158596,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,scFoundation,scFoundation,adapted,0.6522699234221156,predictions/C1/C1_LOCT__scFoundation__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,scGPT,scGPT,adapted,0.6684801460938256,predictions/C1/C1_LOCT__scGPT__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,scGPT,scGPT,adapted,0.6427802326979412,predictions/C1/C1_LOCT__scGPT__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,scGPT,scGPT,adapted,0.6242031139958357,predictions/C1/C1_LOCT__scGPT__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,scGPT,scGPT,adapted,0.6928488165414999,predictions/C1/C1_LOCT__scGPT__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,scGPT,scGPT,adapted,0.5370471171033582,predictions/C1/C1_LOCT__scGPT__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,scGPT,scGPT,adapted,0.39862289529404404,predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,scGPT,scGPT,adapted,0.5395507589249567,predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,scGPT,scGPT,adapted,0.5802803682894373,predictions/C1/C1_LOCT__scGPT__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,scGen,scGen,native,0.7673727669291079,predictions/C1/C1_LOCT__scGen__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,scGen,scGen,native,0.7768391810858634,predictions/C1/C1_LOCT__scGen__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,scGen,scGen,native,0.7718121457088358,predictions/C1/C1_LOCT__scGen__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,scGen,scGen,native,0.7315439158973903,predictions/C1/C1_LOCT__scGen__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,scGen,scGen,native,0.5441511095883287,predictions/C1/C1_LOCT__scGen__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,scGen,scGen,native,0.8352235909361597,predictions/C1/C1_LOCT__scGen__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,scGen,scGen,native,0.8242887523176287,predictions/C1/C1_LOCT__scGen__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,scGen,scGen,native,0.7460928878608168,predictions/C1/C1_LOCT__scGen__C1_loct_NK.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,B,scPRAM,scPRAM,native,0.7979910172292023,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_B.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD4T,scPRAM,scPRAM,native,0.7276954485878995,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD4T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,CD8T,scPRAM,scPRAM,native,0.6861394178591267,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD8T.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,DC,scPRAM,scPRAM,native,0.8140936687262889,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_DC.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mk,scPRAM,scPRAM,native,0.5366048107342326,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mk.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_CD14,scPRAM,scPRAM,native,0.9022282132909603,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_CD14.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,Mono_FCGR3A,scPRAM,scPRAM,native,0.8604969218217726,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_FCGR3A.npz
T1,T1,C1,cytokine/Kang,cell-context (LOCT),lineage,NK,scPRAM,scPRAM,native,0.6804828874571747,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_NK.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D348,CPA,CPA,native,0.19224352574323006,predictions/v2_native/C2_LODO__CPA__C2_lodo_D348.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D349,CPA,CPA,native,0.13927897340498818,predictions/v2_native/C2_LODO__CPA__C2_lodo_D349.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D350,CPA,CPA,native,0.15969940549819092,predictions/v2_native/C2_LODO__CPA__C2_lodo_D350.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D351,CPA,CPA,native,0.19266216618097917,predictions/v2_native/C2_LODO__CPA__C2_lodo_D351.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D352,CPA,CPA,native,0.2026021777781815,predictions/v2_native/C2_LODO__CPA__C2_lodo_D352.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D353,CPA,CPA,native,0.2441087155623019,predictions/v2_native/C2_LODO__CPA__C2_lodo_D353.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D354,CPA,CPA,native,0.22508232421365762,predictions/v2_native/C2_LODO__CPA__C2_lodo_D354.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D355,CPA,CPA,native,0.4505173900660128,predictions/v2_native/C2_LODO__CPA__C2_lodo_D355.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D356,CPA,CPA,native,0.1975523028351302,predictions/v2_native/C2_LODO__CPA__C2_lodo_D356.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D357,CPA,CPA,native,0.26979785985637245,predictions/v2_native/C2_LODO__CPA__C2_lodo_D357.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D358,CPA,CPA,native,0.24409174117732496,predictions/v2_native/C2_LODO__CPA__C2_lodo_D358.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D359,CPA,CPA,native,0.31161905430722175,predictions/v2_native/C2_LODO__CPA__C2_lodo_D359.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D363,CPA,CPA,native,0.18195605752587465,predictions/v2_native/C2_LODO__CPA__C2_lodo_D363.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D364,CPA,CPA,native,0.21489922031997782,predictions/v2_native/C2_LODO__CPA__C2_lodo_D364.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D365,CPA,CPA,native,0.2508337267308262,predictions/v2_native/C2_LODO__CPA__C2_lodo_D365.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D366,CPA,CPA,native,0.16191355664457188,predictions/v2_native/C2_LODO__CPA__C2_lodo_D366.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D367,CPA,CPA,native,0.2957602192510379,predictions/v2_native/C2_LODO__CPA__C2_lodo_D367.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D368,CPA,CPA,native,0.17582263157161454,predictions/v2_native/C2_LODO__CPA__C2_lodo_D368.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D369,CPA,CPA,native,0.23037738185881418,predictions/v2_native/C2_LODO__CPA__C2_lodo_D369.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D370,CPA,CPA,native,0.16605726364775736,predictions/v2_native/C2_LODO__CPA__C2_lodo_D370.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D371,CPA,CPA,native,0.08423527484748514,predictions/v2_native/C2_LODO__CPA__C2_lodo_D371.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D372,CPA,CPA,native,0.09804961280645354,predictions/v2_native/C2_LODO__CPA__C2_lodo_D372.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D373,CPA,CPA,native,0.1385782181148356,predictions/v2_native/C2_LODO__CPA__C2_lodo_D373.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D374,CPA,CPA,native,0.11488185897366704,predictions/v2_native/C2_LODO__CPA__C2_lodo_D374.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D378,CPA,CPA,native,0.226717726882117,predictions/v2_native/C2_LODO__CPA__C2_lodo_D378.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D379,CPA,CPA,native,0.075992093844514,predictions/v2_native/C2_LODO__CPA__C2_lodo_D379.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D380,CPA,CPA,native,0.08348364640797287,predictions/v2_native/C2_LODO__CPA__C2_lodo_D380.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D381,CPA,CPA,native,0.1917135942132732,predictions/v2_native/C2_LODO__CPA__C2_lodo_D381.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D382,CPA,CPA,native,0.1777770102360355,predictions/v2_native/C2_LODO__CPA__C2_lodo_D382.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D383,CPA,CPA,native,0.23469567196393498,predictions/v2_native/C2_LODO__CPA__C2_lodo_D383.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D387,CPA,CPA,native,0.312694464478172,predictions/v2_native/C2_LODO__CPA__C2_lodo_D387.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D388,CPA,CPA,native,0.22630422202955047,predictions/v2_native/C2_LODO__CPA__C2_lodo_D388.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D389,CPA,CPA,native,0.19048034223929614,predictions/v2_native/C2_LODO__CPA__C2_lodo_D389.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D390,CPA,CPA,native,0.15181143305619088,predictions/v2_native/C2_LODO__CPA__C2_lodo_D390.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D391,CPA,CPA,native,0.2635248515373686,predictions/v2_native/C2_LODO__CPA__C2_lodo_D391.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D392,CPA,CPA,native,0.16486054462660682,predictions/v2_native/C2_LODO__CPA__C2_lodo_D392.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D393,CPA,CPA,native,0.18279473375255179,predictions/v2_native/C2_LODO__CPA__C2_lodo_D393.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D394,CPA,CPA,native,0.23897257861986784,predictions/v2_native/C2_LODO__CPA__C2_lodo_D394.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D395,CPA,CPA,native,0.1646629418022509,predictions/v2_native/C2_LODO__CPA__C2_lodo_D395.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D396,CPA,CPA,native,0.21317630240948998,predictions/v2_native/C2_LODO__CPA__C2_lodo_D396.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D397,CPA,CPA,native,0.22323639194934042,predictions/v2_native/C2_LODO__CPA__C2_lodo_D397.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D398,CPA,CPA,native,0.22338619423586387,predictions/v2_native/C2_LODO__CPA__C2_lodo_D398.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D405,CPA,CPA,native,0.2455435903868038,predictions/v2_native/C2_LODO__CPA__C2_lodo_D405.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D406,CPA,CPA,native,0.29391019526293555,predictions/v2_native/C2_LODO__CPA__C2_lodo_D406.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D407,CPA,CPA,native,0.15852975442833345,predictions/v2_native/C2_LODO__CPA__C2_lodo_D407.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D408,CPA,CPA,native,0.0456764782886577,predictions/v2_native/C2_LODO__CPA__C2_lodo_D408.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D409,CPA,CPA,native,0.12944489284170344,predictions/v2_native/C2_LODO__CPA__C2_lodo_D409.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D410,CPA,CPA,native,0.2872172269759101,predictions/v2_native/C2_LODO__CPA__C2_lodo_D410.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D411,CPA,CPA,native,0.1432212388777101,predictions/v2_native/C2_LODO__CPA__C2_lodo_D411.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D412,CPA,CPA,native,0.22707457919931726,predictions/v2_native/C2_LODO__CPA__C2_lodo_D412.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D413,CPA,CPA,native,0.16492110634794577,predictions/v2_native/C2_LODO__CPA__C2_lodo_D413.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D414,CPA,CPA,native,0.13877236362347029,predictions/v2_native/C2_LODO__CPA__C2_lodo_D414.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D415,CPA,CPA,native,0.1848242145578214,predictions/v2_native/C2_LODO__CPA__C2_lodo_D415.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D416,CPA,CPA,native,0.227930344610457,predictions/v2_native/C2_LODO__CPA__C2_lodo_D416.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D417,CPA,CPA,native,0.1956082047811153,predictions/v2_native/C2_LODO__CPA__C2_lodo_D417.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D418,CPA,CPA,native,0.2386731519912917,predictions/v2_native/C2_LODO__CPA__C2_lodo_D418.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D419,CPA,CPA,native,0.10893855355190644,predictions/v2_native/C2_LODO__CPA__C2_lodo_D419.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D420,CPA,CPA,native,0.22133656581314132,predictions/v2_native/C2_LODO__CPA__C2_lodo_D420.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D421,CPA,CPA,native,0.10435710263922016,predictions/v2_native/C2_LODO__CPA__C2_lodo_D421.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D422,CPA,CPA,native,-0.061383073853043396,predictions/v2_native/C2_LODO__CPA__C2_lodo_D422.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D423,CPA,CPA,native,0.13496542930384325,predictions/v2_native/C2_LODO__CPA__C2_lodo_D423.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D424,CPA,CPA,native,0.1395197211786022,predictions/v2_native/C2_LODO__CPA__C2_lodo_D424.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D425,CPA,CPA,native,0.08724113364076208,predictions/v2_native/C2_LODO__CPA__C2_lodo_D425.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D426,CPA,CPA,native,0.22601388227760205,predictions/v2_native/C2_LODO__CPA__C2_lodo_D426.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D427,CPA,CPA,native,0.1136498095576158,predictions/v2_native/C2_LODO__CPA__C2_lodo_D427.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D428,CPA,CPA,native,0.1661957401061872,predictions/v2_native/C2_LODO__CPA__C2_lodo_D428.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D429,CPA,CPA,native,0.10317928483443878,predictions/v2_native/C2_LODO__CPA__C2_lodo_D429.npz
T2,T2,C2,donor/Soskic,donor (LODO),donor,D430,CPA,CPA,native,0.33244093420152615,predictions/v2_native/C2_LODO__CPA__C2_lodo_D430.npz
