task_key,unit,model,program,stratum,n_cells,predicted_program_score,observed_program_score,observed_per_cell_score_mean,control_program_score
T3,chen,AttentionPert,TCR_activation,perturbation=PDRG1,672,0.04777777777777778,0.05555555555555555,0.0627959656084656,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=MED6,971,0.052222222222222225,0.04888888888888889,0.05772857306327955,0.05444444444444444
T3,chen,AttentionPert,TCR_activation,perturbation=TARDBP,829,0.04555555555555556,0.06222222222222222,0.06467229593888218,0.05444444444444444
T3,chen,AttentionPert,IL2_STAT5,perturbation=BPTF,894,0.04555555555555556,0.05333333333333334,0.04836689038031319,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=NOSIP,1578,0.04666666666666667,0.051111111111111114,0.04759611322348965,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=SRPRB,1097,0.04666666666666667,0.05,0.04875519092474426,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=U2AF1,652,0.044444444444444446,0.05,0.044681322426721196,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=CYLD,1233,0.044444444444444446,0.04777777777777778,0.0453176534198432,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=FOXRED2,1343,0.04555555555555556,0.05,0.048879788202200715,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=SMARCA4,1240,0.044444444444444446,0.052222222222222225,0.05315322580645161,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=PLRG1,1051,0.04555555555555556,0.051111111111111114,0.049795961518130885,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=SIK3,1548,0.05333333333333334,0.05444444444444444,0.05220212460522538,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=KIDINS220,1107,0.04666666666666667,0.05,0.05069456990866205,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=NMNAT1,1163,0.04666666666666667,0.051111111111111114,0.04720072609152575,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=MED28,986,0.051111111111111114,0.043333333333333335,0.044395988280369614,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=TET2,1161,0.044444444444444446,0.05444444444444444,0.048748205569910996,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=NCOR2,1285,0.044444444444444446,0.052222222222222225,0.04962213575443147,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=ALKBH5,1028,0.04777777777777778,0.051111111111111114,0.046090575010808474,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=ANKRD17,1294,0.05,0.051111111111111114,0.04867679890091019,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=PCLAF,1380,0.044444444444444446,0.05,0.046093397745571654,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=SMARCB1,1960,0.044444444444444446,0.051111111111111114,0.05100113378684806,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=SMARCD2,1268,0.044444444444444446,0.05,0.044064143007360675,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=RPL8,571,0.04777777777777778,0.051111111111111114,0.051354349095154704,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=PLAGL2,1128,0.04888888888888889,0.04888888888888889,0.047809298660362494,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=EMC4,883,0.044444444444444446,0.04777777777777778,0.04490625393230149,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=TRAPPC2,1333,0.044444444444444446,0.051111111111111114,0.04698674668667167,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=ALG1,1461,0.05,0.051111111111111114,0.04880523233705985,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=PTEN,986,0.04555555555555556,0.04666666666666667,0.04789159341897679,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=ABCA13,1106,0.04888888888888889,0.05,0.045964436407474385,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=FHIP1A,1032,0.05,0.04777777777777778,0.047509689922480614,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=PDRG1,672,0.04777777777777778,0.05333333333333334,0.04715277777777778,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=MED6,971,0.05,0.04888888888888889,0.04353930655681428,0.05
T3,chen,AttentionPert,IL2_STAT5,perturbation=TARDBP,829,0.04555555555555556,0.05444444444444444,0.05098244203189921,0.05
T3,chen,AttentionPert,proliferation,perturbation=BPTF,894,0.0,0.0,0.007441275167785235,0.0
T3,chen,AttentionPert,proliferation,perturbation=NOSIP,1578,0.0,0.0,0.007749524714828897,0.0
T3,chen,AttentionPert,proliferation,perturbation=SRPRB,1097,0.0,0.0,0.008205332725615314,0.0
T3,chen,AttentionPert,proliferation,perturbation=U2AF1,652,0.0,0.0,0.005506134969325153,0.0
T3,chen,AttentionPert,proliferation,perturbation=CYLD,1233,0.0,0.0,0.007541565287915653,0.0
T3,chen,AttentionPert,proliferation,perturbation=FOXRED2,1343,0.0,0.0,0.008098473566641846,0.0
T3,chen,AttentionPert,proliferation,perturbation=SMARCA4,1240,0.0,0.0,0.00842641129032258,0.0
T3,chen,AttentionPert,proliferation,perturbation=PLRG1,1051,0.0,0.0,0.005999048525214082,0.0
T3,chen,AttentionPert,proliferation,perturbation=SIK3,1548,0.0,0.0,0.006732881136950904,0.0
T3,chen,AttentionPert,proliferation,perturbation=KIDINS220,1107,0.0,0.0,0.007328364950316171,0.0
T3,chen,AttentionPert,proliferation,perturbation=NMNAT1,1163,0.0,0.0,0.007864359415305245,0.0
T3,chen,AttentionPert,proliferation,perturbation=MED28,986,0.0,0.0,0.00638184584178499,0.0
T3,chen,AttentionPert,proliferation,perturbation=TET2,1161,0.0,0.0,0.008696167097329888,0.0
T3,chen,AttentionPert,proliferation,perturbation=NCOR2,1285,0.0,0.0,0.0068998054474708175,0.0
T3,chen,AttentionPert,proliferation,perturbation=ALKBH5,1028,0.0,0.0,0.006805690661478599,0.0
T3,chen,AttentionPert,proliferation,perturbation=ANKRD17,1294,0.0,0.0,0.007908616692426585,0.0
T3,chen,AttentionPert,proliferation,perturbation=PCLAF,1380,0.0,0.0,0.007854166666666667,0.0
T3,chen,AttentionPert,proliferation,perturbation=SMARCB1,1960,0.0,0.0,0.010105867346938776,0.0
T3,chen,AttentionPert,proliferation,perturbation=SMARCD2,1268,0.0,0.0,0.008251182965299685,0.0
T3,chen,AttentionPert,proliferation,perturbation=RPL8,571,0.0,0.0,0.0072985989492119095,0.0
T3,chen,AttentionPert,proliferation,perturbation=PLAGL2,1128,0.0,0.0,0.007875664893617022,0.0
T3,chen,AttentionPert,proliferation,perturbation=EMC4,883,0.0,0.0,0.007599093997734996,0.0
T3,chen,AttentionPert,proliferation,perturbation=TRAPPC2,1333,0.0,0.0,0.007789759939984997,0.0
T3,chen,AttentionPert,proliferation,perturbation=ALG1,1461,0.0,0.0,0.008809890485968514,0.0
T3,chen,AttentionPert,proliferation,perturbation=PTEN,986,0.0,0.0,0.007379563894523326,0.0
T3,chen,AttentionPert,proliferation,perturbation=ABCA13,1106,0.0,0.0,0.0074796564195298365,0.0
T3,chen,AttentionPert,proliferation,perturbation=FHIP1A,1032,0.0,0.0,0.006458333333333332,0.0
T3,chen,AttentionPert,proliferation,perturbation=PDRG1,672,0.0,0.0,0.008530505952380953,0.0
T3,chen,AttentionPert,proliferation,perturbation=MED6,971,0.0,0.0,0.008474510813594233,0.0
T3,chen,AttentionPert,proliferation,perturbation=TARDBP,829,0.0,0.0,0.009062123039806996,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=BPTF,894,0.0,0.0,0.05719519015659955,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=NOSIP,1578,0.0,0.0,0.059448669201520914,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=SRPRB,1097,0.0,0.0,0.0531563354603464,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=U2AF1,652,0.0,0.0,0.05528757668711656,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=CYLD,1233,0.0,0.0,0.06406123276561232,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=FOXRED2,1343,0.0,0.0,0.061693968726731205,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=SMARCA4,1240,0.0,0.0,0.05783870967741935,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=PLRG1,1051,0.0,0.0,0.05778068506184586,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=SIK3,1548,0.0,0.0,0.05750161498708011,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=KIDINS220,1107,0.0,0.0,0.05735772357723578,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=NMNAT1,1163,0.0,0.0,0.05829105760963027,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=MED28,986,0.0,0.0,0.05804006085192698,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=TET2,1161,0.0,0.0,0.05984496124031008,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=NCOR2,1285,0.0,0.0,0.067215953307393,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=ALKBH5,1028,0.0,0.0,0.05741488326848249,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=ANKRD17,1294,0.0,0.0,0.06411321483771253,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=PCLAF,1380,0.0,0.0,0.06216304347826087,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=SMARCB1,1960,0.0,0.0,0.05120663265306123,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=SMARCD2,1268,0.0,0.0,0.06314077287066246,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=RPL8,571,0.0,0.0,0.05450525394045534,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=PLAGL2,1128,0.0,0.0,0.06599069148936171,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=EMC4,883,0.0,0.0,0.06567950169875425,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=TRAPPC2,1333,0.0,0.0,0.058812828207051755,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=ALG1,1461,0.0,0.0,0.06172484599589323,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=PTEN,986,0.0,0.0,0.06908215010141987,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=ABCA13,1106,0.0,0.0,0.06190777576853526,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=FHIP1A,1032,0.0,0.0,0.05585755813953488,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=PDRG1,672,0.0,0.0,0.06008928571428572,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=MED6,971,0.0,0.0,0.052149845520082394,0.0
T3,chen,AttentionPert,effector_cytokine,perturbation=TARDBP,829,0.0,0.0,0.05214113389626056,0.0
T3,chen,AttentionPert,Treg_exhaustion,perturbation=BPTF,894,0.11166666666666666,0.15833333333333333,0.11210663683818045,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=NOSIP,1578,0.10666666666666667,0.13666666666666666,0.10756548373468526,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=SRPRB,1097,0.125,0.115,0.09797933758735947,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=U2AF1,652,0.11166666666666666,0.14666666666666667,0.10663599182004091,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=CYLD,1233,0.10166666666666667,0.14833333333333334,0.11034468775344689,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=FOXRED2,1343,0.10833333333333334,0.14833333333333334,0.109915611814346,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=SMARCA4,1240,0.11,0.16166666666666665,0.1118991935483871,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=PLRG1,1051,0.10333333333333333,0.13833333333333334,0.10743894703457026,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=SIK3,1548,0.125,0.165,0.11904931093884584,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=KIDINS220,1107,0.11333333333333333,0.13166666666666665,0.11065642878651008,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=NMNAT1,1163,0.10666666666666667,0.12833333333333333,0.10404843794783607,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=MED28,986,0.12166666666666667,0.115,0.10042258282623394,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=TET2,1161,0.10333333333333333,0.13666666666666666,0.10632787826586275,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=NCOR2,1285,0.10333333333333333,0.15166666666666667,0.1113631647211414,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=ALKBH5,1028,0.11166666666666666,0.15,0.1090807392996109,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=ANKRD17,1294,0.11833333333333333,0.13333333333333333,0.10922720247295209,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=PCLAF,1380,0.10833333333333334,0.15166666666666667,0.10915458937198066,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=SMARCB1,1960,0.115,0.14333333333333334,0.10045918367346938,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=SMARCD2,1268,0.10833333333333334,0.145,0.10466219768664567,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=RPL8,571,0.12833333333333333,0.15833333333333333,0.11159077641564506,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=PLAGL2,1128,0.10833333333333334,0.16333333333333333,0.11032949172576832,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=EMC4,883,0.12,0.12166666666666667,0.09837108342770859,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=TRAPPC2,1333,0.10666666666666667,0.15333333333333332,0.11098774693673417,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=ALG1,1461,0.13166666666666665,0.16833333333333333,0.1085523613963039,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=PTEN,986,0.10833333333333334,0.135,0.10756085192697769,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=ABCA13,1106,0.115,0.15166666666666667,0.10948915009041592,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=FHIP1A,1032,0.155,0.145,0.10816214470284238,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=PDRG1,672,0.13,0.12,0.09974454365079366,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=MED6,971,0.12166666666666667,0.14333333333333334,0.10479574322004806,0.155
T3,chen,AttentionPert,Treg_exhaustion,perturbation=TARDBP,829,0.10833333333333334,0.13833333333333334,0.1113590671491757,0.155
T3,mccutcheon_CRISPRa,AttentionPert,TCR_activation,perturbation=MYB,889,0.0,0.0,0.0009711286089238844,0.0
T3,mccutcheon_CRISPRa,AttentionPert,TCR_activation,perturbation=NR4A1,892,0.0,0.0,0.00016068759342301945,0.0
T3,mccutcheon_CRISPRa,AttentionPert,IL2_STAT5,perturbation=MYB,889,0.0,0.0,0.0018053993250843644,0.0
T3,mccutcheon_CRISPRa,AttentionPert,IL2_STAT5,perturbation=NR4A1,892,0.0,0.0,0.0015937967115097157,0.0
T3,mccutcheon_CRISPRa,AttentionPert,proliferation,perturbation=MYB,889,0.0,0.0,0.017523264137437367,0.0
T3,mccutcheon_CRISPRa,AttentionPert,proliferation,perturbation=NR4A1,892,0.0,0.0,0.01700774561761109,0.0
T3,mccutcheon_CRISPRa,AttentionPert,effector_cytokine,perturbation=MYB,889,0.0,0.0,0.03522872140982377,0.0
T3,mccutcheon_CRISPRa,AttentionPert,effector_cytokine,perturbation=NR4A1,892,0.0,0.0,0.03941704035874439,0.0
T3,mccutcheon_CRISPRa,AttentionPert,Treg_exhaustion,perturbation=MYB,889,0.0,0.0,0.000467941507311586,0.0
T3,mccutcheon_CRISPRa,AttentionPert,Treg_exhaustion,perturbation=NR4A1,892,0.0,0.0,0.0003811659192825112,0.0
T3,mccutcheon_CRISPRi,AttentionPert,TCR_activation,perturbation=MYB,889,0.0,0.0,0.0006411698537682789,0.0
T3,mccutcheon_CRISPRi,AttentionPert,TCR_activation,perturbation=NR4A1,889,0.0,0.0,0.000254968128983877,0.0
T3,mccutcheon_CRISPRi,AttentionPert,IL2_STAT5,perturbation=MYB,889,0.0,0.0,0.0009403824521934758,0.0
T3,mccutcheon_CRISPRi,AttentionPert,IL2_STAT5,perturbation=NR4A1,889,0.0,0.0,0.0010033745781777277,0.0
T3,mccutcheon_CRISPRi,AttentionPert,proliferation,perturbation=MYB,889,0.0,0.0,0.016017997750281215,0.0
T3,mccutcheon_CRISPRi,AttentionPert,proliferation,perturbation=NR4A1,889,0.0,0.0,0.015176398404744862,0.0
T3,mccutcheon_CRISPRi,AttentionPert,effector_cytokine,perturbation=MYB,889,0.0,0.0,0.029446944131983503,0.0
T3,mccutcheon_CRISPRi,AttentionPert,effector_cytokine,perturbation=NR4A1,889,0.0,0.0,0.029347581552305962,0.0
T3,mccutcheon_CRISPRi,AttentionPert,Treg_exhaustion,perturbation=MYB,889,0.0,0.0,7.19910011248594e-05,0.0
T3,mccutcheon_CRISPRi,AttentionPert,Treg_exhaustion,perturbation=NR4A1,889,0.0,0.0,3.1496062992125985e-05,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=LHX6,300,0.0,0.0,0.025627777777777774,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=APOL2,300,0.0,0.0,0.026033333333333335,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=FOSL1,300,0.0,0.0,0.03162222222222222,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=ALX4,300,0.0,0.0,0.0262,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=INPPL1,300,0.0,0.0,0.02183888888888889,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=EMP3,300,0.0,0.0,0.02506111111111111,0.0
T3,schmidt,AttentionPert,TCR_activation,perturbation=PRDM1,51,0.0,0.0,0.04725490196078431,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=LHX6,300,0.0,0.0,0.02172083333333333,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=APOL2,300,0.0,0.0,0.019679166666666664,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=FOSL1,300,0.0,0.0,0.023545833333333332,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=ALX4,300,0.0,0.0,0.0224125,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=INPPL1,300,0.0,0.0,0.013291666666666667,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=EMP3,300,0.0,0.0,0.018579166666666667,0.0
T3,schmidt,AttentionPert,IL2_STAT5,perturbation=PRDM1,51,0.0,0.0,0.03811274509803922,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=LHX6,300,0.0,0.0,0.02299166666666667,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=APOL2,300,0.0,0.0,0.021583333333333333,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=FOSL1,300,0.0,0.0,0.038062500000000006,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=ALX4,300,0.0,0.0,0.021741666666666663,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=INPPL1,300,0.0,0.0,0.014766666666666666,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=EMP3,300,0.0,0.0,0.020020833333333335,0.0
T3,schmidt,AttentionPert,proliferation,perturbation=PRDM1,51,0.0,0.0,0.039901960784313725,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=LHX6,300,0.0,0.0,0.04729166666666667,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=APOL2,300,0.0,0.0,0.055904166666666665,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=FOSL1,300,0.0,0.0,0.06727916666666668,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=ALX4,300,0.0,0.0,0.05834166666666666,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=INPPL1,300,0.0,0.0,0.03359999999999999,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=EMP3,300,0.0,0.0,0.05940416666666666,0.0
T3,schmidt,AttentionPert,effector_cytokine,perturbation=PRDM1,51,0.0,0.0,0.07911764705882351,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=LHX6,300,0.0,0.0,0.04875555555555555,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=APOL2,300,0.0,0.0,0.04707777777777778,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=FOSL1,300,0.0,0.0,0.05521111111111111,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=ALX4,300,0.0,0.0,0.047044444444444444,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=INPPL1,300,0.0,0.0,0.030422222222222222,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=EMP3,300,0.0,0.0,0.04526666666666667,0.0
T3,schmidt,AttentionPert,Treg_exhaustion,perturbation=PRDM1,51,0.0,0.0,0.11267973856209151,0.0
T3,shifrut,AttentionPert,TCR_activation,perturbation=STAT6,572,0.0,0.0,0.006708916083916084,0.0
T3,shifrut,AttentionPert,TCR_activation,perturbation=MEF2D,1026,0.0,0.0,0.007746101364522417,0.0
T3,shifrut,AttentionPert,IL2_STAT5,perturbation=STAT6,572,0.0,0.0,0.019689685314685314,0.0
T3,shifrut,AttentionPert,IL2_STAT5,perturbation=MEF2D,1026,0.0,0.0,0.020324074074074078,0.0
T3,shifrut,AttentionPert,proliferation,perturbation=STAT6,572,0.0,0.0,0.02988417832167832,0.0
T3,shifrut,AttentionPert,proliferation,perturbation=MEF2D,1026,0.0,0.0,0.028601364522417152,0.0
T3,shifrut,AttentionPert,effector_cytokine,perturbation=STAT6,572,0.11428571428571428,0.12,0.11491758241758242,0.12142857142857143
T3,shifrut,AttentionPert,effector_cytokine,perturbation=MEF2D,1026,0.11428571428571428,0.12,0.11123920913394597,0.12142857142857143
T3,shifrut,AttentionPert,Treg_exhaustion,perturbation=STAT6,572,0.0,0.0,0.004909090909090909,0.0
T3,shifrut,AttentionPert,Treg_exhaustion,perturbation=MEF2D,1026,0.0,0.0,0.005750487329434699,0.0
T3,chen,Biolord,TCR_activation,perturbation=BPTF,894,0.05555555555555555,0.058888888888888886,0.0647427293064877,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=NOSIP,1578,0.057777777777777775,0.056666666666666664,0.06400929446556823,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=SRPRB,1097,0.056666666666666664,0.05,0.054779702218170766,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=U2AF1,652,0.056666666666666664,0.05444444444444444,0.05991308793456033,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=CYLD,1233,0.056666666666666664,0.06,0.06431287735423989,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=FOXRED2,1343,0.056666666666666664,0.05333333333333334,0.06409779101514024,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=SMARCA4,1240,0.057777777777777775,0.05555555555555555,0.06349283154121864,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=PLRG1,1051,0.056666666666666664,0.06,0.06312189449201817,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=SIK3,1548,0.05444444444444444,0.06111111111111111,0.06906904966982486,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=KIDINS220,1107,0.056666666666666664,0.05333333333333334,0.06893907457593093,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=NMNAT1,1163,0.057777777777777775,0.052222222222222225,0.06131842934938378,0.05444444444444444
T3,chen,Biolord,TCR_activation,perturbation=MED28,986,0.05555555555555555,0.044444444444444446,0.05624070317782285,0.05444444444444444
