task_key,cluster,task_name,task_split,family,role,family_baselines,scored_member,status,unit,n_unit,metric,binding_floor,floor,model_score,best_model_gap,ci_low,ci_high,margin_min,margin_max,units_above_floor,inference,evidence,member_selection,interpretation
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Flow,conditioned,CellFlow;PerturbNet,PerturbNet,native,dataset,5,pearson_delta,cell-mean,0.493731607053064,0.36169304334146235,-0.13203856371160175,,,-0.19599196717008555,0.005477182119676904,1/5,per-unit range (n = 5; CI not reported),mixed unit margins (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Foundation,conditioned,scGPT,scGPT,native,dataset,5,pearson_delta,cell-mean,0.493731607053064,0.1653525583486745,-0.32837904870438955,,,-0.6224678200605855,-0.1302208040673492,0/5,per-unit range (n = 5; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Graph,conditioned,AttentionPert;GEARS,AttentionPert,native,dataset,5,pearson_delta,cell-mean,0.493731607053064,0.22690412508947685,-0.2668274819635872,,,-0.32687463573643183,-0.12536222094089866,0/5,per-unit range (n = 5; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Latent,conditioned,Biolord,Biolord,native,dataset,5,pearson_delta,cell-mean,0.493731607053064,0.3941136139248484,-0.09961799312821565,,,-0.1378745170425329,0.042334469244816264,1/5,per-unit range (n = 5; CI not reported),mixed unit margins (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),OT,diagnostic: CINEMA-OT,CINEMA-OT,CINEMA-OT,diagnostic,dataset,5,pearson_delta,cell-mean,0.493731607053064,0.4578647190595113,-0.03586688799355272,,,-0.06082783316742063,-0.0026873753462938743,0/5,per-unit range (n = 5; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T4,C4,complex/Frangieh,"unseen-KO (modality, RNA)",Deterministic shift,diagnostic: linear-shift-KOemb,linear-shift-KOemb,linear-shift-KOemb,diagnostic,modality-fold,2,pearson_delta,cell-mean,0.6612302920706715,0.617673734348777,-0.04355655772189443,,,-0.054662571140709604,-0.032450544303079254,0/2,per-unit range (n = 2; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T4,C4,complex/Frangieh,"unseen-KO (modality, RNA)",Flow,conditioned,CellFlow;PerturbNet,PerturbNet,native,modality-fold,2,pearson_delta,cell-mean,0.6612302920706715,0.5981257562295912,-0.06310453584108033,,,-0.06536658008255547,-0.0608424915996052,0/2,per-unit range (n = 2; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T4,C4,complex/Frangieh,"unseen-KO (modality, RNA)",Foundation,conditioned,scGPT,scGPT,native,modality-fold,2,pearson_delta,cell-mean,0.6612302920706715,0.5568108406678284,-0.10441945140284314,,,-0.10929722550315768,-0.09954167730252861,0/2,per-unit range (n = 2; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T4,C4,complex/Frangieh,"unseen-KO (modality, RNA)",Graph,conditioned,AttentionPert;GEARS,AttentionPert,native,modality-fold,2,pearson_delta,cell-mean,0.6612302920706715,0.5079323094470054,-0.15329798262366617,,,-0.15772124944302857,-0.14887471580430378,0/2,per-unit range (n = 2; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T4,C4,complex/Frangieh,"unseen-KO (modality, RNA)",Latent,conditioned,Biolord,Biolord,native,modality-fold,2,pearson_delta,cell-mean,0.6612302920706715,0.612772612765668,-0.048457679305003554,,,-0.05142089532236316,-0.04549446328764395,0/2,per-unit range (n = 2; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5u,C5,small-mol/OP3,unseen-compound,Chemistry,conditioned,PRnet,PRnet,native,compound,28,pearson_delta,cell-mean,0.17217958258837587,0.13430073623254726,-0.037878846355828624,-0.052259643314289825,-0.023170484145510154,-0.1217063583801675,0.038159914555438545,6/28,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5u,C5,small-mol/OP3,unseen-compound,Chemistry,diagnostic: FP-ridge,FP-ridge,FP-ridge,diagnostic,compound,28,pearson_delta,cell-mean,0.17217958258837587,0.1642003833460359,-0.00797919924233997,-0.030822678884539247,0.018930824833357847,-0.1098656610444349,0.250186318413312,7/28,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5u,C5,small-mol/OP3,unseen-compound,Flow,conditioned,CellFlow;PerturbNet,CellFlow,native,compound,28,pearson_delta,cell-mean,0.17217958258837587,0.16610773952742774,-0.006071843060948136,-0.01851484180120305,0.00802962076619857,-0.05911533396149624,0.12331118689616463,9/28,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5u,C5,small-mol/OP3,unseen-compound,Latent,conditioned,Biolord;CPA,Biolord,native,compound,28,pearson_delta,cell-mean,0.17217958258837587,0.1266751625002205,-0.04550442008815536,-0.07685157059927948,-0.004806396160152789,-0.16931618024503553,0.40858679912466256,5/28,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5u,C5,small-mol/OP3,unseen-compound,OT,diagnostic: CINEMA-OT,CINEMA-OT,CINEMA-OT,diagnostic,compound,28,pearson_delta,cell-mean,0.17217958258837587,0.17181998694360803,-0.00035959564476784403,-0.0018795728082216957,0.0016082638966125457,-0.006072494379361859,0.019891938789442926,9/28,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),Chemistry,conditioned,PRnet,PRnet,native,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.09443091810221138,-0.1749988356742097,,,-0.208731229709739,-0.14343823830248525,0/4,per-unit range (n = 4; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),Chemistry,diagnostic: FP-ridge,FP-ridge,FP-ridge,diagnostic,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.38744925741192343,0.11801950363550237,,,0.10473701007474301,0.1304307331243389,4/4,per-unit range (n = 4; CI not reported),positive in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),Flow,conditioned,CellFlow,CellFlow,native,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.1038204612370675,-0.1656092925393536,,,-0.19941239817871745,-0.11605540827713758,0/4,per-unit range (n = 4; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),Foundation,conditioned,scFoundation;scGPT,scFoundation,adapted,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.055151361950675104,-0.214278391825746,,,-0.2572364055149917,-0.1256940131805941,0/4,per-unit range (n = 4; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),Latent,conditioned,Biolord,Biolord,native,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.07870502441583836,-0.19072472936058274,,,-0.2518355656518215,-0.12238818799037296,0/4,per-unit range (n = 4; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),OT,conditioned,CellOT;scPRAM,CellOT,native,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.10148818994753454,-0.1679415638288866,,,-0.2399090903204376,-0.09523549461433581,0/4,per-unit range (n = 4; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T5c,C5,small-mol/OP3,cell-context (LOCT),OT,diagnostic: CINEMA-OT,CINEMA-OT,CINEMA-OT,diagnostic,lineage,4,pearson_delta,linear-PCA,0.2694297537764211,0.2533158068911881,-0.016113946885232988,,,-0.035088326711987194,0.0052342246320424834,1/4,per-unit range (n = 4; CI not reported),mixed unit margins (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
