cluster,dataset,modality,split,model,family,response_direction_pearson_delta,distributional_energy_distance
C3,chen,KO,C3_true_lo_gene_25,linear-PCA,simple,0.4170475673,7.550056001
C3,chen,KO,C3_true_lo_gene_50,scFoundation,foundation,-0.04849585733,7.567346216
C3,chen,KO,C3_true_lo_gene_50,scGPT,foundation,0.3938426437,7.540634892
C3,chen,KO,C3_true_lo_gene_50,AttentionPert,graph,0.1939715577,7.582854263
C3,chen,KO,C3_true_lo_gene_50,GEARS,graph,0.240482416,7.603585685
C3,chen,KO,C3_true_lo_gene_50,PertAdapt,hybrid,0.002426639811,7.511707133
C3,chen,KO,C3_true_lo_gene_50,STATE,hybrid,-0.002041064359,7.57068258
C3,chen,KO,C3_true_lo_gene_50,CPA,latent,0.2303626461,7.769437042
C3,chen,KO,C3_true_lo_gene_50,scGen,latent,0.1685476067,7.635660685
C3,chen,KO,C3_true_lo_gene_50,CINEMA-OT,ot,0.4243428635,7.55486657
C3,chen,KO,C3_true_lo_gene_50,cell-mean,simple,0.5130437836,7.550739896
C3,chen,KO,C3_true_lo_gene_50,ctrl-pred,simple,0.001652142238,7.511707268
C3,chen,KO,C3_true_lo_gene_50,donor-shift,simple,0.5130437836,7.550739896
C3,chen,KO,C3_true_lo_gene_50,linear-PCA,simple,0.4092427425,7.550739369
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,scFoundation,foundation,0.05140672624,7.679735123
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,scGPT,foundation,0.3314945549,7.587015896
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,AttentionPert,graph,0.3213628381,7.919278568
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,GEARS,graph,0.3339466155,7.733757408
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,PertAdapt,hybrid,0.00927964272,7.540511072
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,-0.04320741259,7.586734219
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,CPA,latent,0.07492042406,8.143919384
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,scGen,latent,0.1944822297,8.80605296
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,CINEMA-OT,ot,0.5529155135,7.563078877
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,cell-mean,simple,0.5917022824,7.561338497
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,ctrl-pred,simple,0.005016090116,7.540511084
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,donor-shift,simple,0.5917022824,7.561338497
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,linear-PCA,simple,0.4486456215,7.561338911
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,scFoundation,foundation,0.004999575011,7.684925519
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,scGPT,foundation,0.2005118445,7.995006529
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,AttentionPert,graph,0.1934946831,8.034419894
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,GEARS,graph,0.124237152,7.718445178
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,PertAdapt,hybrid,-0.0248094004,7.57436174
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,0.01617077567,7.605900137
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,CPA,latent,-0.09288222094,8.508409206
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,scGen,latent,-0.00321667331,8.89911811
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,CINEMA-OT,ot,0.4023667791,7.660164019
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,cell-mean,simple,0.4020695503,7.660470865
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,ctrl-pred,simple,-0.02871712274,7.574361802
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,donor-shift,simple,0.4020695503,7.660470865
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,linear-PCA,simple,0.2677316335,7.660473427
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,scFoundation,foundation,0.05924220778,7.851125353
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,scGPT,foundation,0.229360645,8.019899971
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,AttentionPert,graph,0.2101153303,8.194075208
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,GEARS,graph,-0.01219362703,7.762232584
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,PertAdapt,hybrid,-0.02687076425,7.676313856
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,0.01958797329,7.72308311
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,CPA,latent,-0.04603681395,8.829280477
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,scGen,latent,0.1513105752,9.061979421
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,CINEMA-OT,ot,0.4851523824,7.693555722
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,cell-mean,simple,0.493959145,7.68938142
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,ctrl-pred,simple,-0.03055563119,7.676313901
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,donor-shift,simple,0.493959145,7.68938142
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,linear-PCA,simple,0.3971302814,7.68938278
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,scFoundation,foundation,0.05538151041,7.707671151
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,scGPT,foundation,0.002778843045,8.867455473
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,AttentionPert,graph,0.1299465094,8.213903309
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,GEARS,graph,0.009893983603,7.811241352
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,PertAdapt,hybrid,-0.01477695908,7.627667141
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,STATE,hybrid,-0.08041373827,7.696512882
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,CPA,latent,0.03193265945,8.358925362
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,scGen,latent,0.01561432332,9.546409732
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,CINEMA-OT,ot,0.4333195537,7.601638315
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,cell-mean,simple,0.4568211734,7.605060028
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,ctrl-pred,simple,-0.01613022108,7.627667221
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,donor-shift,simple,0.4568211734,7.605060028
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,linear-PCA,simple,0.08582714386,7.605060592
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,scFoundation,foundation,0.05520650124,8.141117151
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,scGPT,foundation,0.1258203741,8.283782862
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,AttentionPert,graph,0.1428647066,8.613467191
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,GEARS,graph,0.1873996754,8.101576604
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,PertAdapt,hybrid,0.01570797052,8.115784007
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,STATE,hybrid,-0.05020018853,8.176164606
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,CPA,latent,0.05003118018,9.187422433
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,scGen,latent,-0.002168794318,9.627270434
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,CINEMA-OT,ot,0.2845739201,8.103904026
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,cell-mean,simple,0.2967725421,8.116887167
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,ctrl-pred,simple,0.01796056738,8.115783925
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,donor-shift,simple,0.2967725421,8.116887167
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,linear-PCA,simple,0.0258921332,8.116887355
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,scFoundation,foundation,0.04632591705,7.875235144
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,scGPT,foundation,0.1777828401,8.342100656
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,AttentionPert,graph,0.1632468834,8.232870274
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,GEARS,graph,0.102062981,7.982631594
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,PertAdapt,hybrid,0.007856805673,7.859371424
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,STATE,hybrid,0.01226505637,7.890983246
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,CPA,latent,0.1432495768,8.725452653
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,scGen,latent,0.04275179716,9.805563777
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,CINEMA-OT,ot,0.3819680177,7.83471495
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,cell-mean,simple,0.3997994624,7.833120607
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,ctrl-pred,simple,0.00824906611,7.859371412
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,donor-shift,simple,0.3997994624,7.833120607
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,linear-PCA,simple,0.1251530016,7.833120325
C3,schmidt,CRISPRa,C3_true_lo_gene_10,scFoundation,foundation,0.1542718379,10.1325301
C3,schmidt,CRISPRa,C3_true_lo_gene_10,scGPT,foundation,0.2808351396,10.30076997
C3,schmidt,CRISPRa,C3_true_lo_gene_10,AttentionPert,graph,0.3304295774,10.05579518
C3,schmidt,CRISPRa,C3_true_lo_gene_10,GEARS,graph,0.318547665,9.982764123
C3,schmidt,CRISPRa,C3_true_lo_gene_10,PertAdapt,hybrid,-0.000148909233,10.07727368
C3,schmidt,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,0.01413427519,10.08743451
C3,schmidt,CRISPRa,C3_true_lo_gene_10,CPA,latent,0.2541929366,10.10065445
C3,schmidt,CRISPRa,C3_true_lo_gene_10,scGen,latent,0.1843713277,10.38693845
C3,schmidt,CRISPRa,C3_true_lo_gene_10,CINEMA-OT,ot,0.4531043991,10.07513655
C3,schmidt,CRISPRa,C3_true_lo_gene_10,cell-mean,simple,0.4557917852,10.07978767
C3,schmidt,CRISPRa,C3_true_lo_gene_10,ctrl-pred,simple,0.001950657976,10.07727358
C3,schmidt,CRISPRa,C3_true_lo_gene_10,donor-shift,simple,0.4557917852,10.07978767
C3,schmidt,CRISPRa,C3_true_lo_gene_10,linear-PCA,simple,0.2711602737,10.07978634
C3,schmidt,CRISPRa,C3_true_lo_gene_25,scFoundation,foundation,0.0789546929,10.35169162
C3,schmidt,CRISPRa,C3_true_lo_gene_25,scGPT,foundation,0.3913938524,9.994525905
C3,schmidt,CRISPRa,C3_true_lo_gene_25,AttentionPert,graph,0.2968895515,10.08770418
C3,schmidt,CRISPRa,C3_true_lo_gene_25,GEARS,graph,0.2535961358,9.966574948
C3,schmidt,CRISPRa,C3_true_lo_gene_25,PertAdapt,hybrid,0.01208044609,10.20071896
C3,schmidt,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,-0.01344962172,10.22325824
C3,schmidt,CRISPRa,C3_true_lo_gene_25,CPA,latent,0.2371795613,10.391599
C3,schmidt,CRISPRa,C3_true_lo_gene_25,scGen,latent,0.1092235292,10.97682985
C3,schmidt,CRISPRa,C3_true_lo_gene_25,CINEMA-OT,ot,0.4789104693,9.985992867
C3,schmidt,CRISPRa,C3_true_lo_gene_25,cell-mean,simple,0.4852153876,9.991812384
C3,schmidt,CRISPRa,C3_true_lo_gene_25,ctrl-pred,simple,0.01313092137,10.20071856
C3,schmidt,CRISPRa,C3_true_lo_gene_25,donor-shift,simple,0.4852153876,9.991812384
C3,schmidt,CRISPRa,C3_true_lo_gene_25,linear-PCA,simple,0.3429275499,9.991809753
C3,schmidt,CRISPRa,C3_true_lo_gene_50,scFoundation,foundation,0.1749856625,9.985098399
C3,schmidt,CRISPRa,C3_true_lo_gene_50,scGPT,foundation,0.3285445668,10.0318938
C3,schmidt,CRISPRa,C3_true_lo_gene_50,AttentionPert,graph,0.2803812068,10.15254514
C3,schmidt,CRISPRa,C3_true_lo_gene_50,GEARS,graph,0.1527327362,10.14215299
C3,schmidt,CRISPRa,C3_true_lo_gene_50,PertAdapt,hybrid,0.01258664796,9.941286585
C3,schmidt,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,-0.001722549657,9.944802291
C3,schmidt,CRISPRa,C3_true_lo_gene_50,CPA,latent,0.3457338491,9.889114054
C3,schmidt,CRISPRa,C3_true_lo_gene_50,scGen,latent,0.1738820154,10.23066
C3,schmidt,CRISPRa,C3_true_lo_gene_50,CINEMA-OT,ot,0.5438286326,9.756055202
C3,schmidt,CRISPRa,C3_true_lo_gene_50,cell-mean,simple,0.5486551826,9.752959867
C3,schmidt,CRISPRa,C3_true_lo_gene_50,ctrl-pred,simple,0.01386393832,9.941285616
C3,schmidt,CRISPRa,C3_true_lo_gene_50,donor-shift,simple,0.5486551826,9.752959867
C3,schmidt,CRISPRa,C3_true_lo_gene_50,linear-PCA,simple,0.3924138823,9.752959672
C3,shifrut,KO,C3_true_lo_gene_10,scFoundation,foundation,-0.004037957173,7.429732564
C3,shifrut,KO,C3_true_lo_gene_10,scGPT,foundation,-0.174252212,7.675663993
C3,shifrut,KO,C3_true_lo_gene_10,AttentionPert,graph,0.1443864293,7.49682941
C3,shifrut,KO,C3_true_lo_gene_10,GEARS,graph,0.1749153584,7.577314101
C3,shifrut,KO,C3_true_lo_gene_10,PertAdapt,hybrid,0.004216566216,7.424133169
C3,shifrut,KO,C3_true_lo_gene_10,STATE,hybrid,0.06864489615,7.531049242
C3,shifrut,KO,C3_true_lo_gene_10,CPA,latent,-0.2119397148,10.59868569
C3,shifrut,KO,C3_true_lo_gene_10,scGen,latent,-0.2077581212,10.74705545
C3,shifrut,KO,C3_true_lo_gene_10,CINEMA-OT,ot,0.3873877972,7.465370445
C3,shifrut,KO,C3_true_lo_gene_10,cell-mean,simple,0.4482156187,7.455128421
C3,shifrut,KO,C3_true_lo_gene_10,ctrl-pred,simple,0.005305590807,7.424132896
C3,shifrut,KO,C3_true_lo_gene_10,donor-shift,simple,0.4482156187,7.455128421
C3,shifrut,KO,C3_true_lo_gene_10,linear-PCA,simple,0.2853447497,7.45512783
C3,shifrut,KO,C3_true_lo_gene_25,scFoundation,foundation,-0.050799473,7.454523987
C3,shifrut,KO,C3_true_lo_gene_25,scGPT,foundation,-0.1268111013,7.53541253
C3,shifrut,KO,C3_true_lo_gene_25,AttentionPert,graph,0.05519028287,7.432093136
C3,shifrut,KO,C3_true_lo_gene_25,GEARS,graph,0.130586545,7.441843992
C3,shifrut,KO,C3_true_lo_gene_25,PertAdapt,hybrid,-0.02026726401,7.441333069
C3,shifrut,KO,C3_true_lo_gene_25,STATE,hybrid,0.07574365744,7.559881182
C3,shifrut,KO,C3_true_lo_gene_25,CPA,latent,-0.2998859555,11.34478828
C3,shifrut,KO,C3_true_lo_gene_25,scGen,latent,-0.3066629648,11.66548553
C3,shifrut,KO,C3_true_lo_gene_25,CINEMA-OT,ot,0.3939568818,7.455917505
C3,shifrut,KO,C3_true_lo_gene_25,cell-mean,simple,0.4510605156,7.455592875
C3,shifrut,KO,C3_true_lo_gene_25,ctrl-pred,simple,-0.02115300528,7.441332864
C3,shifrut,KO,C3_true_lo_gene_25,donor-shift,simple,0.4510605156,7.455592875
C3,shifrut,KO,C3_true_lo_gene_25,linear-PCA,simple,0.3048060849,7.455592447
C3,shifrut,KO,C3_true_lo_gene_50,scFoundation,foundation,-0.008241253346,7.381250794
C3,shifrut,KO,C3_true_lo_gene_50,scGPT,foundation,0.1679515315,7.439405983
C3,shifrut,KO,C3_true_lo_gene_50,AttentionPert,graph,0.03719495796,7.422063989
C3,shifrut,KO,C3_true_lo_gene_50,GEARS,graph,0.03507919535,7.439141136
C3,shifrut,KO,C3_true_lo_gene_50,PertAdapt,hybrid,-0.003412415748,7.425928962
C3,shifrut,KO,C3_true_lo_gene_50,STATE,hybrid,-0.03084892146,7.570905076
C3,shifrut,KO,C3_true_lo_gene_50,CPA,latent,-0.207281426,11.34748417
C3,shifrut,KO,C3_true_lo_gene_50,scGen,latent,-0.2201021865,10.84957021
C3,shifrut,KO,C3_true_lo_gene_50,CINEMA-OT,ot,0.3520656958,7.453470995
C3,shifrut,KO,C3_true_lo_gene_50,cell-mean,simple,0.3881553859,7.461623249
C3,shifrut,KO,C3_true_lo_gene_50,ctrl-pred,simple,-0.002661231905,7.425928902
C3,shifrut,KO,C3_true_lo_gene_50,donor-shift,simple,0.3881553859,7.461623249
C3,shifrut,KO,C3_true_lo_gene_50,linear-PCA,simple,0.2367766298,7.46162283
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,cell-mean,simple,0.6719524005,6.356180213
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,ctrl-pred,simple,0.02594723508,6.553042387
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,donor-shift,simple,0.6719524005,6.356180213
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,linear-PCA,simple,0.2914931868,6.356179965
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,cell-mean,simple,0.6505082168,6.394088872
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,ctrl-pred,simple,0.01581703312,6.585740617
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,donor-shift,simple,0.6505082168,6.394088872
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,linear-PCA,simple,0.2751580269,6.394089047
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,linear-shift-KOemb,Deterministic shift,0.07975048636,3.340550319
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,scGen,latent,0.07542537554,3.349371756
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,cell-mean,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,ctrl-pred,simple,0.07727948467,3.33779043
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,donor-shift,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,linear-PCA,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,linear-shift-KOemb,Deterministic shift,0.1669628733,3.329560605
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,scGen,latent,0.1650351966,3.330161942
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,cell-mean,simple,0.6961475467,3.200282282
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,ctrl-pred,simple,0.1612082681,3.329116375
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,donor-shift,simple,0.6961475467,3.200282282
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,linear-PCA,simple,0.6961475467,3.200282282
C4,frangieh_rna,RNA,C4_modality_lo_ko_25,linear-shift-KOemb,Deterministic shift,0.6172898154,6.382834455
C4,frangieh_rna,RNA,C4_modality_lo_ko_25,scGen,latent,0.5575242775,6.782157791
C4,frangieh_rna,RNA,C4_modality_lo_ko_50,linear-shift-KOemb,Deterministic shift,0.6180576445,6.407189593
C4,frangieh_rna,RNA,C4_modality_lo_ko_50,scGen,latent,0.5552419751,6.755286326
C5,op3_GSE279945,RNA,C5_global_compound_holdout,FP-ridge,chemistry,0.164200388,19.64137259
