donor,cellot,cell_mean,linear_PCA,donor_shift,binding_floor,margin,beats,dep_cellot,dep_floor,fixed_floor_margin
D389,0.4525,0.2053,0.0714,0.0338,0.2053,0.2472,True,0.4407,0.2057,0.2472
D390,0.4843,0.2316,0.0642,0.0334,0.2316,0.2527,True,0.4438,0.2316,0.25270000000000004
D391,0.3894,0.3279,0.1359,0.0676,0.3279,0.0614,True,0.3756,0.3279,0.0615
D392,0.3219,0.2232,0.0712,0.0639,0.2232,0.0987,True,0.3383,0.223,0.09870000000000001
D393,0.3932,0.264,0.0003,-0.0186,0.264,0.1291,True,0.4382,0.2641,0.12919999999999998
D394,0.3477,0.3268,-0.0534,-0.0434,0.3268,0.0209,True,0.3181,0.3271,0.02090000000000003
D395,0.354,0.3012,0.0222,0.0082,0.3012,0.0528,True,0.3703,0.3016,0.05279999999999996
D396,0.3694,0.2727,-0.0564,-0.0344,0.2727,0.0967,True,0.4005,0.2728,0.09670000000000001
D397,0.3629,0.3154,0.0789,0.0419,0.3154,0.0475,True,0.3594,0.3153,0.04749999999999999
D398,0.4792,0.2947,0.0032,0.0018,0.2947,0.1845,True,0.4837,0.2945,0.1845
D405,0.3991,0.2526,0.012,-0.036,0.2526,0.1466,True,0.4411,0.2527,0.14650000000000002
D406,0.4113,0.313,0.0599,0.0731,0.313,0.0982,True,0.371,0.3131,0.0983
D407,0.4332,0.2513,0.0599,0.0152,0.2513,0.1819,True,0.4406,0.2502,0.18189999999999995
D408,0.3754,0.1278,0.0189,0.0028,0.1278,0.2476,True,0.3514,0.1297,0.24760000000000001
D409,0.4276,0.2312,-0.0019,0.007,0.2312,0.1964,True,0.4066,0.2315,0.1964
D410,0.3237,0.3208,0.0264,-0.0022,0.3208,0.003,True,0.3795,0.3206,0.0029000000000000137
D411,0.3231,0.1781,0.0809,0.0569,0.1781,0.1449,True,0.2917,0.1781,0.145
D412,0.2602,0.3131,0.0382,-0.0143,0.3131,-0.0528,False,0.2841,0.313,-0.0529
D413,0.406,0.1746,0.1233,0.1241,0.1746,0.2313,True,0.3697,0.1742,0.23140000000000002
D414,0.4204,0.1916,0.1041,0.0576,0.1916,0.2288,True,0.4462,0.1917,0.2288
D415,0.4442,0.2997,0.1169,0.1144,0.2997,0.1445,True,0.3764,0.2996,0.14449999999999996
D416,0.2028,0.2867,0.0696,0.0288,0.2867,-0.0838,False,0.1683,0.287,-0.0839
D417,0.1424,0.3021,0.1458,0.0824,0.3021,-0.1596,False,0.1374,0.3019,-0.15969999999999998
D418,0.4076,0.2691,0.1573,0.1199,0.2691,0.1384,True,0.3759,0.2687,0.1385
D419,0.3164,0.1636,0.1592,0.0702,0.1636,0.1528,True,0.279,0.1633,0.15280000000000002
D420,0.3751,0.2924,0.2343,0.1563,0.2924,0.0827,True,0.3662,0.2925,0.0827
D421,0.2746,0.1135,0.4059,0.2306,0.4059,-0.1313,False,0.2459,0.1142,0.16110000000000002
D422,0.3095,-0.0532,0.2844,0.1592,0.2844,0.0251,True,0.2606,-0.0524,0.3627
D423,0.079,0.1425,0.0489,0.0856,0.1425,-0.0635,False,0.0342,0.1453,-0.06349999999999999
D424,0.2486,0.0011,0.3694,0.2406,0.3694,-0.1208,False,0.2614,0.0016,0.2475
D425,0.2631,0.0316,0.327,0.2353,0.327,-0.064,False,0.2975,0.0322,0.23149999999999998
D426,0.3179,0.2353,-0.0698,-0.0046,0.2353,0.0826,True,0.3385,0.2359,0.0826
D427,0.4386,0.1477,-0.0775,-0.0418,0.1477,0.2909,True,0.4281,0.1482,0.2909
D428,0.3617,0.1924,-0.1084,-0.0859,0.1924,0.1693,True,0.4087,0.1926,0.16930000000000003
D429,0.3645,0.1473,-0.1023,-0.1113,0.1473,0.2172,True,0.3505,0.1476,0.2172
D430,0.5015,0.3701,-0.0247,-0.027,0.3701,0.1314,True,0.5588,0.3687,0.13139999999999996
D431,0.2861,0.2523,-0.192,-0.1305,0.2523,0.0338,True,0.3334,0.2533,0.0338
D432,0.3681,0.2602,0.0874,0.0897,0.2602,0.1079,True,0.314,0.2601,0.1079
D433,0.4012,0.2426,-0.0209,-0.025,0.2426,0.1586,True,0.3986,0.2424,0.1586
D434,0.3645,0.1197,0.0523,0.0326,0.1197,0.2448,True,0.41,0.1196,0.2448
D435,0.3793,0.2895,0.0158,-0.0168,0.2895,0.0898,True,0.4177,0.2896,0.08980000000000005
D436,0.3878,0.26,0.051,0.0466,0.26,0.1278,True,0.3858,0.26,0.12779999999999997
D439,0.417,0.2346,0.0145,-0.0241,0.2346,0.1824,True,0.4443,0.2346,0.18239999999999998
D440,0.3445,0.2262,0.0435,0.0205,0.2262,0.1183,True,0.3482,0.2264,0.11829999999999996
D441,0.3999,0.2577,0.0544,0.0751,0.2577,0.1423,True,0.3704,0.2576,0.1422
D442,0.4001,0.2715,0.0515,0.017,0.2715,0.1286,True,0.403,0.2715,0.1286
D443,0.4336,0.1999,0.0506,0.017,0.1999,0.2337,True,0.3724,0.2,0.2337
D445,0.4192,0.235,-0.0701,-0.0395,0.235,0.1842,True,0.4613,0.2353,0.18420000000000003
D446,0.4611,0.188,-0.0211,0.0205,0.188,0.2731,True,0.4215,0.1898,0.2731
D447,0.6939,0.2349,0.0504,0.0576,0.2349,0.459,True,0.7126,0.2391,0.45899999999999996
D448,0.4716,0.3312,-0.046,-0.0078,0.3312,0.1404,True,0.4798,0.3312,0.14040000000000002
D449,0.3208,0.3083,-0.0037,-0.0394,0.3083,0.0125,True,0.3385,0.308,0.012499999999999956
D450,0.4137,0.3182,0.0611,0.0622,0.3182,0.0955,True,0.3721,0.3181,0.09550000000000003
D451,0.3296,0.5261,0.0119,0.0149,0.5261,-0.1965,False,0.3194,0.5194,-0.1965
D452,0.3996,0.2821,-0.0,0.0033,0.2821,0.1175,True,0.3932,0.2823,0.1175
D453,0.5072,0.3889,-0.0683,-0.0522,0.3889,0.1183,True,0.4406,0.3893,0.11829999999999996
D454,0.3711,0.5601,0.0456,0.0521,0.5601,-0.189,False,0.3549,0.5603,-0.18900000000000006
D455,0.4509,0.1852,0.128,0.0563,0.1852,0.2657,True,0.4076,0.1853,0.26570000000000005
D456,0.47,0.3228,-0.0219,-0.0462,0.3228,0.1473,True,0.4561,0.3228,0.1472
D457,0.568,0.2661,0.007,-0.0102,0.2661,0.3019,True,0.5304,0.2666,0.30189999999999995
D458,0.4125,0.3074,-0.1245,-0.106,0.3074,0.1051,True,0.4406,0.3076,0.10509999999999997
D459,0.6372,0.3853,0.0397,0.0607,0.3853,0.2519,True,0.6239,0.3851,0.2519
D460,0.5075,0.3373,-0.0493,-0.0284,0.3373,0.1702,True,0.4181,0.3374,0.17019999999999996
D461,0.3609,0.33,-0.065,-0.069,0.33,0.031,True,0.3403,0.3296,0.030899999999999983
D462,0.2946,0.277,0.0735,0.0794,0.277,0.0176,True,0.3008,0.2765,0.01759999999999995
D463,0.5144,0.4701,0.0941,0.0576,0.4701,0.0443,True,0.497,0.4593,0.04429999999999995
D464,0.4315,0.4732,0.0555,0.0641,0.4732,-0.0416,False,0.4327,0.4693,-0.041700000000000015
D465,0.4101,0.3928,0.0528,0.0647,0.3928,0.0172,True,0.3859,0.3868,0.017300000000000038
D466,0.3382,0.3153,0.1064,0.0285,0.3153,0.023,True,0.3458,0.3144,0.022899999999999976
D481,0.4021,0.2952,0.0823,0.0561,0.2952,0.1069,True,0.3816,0.2954,0.1069
D482,0.3517,0.317,0.0341,-0.0189,0.317,0.0347,True,0.3575,0.3165,0.03470000000000001
D483,0.3883,0.296,0.0086,-0.036,0.296,0.0923,True,0.3821,0.2959,0.0923
D484,0.4567,0.2284,0.0928,0.0614,0.2284,0.2283,True,0.4262,0.2285,0.2283
D485,0.4908,0.2245,0.0285,0.0258,0.2245,0.2662,True,0.5234,0.2246,0.2663
