task_key,unit,model,execution_status,program,n_strata,n_measured,measured_genes,program_corr,correlation_status,pearson_delta,obs_program_sd,pred_program_sd,observed_zero_fraction,bundle_path,observation_cache
T3,mccutcheon_CRISPRi,AttentionPert,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.1299465095130925,0.0001931008623922,0.0,0.9966254218222722,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,IL2_STAT5,2,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.1299465095130925,3.1496062992125945e-05,0.0,0.9820022497187852,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.1299465095130925,0.0004207996727681,0.0,0.6051743532058492,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.1299465095130925,4.9681289838770376e-05,0.0,0.6507311586051744,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.1299465095130925,2.0247469066366703e-05,0.0,0.9983127109111362,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,schmidt,AttentionPert,native,TCR_activation,7,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,,constant predicted rank-program score,0.3304295617380517,0.0078818838827754,0.0,0.7271745002701242,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,IL2_STAT5,7,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,,constant predicted rank-program score,0.3304295617380517,0.0071072015894532,0.0,0.6861156131820637,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,proliferation,7,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,,constant predicted rank-program score,0.3304295617380517,0.0088331315009891,0.0,0.833063209076175,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,effector_cytokine,7,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,,constant predicted rank-program score,0.3304295617380517,0.0133358134210911,0.0,0.5678011885467315,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,Treg_exhaustion,7,3,HAVCR2;IL2RA;LAG3,,constant predicted rank-program score,0.3304295617380517,0.0244673071178482,0.0,0.7428417071853053,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,shifrut,AttentionPert,native,TCR_activation,2,4,IL2RA;NFKBIA;REL;TNFRSF9,,constant predicted rank-program score,0.1443864241902497,0.0005185926403031,0.0,0.9330413016270338,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,IL2_STAT5,2,4,IL2RA;IL2RG;MYC;SOCS1,,constant predicted rank-program score,0.1443864241902497,0.0003171943796943,0.0,0.7984981226533167,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,proliferation,2,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.1443864241902497,0.0006414068996305,0.0,0.727784730913642,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,effector_cytokine,2,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.1443864241902497,0.0018391866418182,0.0,0.3141426783479349,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,,constant predicted rank-program score,0.1443864241902497,0.0004206982101718,0.0,0.9374217772215268,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,chen,Biolord,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.1152049958615946,estimable (descriptive),0.3782527690994462,0.0033683030265187,0.0011361379000131,0.2209696261682243,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,IL2_STAT5,30,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.193044092204675,estimable (descriptive),0.3782527690994462,0.0024491038522968,0.0002771598064276,0.3100759345794392,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,proliferation,30,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3782527690994462,0.0009388949836619,0.0,0.8527745327102804,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,effector_cytokine,30,4,CCL5;GZMB;NKG7;TNF,,constant predicted rank-program score,0.3782527690994462,0.0045118245638738,0.0,0.6102219626168224,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,Treg_exhaustion,30,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,0.0413741735103744,estimable (descriptive),0.3782527690994462,0.0046219963146586,0.0023837153281027,0.1733352803738317,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,mccutcheon_CRISPRa,Biolord,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.4567718551596923,0.0004052205077504,0.0,0.99606962380685,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,IL2_STAT5,2,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.4567718551596923,0.0001058013067873,0.0,0.9696799550814148,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.4567718551596923,0.0002577592599131,0.0,0.5727119595732735,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.4567718551596923,0.0020941594744603,0.0,0.6193149915777653,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.4567718551596923,4.33877940145374e-05,0.0,0.9938236945536216,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRi,Biolord,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.3200599629594275,0.0001931008623922,0.0,0.9966254218222722,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,Biolord,native,IL2_STAT5,2,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.3200599629594275,3.1496062992125945e-05,0.0,0.9820022497187852,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,Biolord,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3200599629594275,0.0004207996727681,0.0,0.6051743532058492,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,Biolord,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.3200599629594275,4.9681289838770376e-05,0.0,0.6507311586051744,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,Biolord,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.3200599629594275,2.0247469066366703e-05,0.0,0.9983127109111362,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,schmidt,Biolord,native,TCR_activation,7,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,,constant predicted rank-program score,0.4981262519237667,0.0078818838827754,0.0,0.7271745002701242,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,Biolord,native,IL2_STAT5,7,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,,constant predicted rank-program score,0.4981262519237667,0.0071072015894532,0.0,0.6861156131820637,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,Biolord,native,proliferation,7,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,,constant predicted rank-program score,0.4981262519237667,0.0088331315009891,0.0,0.833063209076175,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,Biolord,native,effector_cytokine,7,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,,constant predicted rank-program score,0.4981262519237667,0.0133358134210911,0.0,0.5678011885467315,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,Biolord,native,Treg_exhaustion,7,3,HAVCR2;IL2RA;LAG3,,constant predicted rank-program score,0.4981262519237667,0.0244673071178482,0.0,0.7428417071853053,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,shifrut,Biolord,native,TCR_activation,2,4,IL2RA;NFKBIA;REL;TNFRSF9,,constant predicted rank-program score,0.3173572304819091,0.0005185926403031,0.0,0.9330413016270338,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,Biolord,native,IL2_STAT5,2,4,IL2RA;IL2RG;MYC;SOCS1,,constant predicted rank-program score,0.3173572304819091,0.0003171943796943,0.0,0.7984981226533167,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,Biolord,native,proliferation,2,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3173572304819091,0.0006414068996305,0.0,0.727784730913642,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,Biolord,native,effector_cytokine,2,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,-1.0,two perturbations only; not a comparative estimate,0.3173572304819091,0.0018391866418182,0.0007142857142857,0.3141426783479349,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,Biolord,native,Treg_exhaustion,2,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,,constant predicted rank-program score,0.3173572304819091,0.0004206982101718,0.0,0.9374217772215268,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,chen,CellFlow,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.0387928293684779,estimable (descriptive),0.3436622487341155,0.0033683030265187,0.0012199754882963,0.2209696261682243,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,CellFlow,native,IL2_STAT5,30,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.0329389202848804,estimable (descriptive),0.3436622487341155,0.0024491038522968,0.0004520946524345,0.3100759345794392,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,CellFlow,native,proliferation,30,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3436622487341155,0.0009388949836619,0.0,0.8527745327102804,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,CellFlow,native,effector_cytokine,30,4,CCL5;GZMB;NKG7;TNF,,constant predicted rank-program score,0.3436622487341155,0.0045118245638738,0.0,0.6102219626168224,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,CellFlow,native,Treg_exhaustion,30,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,0.0123329448368008,estimable (descriptive),0.3436622487341155,0.0046219963146586,0.0060184900284225,0.1733352803738317,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,mccutcheon_CRISPRa,CellFlow,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.1753403026727656,0.0004052205077504,0.0,0.99606962380685,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,CellFlow,native,IL2_STAT5,2,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.1753403026727656,0.0001058013067873,0.0,0.9696799550814148,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,CellFlow,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.1753403026727656,0.0002577592599131,0.0,0.5727119595732735,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,CellFlow,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.1753403026727656,0.0020941594744603,0.0,0.6193149915777653,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,CellFlow,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.1753403026727656,4.33877940145374e-05,0.0,0.9938236945536216,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRi,CellFlow,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant predicted rank-program score,0.3038201152835858,0.0001931008623922,0.0,0.9966254218222722,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,CellFlow,native,IL2_STAT5,2,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant predicted rank-program score,0.3038201152835858,3.1496062992125945e-05,0.0,0.9820022497187852,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,CellFlow,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3038201152835858,0.0004207996727681,0.0,0.6051743532058492,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,CellFlow,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.3038201152835858,4.9681289838770376e-05,0.0,0.6507311586051744,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,CellFlow,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant predicted rank-program score,0.3038201152835858,2.0247469066366703e-05,0.0,0.9983127109111362,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,schmidt,CellFlow,native,TCR_activation,7,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,,constant predicted rank-program score,0.4096690507782074,0.0078818838827754,0.0,0.7271745002701242,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,CellFlow,native,IL2_STAT5,7,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,,constant predicted rank-program score,0.4096690507782074,0.0071072015894532,0.0,0.6861156131820637,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,CellFlow,native,proliferation,7,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,,constant predicted rank-program score,0.4096690507782074,0.0088331315009891,0.0,0.833063209076175,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,CellFlow,native,effector_cytokine,7,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,,constant predicted rank-program score,0.4096690507782074,0.0133358134210911,0.0,0.5678011885467315,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,CellFlow,native,Treg_exhaustion,7,3,HAVCR2;IL2RA;LAG3,,constant predicted rank-program score,0.4096690507782074,0.0244673071178482,0.0,0.7428417071853053,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,shifrut,CellFlow,native,TCR_activation,2,4,IL2RA;NFKBIA;REL;TNFRSF9,,constant predicted rank-program score,0.3724556512972584,0.0005185926403031,0.0,0.9330413016270338,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,CellFlow,native,IL2_STAT5,2,4,IL2RA;IL2RG;MYC;SOCS1,,constant predicted rank-program score,0.3724556512972584,0.0003171943796943,0.0,0.7984981226533167,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,CellFlow,native,proliferation,2,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant predicted rank-program score,0.3724556512972584,0.0006414068996305,0.0,0.727784730913642,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,CellFlow,native,effector_cytokine,2,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant predicted rank-program score,0.3724556512972584,0.0018391866418182,0.0,0.3141426783479349,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,CellFlow,native,Treg_exhaustion,2,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,,constant predicted rank-program score,0.3724556512972584,0.0004206982101718,0.0,0.9374217772215268,predictions/C3_LO_gene__CellFlow__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,chen,GEARS,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.2806870707834299,estimable (descriptive),0.1976696359456914,0.0033683030265187,0.0043949403506613,0.2209696261682243,predictions/C3/C3_LO_gene__GEARS__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
