cluster,axis,split,baseline,family,is_simple,pearson_delta,e_distance
C1,cell-context,C1_loct_Mono_FCGR3A,donor-shift,simple,True,0.8807111009955406,11.607443254914749
C1,cell-context,C1_loct_Mono_FCGR3A,linear-PCA,simple,True,0.8812669292092323,11.607445322933357
C1,cell-context,C1_loct_NK,ctrl-pred,simple,True,-0.0004017789906356,16.95790291453359
C1,cell-context,C1_loct_NK,cell-mean,simple,True,0.5815767049789429,19.14201708119727
C1,cell-context,C1_loct_NK,donor-shift,simple,True,0.7831702008843422,9.742431091578956
C1,cell-context,C1_loct_NK,linear-PCA,simple,True,0.7828952372074127,9.742431063149482
C1,donor,C1_lodo_101,ctrl-pred,simple,True,0.0084377962339203,27.9795415011736
C1,donor,C1_lodo_101,cell-mean,simple,True,0.6732544451951981,20.150431164509527
C1,donor,C1_lodo_101,donor-shift,simple,True,0.666316032409668,20.09212203520034
C1,donor,C1_lodo_101,linear-PCA,simple,True,0.6659144312143326,20.092120914181848
C1,donor,C1_lodo_1015,ctrl-pred,simple,True,-0.0176188642362831,27.96544403148033
C1,donor,C1_lodo_1015,cell-mean,simple,True,0.7089361250400543,19.11025343116787
C1,donor,C1_lodo_1015,donor-shift,simple,True,0.7071663588285446,19.12585329320053
C1,donor,C1_lodo_1015,linear-PCA,simple,True,0.706970252096653,19.125853286703222
C1,donor,C1_lodo_1016,ctrl-pred,simple,True,-0.0378071692539379,26.128709589078667
C1,donor,C1_lodo_1016,cell-mean,simple,True,0.6250491999089718,19.785450580938637
C1,donor,C1_lodo_1016,donor-shift,simple,True,0.6286021880805492,19.735171224642897
C1,donor,C1_lodo_1016,linear-PCA,simple,True,0.628358282148838,19.735168805072608
C1,donor,C1_lodo_1039,ctrl-pred,simple,True,0.0043676329078152,28.523373729550592
C1,donor,C1_lodo_1039,cell-mean,simple,True,0.6485127992928028,20.67761137405417
C1,donor,C1_lodo_1039,donor-shift,simple,True,0.623202919960022,21.046062712435585
C1,donor,C1_lodo_1039,linear-PCA,simple,True,0.6231609284877777,21.046063052096216
C1,donor,C1_lodo_107,ctrl-pred,simple,True,0.004224001080729,29.331120517073145
C1,donor,C1_lodo_107,cell-mean,simple,True,0.6332962960004807,21.22487845363404
C1,donor,C1_lodo_107,donor-shift,simple,True,0.6180873177945614,21.471959583614908
C1,donor,C1_lodo_107,linear-PCA,simple,True,0.6180177330970764,21.47195924686782
C1,donor,C1_lodo_1244,ctrl-pred,simple,True,0.0141847493359819,29.279655271092995
C1,donor,C1_lodo_1244,cell-mean,simple,True,0.6583342663943768,21.178799804265296
C1,donor,C1_lodo_1244,donor-shift,simple,True,0.6599810048937798,21.03028824690009
C1,donor,C1_lodo_1244,linear-PCA,simple,True,0.6599909514188766,21.03028789857425
C1,donor,C1_lodo_1256,ctrl-pred,simple,True,-0.0290225052740424,27.42731015870909
C1,donor,C1_lodo_1256,cell-mean,simple,True,0.6491790525615215,20.101951013491536
C1,donor,C1_lodo_1256,donor-shift,simple,True,0.6523088067770004,20.02058642265557
C1,donor,C1_lodo_1256,linear-PCA,simple,True,0.6523660011589527,20.02058598518502
C1,donor,C1_lodo_1488,ctrl-pred,simple,True,0.0428114383830688,28.50809242323139
C1,donor,C1_lodo_1488,cell-mean,simple,True,0.6827076300978661,20.20763998283289
C1,donor,C1_lodo_1488,donor-shift,simple,True,0.6794200241565704,20.17416377250633
C1,donor,C1_lodo_1488,linear-PCA,simple,True,0.6791699752211571,20.174163978501376
C1,donor-randomsplit,C1_randsplit_f101,ctrl-pred,simple,True,-0.0160603541880846,27.66054561133033
C1,donor-randomsplit,C1_randsplit_f101,cell-mean,simple,True,0.673910990357399,19.987122534870853
C1,donor-randomsplit,C1_randsplit_f101,donor-shift,simple,True,0.6694268733263016,19.98369039214357
C1,donor-randomsplit,C1_randsplit_f101,linear-PCA,simple,True,0.6693549156188965,19.9836909363181
C1,donor-randomsplit,C1_randsplit_f1015,ctrl-pred,simple,True,-0.0135861054586712,27.678208298901477
C1,donor-randomsplit,C1_randsplit_f1015,cell-mean,simple,True,0.6934188157320023,19.431010145022874
C1,donor-randomsplit,C1_randsplit_f1015,donor-shift,simple,True,0.6857721582055092,19.47830549057452
C1,donor-randomsplit,C1_randsplit_f1015,linear-PCA,simple,True,0.6856715753674507,19.478305896125413
C1,donor-randomsplit,C1_randsplit_f1016,ctrl-pred,simple,True,0.0045137039851397,27.836815545872497
C1,donor-randomsplit,C1_randsplit_f1016,cell-mean,simple,True,0.6902070567011833,19.76977914427612
C1,donor-randomsplit,C1_randsplit_f1016,donor-shift,simple,True,0.6822982057929039,19.79554012175683
C1,donor-randomsplit,C1_randsplit_f1016,linear-PCA,simple,True,0.6819057315587997,19.79554008044688
C1,donor-randomsplit,C1_randsplit_f1039,ctrl-pred,simple,True,-0.0008029668824747,27.891425258198023
C1,donor-randomsplit,C1_randsplit_f1039,cell-mean,simple,True,0.6722619384527206,19.919012776947145
C1,donor-randomsplit,C1_randsplit_f1039,donor-shift,simple,True,0.662303127348423,20.029911052425923
C1,donor-randomsplit,C1_randsplit_f1039,linear-PCA,simple,True,0.6622025370597839,20.0299108827756
C1,donor-randomsplit,C1_randsplit_f107,ctrl-pred,simple,True,-0.0145631154737202,27.71757301654487
C1,donor-randomsplit,C1_randsplit_f107,cell-mean,simple,True,0.6619734764099121,20.257062167247085
C1,donor-randomsplit,C1_randsplit_f107,donor-shift,simple,True,0.6499746665358543,20.382311726054887
C1,donor-randomsplit,C1_randsplit_f107,linear-PCA,simple,True,0.6496926136314869,20.3823123114556
C1,donor-randomsplit,C1_randsplit_f1244,ctrl-pred,simple,True,-0.0120975973841268,28.264495167569503
C1,donor-randomsplit,C1_randsplit_f1244,cell-mean,simple,True,0.6864447668194771,19.826477667056835
C1,donor-randomsplit,C1_randsplit_f1244,donor-shift,simple,True,0.6807050406932831,19.82146667472175
C1,donor-randomsplit,C1_randsplit_f1244,linear-PCA,simple,True,0.6806975603103638,19.82146636815896
C1,donor-randomsplit,C1_randsplit_f1256,ctrl-pred,simple,True,0.0043689980811905,27.697878686896438
C1,donor-randomsplit,C1_randsplit_f1256,cell-mean,simple,True,0.6741686165332794,20.037183091527183
C1,donor-randomsplit,C1_randsplit_f1256,donor-shift,simple,True,0.6682901754975319,20.036600232382074
C1,donor-randomsplit,C1_randsplit_f1256,linear-PCA,simple,True,0.6681281104683876,20.03660014996011
C1,donor-randomsplit,C1_randsplit_f1488,ctrl-pred,simple,True,0.0234437728649936,27.33541754760993
C1,donor-randomsplit,C1_randsplit_f1488,cell-mean,simple,True,0.6709695160388947,19.59287227800624
C1,donor-randomsplit,C1_randsplit_f1488,donor-shift,simple,True,0.6661291867494583,19.58754563851538
C1,donor-randomsplit,C1_randsplit_f1488,linear-PCA,simple,True,0.6659439206123352,19.58754565806771
C1,cell-context,C1_loct_B,scGen,latent,False,0.8080371990799904,8.705651560594436
C1,cell-context,C1_loct_B,CPA,latent,False,0.7911520674824715,11.36305251277387
C1,cell-context,C1_loct_CD4T,scGen,latent,False,0.7983376756310463,8.629567957609453
C1,cell-context,C1_loct_CD4T,CPA,latent,False,0.755993977189064,13.198438657448792
C1,cell-context,C1_loct_CD8T,scGen,latent,False,0.7450239211320877,8.684874971004879
C1,cell-context,C1_loct_CD8T,CPA,latent,False,0.7455816864967346,12.072309900880224
C1,cell-context,C1_loct_DC,scGen,latent,False,0.7495337277650833,14.729913239886372
C1,cell-context,C1_loct_DC,CPA,latent,False,0.7527188062667847,14.570409561916051
C1,cell-context,C1_loct_Mk,scGen,latent,False,0.5431860387325287,12.545287807927174
C1,cell-context,C1_loct_Mk,CPA,latent,False,0.5538482256233692,13.781815566634972
C1,cell-context,C1_loct_Mono_CD14,scGen,latent,False,0.9168962016701698,12.00200503207638
C1,cell-context,C1_loct_Mono_CD14,CPA,latent,False,0.6324812099337578,25.160217083832087
C1,cell-context,C1_loct_Mono_FCGR3A,scGen,latent,False,0.81818637996912,11.16710658434241
C1,cell-context,C1_loct_Mono_FCGR3A,CPA,latent,False,0.7571093961596489,13.128148332598862
C1,cell-context,C1_loct_NK,scGen,latent,False,0.7367087006568909,8.419367559989837
C1,cell-context,C1_loct_NK,CPA,latent,False,0.6999005600810051,11.126805326184847
C1,donor,C1_lodo_101,scGen,latent,False,0.6689054742455482,20.173015494563927
C1,donor,C1_lodo_101,CPA,latent,False,0.6595053672790527,20.18355423720184
C1,donor,C1_lodo_1015,scGen,latent,False,0.6937925145030022,19.527172458054647
C1,donor,C1_lodo_1015,CPA,latent,False,0.6920121908187866,19.29480268417828
C1,donor,C1_lodo_1016,scGen,latent,False,0.623886164277792,19.57008418946452
C1,donor,C1_lodo_1016,CPA,latent,False,0.6176768019795418,19.844146882130907
C1,donor,C1_lodo_1039,scGen,latent,False,0.6313196606934071,20.946368996238995
C1,donor,C1_lodo_1039,CPA,latent,False,0.6131768152117729,21.328857023956083
C1,donor,C1_lodo_107,scGen,latent,False,0.6183772012591362,21.632812644666863
C1,donor,C1_lodo_107,CPA,latent,False,0.6105209179222584,21.62860439745428
C1,donor,C1_lodo_1244,scGen,latent,False,0.6513919904828072,21.42919984962653
C1,donor,C1_lodo_1244,CPA,latent,False,0.6409059204161167,21.47426197978344
C1,donor,C1_lodo_1256,scGen,latent,False,0.6509907692670822,19.899314211166114
C1,donor,C1_lodo_1256,CPA,latent,False,0.6449492871761322,19.98908384156236
C1,donor,C1_lodo_1488,scGen,latent,False,0.6762623116374016,20.227016240754
C1,donor,C1_lodo_1488,CPA,latent,False,0.6560374014079571,20.59747397452406
C1,donor-randomsplit,C1_randsplit_f101,scGen,latent,False,0.6706278249621391,20.129219589617776
C1,donor-randomsplit,C1_randsplit_f101,CPA,latent,False,0.6595079600811005,20.263212873180983
C1,donor-randomsplit,C1_randsplit_f1015,scGen,latent,False,0.6772355884313583,19.98907130100694
C1,donor-randomsplit,C1_randsplit_f1015,CPA,latent,False,0.6603648141026497,20.01883191436142
C1,donor-randomsplit,C1_randsplit_f1016,scGen,latent,False,0.6899859756231308,19.905077952034468
C1,donor-randomsplit,C1_randsplit_f1016,CPA,latent,False,0.6673351004719734,20.079388362702296
C1,donor-randomsplit,C1_randsplit_f1039,scGen,latent,False,0.6490096561610699,20.438732896930784
C1,donor-randomsplit,C1_randsplit_f1039,CPA,latent,False,0.655431941151619,20.12660546787372
C1,donor-randomsplit,C1_randsplit_f107,scGen,latent,False,0.6549385562539101,20.3339146523614
C1,donor-randomsplit,C1_randsplit_f107,CPA,latent,False,0.6541953831911087,20.25659725995237
C1,donor-randomsplit,C1_randsplit_f1244,scGen,latent,False,0.6819717139005661,20.15145979245312
C1,donor-randomsplit,C1_randsplit_f1244,CPA,latent,False,0.6777332723140717,19.869089753256347
C1,donor-randomsplit,C1_randsplit_f1256,scGen,latent,False,0.6687371656298637,20.021336198511257
C1,donor-randomsplit,C1_randsplit_f1256,CPA,latent,False,0.6602723747491837,20.1443352165069
C1,donor-randomsplit,C1_randsplit_f1488,scGen,latent,False,0.666243240237236,19.744142029123303
C1,donor-randomsplit,C1_randsplit_f1488,CPA,latent,False,0.6534112691879272,19.837685319579947
C3,perturbation,C3_true_lo_gene_10,ctrl-pred,simple,True,0.0053055908065289,7.424132896060591
C3,perturbation,C3_true_lo_gene_10,cell-mean,simple,True,0.4482156187295913,7.455128421418298
C3,perturbation,C3_true_lo_gene_10,donor-shift,simple,True,0.4482156187295913,7.455128421418298
C3,perturbation,C3_true_lo_gene_10,linear-PCA,simple,True,0.2853447496891022,7.455127829838187
C3,perturbation,C3_true_lo_gene_25,ctrl-pred,simple,True,-0.0211530052823945,7.441332863985115
C3,perturbation,C3_true_lo_gene_25,cell-mean,simple,True,0.4510605156421661,7.455592874686812
C3,perturbation,C3_true_lo_gene_25,donor-shift,simple,True,0.4510605156421661,7.455592874686812
C3,perturbation,C3_true_lo_gene_25,linear-PCA,simple,True,0.3048060849308968,7.455592447112099
C3,perturbation,C3_true_lo_gene_50,ctrl-pred,simple,True,-0.0026612319052219,7.425928902189517
C3,perturbation,C3_true_lo_gene_50,cell-mean,simple,True,0.38815538585186,7.461623249464708
C3,perturbation,C3_true_lo_gene_50,donor-shift,simple,True,0.38815538585186,7.461623249464708
C3,perturbation,C3_true_lo_gene_50,linear-PCA,simple,True,0.2367766298353672,7.461622830349363
C3,perturbation,C3_true_lo_gene_10,GEARS,graph,False,0.1431147679686546,7.508967110559318
C3,perturbation,C3_true_lo_gene_10,AttentionPert,graph,False,0.0991041287779808,7.438952256549971
C3,perturbation,C3_true_lo_gene_10,scGen,latent,False,-0.2004488036036491,10.944619317812665
C3,perturbation,C3_true_lo_gene_10,CPA,latent,False,-0.2119397148489952,10.59868569462503
C3,perturbation,C3_true_lo_gene_10,STATE,hybrid,False,0.0686448961496353,7.531049241938659
C3,perturbation,C3_true_lo_gene_10,CINEMA-OT,ot,False,0.3873877972364425,7.465370444856484
C3,perturbation,C3_true_lo_gene_25,GEARS,graph,False,0.0911339573562145,7.438539506085777
C3,perturbation,C3_true_lo_gene_25,AttentionPert,graph,False,0.0469939263537526,7.450997739986105
C3,perturbation,C3_true_lo_gene_25,scGPT,foundation,False,-0.111875267396681,7.529469649208909
C3,perturbation,C3_true_lo_gene_25,scGen,latent,False,-0.3127663873136043,11.636251805700384
C3,perturbation,C3_true_lo_gene_25,CPA,latent,False,-0.299885955452919,11.34478827774983
C3,perturbation,C3_true_lo_gene_25,STATE,hybrid,False,0.0757436574436724,7.559881181680706
C3,perturbation,C3_true_lo_gene_25,CINEMA-OT,ot,False,0.3939568817615509,7.455917505128068
C3,perturbation,C3_true_lo_gene_50,GEARS,graph,False,0.0682442266494035,7.478030606239497
C3,perturbation,C3_true_lo_gene_50,AttentionPert,graph,False,0.0429405321134254,7.40956168193628
C3,perturbation,C3_true_lo_gene_50,scGPT,foundation,False,0.0073447483591735,7.408112105816764
C3,perturbation,C3_true_lo_gene_50,scGen,latent,False,-0.2145402301102876,11.708784494182384
C3,perturbation,C3_true_lo_gene_50,CPA,latent,False,-0.2082904029637575,10.683465418045785
C3,perturbation,C3_true_lo_gene_50,STATE,hybrid,False,-0.0308489214628934,7.570905076495249
C3,perturbation,C3_true_lo_gene_50,CINEMA-OT,ot,False,0.3520656958222389,7.453470995489478
C3,perturbation,C3_true_lo_gene_10,ctrl-pred,simple,True,0.0019506579763921,10.07727358483945
C3,perturbation,C3_true_lo_gene_10,cell-mean,simple,True,0.4557917852486883,10.07978767078556
C3,perturbation,C3_true_lo_gene_10,donor-shift,simple,True,0.4557917852486883,10.07978767078556
C3,perturbation,C3_true_lo_gene_10,linear-PCA,simple,True,0.2711602736796651,10.07978633955327
C3,perturbation,C3_true_lo_gene_25,ctrl-pred,simple,True,0.0131309213660036,10.200718560830596
C3,perturbation,C3_true_lo_gene_25,cell-mean,simple,True,0.4852153876175483,9.991812384268467
C3,perturbation,C3_true_lo_gene_25,donor-shift,simple,True,0.4852153876175483,9.991812384268467
C3,perturbation,C3_true_lo_gene_25,linear-PCA,simple,True,0.3429275498621993,9.991809752897062
C3,perturbation,C3_true_lo_gene_50,ctrl-pred,simple,True,0.0138639383245996,9.941285616041364
C3,perturbation,C3_true_lo_gene_50,cell-mean,simple,True,0.5486551825888455,9.752959867421678
C3,perturbation,C3_true_lo_gene_50,donor-shift,simple,True,0.5486551825888455,9.752959867421678
C3,perturbation,C3_true_lo_gene_50,linear-PCA,simple,True,0.3924138823317157,9.752959671502168
C3,perturbation,C3_true_lo_gene_10,GEARS,graph,False,0.3048978325511728,10.070423891571467
C3,perturbation,C3_true_lo_gene_10,AttentionPert,graph,False,0.3256213154111589,10.116122084793464
C3,perturbation,C3_true_lo_gene_10,scGPT,foundation,False,0.0848407325434631,10.018101122649124
C3,perturbation,C3_true_lo_gene_10,scGen,latent,False,0.1371640203786747,10.518230473059182
C3,perturbation,C3_true_lo_gene_10,CPA,latent,False,0.2541929366333144,10.100654445592344
C3,perturbation,C3_true_lo_gene_10,STATE,hybrid,False,0.0141342751947896,10.08743451344968
C3,perturbation,C3_true_lo_gene_10,CINEMA-OT,ot,False,0.4531043991446495,10.075136551809866
C3,perturbation,C3_true_lo_gene_25,GEARS,graph,False,0.2305241531972165,9.996761743878691
C3,perturbation,C3_true_lo_gene_25,AttentionPert,graph,False,0.311903294434564,10.066364138672949
C3,perturbation,C3_true_lo_gene_25,scGPT,foundation,False,0.2081333924498823,9.956556608815507
C3,perturbation,C3_true_lo_gene_25,scGen,latent,False,0.0807680264964195,10.963546826270536
C3,perturbation,C3_true_lo_gene_25,CPA,latent,False,0.237179561285302,10.391599003261724
C3,perturbation,C3_true_lo_gene_25,STATE,hybrid,False,-0.0134496217231369,10.223258243366011
C3,perturbation,C3_true_lo_gene_25,CINEMA-OT,ot,False,0.4789104693465763,9.985992866540323
C3,perturbation,C3_true_lo_gene_50,GEARS,graph,False,0.2287642999241749,10.017201861218998
C3,perturbation,C3_true_lo_gene_50,AttentionPert,graph,False,0.3018521066341135,9.989338434895632
C3,perturbation,C3_true_lo_gene_50,scGPT,foundation,False,0.0469311338068412,9.967254204177252
C3,perturbation,C3_true_lo_gene_50,scGen,latent,False,0.2145375505917602,10.464445779146432
C3,perturbation,C3_true_lo_gene_50,CPA,latent,False,0.345733849124776,9.889114054023503
C3,perturbation,C3_true_lo_gene_50,STATE,hybrid,False,-0.0017225496574408,9.94480229058987
C3,perturbation,C3_true_lo_gene_50,CINEMA-OT,ot,False,0.5438286326178867,9.756055202210614
C3,perturbation,C3_true_lo_gene_10,ctrl-pred,simple,True,-0.0161302210763096,7.627667220756034
C3,perturbation,C3_true_lo_gene_10,cell-mean,simple,True,0.4568211734294891,7.60506002824974
C3,perturbation,C3_true_lo_gene_10,donor-shift,simple,True,0.4568211734294891,7.60506002824974
C3,perturbation,C3_true_lo_gene_10,linear-PCA,simple,True,0.0858271438628435,7.605060591801008
C3,perturbation,C3_true_lo_gene_25,ctrl-pred,simple,True,0.0179605673765763,8.115783925440136
C3,perturbation,C3_true_lo_gene_25,cell-mean,simple,True,0.296772542099158,8.116887166794799
C3,perturbation,C3_true_lo_gene_25,donor-shift,simple,True,0.296772542099158,8.116887166794799
C3,perturbation,C3_true_lo_gene_25,linear-PCA,simple,True,0.0258921332036455,8.1168873551535
C3,perturbation,C3_true_lo_gene_50,ctrl-pred,simple,True,0.0082490661103899,7.859371411732053
C3,perturbation,C3_true_lo_gene_50,cell-mean,simple,True,0.3997994623690222,7.83312060685797
C3,perturbation,C3_true_lo_gene_50,donor-shift,simple,True,0.3997994623690222,7.83312060685797
C3,perturbation,C3_true_lo_gene_50,linear-PCA,simple,True,0.1251530015530685,7.833120325235942
C3,perturbation,C3_true_lo_gene_10,GEARS,graph,False,0.0399677231907844,7.73423769849151
C3,perturbation,C3_true_lo_gene_10,AttentionPert,graph,False,0.1211239027325064,8.098610359674836
C3,perturbation,C3_true_lo_gene_10,scGen,latent,False,0.1278150379657745,8.8135702062649
C3,perturbation,C3_true_lo_gene_10,CPA,latent,False,0.1873766556382179,8.036679041560747
C3,perturbation,C3_true_lo_gene_10,STATE,hybrid,False,-0.0804137382656335,7.696512881949536
C3,perturbation,C3_true_lo_gene_10,CINEMA-OT,ot,False,0.433319553732872,7.601638314816746
C3,perturbation,C3_true_lo_gene_25,GEARS,graph,False,0.1175932846963405,8.193552968637515
C3,perturbation,C3_true_lo_gene_25,AttentionPert,graph,False,0.1640144474804401,8.415189089986157
C3,perturbation,C3_true_lo_gene_25,scGPT,foundation,False,-0.0185815646934012,8.21623215784217
C3,perturbation,C3_true_lo_gene_25,scGen,latent,False,0.0008453906824191,9.81017255177561
C3,perturbation,C3_true_lo_gene_25,CPA,latent,False,0.0324035352872063,8.65932082087808
C3,perturbation,C3_true_lo_gene_25,STATE,hybrid,False,-0.0502001885324716,8.176164605697226
C3,perturbation,C3_true_lo_gene_25,CINEMA-OT,ot,False,0.284573920071125,8.103904026035126
C3,perturbation,C3_true_lo_gene_50,GEARS,graph,False,0.0971170547418296,7.943228861691875
C3,perturbation,C3_true_lo_gene_50,AttentionPert,graph,False,0.1480586055355767,8.281762915691255
C3,perturbation,C3_true_lo_gene_50,scGPT,foundation,False,0.0159343420915926,7.9326186403541215
C3,perturbation,C3_true_lo_gene_50,scGen,latent,False,0.0609502013927946,9.387112936061747
C3,perturbation,C3_true_lo_gene_50,CPA,latent,False,0.1432495767561098,8.725452653454873
C3,perturbation,C3_true_lo_gene_50,STATE,hybrid,False,0.0122650563716888,7.890983246026562
C3,perturbation,C3_true_lo_gene_50,CINEMA-OT,ot,False,0.3819680177451421,7.834714949820644
C3,perturbation,C3_true_lo_gene_10,ctrl-pred,simple,True,0.0050160901155322,7.5405110838039775
C3,perturbation,C3_true_lo_gene_10,cell-mean,simple,True,0.5917022824287415,7.5613384973928
C3,perturbation,C3_true_lo_gene_10,donor-shift,simple,True,0.5917022824287415,7.5613384973928
C3,perturbation,C3_true_lo_gene_10,linear-PCA,simple,True,0.4486456215381622,7.561338910550308
C3,perturbation,C3_true_lo_gene_25,ctrl-pred,simple,True,-0.0287171227391809,7.574361801761673
C3,perturbation,C3_true_lo_gene_25,cell-mean,simple,True,0.4020695503180225,7.6604708654005025
C3,perturbation,C3_true_lo_gene_25,donor-shift,simple,True,0.4020695503180225,7.6604708654005025
C3,perturbation,C3_true_lo_gene_25,linear-PCA,simple,True,0.26773163350299,7.660473427345765
C3,perturbation,C3_true_lo_gene_50,ctrl-pred,simple,True,-0.0305556311894482,7.676313901435312
C3,perturbation,C3_true_lo_gene_50,cell-mean,simple,True,0.4939591449995835,7.6893814203416335
C3,perturbation,C3_true_lo_gene_50,donor-shift,simple,True,0.4939591449995835,7.6893814203416335
C3,perturbation,C3_true_lo_gene_50,linear-PCA,simple,True,0.3971302813539902,7.689382779832329
C3,perturbation,C3_true_lo_gene_10,GEARS,graph,False,0.2885356396436691,7.71280248927941
C3,perturbation,C3_true_lo_gene_10,AttentionPert,graph,False,0.3255620151758194,7.903353369623529
C3,perturbation,C3_true_lo_gene_10,scGen,latent,False,0.0483743138611316,8.314586447034365
C3,perturbation,C3_true_lo_gene_10,CPA,latent,False,-0.0201780423521995,8.488418658412305
C3,perturbation,C3_true_lo_gene_10,STATE,hybrid,False,-0.0432074125856161,7.586734218535415
C3,perturbation,C3_true_lo_gene_10,CINEMA-OT,ot,False,0.5529155135154724,7.563078876680043
C3,perturbation,C3_true_lo_gene_25,GEARS,graph,False,0.1565307189399997,7.776878880235643
C3,perturbation,C3_true_lo_gene_25,AttentionPert,graph,False,0.1856993585824966,8.002789764774343
C3,perturbation,C3_true_lo_gene_25,scGPT,foundation,False,0.062451392179355,7.678887291594819
C3,perturbation,C3_true_lo_gene_25,scGen,latent,False,-0.0560557469725608,9.28651643375376
C3,perturbation,C3_true_lo_gene_25,CPA,latent,False,-0.0421887181534354,8.37486361052857
C3,perturbation,C3_true_lo_gene_25,STATE,hybrid,False,0.0161707756730417,7.605900137322888
C3,perturbation,C3_true_lo_gene_25,CINEMA-OT,ot,False,0.4023667791237433,7.660164018533538
C3,perturbation,C3_true_lo_gene_50,GEARS,graph,False,-0.0031542301697603,7.801840742319025
C3,perturbation,C3_true_lo_gene_50,AttentionPert,graph,False,0.1940202998618284,8.10320073671866
C3,perturbation,C3_true_lo_gene_50,scGPT,foundation,False,0.0485002745407049,7.746374823358363
C3,perturbation,C3_true_lo_gene_50,scGen,latent,False,0.1763836911413818,8.483229325982904
C3,perturbation,C3_true_lo_gene_50,CPA,latent,False,0.0180942215956747,9.241561974357866
C3,perturbation,C3_true_lo_gene_50,STATE,hybrid,False,0.0195879732879499,7.723083110169624
C3,perturbation,C3_true_lo_gene_50,CINEMA-OT,ot,False,0.4851523824036121,7.693555721878748
C3,perturbation,C3_true_lo_gene_10,ctrl-pred,simple,True,-0.0067895019135903,7.454223719690165
C3,perturbation,C3_true_lo_gene_10,cell-mean,simple,True,0.5161272868514061,7.511988168804875
C3,perturbation,C3_true_lo_gene_10,donor-shift,simple,True,0.5161272868514061,7.511988168804875
C3,perturbation,C3_true_lo_gene_10,linear-PCA,simple,True,0.3918871557960907,7.511987225841781
C3,perturbation,C3_true_lo_gene_25,ctrl-pred,simple,True,0.0019071219145631,7.509608558242959
C3,perturbation,C3_true_lo_gene_25,cell-mean,simple,True,0.5185321039847426,7.550054067158479
C3,perturbation,C3_true_lo_gene_25,donor-shift,simple,True,0.5185321039847426,7.550054067158479
C3,perturbation,C3_true_lo_gene_25,linear-PCA,simple,True,0.41704756732577,7.550056001241581
C3,perturbation,C3_true_lo_gene_50,ctrl-pred,simple,True,0.0016521422378876,7.511707268091386
C3,perturbation,C3_true_lo_gene_50,cell-mean,simple,True,0.5130437836050987,7.550739896350285
C3,perturbation,C3_true_lo_gene_50,donor-shift,simple,True,0.5130437836050987,7.550739896350285
C3,perturbation,C3_true_lo_gene_50,linear-PCA,simple,True,0.4092427425124255,7.55073936850192
C3,perturbation,C3_true_lo_gene_10,GEARS,graph,False,0.2252963377783695,7.671047988594366
C3,perturbation,C3_true_lo_gene_10,AttentionPert,graph,False,0.1980707067996263,7.596284716561238
C3,perturbation,C3_true_lo_gene_10,scGPT,foundation,False,0.0316448963189031,7.47379495173698
