compound,seed,chemCPA_pearson_delta,chemCPA_e_distance,baseline_pearson_delta,FP_ridge_pearson_delta,CPA_existing_pearson_delta
YK 4-279,1,0.076461,19.291538,0.145052,0.203159,0.153476
5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,2,0.121983,21.399458,0.313721,0.332773,0.226585
ABT-199 (GDC-0199),2,0.105521,19.687211,0.11862,0.073865,-0.010562
AT 7867,2,0.134534,19.797885,0.241185,0.199983,0.120842
AZD3514,2,0.089595,19.044424,0.185799,0.161072,0.14633
BMS-536924,2,0.143297,21.426865,0.271561,0.161696,0.106768
Cabozantinib,2,0.066858,18.827338,0.142421,0.118919,0.084935
Clomipramine,2,0.131961,19.833314,0.212301,0.127734,0.092113
Clotrimazole,2,0.120927,19.984394,0.176221,0.153448,0.102316
GSK-1070916,2,0.130332,19.858713,0.18526,0.165947,0.112688
HYDROXYUREA,2,0.117096,20.00445,0.183797,0.142352,0.115169
IN1451,2,0.037777,20.765599,0.176061,0.121249,0.130584
LY2090314,2,0.16647,18.552896,0.103726,0.030901,-0.016869
Lapatinib,2,0.111819,19.281112,0.144715,0.124719,0.055394
Masitinib,2,0.122602,20.022271,0.211679,0.173777,0.104134
Mometasone Furoate,2,0.099472,20.578238,0.303899,0.358519,0.264921
Navitoclax,2,0.125987,19.561689,0.110307,0.118447,0.08491
PRT-062607,2,0.117704,20.8539,0.280136,0.318423,0.259469
Perhexiline,2,0.12126,21.324293,0.267271,0.233128,0.155532
Pitavastatin Calcium,2,0.010464,20.537735,0.038365,0.179231,0.185221
Proscillaridin A;Proscillaridin-A,2,0.037461,20.559468,0.107864,0.064875,0.082365
Ricolinostat,2,0.081914,19.277117,0.107612,0.096144,0.039533
SCH-58261,2,0.092043,19.269953,0.152661,0.132343,0.10292
Selumetinib,2,0.102504,20.433904,0.236229,0.221449,0.185372
TL_HRAS26,2,0.126481,19.317299,0.185488,0.149891,0.09973
Tivozanib,2,0.103054,20.020351,0.189419,0.176147,0.117099
Topotecan,2,0.141292,18.767871,0.164839,0.142418,0.099424
Vorinostat,2,-0.116905,19.570957,-0.135182,0.115004,-0.04773
YK 4-279,2,0.077216,19.315709,0.145052,0.203159,0.153476
