cluster,model,readout,held_units,predicted,substituted,outside_panel,in_panel_not_predicted,other_declined
C3_LO_gene,Biolord,schmidt,7,7,0,,,
C3_LO_gene,Biolord,shifrut,2,2,0,,,
C3_LO_gene,CINEMA-OT,chen,187,187,0,,,
C3_LO_gene,CINEMA-OT,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,CINEMA-OT,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,CINEMA-OT,schmidt,50,50,0,,,
C3_LO_gene,CINEMA-OT,shifrut,14,14,0,,,
C3_LO_gene,CPA,chen,187,187,0,,,
C3_LO_gene,CPA,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,CPA,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,CPA,schmidt,50,50,0,,,
C3_LO_gene,CPA,shifrut,14,14,0,,,
C3_LO_gene,CellFlow,chen,30,29,1,FHIP1A,,
C3_LO_gene,CellFlow,mccutcheon_CRISPRa,2,2,0,,,
C3_LO_gene,CellFlow,mccutcheon_CRISPRi,2,2,0,,,
C3_LO_gene,CellFlow,schmidt,7,7,0,,,
C3_LO_gene,CellFlow,shifrut,2,2,0,,,
C3_LO_gene,GEARS,chen,187,187,0,,,
C3_LO_gene,GEARS,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,GEARS,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,GEARS,schmidt,50,50,0,,,
C3_LO_gene,GEARS,shifrut,14,14,0,,,
C3_LO_gene,PertAdapt,chen,187,187,0,,,
C3_LO_gene,PertAdapt,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,PertAdapt,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,PertAdapt,schmidt,50,50,0,,,
C3_LO_gene,PertAdapt,shifrut,14,14,0,,,
C3_LO_gene,PerturbNet,chen,30,29,1,FHIP1A,,
C3_LO_gene,PerturbNet,mccutcheon_CRISPRa,2,2,0,,,
C3_LO_gene,PerturbNet,mccutcheon_CRISPRi,2,2,0,,,
C3_LO_gene,PerturbNet,schmidt,7,7,0,,,
C3_LO_gene,PerturbNet,shifrut,2,2,0,,,
C3_LO_gene,STATE,chen,187,186,1,FHIP1A,,
C3_LO_gene,STATE,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,STATE,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,STATE,schmidt,50,49,1,IRX4,,
C3_LO_gene,STATE,shifrut,14,14,0,,,
C3_LO_gene,cell-mean,chen,187,187,0,,,
C3_LO_gene,cell-mean,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,cell-mean,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,cell-mean,schmidt,50,50,0,,,
C3_LO_gene,cell-mean,shifrut,14,14,0,,,
C3_LO_gene,ctrl-pred,chen,187,187,0,,,
C3_LO_gene,ctrl-pred,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,ctrl-pred,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,ctrl-pred,schmidt,50,50,0,,,
C3_LO_gene,ctrl-pred,shifrut,14,14,0,,,
C3_LO_gene,donor-shift,chen,187,187,0,,,
C3_LO_gene,donor-shift,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,donor-shift,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,donor-shift,schmidt,50,50,0,,,
C3_LO_gene,donor-shift,shifrut,14,14,0,,,
C3_LO_gene,linear-PCA,chen,187,187,0,,,
C3_LO_gene,linear-PCA,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,linear-PCA,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,linear-PCA,schmidt,50,50,0,,,
C3_LO_gene,linear-PCA,shifrut,14,14,0,,,
C3_LO_gene,linear-shift-KOemb,chen,30,29,1,FHIP1A,,
C3_LO_gene,linear-shift-KOemb,mccutcheon_CRISPRa,2,2,0,,,
C3_LO_gene,linear-shift-KOemb,mccutcheon_CRISPRi,2,2,0,,,
C3_LO_gene,linear-shift-KOemb,schmidt,7,7,0,,,
C3_LO_gene,linear-shift-KOemb,shifrut,2,2,0,,,
C3_LO_gene,scFoundation,chen,187,185,2,,CYLD;PTEN,
C3_LO_gene,scFoundation,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,scFoundation,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,scFoundation,schmidt,50,50,0,,,
C3_LO_gene,scFoundation,shifrut,14,14,0,,,
C3_LO_gene,scGPT,chen,187,187,0,,,
C3_LO_gene,scGPT,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,scGPT,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,scGPT,schmidt,50,50,0,,,
C3_LO_gene,scGPT,shifrut,14,14,0,,,
C3_LO_gene,scGen,chen,187,187,0,,,
C3_LO_gene,scGen,mccutcheon_CRISPRa,16,16,0,,,
C3_LO_gene,scGen,mccutcheon_CRISPRi,16,16,0,,,
C3_LO_gene,scGen,schmidt,50,50,0,,,
C3_LO_gene,scGen,shifrut,14,14,0,,,
C4,CellOT,(default),153,153,0,,,
C4,scPRAM,(default),153,153,0,,,
C4_Axis2,AttentionPert,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C4_Axis2,Biolord,None,153,153,0,,,
C4_Axis2,CPA,None,153,153,0,,,
C4_Axis2,CellFlow,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C4_Axis2,GEARS,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C4_Axis2,PertAdapt,None,153,144,9,GAS5;LEF1-AS1;NUP50-AS1;SNHG6,C19orf48;GSEC;NEAT1;PSMB8-AS1;ST3GAL6-AS1,
C4_Axis2,PerturbNet,None,153,144,9,GAS5;LEF1-AS1;NUP50-AS1;SNHG6,C19orf48;GSEC;NEAT1;PSMB8-AS1;ST3GAL6-AS1,
C4_Axis2,STATE,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C4_Axis2,cell-mean,None,153,153,0,,,
C4_Axis2,linear-PCA,None,153,153,0,,,
C4_Axis2,linear-shift-KOemb,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C4_Axis2,scFoundation,None,153,135,18,GAS5;LEF1-AS1;NUP50-AS1;SNHG6;WNT7A,C19orf48;CDH19;DLL3;GSEC;NEAT1;NGFR;PSAP;PSMB8-AS1;RAB27A;SLC19A1;SLC5A3;ST3GAL6-AS1;UBL5,
C4_Axis2,scGPT,None,153,142,11,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,ATP5MD,
C4_Axis2,scGen,None,153,143,10,APOC2;GAS5;HLA-H;IRF4;LEF1-AS1;NUP50-AS1;SERPINA3;SNHG6;TYR;WNT7A,,
C5,chemCPA,(default),112,112,0,,,
C5_LOCT,Biolord,None,141,141,0,,,
C5_LOCT,CPA,None,141,141,0,,,
C5_LOCT,CellFlow,None,141,141,0,,,
C5_LOCT,CellOT,None,141,140,1,,,Alvocidib
C5_LOCT,PRnet,None,141,141,0,,,
C5_LOCT,PerturbNet,None,141,140,1,,,Navitoclax
C5_LOCT,STATE,None,141,141,0,,,
C5_LOCT,scFoundation,op3_fcond,141,141,0,,,
C5_LOCT,scGPT,op3_fcond,141,141,0,,,
C5_LOCT,scGen,None,141,140,1,,,Alvocidib
C5_LOCT,scPRAM,None,141,141,0,,,
C5_unseen_cpd,Biolord,None,112,112,0,,,
C5_unseen_cpd,CINEMA-OT,(default),112,112,0,,,
C5_unseen_cpd,CellFlow,None,112,112,0,,,
C5_unseen_cpd,FP-ridge,(default),112,112,0,,,
C5_unseen_cpd,PRnet,None,112,112,0,,,
C5_unseen_cpd,PerturbNet,None,112,108,4,,,Navitoclax
C5_unseen_cpd,STATE,None,112,112,0,,,
C5_unseen_cpd,cell-mean,(default),112,112,0,,,
C5_unseen_cpd,ctrl-pred,(default),112,112,0,,,
C5_unseen_cpd,donor-shift,(default),112,112,0,,,
C5_unseen_cpd,linear-PCA,(default),112,112,0,,,
C5_unseen_cpd,scFoundation,op3_fcond,112,112,0,,,
C5_unseen_cpd,scGPT,op3_fcond,112,112,0,,,
C5_unseen_cpd,scGen,None,112,112,0,,,
