model,column_key,task,pearson_delta,margin_vs_binding_floor,status,source,census_cell,ringed
CellFlow,C3·mccI,T3,0.304162,-0.152695,native,bundle,True,False
CellFlow,C4·RNA,T4,0.487603,-0.172212,native,bundle,True,False
CellFlow,C5·B,T5c,0.100318,-0.199412,native,bundle,True,False
CellFlow,C5·Mono,T5c,0.068589,-0.116055,native,bundle,True,False
CellFlow,C5·NK,T5c,0.092797,-0.16658,native,bundle,True,False
CellFlow,C5·T_cells,T5c,0.153578,-0.180389,native,bundle,True,False
CellFlow,C5·cpd,T5u,0.166108,-0.006072,native,bundle,True,False
CellOT,C1·B,T1,0.812423,-0.016756,native,bundle,True,True
CellOT,C1·CD4T,T1,0.818438,0.033918,native,bundle,True,True
CellOT,C1·CD8T,T1,0.763604,0.042518,native,bundle,True,True
CellOT,C1·DC,T1,0.795204,-0.027077,native,bundle,True,True
CellOT,C1·Mk,T1,0.556162,-0.046244,native,bundle,True,True
CellOT,C1·Mono_CD14,T1,0.913014,0.093977,native,bundle,True,True
CellOT,C1·Mono_FCGR3A,T1,0.89608,0.014813,native,bundle,True,True
CellOT,C1·NK,T1,0.737101,-0.045794,native,bundle,True,True
CellOT,C2·Soskic,T2,0.366625,0.10681,native,bundle,True,True
CellOT,C5·B,T5c,0.148018,-0.151712,native,bundle,True,False
CellOT,C5·Mono,T5c,0.145044,-0.039601,native,bundle,True,False
CellOT,C5·NK,T5c,0.255735,-0.003642,native,bundle,True,False
CellOT,C5·T_cells,T5c,0.225721,-0.108246,native,bundle,True,False
FP-ridge,C5·B,T5c,0.415577,0.115846,diagnostic,bundle,True,True
FP-ridge,C5·Mono,T5c,0.305709,0.121064,diagnostic,bundle,True,True
FP-ridge,C5·NK,T5c,0.389808,0.130431,diagnostic,bundle,True,True
FP-ridge,C5·T_cells,T5c,0.438704,0.104737,diagnostic,bundle,True,True
FP-ridge,C5·cpd,T5u,0.1642,-0.007979,diagnostic,bundle,True,False
GEARS,C3·Schm,T3,0.350334,-0.140533,native,bundle,True,False
GEARS,C3·Shif,T3,0.174599,-0.277204,native,bundle,True,False
GEARS,C3·chen,T3,0.193209,-0.323332,native,bundle,True,False
GEARS,C3·mccA,T3,0.33951,-0.254474,native,bundle,True,False
GEARS,C3·mccI,T3,0.006784,-0.450073,native,bundle,True,False
GEARS,C4·RNA,T4,0.437552,-0.222264,native,bundle,True,False
PRnet,C5·B,T5c,0.1332,-0.16653,native,bundle,True,False
PRnet,C5·Mono,T5c,0.041207,-0.143438,native,bundle,True,False
PRnet,C5·NK,T5c,0.078081,-0.181296,native,bundle,True,False
PRnet,C5·T_cells,T5c,0.125236,-0.208731,native,bundle,True,False
PRnet,C5·cpd,T5u,0.134301,-0.037879,native,bundle,True,False
PertAdapt,C3·Schm,T3,0.270731,-0.220135,native,bundle,True,False
PertAdapt,C3·Shif,T3,0.12858,-0.323223,native,bundle,True,False
PertAdapt,C3·chen,T3,0.168943,-0.347599,native,bundle,True,False
PertAdapt,C3·mccA,T3,0.398882,-0.195102,native,bundle,True,False
PertAdapt,C3·mccI,T3,0.233516,-0.223341,native,bundle,True,False
PertAdapt,C4·RNA,T4,0.515379,-0.144437,native,bundle,True,False
PerturbNet,C1·B,T1,0.789126,-0.040053,native,bundle,True,True
PerturbNet,C1·CD4T,T1,0.788377,0.003857,native,bundle,True,True
PerturbNet,C1·CD8T,T1,0.775259,0.054173,native,bundle,True,True
PerturbNet,C1·DC,T1,0.821519,-0.000762,native,bundle,True,True
PerturbNet,C1·Mk,T1,0.552909,-0.049497,native,bundle,True,True
PerturbNet,C1·Mono_CD14,T1,0.939816,0.120779,native,bundle,True,True
PerturbNet,C1·Mono_FCGR3A,T1,0.880452,-0.000815,native,bundle,True,True
PerturbNet,C1·NK,T1,0.74722,-0.035675,native,bundle,True,True
PerturbNet,C2·Soskic,T2,0.254557,-0.005258,native,bundle,True,False
PerturbNet,C3·Schm,T3,0.497407,0.00654,native,bundle,True,False
PerturbNet,C3·Shif,T3,0.318455,-0.133348,native,bundle,True,False
PerturbNet,C3·chen,T3,0.321409,-0.195132,native,bundle,True,False
PerturbNet,C3·mccA,T3,0.43086,-0.163123,native,bundle,True,False
PerturbNet,C3·mccI,T3,0.287963,-0.168894,native,bundle,True,False
PerturbNet,C4·RNA,T4,0.595837,-0.063978,native,bundle,True,False
PerturbNet,C5·B,T5c,0.122427,-0.177303,native,bundle,True,False
PerturbNet,C5·Mono,T5c,0.104274,-0.080371,native,bundle,True,False
PerturbNet,C5·NK,T5c,0.222381,-0.036996,native,bundle,True,False
PerturbNet,C5·T_cells,T5c,0.147312,-0.186655,native,bundle,True,False
PerturbNet,C5·cpd,T5u,0.161313,-0.010866,native,bundle,True,False
STATE,C1·B,T1,0.589176,-0.240003,native,bundle,True,False
STATE,C1·CD4T,T1,0.625254,-0.159266,native,bundle,True,False
STATE,C1·CD8T,T1,0.679031,-0.042055,native,bundle,True,False
STATE,C1·DC,T1,0.703079,-0.119202,native,bundle,True,False
STATE,C1·Mk,T1,0.411414,-0.190992,native,bundle,True,False
STATE,C1·Mono_CD14,T1,0.756288,-0.062749,native,bundle,True,False
STATE,C1·Mono_FCGR3A,T1,0.790542,-0.090725,native,bundle,True,False
STATE,C1·NK,T1,0.577738,-0.205157,native,bundle,True,False
STATE,C2·Soskic,T2,0.13594,-0.123875,native,bundle,True,False
STATE,C3·Schm,T3,0.33157,-0.159297,native,bundle,True,False
STATE,C3·Shif,T3,0.045394,-0.406409,native,bundle,True,False
STATE,C3·chen,T3,0.102412,-0.414129,native,bundle,True,False
STATE,C3·mccA,T3,0.183958,-0.410026,native,bundle,True,False
STATE,C3·mccI,T3,0.054011,-0.402846,native,bundle,True,False
STATE,C4·RNA,T4,0.232627,-0.427189,native,bundle,True,False
STATE,C5·B,T5c,0.083057,-0.216673,native,bundle,True,False
STATE,C5·Mono,T5c,-0.004817,-0.189462,native,bundle,True,False
STATE,C5·NK,T5c,0.034649,-0.224728,native,bundle,True,False
STATE,C5·T_cells,T5c,0.053787,-0.28018,native,bundle,True,False
STATE,C5·cpd,T5u,0.115021,-0.057158,native,bundle,True,False
cell-mean,C1·B,T1,0.665028,-0.164152,reference,bundle,False,False
cell-mean,C1·CD4T,T1,0.620283,-0.164237,reference,bundle,False,False
cell-mean,C1·CD8T,T1,0.618653,-0.102433,reference,bundle,False,False
cell-mean,C1·DC,T1,0.711855,-0.110426,reference,bundle,False,False
cell-mean,C1·Mk,T1,0.534462,-0.067944,reference,bundle,False,False
cell-mean,C1·Mono_CD14,T1,0.455853,-0.363184,reference,bundle,False,False
cell-mean,C1·Mono_FCGR3A,T1,0.528733,-0.352534,reference,bundle,False,False
cell-mean,C1·NK,T1,0.581577,-0.201319,reference,bundle,False,False
cell-mean,C2·Soskic,T2,0.259815,0.0,reference,bundle,False,False
cell-mean,C3·Schm,T3,0.490867,0.0,reference,bundle,False,False
cell-mean,C3·Shif,T3,0.451803,0.0,reference,bundle,False,False
cell-mean,C3·chen,T3,0.516541,0.0,reference,bundle,False,False
cell-mean,C3·mccA,T3,0.593984,0.0,reference,bundle,False,False
cell-mean,C3·mccI,T3,0.456857,0.0,reference,bundle,False,False
cell-mean,C4·RNA,T4,0.659816,0.0,reference,bundle,False,False
cell-mean,C5·B,T5c,0.074134,-0.225597,reference,bundle,False,False
cell-mean,C5·Mono,T5c,0.018725,-0.16592,reference,bundle,False,False
cell-mean,C5·NK,T5c,-0.004159,-0.263536,reference,bundle,False,False
cell-mean,C5·T_cells,T5c,0.011216,-0.322751,reference,bundle,False,False
cell-mean,C5·cpd,T5u,0.17218,0.0,reference,bundle,False,False
ctrl-pred,C1·B,T1,-0.023001,-0.85218,reference,bundle,False,False
ctrl-pred,C1·CD4T,T1,-0.003691,-0.788212,reference,bundle,False,False
ctrl-pred,C1·CD8T,T1,0.019438,-0.701648,reference,bundle,False,False
ctrl-pred,C1·DC,T1,0.004034,-0.818247,reference,bundle,False,False
ctrl-pred,C1·Mk,T1,0.013318,-0.589088,reference,bundle,False,False
ctrl-pred,C1·Mono_CD14,T1,-0.019322,-0.83836,reference,bundle,False,False
ctrl-pred,C1·Mono_FCGR3A,T1,0.005415,-0.875852,reference,bundle,False,False
ctrl-pred,C1·NK,T1,-0.000402,-0.783297,reference,bundle,False,False
ctrl-pred,C2·Soskic,T2,0.000837,-0.258978,reference,bundle,False,False
ctrl-pred,C3·Schm,T3,0.00069,-0.490177,reference,bundle,False,False
ctrl-pred,C3·Shif,T3,-0.001518,-0.453321,reference,bundle,False,False
ctrl-pred,C3·chen,T3,-0.011961,-0.528502,reference,bundle,False,False
ctrl-pred,C3·mccA,T3,0.00352,-0.590463,reference,bundle,False,False
ctrl-pred,C3·mccI,T3,-0.019751,-0.476608,reference,bundle,False,False
ctrl-pred,C4·RNA,T4,0.020882,-0.638934,reference,results_raw,False,False
ctrl-pred,C5·B,T5c,-0.026037,-0.325768,reference,bundle,False,False
ctrl-pred,C5·Mono,T5c,0.005479,-0.179166,reference,bundle,False,False
ctrl-pred,C5·NK,T5c,-0.011048,-0.270425,reference,bundle,False,False
ctrl-pred,C5·T_cells,T5c,-0.009041,-0.343008,reference,bundle,False,False
ctrl-pred,C5·cpd,T5u,0.002707,-0.169473,reference,bundle,False,False
donor-shift,C1·B,T1,0.828731,-0.000448,reference,bundle,False,False
donor-shift,C1·CD4T,T1,0.78538,0.000859,reference,bundle,False,False
donor-shift,C1·CD8T,T1,0.722045,0.000959,reference,bundle,False,False
donor-shift,C1·DC,T1,0.821483,-0.000797,reference,bundle,False,False
donor-shift,C1·Mk,T1,0.603085,0.000679,reference,bundle,False,False
donor-shift,C1·Mono_CD14,T1,0.81902,-1.7e-05,reference,bundle,False,False
donor-shift,C1·Mono_FCGR3A,T1,0.880711,-0.000556,reference,bundle,False,False
donor-shift,C1·NK,T1,0.78317,0.000275,reference,bundle,False,False
donor-shift,C2·Soskic,T2,0.023466,-0.236349,reference,bundle,False,False
donor-shift,C3·Schm,T3,0.490867,0.0,reference,bundle,False,False
donor-shift,C3·Shif,T3,0.451803,0.0,reference,bundle,False,False
donor-shift,C3·chen,T3,0.516541,0.0,reference,bundle,False,False
donor-shift,C3·mccA,T3,0.593984,0.0,reference,bundle,False,False
donor-shift,C3·mccI,T3,0.456857,0.0,reference,bundle,False,False
donor-shift,C4·RNA,T4,0.66123,0.001415,reference,results_raw,False,False
donor-shift,C5·B,T5c,0.27838,-0.021351,reference,bundle,False,False
donor-shift,C5·Mono,T5c,0.190158,0.005513,reference,bundle,False,False
donor-shift,C5·NK,T5c,0.256025,-0.003352,reference,bundle,False,False
donor-shift,C5·T_cells,T5c,0.319316,-0.014651,reference,bundle,False,False
donor-shift,C5·cpd,T5u,0.17218,0.0,reference,bundle,False,False
linear-PCA,C1·B,T1,0.829179,0.0,reference,bundle,False,False
linear-PCA,C1·CD4T,T1,0.784521,0.0,reference,bundle,False,False
linear-PCA,C1·CD8T,T1,0.721086,0.0,reference,bundle,False,False
linear-PCA,C1·DC,T1,0.822281,0.0,reference,bundle,False,False
linear-PCA,C1·Mk,T1,0.602406,0.0,reference,bundle,False,False
linear-PCA,C1·Mono_CD14,T1,0.819037,0.0,reference,bundle,False,False
linear-PCA,C1·Mono_FCGR3A,T1,0.881267,0.0,reference,bundle,False,False
linear-PCA,C1·NK,T1,0.782895,0.0,reference,bundle,False,False
linear-PCA,C2·Soskic,T2,0.036229,-0.223586,reference,bundle,False,False
linear-PCA,C3·Schm,T3,0.296019,-0.194848,reference,bundle,False,False
linear-PCA,C3·Shif,T3,0.286464,-0.165339,reference,bundle,False,False
linear-PCA,C3·chen,T3,0.389628,-0.126914,reference,bundle,False,False
linear-PCA,C3·mccA,T3,0.450093,-0.143891,reference,bundle,False,False
linear-PCA,C3·mccI,T3,0.083768,-0.373089,reference,bundle,False,False
linear-PCA,C4·RNA,T4,0.277558,-0.382257,reference,bundle,False,False
linear-PCA,C5·B,T5c,0.29973,0.0,reference,bundle,False,False
linear-PCA,C5·Mono,T5c,0.184645,0.0,reference,bundle,False,False
linear-PCA,C5·NK,T5c,0.259377,0.0,reference,bundle,False,False
linear-PCA,C5·T_cells,T5c,0.333967,0.0,reference,bundle,False,False
linear-PCA,C5·cpd,T5u,0.149808,-0.022372,reference,bundle,False,False
linear-shift-KOemb,C3·Schm,T3,0.489225,-0.001642,diagnostic,bundle,True,False
linear-shift-KOemb,C3·Shif,T3,0.445565,-0.006238,diagnostic,bundle,True,False
linear-shift-KOemb,C3·chen,T3,0.509414,-0.007128,diagnostic,bundle,True,False
linear-shift-KOemb,C3·mccA,T3,0.596214,0.00223,diagnostic,bundle,True,False
linear-shift-KOemb,C3·mccI,T3,0.429958,-0.026899,diagnostic,bundle,True,False
linear-shift-KOemb,C4·RNA,T4,0.614327,-0.045489,diagnostic,bundle,True,False
scFoundation,C1·B,T1,0.748413,-0.080766,adapted,bundle,True,False
scFoundation,C1·CD4T,T1,0.728885,-0.055636,adapted,bundle,True,False
scFoundation,C1·CD8T,T1,0.682303,-0.038783,adapted,bundle,True,False
scFoundation,C1·DC,T1,0.704919,-0.117361,adapted,bundle,True,False
scFoundation,C1·Mk,T1,0.518567,-0.083839,adapted,bundle,True,False
scFoundation,C1·Mono_CD14,T1,0.689469,-0.129568,adapted,bundle,True,False
scFoundation,C1·Mono_FCGR3A,T1,0.693852,-0.187415,adapted,bundle,True,False
scFoundation,C1·NK,T1,0.65227,-0.130625,adapted,bundle,True,False
scFoundation,C2·Soskic,T2,0.119683,-0.140132,adapted,bundle,True,False
scFoundation,C3·Schm,T3,0.080727,-0.410139,native,bundle,True,False
scFoundation,C3·Shif,T3,-0.010724,-0.462527,native,bundle,True,False
scFoundation,C3·chen,T3,0.22607,-0.290472,native,bundle,True,False
scFoundation,C3·mccA,T3,0.250698,-0.343285,native,bundle,True,False
scFoundation,C3·mccI,T3,0.104555,-0.352302,native,bundle,True,False
scFoundation,C4·RNA,T4,0.30281,-0.357006,native,bundle,True,False
scFoundation,C5·B,T5c,0.284327,-0.015403,adapted,bundle,True,True
scFoundation,C5·Mono,T5c,0.279345,0.094701,adapted,bundle,True,True
scFoundation,C5·NK,T5c,0.375416,0.116039,adapted,bundle,True,True
scFoundation,C5·T_cells,T5c,0.377232,0.043265,adapted,bundle,True,True
scGPT,C1·B,T1,0.66848,-0.160699,adapted,bundle,True,False
scGPT,C1·CD4T,T1,0.64278,-0.14174,adapted,bundle,True,False
scGPT,C1·CD8T,T1,0.624203,-0.096883,adapted,bundle,True,False
scGPT,C1·DC,T1,0.692849,-0.129432,adapted,bundle,True,False
scGPT,C1·Mk,T1,0.537047,-0.065359,adapted,bundle,True,False
scGPT,C1·Mono_CD14,T1,0.398623,-0.420415,adapted,bundle,True,False
scGPT,C1·Mono_FCGR3A,T1,0.539551,-0.341716,adapted,bundle,True,False
scGPT,C1·NK,T1,0.58028,-0.202615,adapted,bundle,True,False
scGPT,C2·Soskic,T2,0.250089,-0.009726,adapted,bundle,True,False
scGPT,C3·Schm,T3,0.291606,-0.199261,native,bundle,True,False
scGPT,C3·Shif,T3,-0.172972,-0.624775,native,bundle,True,False
scGPT,C3·chen,T3,0.387621,-0.12892,native,bundle,True,False
scGPT,C3·mccA,T3,0.334024,-0.25996,native,bundle,True,False
scGPT,C3·mccI,T3,0.003821,-0.453036,native,bundle,True,False
scGPT,C4·RNA,T4,0.568211,-0.091605,native,bundle,True,False
scGPT,C5·B,T5c,0.378323,0.078593,adapted,bundle,True,True
scGPT,C5·Mono,T5c,0.277958,0.093313,adapted,bundle,True,True
scGPT,C5·NK,T5c,0.349105,0.089729,adapted,bundle,True,True
scGPT,C5·T_cells,T5c,0.381561,0.047594,adapted,bundle,True,True
scGen,C1·B,T1,0.767373,-0.061806,native,bundle,True,False
scGen,C1·CD4T,T1,0.776839,-0.007681,native,bundle,True,False
scGen,C1·CD8T,T1,0.771812,0.050726,native,bundle,True,False
scGen,C1·DC,T1,0.731544,-0.090737,native,bundle,True,False
scGen,C1·Mk,T1,0.544151,-0.058255,native,bundle,True,False
scGen,C1·Mono_CD14,T1,0.835224,0.016186,native,bundle,True,False
scGen,C1·Mono_FCGR3A,T1,0.824289,-0.056978,native,bundle,True,False
scGen,C1·NK,T1,0.746093,-0.036802,native,bundle,True,False
scGen,C2·Soskic,T2,0.14705,-0.112765,native,bundle,True,False
scGen,C5·B,T5c,0.127471,-0.172259,native,bundle,True,False
scGen,C5·Mono,T5c,0.158801,-0.025844,native,bundle,True,False
scGen,C5·NK,T5c,0.241467,-0.01791,native,bundle,True,False
scGen,C5·T_cells,T5c,0.193903,-0.140064,native,bundle,True,False
scPRAM,C1·B,T1,0.797991,-0.031188,native,bundle,True,False
scPRAM,C1·CD4T,T1,0.727695,-0.056825,native,bundle,True,False
scPRAM,C1·CD8T,T1,0.686139,-0.034947,native,bundle,True,False
scPRAM,C1·DC,T1,0.814094,-0.008187,native,bundle,True,False
scPRAM,C1·Mk,T1,0.536605,-0.065801,native,bundle,True,False
scPRAM,C1·Mono_CD14,T1,0.902228,0.083191,native,bundle,True,False
scPRAM,C1·Mono_FCGR3A,T1,0.860497,-0.02077,native,bundle,True,False
scPRAM,C1·NK,T1,0.680483,-0.102412,native,bundle,True,False
scPRAM,C2·Soskic,T2,0.15917,-0.100645,native,bundle,True,False
scPRAM,C5·B,T5c,0.185969,-0.113762,native,bundle,True,False
scPRAM,C5·Mono,T5c,0.118886,-0.065759,native,bundle,True,False
scPRAM,C5·NK,T5c,0.217049,-0.042328,native,bundle,True,False
scPRAM,C5·T_cells,T5c,0.202863,-0.131104,native,bundle,True,False
