job,model,task,state,shard,units,expected,ran,leak_free,declined,result_csv,runner,complete,note,command
state_T1_split,STATE,T1,DONE:0,,8,8,8,8,0,results/native_rerun/v7_state_T1.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model STATE --task T1 --gpu 3 --out results/native_rerun/v7_state_T1.csv
state_C3,STATE,T3,DONE:0,,0,5,0,0,0,,,no,0 of 5 expected unit(s),env CUDA_VISIBLE_DEVICES=1 .venv/bin/python scripts/run_cluster.py --cluster C3 --real --only STATE --seeds 0 --outdir results/native_rerun/v3_state_C3
v2_state_C3,STATE,T3,DONE:0,,15,5,15,15,0,results/native_rerun/v6_state_C3/C3/results_raw.csv,,yes,,env CUDA_VISIBLE_DEVICES=3 .venv/bin/python scripts/run_cluster.py --cluster C3 --real --only STATE --seeds 0 --outdir results/native_rerun/v6_state_C3
state_C4,STATE,T4,DONE:0,,4,2,4,4,0,results/C4/conditioned_rows.json,,yes,,env IVCBENCH_C4_ONLY=STATE CUDA_VISIBLE_DEVICES=2 .venv/bin/python scripts/run_c4_conditioned.py
v2_state_C4,STATE,T4,DONE:0,,4,2,4,4,0,results/C4/conditioned_rows.json,,yes,,env IVCBENCH_C4_ONLY=STATE CUDA_VISIBLE_DEVICES=1 .venv/bin/python scripts/run_c4_conditioned.py
state_C5,STATE,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v2_state_C5/C5/results_raw.csv,,yes,,.venv/bin/python scripts/run_cluster.py --cluster C5 --real --only STATE --seeds 0 --gpus 2 --outdir results/native_rerun/v2_state_C5
state_T5c_split,STATE,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v7_state_T5c.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model STATE --task T5c --gpu 0 --out results/native_rerun/v7_state_T5c.csv
v2_state_C5,STATE,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v6_state_C5/C5/results_raw.csv,,yes,,env CUDA_VISIBLE_DEVICES=1 .venv/bin/python scripts/run_cluster.py --cluster C5 --real --only STATE --seeds 0 --outdir results/native_rerun/v6_state_C5
state_C5,STATE,T5u,DONE:0,,1,1,1,1,0,results/native_rerun/v2_state_C5/C5/results_raw.csv,,yes,,.venv/bin/python scripts/run_cluster.py --cluster C5 --real --only STATE --seeds 0 --gpus 2 --outdir results/native_rerun/v2_state_C5
v2_state_C5,STATE,T5u,DONE:0,,1,1,1,1,0,results/native_rerun/v6_state_C5/C5/results_raw.csv,,yes,,env CUDA_VISIBLE_DEVICES=1 .venv/bin/python scripts/run_cluster.py --cluster C5 --real --only STATE --seeds 0 --outdir results/native_rerun/v6_state_C5
v2_chemcpa_T5c,chemCPA,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v6_chemcpa_T5c.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model chemCPA --task T5c --gpu 2 --out results/native_rerun/v6_chemcpa_T5c.csv
chemcpa_T5u_shim,chemCPA,T5u,DONE:0,,28,1,28,28,0,outputs/native_rerun/chemcpa_t5u_shim/chemcpa_op3_unseen_compound_summary.csv,,yes,,env CUDA_VISIBLE_DEVICES=3 bash runs/chemcpa_t5u_shim.sh
koemb_T3_v2,linear-shift-KOemb,T3,DONE:0,,5,5,5,5,0,results/native_rerun/v6_koemb_T3_v2.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model linear-shift-KOemb --task T3 --gpu 3 --out results/native_rerun/v6_koemb_T3_v2.csv
koemb_T3_v3,linear-shift-KOemb,T3,DONE:0,,5,5,5,5,0,results/native_rerun/v7_koemb_T3.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model linear-shift-KOemb --task T3 --out results/native_rerun/v7_koemb_T3.csv
koemb_T3,linear-shift-KOemb,T4,DONE:0,,4,2,4,4,0,results/C4/conditioned_rows.json,,yes,,env IVCBENCH_C4_ONLY=linear-shift-KOemb CUDA_VISIBLE_DEVICES=3 .venv/bin/python scripts/run_c4_conditioned.py
v2_koemb_C4,linear-shift-KOemb,T4,DONE:0,,4,2,4,4,0,results/C4/conditioned_rows.json,,yes,,env IVCBENCH_C4_ONLY=linear-shift-KOemb CUDA_VISIBLE_DEVICES=3 .venv/bin/python scripts/run_c4_conditioned.py
scgpt_T4,scGPT,T4,DONE:0,,2,2,2,2,0,results/native_rerun/v6_scgpt_T4.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model scGPT --task T4 --gpu 3 --out results/native_rerun/v6_scgpt_T4.csv
scgen_T5c,scGen,T5c,DONE:0,,0,4,0,0,0,,,no,0 of 4 expected unit(s),env CUDA_VISIBLE_DEVICES=0 .venv/bin/python scripts/run_cluster.py --cluster C5 --real --only scGen --seeds 0 --outdir results/native_rerun/v3_scgen_C5
v2_scgen_C5,scGen,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v6_scgen_C5/C5/results_raw.csv,,yes,,env CUDA_VISIBLE_DEVICES=3 .venv/bin/python scripts/run_cluster.py --cluster C5 --real --only scGen --seeds 0 --outdir results/native_rerun/v6_scgen_C5
v2_scgen_C5,scGen,T5u,DONE:0,,1,1,1,1,0,results/native_rerun/v6_scgen_C5/C5/results_raw.csv,,yes,,env CUDA_VISIBLE_DEVICES=3 .venv/bin/python scripts/run_cluster.py --cluster C5 --real --only scGen --seeds 0 --outdir results/native_rerun/v6_scgen_C5
scpram_T1,scPRAM,T1,DONE:0,,0,8,0,0,0,results/native_rerun/v3_scpram_T1.json,,no,0 of 8 expected unit(s),.venv/bin/python scripts/run_obligation.py --model scPRAM --task T1 --gpu 1 --out results/native_rerun/v3_scpram_T1.json
v2_scpram_T1,scPRAM,T1,DONE:0,,8,8,8,8,0,results/native_rerun/v6_scpram_T1.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model scPRAM --task T1 --gpu 1 --out results/native_rerun/v6_scpram_T1.csv
scpram_T5c,scPRAM,T5c,DONE:0,,0,4,0,0,0,results/native_rerun/v3_scpram_T5c.json,,no,0 of 4 expected unit(s),.venv/bin/python scripts/run_obligation.py --model scPRAM --task T5c --gpu 0 --out results/native_rerun/v3_scpram_T5c.json
v2_scpram_T5c,scPRAM,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v6_scpram_T5c.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model scPRAM --task T5c --gpu 1 --out results/native_rerun/v6_scpram_T5c.csv
