contrast,task_key,model,n_units,binding_floor,mean_gap,units_positive,raw_p,family,inference,BH_p,Holm_p,survives_FDR05,positive_supported,source
T5c_FP-ridge_vs_floor,T5c,FP-ridge,4,linear-PCA,0.11801950363550237,4,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_PRnet_vs_floor,T5c,PRnet,4,linear-PCA,-0.1749988356742097,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_scFoundation_vs_floor,T5c,scFoundation,4,linear-PCA,-0.214278391825746,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_scGPT_vs_floor,T5c,scGPT,4,linear-PCA,-0.24472198603264583,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5c_scPRAM_vs_floor,T5c,scPRAM,4,linear-PCA,-0.27812520049150546,0,,descriptive_low_n,no inferential test; unit range in S18,,,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_Biolord_vs_floor,T5u,Biolord,28,cell-mean,-0.04550442008815536,5,0.000244140625,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.00048828125,0.003173828125,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_CINEMA-OT_vs_floor,T5u,CINEMA-OT,28,cell-mean,-0.00035959564476784403,9,0.1199713721871376,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.14396564662456512,0.765625,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_CPA_vs_floor,T5u,CPA,28,cell-mean,-0.06059000452850894,4,7.204711437225342e-05,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.00015719370408491656,0.0010086596012115479,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_CellFlow_vs_floor,T5u,CellFlow,28,cell-mean,-0.006071843060948136,9,0.14377250522375107,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.16193181818181818,0.765625,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_FP-ridge_vs_floor,T5u,FP-ridge,28,cell-mean,-0.00797919924233997,7,0.06281394511461258,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.0886785107500413,0.5025115609169006,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_PRnet_vs_floor,T5u,PRnet,28,cell-mean,-0.037878846355828624,6,4.2110681533813477e-05,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.00010106563568115234,0.0006316602230072021,True,False,results/_paper/census_unit_scores.csv; exact current model/floor units
T5u_PerturbNet_vs_floor,T5u,PerturbNet,28,cell-mean,-0.010669370308275156,10,0.1199713721871376,current_census_n_ge_8,paired two-sided Wilcoxon; fixed floor; post-review,0.14396564662456512,0.765625,False,False,results/_paper/census_unit_scores.csv; exact current model/floor units
