n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
8,1,D411,e_distance,0.6732,donor-shift,4.7541,4.0809,0.02868,8860,600,600,50
8,1,D411,aucell_delta_score,-0.0182,donor-shift,-0.1619,0.1437,0.02868,8860,600,600,50
8,1,D424,pearson_delta,0.2769,cell-mean,-0.1047,0.3816,0.02868,8860,300,600,50
8,1,D424,e_distance,0.8135,donor-shift,5.1658,4.3523,0.02868,8860,300,600,50
8,1,D424,aucell_delta_score,-0.0212,donor-shift,-0.0763,0.0551,0.02868,8860,300,600,50
8,1,D429,pearson_delta,0.4173,cell-mean,0.1599,0.2573,0.02868,8860,600,600,50
8,1,D429,e_distance,0.6185,donor-shift,5.4858,4.8673,0.02868,8860,600,600,50
8,1,D429,aucell_delta_score,-0.0169,donor-shift,-0.1823,0.1654,0.02868,8860,600,600,50
8,1,D431,pearson_delta,0.4667,cell-mean,0.2549,0.2119,0.02868,8860,600,600,50
8,1,D431,e_distance,0.5162,cell-mean,5.5103,4.9941,0.02868,8860,600,600,50
8,1,D431,aucell_delta_score,-0.0191,donor-shift,-0.183,0.1639,0.02868,8860,600,600,50
8,1,D454,pearson_delta,0.4207,cell-mean,0.5328,-0.1121,0.02868,8860,300,300,50
8,1,D454,e_distance,0.3221,donor-shift,5.5767,5.2546,0.02868,8860,300,300,50
8,1,D454,aucell_delta_score,-0.0153,donor-shift,-0.0223,0.007,0.02868,8860,300,300,50
8,1,D483,pearson_delta,0.4044,cell-mean,0.2038,0.2006,0.02868,8860,600,600,50
8,1,D483,e_distance,0.4616,cell-mean,5.1217,4.6601,0.02868,8860,600,600,50
8,1,D483,aucell_delta_score,-0.0225,donor-shift,-0.1867,0.1643,0.02868,8860,600,600,50
8,1,D484,pearson_delta,0.4661,cell-mean,0.2028,0.2633,0.02868,8860,600,600,50
8,1,D484,e_distance,0.5674,cell-mean,5.3696,4.8022,0.02868,8860,600,600,50
8,1,D484,aucell_delta_score,-0.0204,donor-shift,-0.0913,0.0709,0.02868,8860,600,600,50
